timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,69.8900,69.9300,69.6400,69.7900,69.7900,2495988,0.0000,1.0000
2019-06-27,69.7900,69.9900,69.6800,69.9600,69.9600,2413039,0.0000,1.0000
2019-06-26,69.2200,69.5100,69.2000,69.2600,69.2600,1023943,0.0000,1.0000
2019-06-25,69.0700,69.0900,68.6200,68.6500,68.6500,1067780,0.0000,1.0000
2019-06-24,69.3700,69.4550,69.2000,69.3200,69.3200,232642,0.0000,1.0000
2019-06-21,69.2800,69.4700,69.1900,69.2700,69.2700,721917,0.0000,1.0000
2019-06-20,69.9300,70.0400,69.3800,69.6600,69.6600,1022225,0.0000,1.0000
2019-06-19,68.2600,68.8700,68.1219,68.5700,68.5700,644900,0.0000,1.0000
2019-06-18,67.0500,68.1700,67.0500,67.9700,67.9700,734139,0.0000,1.0000
2019-06-17,66.1600,66.4000,66.0900,66.2500,66.2500,1071736,0.4112,1.0000
2019-06-14,66.6900,66.7000,66.4100,66.4600,66.0501,534231,0.0000,1.0000
2019-06-13,67.3100,67.4000,66.9200,67.1200,66.7060,962142,0.0000,1.0000
2019-06-12,67.4200,67.4400,67.0600,67.1500,66.7358,374310,0.0000,1.0000
2019-06-11,68.3000,68.3499,67.8800,68.0800,67.6601,2062972,0.0000,1.0000
2019-06-10,67.3100,67.7100,67.2100,67.3500,66.9346,938590,0.0000,1.0000
2019-06-07,66.5600,67.1900,66.5600,66.7100,66.2985,582419,0.0000,1.0000
2019-06-06,66.1500,66.3300,65.9500,66.2200,65.8116,1049497,0.0000,1.0000
2019-06-05,66.6300,66.6300,65.9300,66.1700,65.7619,891560,0.0000,1.0000
2019-06-04,66.0800,66.5700,66.0200,66.5000,66.0898,1124421,0.0000,1.0000
2019-06-03,66.3900,66.6800,66.2400,66.3700,65.9606,1907786,0.0000,1.0000
2019-05-31,65.4500,65.9600,65.3805,65.8300,65.4240,1400016,0.0000,1.0000
2019-05-30,65.6900,65.8950,65.5600,65.7700,65.3643,2054242,0.0000,1.0000
2019-05-29,65.3000,65.7200,65.1900,65.6500,65.2451,1956729,0.0000,1.0000
2019-05-28,66.0700,66.1900,65.5450,65.5600,65.1556,984920,0.0000,1.0000
2019-05-24,65.7800,65.8700,65.3500,65.4300,65.0264,1140641,0.0000,1.0000
2019-05-23,65.2600,65.5700,65.0900,65.3500,64.9469,1935842,0.0000,1.0000
2019-05-22,66.3100,66.3700,66.1000,66.2300,65.8215,541287,0.0000,1.0000
2019-05-21,66.3900,66.5000,66.1000,66.4800,66.0700,1053758,0.0000,1.0000
2019-05-20,66.0400,66.1600,65.6700,65.7600,65.3544,1727891,0.0000,1.0000
2019-05-17,66.4200,66.7900,66.2300,66.3800,65.9706,3360107,0.0000,1.0000
2019-05-16,67.7500,68.0900,67.5600,67.5700,67.1532,784647,0.0000,1.0000
2019-05-15,67.3200,67.8500,67.2400,67.8000,67.3818,1285903,0.0000,1.0000
2019-05-14,67.3400,67.6900,67.1600,67.4100,66.9942,2159993,0.0000,1.0000
