timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,7.4100,7.4900,7.3136,7.4600,7.4600,1379304,0.0000,1.0000
2019-06-27,7.2600,7.4000,7.2600,7.3800,7.3800,488987,0.0000,1.0000
2019-06-26,7.0300,7.2400,7.0000,7.2000,7.2000,588525,0.0000,1.0000
2019-06-25,7.0500,7.1000,6.9000,6.9100,6.9100,790377,0.0000,1.0000
2019-06-24,7.0700,7.0900,7.0156,7.0600,7.0600,880258,0.0000,1.0000
2019-06-21,7.1400,7.1600,7.0400,7.0700,7.0700,949823,0.0000,1.0000
2019-06-20,7.1900,7.2600,7.1500,7.1900,7.1900,780953,0.0000,1.0000
2019-06-19,7.1600,7.2200,7.0000,7.0600,7.0600,592719,0.0000,1.0000
2019-06-18,6.9300,7.1700,6.9300,7.1200,7.1200,871070,0.0000,1.0000
2019-06-17,6.9300,7.0000,6.8500,6.8600,6.8600,569126,0.0000,1.0000
2019-06-14,7.1300,7.1750,6.8100,6.8600,6.8600,934174,0.0000,1.0000
2019-06-13,7.2500,7.3400,7.2000,7.2600,7.2600,491795,0.0000,1.0000
2019-06-12,7.3400,7.3800,7.1500,7.2100,7.2100,579715,0.0000,1.0000
2019-06-11,7.5200,7.5200,7.3300,7.3700,7.3700,736044,0.0000,1.0000
2019-06-10,7.1700,7.4900,7.1700,7.4000,7.4000,1181859,0.0000,1.0000
2019-06-07,7.1000,7.1200,7.0000,7.0700,7.0700,745515,0.0000,1.0000
2019-06-06,6.9800,7.1250,6.9600,7.1000,7.1000,746652,0.0000,1.0000
2019-06-05,7.1500,7.2000,6.9200,7.0000,7.0000,1323048,0.0000,1.0000
2019-06-04,6.7000,7.1200,6.6400,7.1000,7.1000,1549860,0.0000,1.0000
2019-06-03,6.4900,6.6400,6.4400,6.5800,6.5800,1301867,0.0000,1.0000
2019-05-31,6.5800,6.6367,6.4350,6.4800,6.4800,822111,0.0000,1.0000
2019-05-30,6.5700,6.7400,6.5700,6.6800,6.6800,1092584,0.0000,1.0000
2019-05-29,6.4500,6.5700,6.4100,6.5500,6.5500,1487220,0.0000,1.0000
2019-05-28,6.6000,6.6300,6.4400,6.5000,6.5000,893585,0.0000,1.0000
2019-05-24,6.6900,6.7600,6.5400,6.5500,6.5500,553179,0.0000,1.0000
2019-05-23,6.7600,6.7838,6.5400,6.6300,6.6300,933426,0.0000,1.0000
2019-05-22,6.9300,7.0200,6.8600,6.8900,6.8900,545139,0.0000,1.0000
2019-05-21,7.1600,7.2000,6.9900,7.0100,7.0100,1109649,0.0000,1.0000
2019-05-20,7.0600,7.1100,7.0300,7.0500,7.0500,1777564,0.0000,1.0000
