timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,82.3400,85.0100,82.3400,84.6200,84.6200,380017,0.0000,1.0000
2019-06-27,79.2000,82.4200,78.7800,82.2200,82.2200,87552,0.0000,1.0000
2019-06-26,78.1400,79.9300,78.1400,78.9300,78.9300,188085,0.0000,1.0000
2019-06-25,78.2500,79.1550,77.4301,77.8300,77.8300,90403,0.0000,1.0000
2019-06-24,78.5500,80.1250,78.1800,78.2100,78.2100,102641,0.0000,1.0000
2019-06-21,79.0800,80.1200,77.8500,78.4800,78.4800,131796,0.0000,1.0000
2019-06-20,79.8300,80.0200,77.9600,79.5600,79.5600,93945,0.0000,1.0000
2019-06-19,78.5500,78.9200,76.9400,78.6800,78.6800,63331,0.0000,1.0000
2019-06-18,78.9800,79.8000,77.2250,78.3200,78.3200,86426,0.0000,1.0000
2019-06-17,79.7900,80.1500,78.0000,78.2000,78.2000,120265,0.0000,1.0000
2019-06-14,80.2900,80.5900,79.2800,79.8600,79.8600,67522,0.0000,1.0000
2019-06-13,79.5700,81.1500,79.3200,80.5000,80.5000,134015,0.0000,1.0000
2019-06-12,77.8000,80.4400,77.0748,79.3500,79.3500,112407,0.0000,1.0000
2019-06-11,79.3700,80.5700,77.5400,78.0000,78.0000,119763,0.0000,1.0000
2019-06-10,77.8200,79.6500,77.8200,78.5200,78.5200,87290,0.0000,1.0000
2019-06-07,76.8600,78.5100,76.3100,77.6500,77.6500,106363,0.0000,1.0000
2019-06-06,75.9900,77.2400,74.9050,77.0400,77.0400,80250,0.0000,1.0000
2019-06-05,76.8300,77.7200,75.3500,76.1800,76.1800,117727,0.0000,1.0000
2019-06-04,74.7400,77.1200,74.7200,76.7800,76.7800,149615,0.0000,1.0000
2019-06-03,72.4500,74.3000,72.0301,74.0400,74.0400,212215,0.0000,1.0000
2019-05-31,73.1700,73.8200,71.8500,72.4900,72.4900,183294,0.0000,1.0000
2019-05-30,74.0800,74.9300,72.4000,74.4000,74.4000,186933,0.0000,1.0000
2019-05-29,76.7500,78.4550,72.9600,74.2500,74.2500,378909,0.0000,1.0000
2019-05-28,82.8500,88.0000,74.1600,75.9000,75.9000,756158,0.0000,1.0000
2019-05-24,84.7000,86.0200,84.1300,85.3900,85.3900,137390,0.0000,1.0000
2019-05-23,86.2500,86.7500,83.4800,84.1300,84.1300,84472,0.0000,1.0000
2019-05-22,87.6800,89.4700,86.3900,86.9500,86.9500,98464,0.0000,1.0000
2019-05-21,87.4300,88.6000,86.8800,88.4900,88.4900,140241,0.0000,1.0000
2019-05-20,88.0000,88.7800,86.7250,86.8400,86.8400,98987,0.0000,1.0000
2019-05-17,89.6300,90.6800,88.0600,88.5600,88.5600,121549,0.0000,1.0000
2019-05-16,90.5400,91.1400,89.7429,90.3300,90.3300,81718,0.0000,1.0000
2019-05-15,89.2500,91.5599,89.2500,90.3200,90.3200,77196,0.0000,1.0000
2019-05-14,88.4800,90.9100,87.7100,90.1600,90.1600,60783,0.0000,1.0000
2019-05-13,89.1900,90.4200,87.9800,88.4700,88.4700,80348,0.0000,1.0000
2019-05-10,90.0900,91.3150,88.6000,91.1500,91.1500,75258,0.0000,1.0000
2019-05-09,87.5600,90.7500,87.5600,90.4000,90.4000,151807,0.0000,1.0000
2019-05-08,91.2800,92.3600,88.4100,88.4800,88.4800,288859,0.0000,1.0000
2019-05-07,91.3300,92.2350,90.1410,91.1600,91.1600,89255,0.0000,1.0000
2019-05-06,90.7800,92.8295,89.7457,92.2700,92.2700,179792,0.0000,1.0000
2019-05-03,89.0000,92.6400,88.7500,92.5800,92.5800,183231,0.0000,1.0000
2019-05-02,89.0000,89.5500,87.8100,88.8700,88.8700,80788,0.0000,1.0000
2019-05-01,90.5400,91.0000,88.9400,89.2700,89.2700,271826,0.0000,1.0000
2019-04-30,89.9800,90.8500,88.9500,89.9300,89.9300,133916,0.0000,1.0000
2019-04-29,90.0300,90.5800,89.2650,89.9100,89.9100,95610,0.0000,1.0000
2019-04-26,89.7400,91.1900,89.0800,89.8300,89.8300,117014,0.0000,1.0000
2019-04-25,87.4200,89.7700,86.9500,89.7600,89.7600,131070,0.0000,1.0000
2019-04-24,88.1000,88.4850,86.7100,87.9000,87.9000,115712,0.0000,1.0000
2019-04-23,86.7600,89.1900,86.7600,88.3500,88.3500,237632,0.0000,1.0000
2019-04-22,88.7500,88.7500,86.4500,86.5900,86.5900,109097,0.0000,1.0000
2019-04-18,89.0000,89.9800,87.9100,88.4000,88.4000,193881,0.0000,1.0000
2019-04-17,90.1800,90.7600,88.3800,89.1700,89.1700,132922,0.0000,1.0000
2019-04-16,88.6000,90.6500,88.6000,89.8800,89.8800,136445,0.0000,1.0000
2019-04-15,88.5400,88.9100,87.5900,88.4500,88.4500,98661,0.0000,1.0000
2019-04-12,88.9100,89.4800,87.5900,88.1400,88.1400,128252,0.0000,1.0000
2019-04-11,86.7500,88.3200,86.0000,88.2800,88.2800,63401,0.0000,1.0000
2019-04-10,85.7500,86.9150,85.1800,86.8100,86.8100,118800,0.0000,1.0000
2019-04-09,87.7800,87.7800,85.3500,85.6400,85.6400,67924,0.0000,1.0000
2019-04-08,86.9600,88.4000,86.6700,88.2300,88.2300,97556,0.0000,1.0000
2019-04-05,85.8100,87.9800,85.8100,87.3600,87.3600,131561,0.0000,1.0000
2019-04-04,82.8700,85.8900,82.4000,85.7200,85.7200,212074,0.0000,1.0000
2019-04-03,82.6000,84.0600,82.1900,82.6500,82.6500,73436,0.0000,1.0000
2019-04-02,83.4100,83.5100,81.2700,81.8800,81.8800,139267,0.0000,1.0000
2019-04-01,83.3300,84.9300,82.6300,83.0300,83.0300,323758,0.0000,1.0000
2019-03-29,81.8500,83.0000,81.8500,82.6300,82.6300,168039,0.0000,1.0000
2019-03-28,79.8500,81.2350,79.8500,81.0500,81.0500,101975,0.0000,1.0000
2019-03-27,78.3800,80.3000,77.7900,79.6100,79.6100,166088,0.0000,1.0000
2019-03-26,79.1800,83.1200,77.4500,78.3800,78.3800,107794,0.0000,1.0000
2019-03-25,75.6600,79.0900,74.8100,78.5200,78.5200,180366,0.0000,1.0000
2019-03-22,77.7000,77.7099,75.6000,75.9800,75.9800,146919,0.0000,1.0000
2019-03-21,77.5200,79.9000,77.2900,78.4100,78.4100,131013,0.0000,1.0000
2019-03-20,79.5400,79.9500,77.0500,77.8400,77.8400,155983,0.0000,1.0000
2019-03-19,80.6700,81.0300,79.3300,79.5300,79.5300,112184,0.0000,1.0000
2019-03-18,80.1100,81.0900,79.6300,80.3900,80.3900,146526,0.0000,1.0000
2019-03-15,80.3400,81.7800,79.6600,79.8400,79.8400,304758,0.0000,1.0000
2019-03-14,80.1700,80.7400,79.5700,80.0000,80.0000,160349,0.0000,1.0000
2019-03-13,80.9900,81.9300,79.4200,80.3300,80.3300,120485,0.0000,1.0000
2019-03-12,81.0000,81.5100,79.9500,80.6400,80.6400,92208,0.0000,1.0000
2019-03-11,80.1000,80.9400,79.6800,80.9400,80.9400,212036,0.0000,1.0000
2019-03-08,79.2500,80.2700,78.9400,79.8900,79.8900,120500,0.0000,1.0000
2019-03-07,81.3100,81.4400,79.4200,79.7100,79.7100,152570,0.0000,1.0000
2019-03-06,82.8700,84.1500,81.1700,81.3000,81.3000,250769,0.0000,1.0000
2019-03-05,86.3700,86.3700,82.8000,82.8400,82.8400,179446,0.0000,1.0000
2019-03-04,86.0500,87.4100,85.9500,86.1000,86.1000,194683,0.0000,1.0000
2019-03-01,86.9500,87.9100,85.0300,86.1800,86.1800,375853,0.0000,1.0000
2019-02-28,87.2400,87.7400,85.1700,85.2000,85.2000,203711,0.0000,1.0000
2019-02-27,87.0900,89.2000,86.2300,87.2300,87.2300,251921,0.0000,1.0000
2019-02-26,87.0000,92.9900,86.2200,86.7000,86.7000,402050,0.0000,1.0000
2019-02-25,86.0000,89.1800,85.9900,86.7800,86.7800,344708,0.0000,1.0000
2019-02-22,86.1500,86.1500,84.3900,85.6300,85.6300,210413,0.0000,1.0000
2019-02-21,83.9000,85.3500,83.2300,85.1700,85.1700,261558,0.0000,1.0000
2019-02-20,81.4400,83.9300,80.7800,83.3900,83.3900,268016,0.0000,1.0000
2019-02-19,78.4500,82.6900,78.2400,81.4100,81.4100,205962,0.0000,1.0000
2019-02-15,76.3200,78.9400,75.9500,78.8600,78.8600,139111,0.0000,1.0000
2019-02-14,75.9900,77.1200,74.3800,76.1700,76.1700,144626,0.0000,1.0000
2019-02-13,76.1200,82.8500,75.3225,76.2500,76.2500,687323,0.0000,1.0000
2019-02-12,72.5000,76.6600,72.3800,75.5000,75.5000,262471,0.0000,1.0000
2019-02-11,69.2700,72.5700,69.1500,72.0200,72.0200,304456,0.0000,1.0000
2019-02-08,68.5000,69.5600,68.1700,68.9900,68.9900,124988,0.0000,1.0000
2019-02-07,69.7300,70.5500,68.4800,68.8900,68.8900,107139,0.0000,1.0000
2019-02-06,70.0000,70.8450,69.5600,69.7200,69.7200,143801,0.0000,1.0000
2019-02-05,70.0000,70.4100,69.0200,70.0000,70.0000,153746,0.0000,1.0000
2019-02-04,69.2800,70.6500,68.1100,70.0200,70.0200,109354,0.0000,1.0000
2019-02-01,69.8100,70.5600,69.1100,69.2700,69.2700,151430,0.0000,1.0000
2019-01-31,67.2600,70.7700,67.2300,69.9500,69.9500,282848,0.0000,1.0000
2019-01-30,67.7200,67.7250,65.7600,67.5200,67.5200,232654,0.0000,1.0000
2019-01-29,67.3300,68.1100,65.4550,67.3500,67.3500,270508,0.0000,1.0000
2019-01-28,66.5200,68.6450,66.4600,67.4300,67.4300,210239,0.0000,1.0000
2019-01-25,67.6400,69.9900,67.4600,67.5000,67.5000,211268,0.0000,1.0000
2019-01-24,67.3400,68.8100,66.7100,66.7700,66.7700,155959,0.0000,1.0000
2019-01-23,68.1200,69.4450,65.8100,67.3300,67.3300,143180,0.0000,1.0000
2019-01-22,69.0500,69.8300,67.2600,67.9300,67.9300,144433,0.0000,1.0000
2019-01-18,69.3700,71.3900,68.8100,69.7500,69.7500,147328,0.0000,1.0000
2019-01-17,66.2900,69.2100,66.2900,69.1200,69.1200,153857,0.0000,1.0000
2019-01-16,67.0100,68.7900,66.5600,66.8400,66.8400,226504,0.0000,1.0000
2019-01-15,67.8100,67.8100,65.3400,67.0000,67.0000,183077,0.0000,1.0000
2019-01-14,66.8100,68.8900,65.9900,67.8500,67.8500,155840,0.0000,1.0000
2019-01-11,66.1000,67.7200,64.5100,67.5600,67.5600,253606,0.0000,1.0000
2019-01-10,66.2100,67.7050,65.7900,66.8000,66.8000,239279,0.0000,1.0000
