timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,92.9200,95.2000,92.5600,94.3300,94.3300,1110658,0.0000,1.0000
2019-06-27,90.6000,92.7800,90.4000,92.7100,92.7100,422767,0.0000,1.0000
2019-06-26,92.3700,93.4800,89.8600,90.2900,90.2900,336235,0.0000,1.0000
2019-06-25,92.0000,93.1400,89.1800,91.6900,91.6900,586826,0.0000,1.0000
2019-06-24,95.2500,96.1800,92.6600,92.8200,92.8200,397321,0.0000,1.0000
2019-06-21,94.3400,95.6600,93.1200,95.1700,95.1700,900277,0.0000,1.0000
2019-06-20,98.0000,99.4200,94.5200,94.8800,94.8800,531985,0.0000,1.0000
2019-06-19,97.9900,98.9400,95.5400,96.7700,96.7700,791103,0.0000,1.0000
2019-06-18,95.7400,98.1400,95.1300,97.8000,97.8000,467988,0.0000,1.0000
2019-06-17,96.9900,100.7600,93.9800,94.4400,94.4400,1254150,0.0000,1.0000
2019-06-14,90.8200,91.0650,88.8400,90.7000,90.7000,291243,0.0000,1.0000
2019-06-13,86.7900,91.0000,86.4200,90.9400,90.9400,576510,0.0000,1.0000
2019-06-12,85.0000,86.2200,81.9000,86.1900,86.1900,402322,0.0000,1.0000
2019-06-11,88.7500,89.2500,85.1100,85.2400,85.2400,458559,0.0000,1.0000
2019-06-10,88.3000,90.0000,86.7500,87.3600,87.3600,361272,0.0000,1.0000
2019-06-07,90.8800,91.8000,87.1600,88.3000,88.3000,582832,0.0000,1.0000
2019-06-06,83.3800,91.3000,83.3800,90.1900,90.1900,889783,0.0000,1.0000
2019-06-05,78.9100,83.7500,78.2200,83.1900,83.1900,840022,0.0000,1.0000
2019-06-04,75.0900,78.5700,73.0500,78.5100,78.5100,1093980,0.0000,1.0000
2019-06-03,74.1200,75.0400,67.2100,73.5400,73.5400,1138917,0.0000,1.0000
2019-05-31,77.4200,77.5200,75.6700,76.0000,76.0000,493494,0.0000,1.0000
2019-05-30,80.7500,81.6100,77.7300,78.2100,78.2100,477039,0.0000,1.0000
2019-05-29,81.4200,82.6250,80.1500,80.6100,80.6100,229988,0.0000,1.0000
2019-05-28,84.0000,85.3800,81.7400,82.4100,82.4100,388288,0.0000,1.0000
2019-05-24,83.5000,85.4500,82.4700,84.6800,84.6800,395729,0.0000,1.0000
2019-05-23,81.0100,83.1850,80.0500,82.9500,82.9500,526049,0.0000,1.0000
2019-05-22,78.4300,81.6900,78.3300,81.2000,81.2000,342507,0.0000,1.0000
2019-05-21,76.8100,79.2300,76.4400,78.9700,78.9700,369793,0.0000,1.0000
2019-05-20,80.3600,81.1900,75.7600,75.8800,75.8800,562803,0.0000,1.0000
2019-05-17,80.1000,82.1200,79.5200,81.3000,81.3000,304152,0.0000,1.0000
2019-05-16,77.6600,81.2700,77.6600,81.0900,81.0900,358147,0.0000,1.0000
2019-05-15,75.7700,77.8891,75.2000,77.2000,77.2000,375934,0.0000,1.0000
2019-05-14,74.8700,78.8400,74.8700,76.2500,76.2500,633218,0.0000,1.0000
2019-05-13,81.5000,81.5000,73.3725,74.1700,74.1700,969316,0.0000,1.0000
2019-05-10,81.7700,83.7800,79.6900,83.6600,83.6600,537566,0.0000,1.0000
2019-05-09,76.5000,82.7600,76.5000,82.3000,82.3000,795356,0.0000,1.0000
2019-05-08,74.7500,77.2500,73.0200,76.7600,76.7600,392377,0.0000,1.0000
2019-05-07,79.6300,80.8150,75.5300,76.1800,76.1800,468672,0.0000,1.0000
2019-05-06,77.4500,81.3525,77.4500,80.8400,80.8400,248751,0.0000,1.0000
2019-05-03,76.7900,79.5100,76.2400,79.4400,79.4400,241811,0.0000,1.0000
2019-05-02,74.5200,77.3200,73.1700,76.5400,76.5400,208892,0.0000,1.0000
2019-05-01,75.8300,76.8200,73.8800,74.2800,74.2800,324398,0.0000,1.0000
2019-04-30,78.5000,79.0700,74.0300,75.6100,75.6100,412107,0.0000,1.0000
2019-04-29,76.8000,80.0000,76.8000,78.4700,78.4700,319479,0.0000,1.0000
2019-04-26,77.0900,77.2239,75.6900,76.8600,76.8600,295824,0.0000,1.0000
2019-04-25,75.0900,77.5150,74.6000,76.9000,76.9000,327392,0.0000,1.0000
2019-04-24,77.7600,77.7600,75.3300,75.4600,75.4600,213115,0.0000,1.0000
2019-04-23,75.7200,78.4050,75.0700,77.6400,77.6400,381853,0.0000,1.0000
2019-04-22,73.6100,75.9100,72.6100,75.4300,75.4300,367148,0.0000,1.0000
2019-04-18,73.6500,75.2100,71.9200,73.8500,73.8500,456956,0.0000,1.0000
2019-04-17,78.2200,78.8100,72.4900,73.7300,73.7300,519625,0.0000,1.0000
2019-04-16,78.3200,78.8700,76.8800,78.1000,78.1000,432500,0.0000,1.0000
2019-04-15,80.2500,81.1300,76.2000,77.7000,77.7000,528771,0.0000,1.0000
2019-04-12,83.6500,83.7700,79.5600,80.4300,80.4300,603623,0.0000,1.0000
2019-04-11,82.0900,83.2500,80.7400,82.8600,82.8600,366245,0.0000,1.0000
2019-04-10,81.3700,82.9200,81.1000,82.0900,82.0900,248391,0.0000,1.0000
2019-04-09,82.7800,83.7400,80.7700,81.0200,81.0200,338105,0.0000,1.0000
2019-04-08,82.8300,83.4100,81.5100,82.7900,82.7900,310161,0.0000,1.0000
2019-04-05,82.1400,84.1400,81.4000,83.2100,83.2100,522179,0.0000,1.0000
2019-04-04,83.8700,83.8700,80.5600,82.1900,82.1900,940169,0.0000,1.0000
2019-04-03,85.3200,86.2200,83.5238,84.9800,84.9800,574552,0.0000,1.0000
2019-04-02,80.9800,84.7200,80.6365,83.4000,83.4000,988874,0.0000,1.0000
2019-04-01,81.2400,81.5470,79.6100,81.0300,81.0300,814809,0.0000,1.0000
2019-03-29,76.4200,81.2500,75.5200,80.0500,80.0500,2104216,0.0000,1.0000
2019-03-28,79.2000,79.7200,75.2400,75.7100,75.7100,960195,0.0000,1.0000
2019-03-27,80.5900,80.8900,77.3600,79.8800,79.8800,249905,0.0000,1.0000
2019-03-26,79.0000,81.3400,77.7000,81.0400,81.0400,354521,0.0000,1.0000
2019-03-25,78.5800,80.2000,76.0950,78.2900,78.2900,474592,0.0000,1.0000
