timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,112.5100,113.1200,109.8700,110.0800,110.0800,492195,0.0000,1.0000
2019-06-27,109.8100,112.0000,109.2700,111.6200,111.6200,165929,0.0000,1.0000
2019-06-26,108.2700,110.3400,106.6550,109.2600,109.2600,224268,0.0000,1.0000
2019-06-25,106.9600,108.6900,105.6700,106.4900,106.4900,285525,0.0000,1.0000
2019-06-24,109.4600,109.4600,107.1300,107.2100,107.2100,207232,0.4200,1.0000
2019-06-21,110.6600,112.6400,108.6900,109.3400,108.9133,433743,0.0000,1.0000
2019-06-20,109.3700,111.5900,108.1400,111.1700,110.7362,218385,0.0000,1.0000
2019-06-19,108.0300,108.0300,105.7800,106.7500,106.3334,187936,0.0000,1.0000
2019-06-18,104.7100,108.0700,103.3200,107.0100,106.5924,259335,0.0000,1.0000
2019-06-17,105.2000,106.2500,103.5300,103.6200,103.2156,199534,0.0000,1.0000
2019-06-14,106.6100,107.1900,105.3100,105.4400,105.0285,131628,0.0000,1.0000
2019-06-13,107.1100,108.6300,107.1100,108.0000,107.5786,142448,0.0000,1.0000
2019-06-12,107.8000,108.6000,105.4950,106.5400,106.1243,150277,0.0000,1.0000
2019-06-11,110.0900,110.3100,108.3550,108.8900,108.4651,157620,0.0000,1.0000
2019-06-10,105.9000,109.2400,105.2500,108.4900,108.0666,174590,0.0000,1.0000
2019-06-07,104.8700,106.3500,103.7450,105.2000,104.7895,209768,0.0000,1.0000
2019-06-06,101.8200,104.4800,100.5600,104.3600,103.9528,321973,0.0000,1.0000
2019-06-05,103.5500,103.8100,100.7000,101.8900,101.4924,174785,0.0000,1.0000
2019-06-04,101.0700,103.0650,100.4600,102.8000,102.3988,286085,0.0000,1.0000
2019-06-03,97.7900,99.8500,97.3200,99.6300,99.2412,246075,0.0000,1.0000
2019-05-31,99.3200,99.7100,97.2300,97.4700,97.0896,215192,0.0000,1.0000
2019-05-30,99.4200,100.7033,99.4200,100.1400,99.7492,171250,0.0000,1.0000
2019-05-29,99.7400,100.4600,98.3200,99.0600,98.6734,236807,0.0000,1.0000
2019-05-28,101.5200,101.6500,99.9500,100.5000,100.1078,187759,0.0000,1.0000
2019-05-24,100.8500,101.4400,99.8000,101.0300,100.6358,299481,0.0000,1.0000
2019-05-23,101.2000,101.2000,99.1100,100.0200,99.6297,268107,0.0000,1.0000
2019-05-22,103.0800,104.1500,101.5400,102.5200,102.1199,255927,0.0000,1.0000
2019-05-21,104.4700,105.3100,103.9900,104.1400,103.7336,189435,0.0000,1.0000
2019-05-20,104.0200,104.6500,102.1942,103.1600,102.7574,309198,0.0000,1.0000
2019-05-17,107.6400,108.4700,105.6800,106.4300,106.0147,291364,0.0000,1.0000
2019-05-16,108.4000,110.1000,107.2600,108.6600,108.2360,350649,0.0000,1.0000
2019-05-15,107.1800,109.5500,106.7567,109.0100,108.5846,224111,0.0000,1.0000
2019-05-14,108.4300,108.9900,107.3500,108.2700,107.8475,299201,0.0000,1.0000
2019-05-13,110.1500,110.5400,106.9401,107.2600,106.8414,298585,0.0000,1.0000
2019-05-10,114.1800,114.4900,110.5200,113.0300,112.5889,351465,0.0000,1.0000
2019-05-09,112.5900,115.6740,107.0000,114.8200,114.3719,545253,0.0000,1.0000
2019-05-08,121.7800,122.7200,119.5500,120.4500,119.9800,338152,0.0000,1.0000
2019-05-07,122.9000,124.1924,120.9600,122.5600,122.0817,205016,0.0000,1.0000
2019-05-06,122.7000,124.6900,120.5100,124.5000,124.0142,148094,0.0000,1.0000
2019-05-03,123.9300,126.0900,123.4200,125.9500,125.4585,188289,0.0000,1.0000
2019-05-02,123.9000,125.6500,121.9850,123.0000,122.5200,183520,0.0000,1.0000
2019-05-01,126.9000,127.5200,124.0800,124.2300,123.7452,388493,0.0000,1.0000
2019-04-30,124.0000,126.6400,124.0000,126.2500,125.7573,262807,0.0000,1.0000
2019-04-29,122.9500,124.7800,122.4195,124.0800,123.5958,159071,0.0000,1.0000
2019-04-26,121.8500,123.1300,119.0500,122.9800,122.5001,419853,0.0000,1.0000
2019-04-25,127.0000,127.3000,121.2000,122.6000,122.1216,419793,0.0000,1.0000
2019-04-24,127.2600,129.9400,127.1800,127.1800,126.6837,161483,0.0000,1.0000
2019-04-23,125.5300,127.4500,125.2300,127.1300,126.6339,165113,0.0000,1.0000
2019-04-22,126.6500,127.5000,124.8800,125.4400,124.9505,156744,0.0000,1.0000
2019-04-18,125.5400,128.3700,125.4200,126.7400,126.2454,258001,0.0000,1.0000
2019-04-17,126.1700,126.3800,123.9700,125.8800,125.3888,218095,0.0000,1.0000
2019-04-16,122.9200,125.0300,122.5400,124.8400,124.3528,182129,0.0000,1.0000
2019-04-15,123.1800,123.6350,121.1600,122.0000,121.5239,111839,0.0000,1.0000
2019-04-12,121.6300,123.6800,121.6250,123.0000,122.5200,351920,0.0000,1.0000
2019-04-11,122.9200,123.1100,120.4000,120.8600,120.3884,213777,0.0000,1.0000
2019-04-10,121.0800,122.7900,120.3500,122.6300,122.1515,259824,0.0000,1.0000
2019-04-09,122.3200,122.7200,120.6100,120.8300,120.3585,178749,0.0000,1.0000
2019-04-08,121.2500,122.7200,120.5900,122.2700,121.7929,194325,0.0000,1.0000
2019-04-05,119.9000,121.4100,118.7010,121.2600,120.7868,113285,0.0000,1.0000
2019-04-04,119.6800,120.4900,118.7400,119.1500,118.6850,210074,0.0000,1.0000
2019-04-03,116.3100,120.0800,116.1000,119.3800,118.9141,292690,0.0000,1.0000
2019-04-02,115.2700,115.5100,114.3700,114.4200,113.9735,194745,0.0000,1.0000
2019-04-01,112.9500,115.9150,112.9500,115.2600,114.8102,232306,0.0000,1.0000
2019-03-29,109.4900,112.7100,109.4400,111.9600,111.5231,335080,0.0000,1.0000
2019-03-28,107.7400,108.8700,107.1400,108.5400,108.1164,256246,0.0000,1.0000
2019-03-27,108.6400,109.0000,106.3800,107.4400,107.0207,214599,0.0000,1.0000
2019-03-26,110.3000,111.6200,108.1400,108.6400,108.2161,290596,0.0000,1.0000
2019-03-25,110.0100,111.9200,109.4050,109.6800,109.2520,263044,0.0000,1.0000
2019-03-22,114.6900,114.9150,110.5800,110.6500,110.2182,227218,0.0000,1.0000
2019-03-21,111.3200,116.1600,111.3200,115.3000,114.8501,292760,0.0000,1.0000
2019-03-20,112.0400,112.7700,110.1900,111.6400,111.2044,318778,0.4200,1.0000
2019-03-19,113.0500,113.7100,111.6200,112.1500,111.2937,421116,0.0000,1.0000
2019-03-18,111.7000,113.0100,110.3900,112.4500,111.5914,300925,0.0000,1.0000
2019-03-15,110.4000,112.7600,109.4200,111.4900,110.6387,536784,0.0000,1.0000
2019-03-14,110.9600,111.4100,109.9500,110.0200,109.1799,329908,0.0000,1.0000
2019-03-13,112.1900,112.4600,110.7900,110.9500,110.1028,361381,0.0000,1.0000
2019-03-12,111.0600,112.1500,110.2300,111.9600,111.1051,222511,0.0000,1.0000
2019-03-11,109.7600,111.0781,109.6000,110.8700,110.0234,202499,0.0000,1.0000
2019-03-08,108.6100,110.2600,108.0100,109.1400,108.3066,202307,0.0000,1.0000
2019-03-07,110.0200,110.4400,107.9400,109.9600,109.1204,195109,0.0000,1.0000
2019-03-06,113.0100,113.0100,110.0900,110.0900,109.2494,241443,0.0000,1.0000
2019-03-05,111.5000,112.8000,111.4100,112.4400,111.5815,192894,0.0000,1.0000
2019-03-04,114.0000,114.7400,112.4000,112.6800,111.8196,320266,0.0000,1.0000
2019-03-01,114.3300,115.1400,112.4600,113.6600,112.7921,276389,0.0000,1.0000
2019-02-28,114.0400,115.0000,113.0600,113.1000,112.2364,321146,0.0000,1.0000
2019-02-27,113.1600,115.6100,113.1600,114.9500,114.0723,540759,0.0000,1.0000
2019-02-26,111.4900,114.4800,111.1900,113.1600,112.2960,490771,0.0000,1.0000
2019-02-25,107.8600,111.9600,107.5900,111.4900,110.6387,465906,0.0000,1.0000
2019-02-22,105.4500,106.7500,104.7500,106.4200,105.6074,309055,0.0000,1.0000
2019-02-21,104.4400,105.4600,103.5950,104.6800,103.8807,403915,0.0000,1.0000
2019-02-20,100.2800,105.7100,99.7600,104.6700,103.8708,657985,0.0000,1.0000
2019-02-19,100.0200,101.0900,99.2000,100.0600,99.2960,413082,0.0000,1.0000
2019-02-15,98.4700,100.0500,97.6700,99.9100,99.1471,325955,0.0000,1.0000
2019-02-14,98.4500,99.6300,97.2100,98.0200,97.2716,316013,0.0000,1.0000
2019-02-13,99.7100,100.7400,97.1700,98.7800,98.0258,370825,0.0000,1.0000
2019-02-12,98.1800,99.9300,97.1400,99.5300,98.7700,329024,0.0000,1.0000
2019-02-11,98.0300,98.0300,96.2800,97.2100,96.4677,355197,0.0000,1.0000
2019-02-08,99.0900,100.0600,95.1500,97.7100,96.9639,575341,0.0000,1.0000
2019-02-07,104.0000,104.0000,99.0800,100.7300,99.9609,482619,0.0000,1.0000
2019-02-06,102.8400,103.9700,102.5750,103.3100,102.5212,193808,0.0000,1.0000
2019-02-05,103.0500,103.7200,101.9000,102.4400,101.6578,150875,0.0000,1.0000
2019-02-04,102.8800,103.8000,101.7900,102.9700,102.1838,134756,0.0000,1.0000
2019-02-01,101.9200,103.6600,101.4600,102.7700,101.9853,137080,0.0000,1.0000
2019-01-31,101.9300,102.1700,100.6800,101.8900,101.1120,192791,0.0000,1.0000
2019-01-30,101.3400,102.4400,99.7900,101.9200,101.1418,172332,0.0000,1.0000
2019-01-29,99.5000,101.1650,98.5375,100.6800,99.9112,170879,0.0000,1.0000
2019-01-28,97.4300,100.2600,97.4300,99.2300,98.4723,134003,0.0000,1.0000
2019-01-25,98.5400,100.3400,98.1200,99.5600,98.7998,147333,0.0000,1.0000
2019-01-24,94.9900,99.2900,94.8850,97.6600,96.9143,169067,0.0000,1.0000
2019-01-23,95.6500,96.5200,93.6600,94.3800,93.6593,193072,0.0000,1.0000
2019-01-22,96.2900,96.2900,94.3100,94.8700,94.1456,204325,0.0000,1.0000
2019-01-18,96.4200,98.1400,95.8000,97.2900,96.5471,203115,0.0000,1.0000
2019-01-17,93.2700,96.0100,93.0000,95.9200,95.1876,360586,0.0000,1.0000
2019-01-16,95.6100,96.4300,92.9200,93.9800,93.2624,262731,0.0000,1.0000
2019-01-15,95.1700,95.9400,94.2300,95.6300,94.8998,189532,0.0000,1.0000
2019-01-14,94.6900,95.8200,93.6700,95.0900,94.3639,249011,0.0000,1.0000
2019-01-11,93.6100,96.5300,92.9600,95.6700,94.9395,346331,0.0000,1.0000
2019-01-10,92.4100,94.3500,91.6200,94.1900,93.4708,199481,0.0000,1.0000
2019-01-09,91.9100,93.8600,91.8700,93.0700,92.3594,348031,0.0000,1.0000
2019-01-08,93.6600,93.7900,90.7700,91.4600,90.7616,226243,0.0000,1.0000
2019-01-07,90.8900,93.7600,90.1400,93.1600,92.4487,258653,0.0000,1.0000
2019-01-04,89.8400,91.8800,89.5000,91.3100,90.6128,316102,0.0000,1.0000
2019-01-03,94.0900,95.1250,88.0500,88.1600,87.4868,227150,0.0000,1.0000
2019-01-02,93.0900,96.2500,92.3400,95.2900,94.5624,188943,0.0000,1.0000
2018-12-31,95.0000,95.8350,93.2100,95.3500,94.6219,197381,0.0000,1.0000
2018-12-28,93.2900,95.8300,91.2600,94.0400,93.3219,355840,0.0000,1.0000
2018-12-27,87.6600,92.5300,86.2350,92.5100,91.8036,267013,0.0000,1.0000
2018-12-26,85.0300,89.2000,84.1900,89.0700,88.3899,169239,0.0000,1.0000
2018-12-24,84.7400,87.0400,82.2400,84.2200,83.5769,102713,0.0000,1.0000
2018-12-21,88.3400,88.9000,85.3500,85.6000,84.9464,385906,0.0000,1.0000
2018-12-20,89.0100,90.0100,86.7000,87.8200,87.1494,208879,0.4000,1.0000
2018-12-19,93.7200,95.6269,88.3600,89.0200,87.9397,323202,0.0000,1.0000
2018-12-18,93.5500,96.5200,92.4200,93.8700,92.7309,249297,0.0000,1.0000
2018-12-17,94.3200,94.8800,92.1500,92.8400,91.7134,338041,0.0000,1.0000
2018-12-14,94.6300,96.4600,93.7250,94.3200,93.1754,156629,0.0000,1.0000
2018-12-13,95.0000,96.2900,93.4775,95.9400,94.7758,224196,0.0000,1.0000
2018-12-12,95.3400,96.7400,94.1384,94.8300,93.6792,238789,0.0000,1.0000
2018-12-11,98.4600,98.7500,93.1050,93.7700,92.6321,259798,0.0000,1.0000
2018-12-10,96.6800,99.9848,94.9700,96.5900,95.4179,263025,0.0000,1.0000
2018-12-07,101.7300,102.1700,96.5100,96.6600,95.4870,186123,0.0000,1.0000
2018-12-06,101.8000,102.4400,99.4450,101.7300,100.4955,257469,0.0000,1.0000
2018-12-04,108.4200,108.9500,103.8000,103.8700,102.6095,135931,0.0000,1.0000
2018-12-03,110.0400,111.3000,107.3200,109.2100,107.8847,187291,0.0000,1.0000
2018-11-30,106.0200,107.5800,104.4650,107.4800,106.1757,256876,0.0000,1.0000
2018-11-29,106.6300,106.6300,104.8050,105.7100,104.4272,170501,0.0000,1.0000
2018-11-28,101.8900,106.6800,100.8000,106.6200,105.3262,225900,0.0000,1.0000
2018-11-27,102.0600,102.6400,100.6900,101.0800,99.8534,101112,0.0000,1.0000
2018-11-26,101.8700,103.0900,100.2550,102.9300,101.6809,206783,0.0000,1.0000
2018-11-23,98.7900,101.7900,98.0100,100.0700,98.8556,73407,0.0000,1.0000
2018-11-21,99.8100,101.1500,98.9100,99.7400,98.5296,169627,0.0000,1.0000
2018-11-20,96.1800,100.4500,94.8561,98.4000,97.2059,241262,0.0000,1.0000
2018-11-19,102.1800,102.1800,97.6250,98.1700,96.9787,327510,0.0000,1.0000
2018-11-16,100.0400,102.2000,97.4400,102.1800,100.9400,298627,0.0000,1.0000
2018-11-15,101.0300,102.4200,99.9800,102.2700,101.0289,274813,0.0000,1.0000
2018-11-14,103.1800,103.9900,100.1800,101.6500,100.4165,806335,0.0000,1.0000
2018-11-13,101.2900,103.1400,100.9400,102.1300,100.8906,237409,0.0000,1.0000
2018-11-12,102.2600,102.5800,100.4700,101.0800,99.8534,202989,0.0000,1.0000
2018-11-09,102.7900,103.4100,100.8400,103.1700,101.9180,226640,0.0000,1.0000
2018-11-08,104.0600,104.4800,102.5900,103.2900,102.0366,158218,0.0000,1.0000
2018-11-07,101.9700,104.5900,101.2000,104.5900,103.3208,164698,0.0000,1.0000
2018-11-06,101.4800,102.6311,100.6300,101.5000,100.2683,146662,0.0000,1.0000
2018-11-05,103.5300,104.9500,100.3500,101.6300,100.3967,166716,0.0000,1.0000
2018-11-02,102.5200,103.8900,101.9600,103.1400,101.8884,159903,0.0000,1.0000
2018-11-01,98.4600,103.7100,98.4600,102.5500,101.3055,227993,0.0000,1.0000
2018-10-31,98.5500,98.7400,96.8500,97.6200,96.4354,198997,0.0000,1.0000
2018-10-30,95.9400,98.1600,95.4851,97.0100,95.8328,157722,0.0000,1.0000
2018-10-29,98.7500,98.7800,94.8600,95.9100,94.7461,174096,0.0000,1.0000
2018-10-26,96.5500,97.7600,94.3000,96.7000,95.5265,198168,0.0000,1.0000
2018-10-25,90.9000,99.6914,90.9000,98.6700,97.4726,511654,0.0000,1.0000
2018-10-24,92.7500,93.4100,89.1900,89.3900,88.3052,310077,0.0000,1.0000
2018-10-23,92.4700,95.6300,89.8400,94.6600,93.5113,228268,0.0000,1.0000
2018-10-22,94.8900,95.5400,93.9800,94.4600,93.3137,134756,0.0000,1.0000
2018-10-19,96.0500,97.0000,93.9950,94.5000,93.3532,166596,0.0000,1.0000
2018-10-18,98.0000,98.0600,95.5800,96.1700,95.0030,193799,0.0000,1.0000
2018-10-17,98.8100,102.4100,97.9300,98.6100,97.4134,132799,0.0000,1.0000
2018-10-16,95.5500,98.7800,95.0150,98.4800,97.2849,157600,0.0000,1.0000
2018-10-15,94.2500,95.8400,94.0400,94.7600,93.6101,117353,0.0000,1.0000
2018-10-12,96.0600,97.6900,94.0600,94.4400,93.2940,222587,0.0000,1.0000
2018-10-11,94.2200,96.9800,94.2200,94.2600,93.1161,260609,0.0000,1.0000
2018-10-10,97.1000,97.4500,93.9400,94.2300,93.0865,288169,0.0000,1.0000
2018-10-09,98.6000,99.8300,97.1500,97.7500,96.5638,197091,0.0000,1.0000
2018-10-08,99.8000,100.1900,98.3500,98.9900,97.7887,160438,0.0000,1.0000
2018-10-05,101.7800,102.3600,98.7550,100.0700,98.8556,242221,0.4000,1.0000
2018-10-04,102.2700,103.1100,101.4300,102.0700,100.4299,250195,0.0000,1.0000
2018-10-03,102.6700,103.4400,101.1700,102.8200,101.1679,132612,0.0000,1.0000
2018-10-02,103.0400,104.0700,102.1854,102.5600,100.9121,183340,0.0000,1.0000
2018-10-01,103.4300,104.0000,102.8300,103.3800,101.7189,120487,0.0000,1.0000
2018-09-28,101.5900,103.5500,101.1650,103.1700,101.5123,232187,0.0000,1.0000
2018-09-27,102.7100,103.3000,101.3300,101.6600,100.0265,170260,0.0000,1.0000
2018-09-26,104.1300,105.2500,102.1100,102.2700,100.6267,160094,0.0000,1.0000
2018-09-25,104.8900,105.0000,102.9200,104.3200,102.6438,192773,0.0000,1.0000
2018-09-24,104.1600,105.0650,103.3000,104.9900,103.3030,240602,0.0000,1.0000
2018-09-21,105.6900,106.3500,104.1000,104.2600,102.5847,321227,0.0000,1.0000
2018-09-20,106.2900,106.4300,105.2700,105.9800,104.2771,149850,0.0000,1.0000
2018-09-19,105.3400,106.3800,103.7838,105.2100,103.5195,238576,0.0000,1.0000
2018-09-18,106.1200,107.8100,105.1600,105.4400,103.7458,204482,0.0000,1.0000
2018-09-17,107.0900,107.6900,105.4850,105.7000,104.0016,132548,0.0000,1.0000
2018-09-14,108.4700,108.4700,105.7900,107.7100,105.9793,255685,0.0000,1.0000
2018-09-13,106.5000,108.5900,105.8000,107.7600,106.0285,155167,0.0000,1.0000
2018-09-12,106.8900,106.8900,104.4800,105.3800,103.6867,321326,0.0000,1.0000
2018-09-11,107.8900,108.8200,106.5800,107.5500,105.8219,233132,0.0000,1.0000
2018-09-10,108.1000,108.7500,106.8500,108.1600,106.4221,117001,0.0000,1.0000
2018-09-07,107.9500,109.2600,107.1300,107.7000,105.9695,203511,0.0000,1.0000
2018-09-06,111.4900,111.9300,106.8250,108.5000,106.7566,347099,0.0000,1.0000
2018-09-05,111.1100,112.0700,110.0900,111.5300,109.7379,157603,0.0000,1.0000
2018-09-04,112.3100,112.3100,110.0650,111.4400,109.6494,196435,0.0000,1.0000
2018-08-31,111.7300,112.9800,109.8124,112.7300,110.9186,181398,0.0000,1.0000
2018-08-30,112.8400,113.1900,110.7300,112.1000,110.2988,126917,0.0000,1.0000
2018-08-29,113.1000,114.7000,113.0400,113.2200,111.4008,249822,0.0000,1.0000
2018-08-28,115.5600,117.0300,113.0600,113.2600,111.4401,196682,0.0000,1.0000
