timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,110.9100,111.4200,110.0400,111.0000,111.0000,2185679,0.0000,1.0000
2019-06-27,108.7100,110.5400,108.3500,110.4000,110.4000,631266,0.0000,1.0000
2019-06-26,108.0400,108.9500,107.9800,108.6100,108.6100,579425,0.0000,1.0000
2019-06-25,107.6400,108.9700,107.2500,107.4650,107.4650,743001,0.0000,1.0000
2019-06-24,108.6900,109.0400,107.3100,107.5400,107.5400,894032,0.0000,1.0000
2019-06-21,107.7900,109.8700,106.7550,108.5900,108.5900,1799898,0.0000,1.0000
2019-06-20,106.4800,109.3200,106.1000,108.1100,108.1100,1037768,0.0000,1.0000
2019-06-19,104.2700,105.3600,104.0100,105.0200,105.0200,817710,0.0000,1.0000
2019-06-18,105.5200,106.1850,104.0000,104.1300,104.1300,630187,0.0000,1.0000
2019-06-17,104.2200,104.9500,103.4000,104.2100,104.2100,649572,0.0000,1.0000
2019-06-14,105.9400,106.4000,104.1800,104.2400,104.2400,426375,0.0000,1.0000
2019-06-13,106.0200,106.3100,105.4200,106.1100,106.1100,646469,0.0000,1.0000
2019-06-12,105.4500,106.3300,104.8300,105.3700,105.3700,417747,0.0000,1.0000
2019-06-11,107.4100,107.9700,105.6900,105.8500,105.8500,506638,0.0000,1.0000
2019-06-10,105.9000,107.5600,105.6900,106.3800,106.3800,565058,0.0000,1.0000
2019-06-07,104.8800,106.1000,104.5600,104.8600,104.8600,448346,0.0000,1.0000
2019-06-06,104.0600,104.7037,103.1600,104.2200,104.2200,528580,0.0000,1.0000
2019-06-05,103.4600,103.7486,101.5100,103.1800,103.1800,350494,0.0000,1.0000
2019-06-04,100.1400,102.5600,100.0000,102.4800,102.4800,818228,0.0000,1.0000
2019-06-03,98.4400,99.7000,98.3400,99.3600,99.3600,1135891,0.0000,1.0000
2019-05-31,101.5200,101.7161,97.9300,98.4400,98.4400,1066312,0.0000,1.0000
2019-05-30,103.2500,104.3000,102.0800,102.5100,102.5100,536446,0.0000,1.0000
2019-05-29,102.6200,103.5200,101.7800,102.9700,102.9700,665634,0.0000,1.0000
2019-05-28,103.6400,104.5500,102.7500,102.9800,102.9800,992091,0.0000,1.0000
