timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,146.7000,150.3100,145.8300,149.8400,149.8400,1300453,0.0000,1.0000
2019-06-27,142.4700,147.0800,142.2600,145.8300,145.8300,830268,0.0000,1.0000
2019-06-26,144.2700,145.0000,139.2300,141.5300,141.5300,996698,0.0000,1.0000
2019-06-25,148.0300,148.1100,143.3300,143.5200,143.5200,1082706,0.0000,1.0000
2019-06-24,150.8300,151.9600,147.0000,147.6600,147.6600,1011389,0.0000,1.0000
2019-06-21,154.1000,155.1500,150.3300,150.8000,150.8000,1185403,0.0000,1.0000
2019-06-20,154.9600,157.5000,154.1638,155.6600,155.6600,925366,0.0000,1.0000
2019-06-19,152.8500,154.1000,150.7401,153.7800,153.7800,812952,0.0000,1.0000
2019-06-18,152.1900,153.3900,150.9400,152.5400,152.5400,1273559,0.0000,1.0000
2019-06-17,148.5900,151.3700,148.0000,150.3400,150.3400,1195933,0.0000,1.0000
2019-06-14,146.3200,148.4800,145.1300,148.0400,148.0400,1282164,0.0000,1.0000
2019-06-13,145.0000,147.5000,144.4600,146.3200,146.3200,2043632,0.0000,1.0000
2019-06-12,139.2100,145.3100,139.2100,145.2700,145.2700,2217631,0.0000,1.0000
2019-06-11,136.5700,140.0000,136.5700,138.5300,138.5300,1322447,0.0000,1.0000
2019-06-10,127.0300,141.2800,126.5000,138.4400,138.4400,4297795,0.0000,1.0000
2019-06-07,121.2500,126.6500,120.4350,125.9800,125.9800,1655194,0.0000,1.0000
2019-06-06,123.0300,123.2500,118.4200,120.6950,120.6950,1779402,0.0000,1.0000
2019-06-05,125.0000,126.7307,123.0200,123.4600,123.4600,1113801,0.0000,1.0000
2019-06-04,121.5100,124.8700,120.9100,124.7500,124.7500,956102,0.0000,1.0000
2019-06-03,121.0800,123.3400,119.8800,120.9600,120.9600,1185735,0.0000,1.0000
2019-05-31,118.9900,122.3199,117.0700,121.3000,121.3000,793348,0.0000,1.0000
2019-05-30,118.6100,121.0900,116.8300,119.9000,119.9000,809266,0.0000,1.0000
2019-05-29,119.3100,119.6976,115.9000,118.6000,118.6000,1171497,0.0000,1.0000
2019-05-28,119.0000,122.8450,119.0000,120.7100,120.7100,1454035,0.0000,1.0000
2019-05-24,115.1600,118.9900,114.3900,118.9700,118.9700,698656,0.0000,1.0000
2019-05-23,117.7000,117.8000,113.6300,114.4600,114.4600,626231,0.0000,1.0000
2019-05-22,117.8700,118.9100,117.3700,118.7500,118.7500,977813,0.0000,1.0000
2019-05-21,119.3100,120.8400,118.5700,118.5900,118.5900,710921,0.0000,1.0000
2019-05-20,117.0100,119.7800,115.4150,118.4700,118.4700,688652,0.0000,1.0000
2019-05-17,118.6500,119.3700,116.6500,118.0400,118.0400,657906,0.0000,1.0000
2019-05-16,120.9700,123.3600,119.2100,119.4100,119.4100,879817,0.0000,1.0000
2019-05-15,118.9100,123.3800,118.3943,121.4900,121.4900,1059432,0.0000,1.0000
2019-05-14,116.5500,121.2000,116.5500,120.2500,120.2500,1328800,0.0000,1.0000
2019-05-13,116.1600,117.3250,114.7400,116.2500,116.2500,996442,0.0000,1.0000
2019-05-10,116.9200,119.2200,114.4400,118.7900,118.7900,1034903,0.0000,1.0000
2019-05-09,116.7900,118.3150,115.5000,117.2100,117.2100,846921,0.0000,1.0000
2019-05-08,118.9600,120.8000,117.1000,118.2300,118.2300,703051,0.0000,1.0000
2019-05-07,121.1100,122.1700,117.6500,119.6100,119.6100,1062742,0.0000,1.0000
2019-05-06,118.6500,123.5700,118.6500,122.2100,122.2100,1310386,0.0000,1.0000
2019-05-03,121.4500,125.7550,119.6450,122.9500,122.9500,1514092,0.0000,1.0000
2019-05-02,118.4700,123.6995,118.0000,120.3700,120.3700,2460595,0.0000,1.0000
2019-05-01,122.5200,124.7900,117.2300,118.6200,118.6200,1776282,0.0000,1.0000
2019-04-30,124.1600,125.7400,120.9600,121.0700,121.0700,1169885,0.0000,1.0000
