timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,9.5700,9.6000,9.4700,9.5000,9.5000,3371488,0.0000,1.0000
2019-06-27,9.6100,9.6400,9.5900,9.5900,9.5900,2532991,0.0000,1.0000
2019-06-26,9.7000,9.7500,9.5800,9.5800,9.5800,5868587,0.0000,1.0000
2019-06-25,9.8900,9.8900,9.7000,9.7200,9.7200,6286596,0.0000,1.0000
2019-06-24,9.9500,9.9600,9.8500,9.8800,9.8800,2275496,0.0000,1.0000
2019-06-21,10.0200,10.0300,9.9300,9.9700,9.9700,4062376,0.0000,1.0000
2019-06-20,9.9800,10.0600,9.9139,10.0400,10.0400,7185238,0.0000,1.0000
2019-06-19,9.7400,9.8100,9.6837,9.8000,9.8000,4901974,0.0000,1.0000
2019-06-18,9.6400,9.6850,9.6000,9.6400,9.6400,6579057,0.0000,1.0000
2019-06-17,9.5500,9.6365,9.5300,9.5500,9.5500,4507653,0.0000,1.0000
2019-06-14,9.4700,9.4800,9.3900,9.4600,9.4600,4574423,0.0000,1.0000
2019-06-13,9.7200,9.7250,9.5900,9.6000,9.6000,4404671,0.0000,1.0000
2019-06-12,9.7000,9.7800,9.6900,9.7400,9.7400,5525044,0.0000,1.0000
2019-06-11,9.8100,9.8100,9.6950,9.7100,9.7100,6492480,0.0000,1.0000
2019-06-10,9.8900,9.9100,9.6500,9.6800,9.6800,6863454,0.0000,1.0000
2019-06-07,9.9200,10.0300,9.9144,9.9800,9.9800,4348936,0.0000,1.0000
2019-06-06,9.7800,9.8400,9.7500,9.7900,9.7900,2781837,0.0000,1.0000
2019-06-05,9.7800,9.7900,9.6900,9.7500,9.7500,2688425,0.0000,1.0000
2019-06-04,9.7000,9.7400,9.6500,9.7000,9.7000,7910901,0.0000,1.0000
2019-06-03,9.5900,9.6500,9.5000,9.5400,9.5400,5333453,0.0000,1.0000
2019-05-31,9.6000,9.6800,9.5700,9.6700,9.6700,5257591,0.0000,1.0000
2019-05-30,9.8000,9.8100,9.6400,9.6800,9.6800,9510295,0.0000,1.0000
2019-05-29,9.6100,9.7450,9.5450,9.7300,9.7300,16145570,0.0000,1.0000
2019-05-28,9.9400,9.9650,9.8500,9.8500,9.8500,8612285,0.0000,1.0000
2019-05-24,10.0300,10.0700,9.9250,10.0300,10.0300,7274271,0.0000,1.0000
2019-05-23,9.7400,9.7700,9.6650,9.7200,9.7200,9472257,0.0000,1.0000
2019-05-22,9.9000,10.1000,9.8900,10.0500,10.0500,24373935,0.0000,1.0000
2019-05-21,9.7300,9.7400,9.6350,9.7000,9.7000,8267362,0.0000,1.0000
2019-05-20,9.4900,9.6400,9.4300,9.5700,9.5700,12529958,0.0000,1.0000
2019-05-17,9.2500,9.4200,9.2500,9.3700,9.3700,11402109,0.0000,1.0000
2019-05-16,9.2800,9.4500,9.2750,9.3300,9.3300,11946484,0.0000,1.0000
2019-05-15,9.1000,9.2250,9.0900,9.2000,9.2000,3441841,0.0000,1.0000
2019-05-14,9.1000,9.1600,9.0900,9.1200,9.1200,4214334,0.0000,1.0000
2019-05-13,9.0700,9.1100,9.0000,9.0500,9.0500,5315151,0.0000,1.0000
2019-05-10,9.1800,9.3200,9.1200,9.3100,9.3100,6005710,0.0000,1.0000
2019-05-09,9.1800,9.2400,9.0800,9.2000,9.2000,5476333,0.0000,1.0000
2019-05-08,9.3000,9.3600,9.2700,9.3000,9.3000,3367705,0.0000,1.0000
2019-05-07,9.3800,9.4200,9.2200,9.2700,9.2700,5903736,0.0000,1.0000
2019-05-06,9.4100,9.6200,9.3800,9.6000,9.6000,4537514,0.0000,1.0000
2019-05-03,9.6500,9.6850,9.6050,9.6400,9.6400,5286282,0.0000,1.0000
2019-05-02,9.6400,9.7090,9.5900,9.6400,9.6400,8065092,0.0000,1.0000
2019-05-01,9.9700,9.9900,9.7800,9.8000,9.8000,6114251,0.0000,1.0000
2019-04-30,10.0100,10.0100,9.8900,9.9000,9.9000,3736359,0.0000,1.0000
2019-04-29,9.9700,10.0300,9.9300,10.0100,10.0100,2395920,0.0000,1.0000
2019-04-26,9.9800,10.0800,9.9400,10.0400,10.0400,5513707,0.0000,1.0000
2019-04-25,9.9000,9.9350,9.8100,9.9100,9.9100,5314651,0.0000,1.0000
2019-04-24,10.1200,10.1600,10.0900,10.1400,10.1400,5261284,0.0000,1.0000
2019-04-23,10.0200,10.1300,10.0000,10.1000,10.1000,5112519,0.0000,1.0000
2019-04-22,10.1700,10.1900,10.0600,10.1300,10.1300,4906433,0.0000,1.0000
2019-04-18,10.2200,10.2900,10.0600,10.1100,10.1100,7918560,0.0000,1.0000
2019-04-17,10.0200,10.4600,9.9700,10.3900,10.3900,27218488,0.0000,1.0000
2019-04-16,9.5500,9.7000,9.5400,9.6800,9.6800,12541323,0.0000,1.0000
2019-04-15,9.7500,9.7700,9.6400,9.6600,9.6600,7653154,0.0000,1.0000
2019-04-12,9.8500,9.8700,9.8050,9.8600,9.8600,4121769,0.0000,1.0000
2019-04-11,9.8300,9.8500,9.7400,9.7500,9.7500,9354544,0.0000,1.0000
2019-04-10,9.6600,9.7400,9.6500,9.7200,9.7200,3381415,0.0000,1.0000
2019-04-09,9.7100,9.7400,9.6150,9.6200,9.6200,3702793,0.0000,1.0000
2019-04-08,9.6600,9.7178,9.6100,9.6800,9.6800,4025736,0.0000,1.0000
2019-04-05,9.5500,9.5700,9.5000,9.5200,9.5200,2277411,0.0000,1.0000
2019-04-04,9.6000,9.6100,9.4500,9.5000,9.5000,4267944,0.0000,1.0000
2019-04-03,9.6200,9.6600,9.5500,9.5900,9.5900,6438666,0.0000,1.0000
2019-04-02,9.4900,9.5000,9.4000,9.4700,9.4700,6174691,0.0000,1.0000
