timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,250.2800,254.9100,249.1300,254.2800,254.2800,233123,0.0000,1.0000
2019-06-27,249.7700,250.6599,241.8419,249.8900,249.8900,171682,0.0000,1.0000
2019-06-26,256.0300,257.7500,249.7000,250.0000,250.0000,183050,0.0000,1.0000
2019-06-25,255.0000,257.4650,252.3800,256.6300,256.6300,181019,0.0000,1.0000
2019-06-24,253.4400,255.9800,250.7000,253.5300,253.5300,225437,0.0000,1.0000
2019-06-21,254.0500,256.5000,252.1100,252.7100,252.7100,243268,0.0000,1.0000
2019-06-20,254.8800,255.1700,250.5900,254.4600,254.4600,185593,0.0000,1.0000
2019-06-19,248.3000,253.3200,248.1150,252.7700,252.7700,182046,0.0000,1.0000
2019-06-18,247.4100,248.9300,246.1450,248.4400,248.4400,129618,0.0000,1.0000
2019-06-17,247.3100,248.5550,245.8400,246.1900,246.1900,129055,0.0000,1.0000
2019-06-14,245.0000,248.6900,243.1300,247.2300,247.2300,134018,0.0000,1.0000
2019-06-13,248.8800,249.2400,241.5600,244.6700,244.6700,219256,0.0000,1.0000
2019-06-12,240.0300,249.0600,239.9400,248.7600,248.7600,376871,0.0000,1.0000
2019-06-11,239.0000,242.5950,237.2700,240.0900,240.0900,215187,0.0000,1.0000
2019-06-10,235.2200,239.7600,233.5450,238.2900,238.2900,222532,0.0000,1.0000
2019-06-07,230.1500,234.1000,227.5600,233.3200,233.3200,150326,0.0000,1.0000
2019-06-06,227.9300,230.0000,225.2100,229.7300,229.7300,206066,0.0000,1.0000
2019-06-05,220.7600,227.6200,220.7600,227.3200,227.3200,233046,0.0000,1.0000
2019-06-04,216.2700,219.9450,216.2700,219.3900,219.3900,250787,0.0000,1.0000
2019-06-03,212.8400,215.4400,210.0100,214.9100,214.9100,289094,0.0000,1.0000
2019-05-31,206.9000,213.0200,204.4100,212.6700,212.6700,407143,0.0000,1.0000
2019-05-30,204.9600,209.0900,204.8500,207.7500,207.7500,409368,0.0000,1.0000
2019-05-29,200.3400,204.6900,199.1100,204.6400,204.6400,280903,0.0000,1.0000
2019-05-28,200.0000,204.7300,200.0000,202.3600,202.3600,2136865,0.0000,1.0000
2019-05-24,206.6400,206.7600,199.3100,201.0200,201.0200,270635,0.0000,1.0000
2019-05-23,205.0600,208.0000,204.0300,205.7300,205.7300,292591,0.0000,1.0000
2019-05-22,205.4600,207.5400,204.0000,206.4900,206.4900,278982,0.0000,1.0000
2019-05-21,205.5300,206.4200,203.1300,205.1700,205.1700,229460,0.0000,1.0000
2019-05-20,203.2100,206.2808,202.6900,205.2400,205.2400,160287,0.0000,1.0000
2019-05-17,201.2300,205.9000,199.0100,204.0000,204.0000,194656,0.0000,1.0000
2019-05-16,201.1800,206.3075,200.4400,202.2400,202.2400,233905,0.0000,1.0000
2019-05-15,195.7200,202.2500,193.8650,200.2400,200.2400,227447,0.0000,1.0000
2019-05-14,195.4700,198.8900,195.0200,196.3800,196.3800,166471,0.0000,1.0000
2019-05-13,196.4200,196.7500,193.6500,194.7400,194.7400,110734,0.0000,1.0000
2019-05-10,196.1400,199.2800,194.6600,198.5000,198.5000,92017,0.0000,1.0000
2019-05-09,197.0000,197.4400,194.7600,196.7600,196.7600,121713,0.0000,1.0000
2019-05-08,196.1700,200.6100,195.5300,198.0800,198.0800,86609,0.0000,1.0000
2019-05-07,198.5000,199.4600,196.4300,196.6700,196.6700,82304,0.0000,1.0000
2019-05-06,196.0900,200.4799,195.3500,199.5500,199.5500,165219,0.0000,1.0000
2019-05-03,186.5800,209.3300,186.3300,197.4600,197.4600,163057,0.0000,1.0000
2019-05-02,187.8200,190.9500,186.5600,187.9200,187.9200,177085,0.0000,1.0000
2019-05-01,189.6300,189.6300,186.5700,187.6500,187.6500,68132,0.0000,1.0000
2019-04-30,187.0400,189.7200,186.0800,189.3200,189.3200,70309,0.0000,1.0000
2019-04-29,184.5700,188.9700,184.3200,187.0300,187.0300,106704,0.0000,1.0000
2019-04-26,183.9600,185.8230,183.0700,184.3500,184.3500,98998,0.0000,1.0000
2019-04-25,179.9700,184.3200,179.1300,183.8600,183.8600,96869,0.0000,1.0000
2019-04-24,181.0300,182.4800,177.6600,179.7800,179.7800,123658,0.0000,1.0000
2019-04-23,176.3900,181.3800,176.3900,181.0200,181.0200,135975,0.0000,1.0000
