timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,53.5100,54.2751,53.2600,54.1000,54.1000,1048165,0.0000,1.0000
2019-06-27,53.2200,53.9700,52.7500,53.4000,53.4000,1023080,0.0000,1.0000
2019-06-26,53.6200,53.6200,52.5200,52.8800,52.8800,1000318,0.0000,1.0000
2019-06-25,53.5600,53.7000,53.2400,53.3900,53.3900,860049,0.0000,1.0000
2019-06-24,53.7900,54.0500,53.5600,53.6200,53.6200,779422,0.0000,1.0000
2019-06-21,53.9600,54.0200,53.2700,53.6400,53.6400,1187217,0.0000,1.0000
2019-06-20,53.4500,54.0800,53.0800,53.9600,53.9600,795435,0.0000,1.0000
2019-06-19,52.4300,53.0400,52.2400,53.0000,53.0000,635089,0.0000,1.0000
2019-06-18,51.3900,52.1500,51.3860,52.1400,52.1400,461176,0.0000,1.0000
2019-06-17,51.1600,51.3400,50.8200,51.0200,51.0200,415903,0.0000,1.0000
2019-06-14,51.8100,51.8100,51.0800,51.1200,51.1200,453254,0.0000,1.0000
2019-06-13,51.6800,52.2200,51.5315,51.9300,51.9300,468659,0.0000,1.0000
2019-06-12,51.7900,51.9900,51.0450,51.4500,51.4500,706212,0.0000,1.0000
2019-06-11,52.1700,52.2000,51.5650,51.8200,51.8200,751196,0.0000,1.0000
2019-06-10,51.1300,51.8800,51.0327,51.7400,51.7400,616916,0.0000,1.0000
2019-06-07,50.2500,50.7500,50.1000,50.7000,50.7000,610861,0.0000,1.0000
2019-06-06,50.0000,50.1600,49.3000,50.0900,50.0900,685617,0.0000,1.0000
2019-06-05,49.7700,49.9900,49.2200,49.9800,49.9800,383071,0.0000,1.0000
2019-06-04,48.7800,49.5700,48.4800,49.5200,49.5200,443376,0.0000,1.0000
2019-06-03,48.3200,48.8500,47.8500,48.1800,48.1800,657090,0.0000,1.0000
2019-05-31,48.2900,48.7400,48.0700,48.3300,48.3300,687280,0.0000,1.0000
2019-05-30,48.4500,49.0500,48.4500,48.8000,48.8000,373485,0.0000,1.0000
2019-05-29,48.7600,48.8300,48.1283,48.4200,48.4200,505727,0.0000,1.0000
2019-05-28,49.5000,49.8400,48.9200,48.9500,48.9500,733936,0.0000,1.0000
2019-05-24,49.4000,49.7800,49.0800,49.3500,49.3500,375367,0.0000,1.0000
2019-05-23,50.4200,50.4700,48.7200,49.1700,49.1700,683804,0.1700,1.0000
2019-05-22,50.4500,51.3600,49.8600,50.9900,50.8143,1033254,0.0000,1.0000
2019-05-21,49.3200,49.9600,49.2629,49.6700,49.4989,670650,0.0000,1.0000
2019-05-20,49.2300,49.4600,48.7800,48.9700,48.8013,797257,0.0000,1.0000
2019-05-17,49.6800,50.4700,49.4600,49.5400,49.3693,532559,0.0000,1.0000
2019-05-16,49.8800,50.5750,49.8501,50.2100,50.0370,687777,0.0000,1.0000
2019-05-15,49.5000,50.0700,49.2528,49.8500,49.6782,563981,0.0000,1.0000
2019-05-14,49.7000,50.3450,49.5200,49.8800,49.7081,631492,0.0000,1.0000
2019-05-13,50.3500,50.5500,49.1400,49.4600,49.2896,941858,0.0000,1.0000
2019-05-10,51.6700,51.9800,50.5700,51.3800,51.2030,819449,0.0000,1.0000
2019-05-09,51.3300,52.0000,51.1200,51.8000,51.6215,921314,0.0000,1.0000
2019-05-08,51.9800,52.0270,51.5200,51.7000,51.5219,591600,0.0000,1.0000
2019-05-07,52.1400,52.3900,51.8100,52.1100,51.9305,1028401,0.0000,1.0000
2019-05-06,51.5300,52.6800,51.5000,52.5600,52.3789,629645,0.0000,1.0000
2019-05-03,52.3500,52.9600,52.1400,52.8100,52.6280,669961,0.0000,1.0000
2019-05-02,52.9600,53.0150,51.8002,52.0500,51.8707,1067274,0.0000,1.0000
2019-05-01,53.1100,53.9100,52.7000,52.9900,52.8074,1213639,0.0000,1.0000
2019-04-30,52.3800,53.0100,51.9500,52.9400,52.7576,1320787,0.0000,1.0000
2019-04-29,51.6400,52.9900,51.3300,52.5800,52.3988,1218842,0.0000,1.0000
2019-04-26,52.0200,52.0200,50.7800,51.5300,51.3525,1164917,0.0000,1.0000
2019-04-25,52.9000,53.7500,51.2700,52.0300,51.8507,2776313,0.0000,1.0000
2019-04-24,51.5000,55.1500,50.8300,53.4200,53.2359,3449267,0.0000,1.0000
2019-04-23,50.0700,50.7800,50.0700,50.6500,50.4755,889137,0.0000,1.0000
2019-04-22,49.8300,50.1000,49.5600,49.8400,49.6683,569154,0.0000,1.0000
2019-04-18,49.4200,50.0000,49.0900,49.9800,49.8078,683028,0.0000,1.0000
2019-04-17,49.7900,49.9900,49.4000,49.5200,49.3494,601305,0.0000,1.0000
2019-04-16,49.6100,49.7800,49.5500,49.6000,49.4291,444952,0.0000,1.0000
2019-04-15,49.8100,50.0000,49.2000,49.5000,49.3294,437835,0.0000,1.0000
2019-04-12,49.6300,50.0300,49.4800,49.8400,49.6683,1032177,0.0000,1.0000
2019-04-11,48.8500,49.5600,48.6700,49.2900,49.1202,711201,0.0000,1.0000
2019-04-10,48.3900,48.7900,48.1500,48.7600,48.5920,599729,0.0000,1.0000
2019-04-09,48.8200,49.2100,48.2650,48.4500,48.2831,495895,0.0000,1.0000
2019-04-08,48.2300,49.0400,48.1700,49.0100,48.8411,650225,0.0000,1.0000
2019-04-05,48.2300,49.4000,47.8700,48.3400,48.1734,654358,0.0000,1.0000
2019-04-04,48.4000,48.7800,47.8900,47.9500,47.7848,637941,0.0000,1.0000
2019-04-03,48.8500,49.0900,48.3500,48.4500,48.2831,543843,0.0000,1.0000
2019-04-02,48.7800,48.9100,48.4400,48.5800,48.4126,640444,0.0000,1.0000
2019-04-01,47.9900,49.0000,47.8750,48.7600,48.5920,1004399,0.0000,1.0000
2019-03-29,47.6800,47.7900,47.2601,47.5800,47.4161,902876,0.0000,1.0000
2019-03-28,46.9000,47.5200,46.8900,47.3300,47.1669,917061,0.0000,1.0000
2019-03-27,47.0700,47.2900,46.5100,46.7400,46.5790,1142704,0.0000,1.0000
2019-03-26,47.5000,47.5000,46.7800,46.9400,46.7783,813342,0.0000,1.0000
2019-03-25,47.4700,47.7800,47.1350,47.2200,47.0573,1097753,0.0000,1.0000
2019-03-22,48.6800,48.8000,47.2000,47.5400,47.3762,1043890,0.0000,1.0000
2019-03-21,48.1700,48.9600,48.1700,48.7900,48.6219,1427858,0.0000,1.0000
2019-03-20,48.4300,48.6100,47.5200,48.1800,48.0140,1956109,0.0000,1.0000
2019-03-19,49.3400,49.5100,48.3000,48.4300,48.2631,1637508,0.0000,1.0000
2019-03-18,50.1500,50.4600,49.1000,49.2400,49.0703,1305637,0.0000,1.0000
2019-03-15,50.6600,50.8000,50.0540,50.1400,49.9672,1272736,0.0000,1.0000
2019-03-14,50.6900,50.8200,50.3002,50.5400,50.3659,997013,0.0000,1.0000
2019-03-13,50.8600,51.2900,50.2200,50.6500,50.4755,1363935,0.0000,1.0000
2019-03-12,50.6900,50.8400,50.3600,50.5100,50.3360,703647,0.0000,1.0000
2019-03-11,49.5600,50.5800,49.4456,50.5500,50.3758,805255,0.0000,1.0000
2019-03-08,49.6400,49.7254,49.1100,49.5100,49.3394,706837,0.0000,1.0000
2019-03-07,50.3600,50.5400,49.8500,50.0400,49.8676,701490,0.0000,1.0000
2019-03-06,51.0200,51.0800,50.4800,50.5300,50.3559,484543,0.0000,1.0000
2019-03-05,50.3600,51.2700,50.3600,50.8600,50.6848,681757,0.0000,1.0000
2019-03-04,51.7600,51.9600,50.8900,51.2700,51.0934,681729,0.0000,1.0000
2019-03-01,51.8100,51.9000,51.0300,51.5100,51.3325,636111,0.0000,1.0000
2019-02-28,51.5800,51.8300,51.4300,51.4500,51.2727,774568,0.0000,1.0000
2019-02-27,51.7400,51.9300,51.6200,51.7500,51.5717,728520,0.0000,1.0000
2019-02-26,52.5900,52.6980,51.9700,52.0700,51.8906,772391,0.0000,1.0000
2019-02-25,52.8600,53.2000,52.5800,52.6300,52.4487,1122969,0.0000,1.0000
2019-02-22,52.5000,52.8000,52.2200,52.6000,52.4188,576115,0.0000,1.0000
2019-02-21,52.4800,52.7900,51.9460,52.2500,52.0700,666942,0.1700,1.0000
