timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,152.1800,154.4000,151.5200,153.9700,153.9700,350843,0.0000,1.0000
2019-06-27,150.6800,152.6850,149.3250,151.6900,151.6900,351197,0.0000,1.0000
2019-06-26,148.7800,151.1750,147.3675,150.0000,150.0000,400032,0.0000,1.0000
2019-06-25,148.9200,150.0000,146.6800,147.9600,147.9600,315266,0.0000,1.0000
2019-06-24,148.0400,149.7600,146.4896,148.3700,148.3700,158727,0.0000,1.0000
2019-06-21,145.6700,148.3100,144.1400,147.6400,147.6400,492359,0.0000,1.0000
2019-06-20,148.9700,151.4400,146.6700,146.7200,146.7200,361808,0.0000,1.0000
2019-06-19,144.8900,148.1700,143.0149,147.5500,147.5500,138729,0.0000,1.0000
2019-06-18,146.5600,146.5600,144.2778,145.0900,145.0900,103639,0.0000,1.0000
2019-06-17,142.9700,145.3000,142.2000,144.7600,144.7600,226514,0.0000,1.0000
2019-06-14,145.3700,148.0000,142.7800,142.9100,142.9100,349212,0.0000,1.0000
2019-06-13,143.2700,145.1200,142.7700,145.0400,145.0400,248279,0.0000,1.0000
2019-06-12,142.0800,143.5500,141.5850,142.7700,142.7700,212834,0.0000,1.0000
2019-06-11,146.4700,147.1602,142.3900,142.4900,142.4900,300473,0.0000,1.0000
2019-06-10,145.4800,146.0900,144.7700,145.1100,145.1100,149291,0.0000,1.0000
2019-06-07,142.7100,145.2800,142.5500,144.8700,144.8700,281221,0.0000,1.0000
2019-06-06,142.9500,142.9500,141.2600,142.1000,142.1000,188497,0.0000,1.0000
2019-06-05,143.3900,143.9800,140.7000,142.2800,142.2800,202792,0.0000,1.0000
2019-06-04,141.1900,142.1600,138.2600,141.9700,141.9700,238772,0.0000,1.0000
2019-06-03,141.4900,142.8600,139.7600,140.3900,140.3900,254705,0.0000,1.0000
2019-05-31,140.0300,142.0500,138.8400,141.5600,141.5600,199599,0.0000,1.0000
2019-05-30,141.0200,142.2600,136.6202,141.2400,141.2400,238491,0.0000,1.0000
2019-05-29,138.0600,140.8300,137.7500,140.0900,140.0900,305945,0.0000,1.0000
2019-05-28,140.8500,142.5400,139.0100,139.0300,139.0300,356881,0.0000,1.0000
2019-05-24,139.2800,141.7000,139.2800,140.9000,140.9000,192445,0.0000,1.0000
2019-05-23,138.7100,139.3553,138.1600,138.5200,138.5200,148317,0.0000,1.0000
2019-05-22,136.3400,139.9300,136.3400,139.3500,139.3500,346916,0.0000,1.0000
