timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,147.3600,149.5700,146.9200,148.6000,148.6000,160238,0.0000,1.0000
2019-06-27,145.7200,147.8900,144.7700,147.2100,147.2100,94425,0.0000,1.0000
2019-06-26,147.1900,149.3000,146.0000,146.0000,146.0000,117517,0.0000,1.0000
2019-06-25,146.9900,148.2000,145.3900,147.2100,147.2100,112926,0.0000,1.0000
2019-06-24,146.9100,147.5100,145.7500,146.9500,146.9500,110528,0.0000,1.0000
2019-06-21,147.8600,148.8200,146.1400,146.7100,146.7100,195846,0.0000,1.0000
2019-06-20,150.4200,150.5250,147.2200,147.9800,147.9800,85362,0.0000,1.0000
2019-06-19,148.1400,151.0300,147.4400,150.1300,150.1300,107480,0.0000,1.0000
2019-06-18,148.6900,150.0200,147.7900,148.5200,148.5200,64360,0.0000,1.0000
2019-06-17,150.3400,151.5000,147.0800,148.4200,148.4200,78705,0.0000,1.0000
2019-06-14,150.2300,150.9900,149.0800,150.1900,150.1900,75840,0.0000,1.0000
2019-06-13,151.5000,153.1900,149.6950,150.4500,150.4500,119327,0.0000,1.0000
2019-06-12,151.1000,152.0600,149.9700,151.5600,151.5600,119495,0.0000,1.0000
2019-06-11,148.9000,151.2100,148.3700,150.7600,150.7600,122891,0.0000,1.0000
2019-06-10,147.7100,149.2600,147.6650,148.9900,148.9900,140429,0.0000,1.0000
2019-06-07,146.9700,149.0800,146.9000,147.6200,147.6200,96144,0.0000,1.0000
2019-06-06,147.7100,147.7100,144.5100,146.3000,146.3000,154247,0.6500,1.0000
2019-06-05,146.3100,148.6850,146.3100,147.6500,146.9969,78415,0.0000,1.0000
2019-06-04,146.4400,147.4800,144.4500,146.1000,145.4538,109357,0.0000,1.0000
2019-06-03,143.8500,146.1100,143.0100,145.8800,145.2347,97791,0.0000,1.0000
2019-05-31,143.1000,144.0000,141.0100,143.8300,143.1938,95830,0.0000,1.0000
2019-05-30,144.6300,145.0900,143.0300,143.8800,143.2436,74121,0.0000,1.0000
2019-05-29,143.3400,144.0400,142.3100,143.8300,143.1938,99975,0.0000,1.0000
2019-05-28,145.9500,146.5000,143.8400,143.9800,143.3431,124249,0.0000,1.0000
2019-05-24,146.0500,146.5200,144.4000,146.0000,145.3542,115256,0.0000,1.0000
2019-05-23,147.8550,149.8250,144.6400,145.7000,145.0555,96505,0.0000,1.0000
2019-05-22,147.6600,149.8800,146.7000,148.1800,147.5246,86697,0.0000,1.0000
2019-05-21,148.7600,149.5800,147.0650,147.7300,147.0765,68806,0.0000,1.0000
2019-05-20,148.4400,149.1800,147.5100,148.6100,147.9527,50561,0.0000,1.0000
2019-05-17,148.9700,149.5200,147.4700,148.7200,148.0622,97907,0.0000,1.0000
2019-05-16,149.3200,150.9700,148.2600,148.9900,148.3310,80730,0.0000,1.0000
2019-05-15,147.6100,149.6000,146.4100,149.2600,148.5998,86257,0.0000,1.0000
2019-05-14,149.1800,150.3300,147.6600,147.7900,147.1363,87698,0.0000,1.0000
2019-05-13,148.0200,149.5700,146.4200,149.3300,148.6695,86704,0.0000,1.0000
2019-05-10,148.6900,148.9500,145.9400,148.4400,147.7834,98977,0.0000,1.0000
2019-05-09,147.5700,149.2300,146.7200,148.8600,148.2016,80742,0.0000,1.0000
2019-05-08,149.7300,152.3594,147.6900,147.8500,147.1960,107173,0.0000,1.0000
2019-05-07,152.7700,152.7700,149.2800,149.9500,149.2867,90701,0.0000,1.0000
2019-05-06,150.7300,154.1400,150.7300,152.0200,151.3476,199316,0.0000,1.0000
2019-05-03,150.6000,151.6400,149.2350,151.5900,150.9195,102957,0.0000,1.0000
2019-05-02,149.7300,150.1571,147.3350,149.9600,149.2967,134572,0.0000,1.0000
2019-05-01,149.1400,150.5200,148.1200,149.4000,148.7392,125664,0.0000,1.0000
2019-04-30,148.4000,150.1200,146.9520,148.7100,148.0522,462108,0.0000,1.0000
2019-04-29,146.0400,148.5000,145.7600,147.9000,147.2458,121866,0.0000,1.0000
2019-04-26,143.8100,146.8900,143.2950,146.1900,145.5434,171282,0.0000,1.0000
2019-04-25,148.7000,152.4200,141.4200,144.5400,143.9007,227114,0.0000,1.0000
2019-04-24,152.6100,155.4200,152.6100,153.5600,152.8808,126469,0.0000,1.0000
2019-04-23,152.8800,154.8000,152.2900,152.8000,152.1241,99674,0.0000,1.0000
2019-04-22,155.4200,155.8700,152.1434,152.7600,152.0843,73799,0.0000,1.0000
2019-04-18,154.8200,156.0700,154.1900,155.2500,154.5633,119059,0.0000,1.0000
2019-04-17,158.3200,158.7390,153.9700,154.2400,153.5578,158104,0.0000,1.0000
2019-04-16,157.0200,158.4200,155.9800,158.3200,157.6197,103678,0.0000,1.0000
2019-04-15,155.0000,157.2700,154.3500,156.4900,155.7978,84906,0.0000,1.0000
2019-04-12,157.4000,158.4500,154.3450,154.9000,154.2148,106080,0.0000,1.0000
2019-04-11,157.1600,158.5700,155.2200,156.9200,156.2259,104084,0.0000,1.0000
2019-04-10,154.5800,157.5150,153.8100,157.3800,156.6839,97434,0.0000,1.0000
2019-04-09,155.2300,156.8300,153.6100,154.2200,153.5378,80090,0.0000,1.0000
2019-04-08,156.1300,156.6200,154.7500,155.6600,154.9715,90650,0.0000,1.0000
2019-04-05,155.9900,158.3800,154.8600,156.1200,155.4294,121030,0.0000,1.0000
2019-04-04,154.7300,156.3000,153.7000,156.0000,155.3100,96556,0.0000,1.0000
2019-04-03,153.1400,154.6400,152.2200,154.4200,153.7370,67675,0.0000,1.0000
2019-04-02,153.5700,154.4000,152.1300,153.0400,152.3631,99614,0.0000,1.0000
2019-04-01,156.6800,158.8900,152.8350,153.3400,152.6617,125147,0.0000,1.0000
2019-03-29,158.1100,158.1100,154.7100,156.6900,155.9969,185752,0.0000,1.0000
2019-03-28,158.2400,158.9295,156.6005,157.7000,157.0024,99099,0.0000,1.0000
2019-03-27,156.4200,158.6600,155.5200,157.9900,157.2912,97636,0.0000,1.0000
2019-03-26,155.1000,156.8000,153.5800,156.5200,155.8277,105867,0.0000,1.0000
2019-03-25,154.3300,156.2500,152.2700,154.8700,154.1850,118128,0.0000,1.0000
2019-03-22,155.6200,156.8900,154.0200,154.5100,153.8266,113257,0.0000,1.0000
2019-03-21,153.3900,156.9600,153.0550,155.9400,155.2502,73513,0.0000,1.0000
2019-03-20,154.7200,154.7200,151.3800,153.5800,152.9007,99076,0.0000,1.0000
2019-03-19,153.7500,156.2600,153.5000,154.8500,154.1651,118955,0.0000,1.0000
2019-03-18,152.7000,153.6900,151.9700,153.5000,152.8210,106594,0.0000,1.0000
2019-03-15,150.9200,153.1800,150.4800,152.1900,151.5168,301062,0.0000,1.0000
2019-03-14,152.1800,152.5700,150.6000,150.8500,150.1827,71769,0.0000,1.0000
2019-03-13,151.0700,152.4150,151.0500,152.0000,151.3277,101879,0.0000,1.0000
2019-03-12,153.1300,153.1300,150.2050,150.8900,150.2226,88688,0.0000,1.0000
2019-03-11,151.1200,153.2199,150.1600,153.1400,152.4626,100290,0.0000,1.0000
2019-03-08,152.8300,153.8800,150.7275,151.2200,150.5511,91094,0.0000,1.0000
2019-03-07,153.3800,155.5000,152.8700,153.0000,152.3232,89883,0.6500,1.0000
2019-03-06,156.6400,157.7600,153.1300,153.8300,152.5017,122917,0.0000,1.0000
2019-03-05,156.5100,157.9050,156.3350,156.6400,155.2874,75923,0.0000,1.0000
2019-03-04,157.1200,157.8650,155.1700,157.0400,155.6840,101444,0.0000,1.0000
2019-03-01,156.9900,157.5000,155.0250,156.9500,155.5947,110220,0.0000,1.0000
2019-02-28,155.3900,157.6900,153.8000,156.7700,155.4163,119903,0.0000,1.0000
2019-02-27,153.9800,155.4600,152.9500,155.2600,153.9193,118193,0.0000,1.0000
2019-02-26,156.2200,157.2400,154.0650,154.4800,153.1461,120882,0.0000,1.0000
2019-02-25,158.5500,159.4100,154.7600,156.0800,154.7323,148721,0.0000,1.0000
2019-02-22,160.4100,160.4100,157.7800,158.3400,156.9727,131406,0.0000,1.0000
2019-02-21,159.4400,162.5600,158.7250,160.9500,159.5602,152347,0.0000,1.0000
2019-02-20,159.8700,160.7200,156.4250,159.5000,158.1227,155204,0.0000,1.0000
2019-02-19,159.8000,161.5800,158.3700,159.8000,158.4201,155919,0.0000,1.0000
2019-02-15,159.5900,161.4800,158.7200,159.5400,158.1624,171328,0.0000,1.0000
2019-02-14,157.4500,160.0400,156.7500,158.9800,157.6072,214968,0.0000,1.0000
2019-02-13,159.1700,164.4000,156.9200,158.1800,156.8141,182386,0.0000,1.0000
2019-02-12,159.8400,162.2800,155.2850,159.3600,157.9839,161625,0.0000,1.0000
2019-02-11,160.8400,162.4700,158.3900,159.6700,158.2913,181029,0.0000,1.0000
2019-02-08,159.2600,161.7500,159.2600,160.9100,159.5205,144570,0.0000,1.0000
2019-02-07,157.1700,160.0800,155.5400,159.8300,158.4499,164845,0.0000,1.0000
2019-02-06,156.2600,158.0300,155.9100,157.2500,155.8922,109205,0.0000,1.0000
2019-02-05,155.9300,157.8123,155.0300,156.5200,155.1685,137675,0.0000,1.0000
2019-02-04,157.2300,158.0000,154.9600,155.6500,154.3060,204050,0.0000,1.0000
2019-02-01,158.9800,165.1100,156.4100,156.8000,155.4460,318894,0.0000,1.0000
2019-01-31,158.2200,161.1513,155.4500,159.0700,157.6964,563156,0.0000,1.0000
2019-01-30,156.6400,158.6300,155.7600,156.3300,154.9801,129034,0.0000,1.0000
2019-01-29,158.6700,159.2000,156.1800,157.3100,155.9516,114497,0.0000,1.0000
2019-01-28,161.2500,164.4016,158.8600,159.0900,157.7163,226519,0.0000,1.0000
2019-01-25,167.6400,167.6400,161.5500,161.8000,160.4029,168291,0.0000,1.0000
2019-01-24,167.9200,168.2200,164.9100,167.2800,165.8355,292667,0.0000,1.0000
2019-01-23,169.6100,171.3500,167.0300,168.2800,166.8269,179069,0.0000,1.0000
2019-01-22,173.1200,173.3200,169.1000,170.0500,168.5816,143130,0.0000,1.0000
2019-01-18,175.7300,176.9400,172.2400,172.7600,171.2682,107107,0.0000,1.0000
2019-01-17,176.0100,177.3700,174.5600,175.8700,174.3514,112047,0.0000,1.0000
2019-01-16,176.8400,178.2500,174.2000,175.7700,174.2522,124160,0.0000,1.0000
2019-01-15,172.4900,176.9300,170.5300,176.7500,175.2238,110304,0.0000,1.0000
2019-01-14,172.2200,173.7200,171.3000,171.7500,170.2669,178319,0.0000,1.0000
2019-01-11,175.4200,175.4200,171.7500,172.4600,170.9708,128198,0.0000,1.0000
2019-01-10,175.4300,175.9900,172.4900,174.3800,172.8742,103184,0.0000,1.0000
2019-01-09,178.6000,180.1100,173.1800,174.9800,173.4691,239506,0.0000,1.0000
2019-01-08,172.7100,179.2000,171.2000,178.6100,177.0677,227009,0.0000,1.0000
2019-01-07,171.2200,174.2475,170.3100,172.1600,170.6734,167957,0.0000,1.0000
2019-01-04,172.3000,173.2500,169.6900,171.9100,170.4256,250757,0.0000,1.0000
2019-01-03,172.3500,173.9200,169.3310,171.6600,170.1777,202863,0.0000,1.0000
2019-01-02,176.2200,176.3150,170.6900,172.6200,171.1294,172676,0.0000,1.0000
2018-12-31,174.4600,177.2150,171.2100,176.8600,175.3328,108530,0.0000,1.0000
2018-12-28,175.4200,180.0000,172.2200,173.1000,171.6053,102333,0.0000,1.0000
2018-12-27,173.9700,175.5900,170.6000,175.2500,173.7367,145664,0.0000,1.0000
2018-12-26,171.3500,175.1400,170.3900,174.9600,173.4492,110315,0.0000,1.0000
2018-12-24,180.7300,180.7300,170.7000,170.7100,169.2359,99564,0.0000,1.0000
2018-12-21,187.5700,194.3825,180.1600,180.9500,179.3875,483705,0.0000,1.0000
2018-12-20,184.8200,187.9000,180.7568,187.1500,185.5340,129634,0.0000,1.0000
2018-12-19,185.4700,191.8850,183.1392,184.6500,183.0556,133189,0.0000,1.0000
2018-12-18,182.6700,189.6800,182.6700,184.9700,183.3728,177067,0.0000,1.0000
2018-12-17,186.3300,188.7600,180.5650,181.9300,180.3590,135068,0.0000,1.0000
2018-12-14,186.2700,187.9800,181.6400,185.8300,184.2254,173800,0.0000,1.0000
2018-12-13,183.9000,187.2700,181.9300,186.2600,184.6517,82877,0.0000,1.0000
2018-12-12,181.2800,184.6800,179.7900,184.0400,182.4508,210994,0.0000,1.0000
2018-12-11,178.3200,181.5200,178.0000,179.8600,178.3069,93285,0.0000,1.0000
2018-12-10,177.1500,178.0100,173.1500,177.4000,175.8682,125797,0.0000,1.0000
2018-12-07,177.5600,178.9800,174.8400,176.0300,174.5100,124516,0.0000,1.0000
2018-12-06,178.5200,183.5100,175.0200,178.0200,176.4828,102725,0.6500,1.0000
2018-12-04,179.2600,180.9069,177.0000,178.5700,176.3840,150158,0.0000,1.0000
2018-12-03,180.9800,180.9800,177.5000,179.0000,176.8088,195948,0.0000,1.0000
2018-11-30,181.1700,183.9400,180.0250,180.3200,178.1126,189106,0.0000,1.0000
2018-11-29,183.5600,184.9800,180.5700,181.1600,178.9423,123882,0.0000,1.0000
2018-11-28,186.2400,187.9732,182.3700,183.2500,181.0067,166373,0.0000,1.0000
2018-11-27,186.1500,189.3400,184.7750,186.0500,183.7725,70207,0.0000,1.0000
2018-11-26,183.9500,186.4100,177.5300,185.6300,183.3576,82220,0.0000,1.0000
