timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,14.4100,14.6400,14.1100,14.6400,14.6400,1657027,0.0000,1.0000
2019-06-27,13.5000,14.4050,13.5000,14.3400,14.3400,1724611,0.0000,1.0000
2019-06-26,13.9200,14.1800,13.6500,13.7000,13.7000,1112795,0.0000,1.0000
2019-06-25,14.1100,14.2499,13.6500,13.7700,13.7700,1936251,0.0000,1.0000
2019-06-24,14.4100,14.6906,14.0200,14.0400,14.0400,1327256,0.0000,1.0000
2019-06-21,15.2000,15.3200,14.5000,14.7000,14.7000,2115818,0.0000,1.0000
2019-06-20,15.8500,15.9350,14.8600,15.1800,15.1800,1605381,0.0000,1.0000
2019-06-19,15.7500,16.3025,15.3700,15.5000,15.5000,2831087,0.0000,1.0000
2019-06-18,15.9000,16.1900,15.5784,15.7400,15.7400,1120185,0.0000,1.0000
2019-06-17,15.5400,15.8500,15.2800,15.7700,15.7700,1220436,0.0000,1.0000
2019-06-14,16.2500,16.6750,15.3200,15.4000,15.4000,2080053,0.0000,1.0000
2019-06-13,16.4200,17.5900,16.0500,16.1600,16.1600,1607294,0.0000,1.0000
2019-06-12,16.1100,16.3600,15.6200,16.3000,16.3000,2042477,0.0000,1.0000
2019-06-11,16.0900,16.8800,15.7500,16.0000,16.0000,5614358,0.0000,1.0000
2019-06-10,17.8500,17.9900,15.6700,15.6700,15.6700,2574686,0.0000,1.0000
2019-06-07,17.7100,18.4000,17.3000,17.5200,17.5200,1892799,0.0000,1.0000
2019-06-06,17.8300,18.9210,17.6100,17.9400,17.9400,6066383,0.0000,1.0000
2019-06-05,19.2000,19.2000,17.2000,17.7000,17.7000,5046143,0.0000,1.0000
2019-06-04,19.7600,20.7400,19.2300,19.4700,19.4700,1077687,0.0000,1.0000
2019-06-03,20.7900,20.9900,18.8200,19.8500,19.8500,1031947,0.0000,1.0000
2019-05-31,21.1600,21.3800,20.7400,20.7800,20.7800,443530,0.0000,1.0000
2019-05-30,21.8400,21.9000,21.0500,21.4900,21.4900,361293,0.0000,1.0000
2019-05-29,21.7100,21.8980,21.1600,21.7000,21.7000,490742,0.0000,1.0000
2019-05-28,22.3000,22.4600,21.4400,21.5400,21.5400,616013,0.0000,1.0000
2019-05-24,21.5600,22.0000,21.4100,21.8300,21.8300,743997,0.0000,1.0000
2019-05-23,21.7500,21.9400,21.0100,21.3800,21.3800,739551,0.0000,1.0000
2019-05-22,22.6500,22.7677,21.9300,22.0000,22.0000,569589,0.0000,1.0000
2019-05-21,22.6500,23.1600,22.4300,22.7000,22.7000,475913,0.0000,1.0000
2019-05-20,22.8500,23.6000,22.5500,22.6000,22.6000,553004,0.0000,1.0000
2019-05-17,23.3100,23.4291,21.6800,23.0800,23.0800,1275232,0.0000,1.0000
2019-05-16,23.5000,24.0500,23.1500,23.4600,23.4600,536569,0.0000,1.0000
2019-05-15,23.4600,23.8400,22.8100,23.1200,23.1200,847323,0.0000,1.0000
2019-05-14,24.5000,24.8899,23.5700,23.5900,23.5900,473926,0.0000,1.0000
2019-05-13,24.4600,24.7700,23.2250,24.4300,24.4300,491784,0.0000,1.0000
2019-05-10,23.0400,24.9300,22.8000,24.9200,24.9200,536230,0.0000,1.0000
