timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,8.8800,9.0400,8.8400,8.9800,8.9800,1915675,0.0000,1.0000
2019-06-27,8.7900,8.9200,8.7701,8.8600,8.8600,447710,0.0000,1.0000
2019-06-26,8.7800,8.8566,8.6100,8.7700,8.7700,769030,0.0000,1.0000
2019-06-25,8.7300,8.8900,8.7000,8.7400,8.7400,877345,0.0000,1.0000
2019-06-24,8.7900,8.8650,8.6800,8.7300,8.7300,858471,0.0000,1.0000
2019-06-21,8.8800,9.0200,8.8100,8.8200,8.8200,1162944,0.0000,1.0000
2019-06-20,8.8700,9.0000,8.8280,8.9400,8.9400,761917,0.0000,1.0000
2019-06-19,8.6000,8.8100,8.5500,8.8000,8.8000,777014,0.0000,1.0000
2019-06-18,8.4900,8.7800,8.3500,8.6400,8.6400,1406610,0.0000,1.0000
2019-06-17,8.3800,8.5300,8.3100,8.4700,8.4700,631396,0.0000,1.0000
2019-06-14,8.4600,8.4900,8.3100,8.3600,8.3600,528294,0.0000,1.0000
2019-06-13,8.3900,8.4950,8.1800,8.4400,8.4400,756512,0.0000,1.0000
2019-06-12,8.4300,8.4600,8.3050,8.3400,8.3400,747797,0.0000,1.0000
2019-06-11,8.5500,8.7000,8.3250,8.4700,8.4700,775409,0.0000,1.0000
2019-06-10,8.3600,8.5300,8.2900,8.4800,8.4800,927849,0.0000,1.0000
2019-06-07,8.1200,8.4200,8.0800,8.3200,8.3200,748640,0.0000,1.0000
2019-06-06,8.1100,8.2900,7.9900,8.0900,8.0900,691448,0.0000,1.0000
2019-06-05,8.1200,8.2800,7.8400,8.1300,8.1300,996775,0.0000,1.0000
2019-06-04,8.0600,8.1100,7.9500,8.1100,8.1100,1137170,0.0000,1.0000
2019-06-03,7.9600,8.2500,7.8900,7.9500,7.9500,1135622,0.0000,1.0000
2019-05-31,8.1900,8.2000,7.8500,7.9800,7.9800,1028625,0.0000,1.0000
2019-05-30,8.5400,8.6700,8.2600,8.2900,8.2900,679360,0.0000,1.0000
2019-05-29,8.6200,8.6700,8.4100,8.5400,8.5400,771029,0.0000,1.0000
2019-05-28,8.8100,8.9100,8.6600,8.7100,8.7100,1351985,0.0000,1.0000
2019-05-24,8.5300,8.9300,8.5300,8.8100,8.8100,1090460,0.1000,1.0000
2019-05-23,8.4800,8.5800,8.3300,8.5500,8.4540,1255912,0.0000,1.0000
2019-05-22,8.6900,8.7200,8.5100,8.5600,8.4639,924072,0.0000,1.0000
2019-05-21,8.4800,8.6800,8.4800,8.6800,8.5826,1249784,0.0000,1.0000
2019-05-20,8.5600,8.5800,8.3400,8.4300,8.3354,1499189,0.0000,1.0000
2019-05-17,8.4100,8.5400,8.2600,8.5200,8.4244,2116153,0.0000,1.0000
2019-05-16,8.2900,8.5300,8.2500,8.4400,8.3453,1590634,0.0000,1.0000
2019-05-15,8.0500,8.3000,7.9500,8.2700,8.1772,1224492,0.0000,1.0000
2019-05-14,7.7000,8.1100,7.6950,8.0000,7.9102,1202490,0.0000,1.0000
2019-05-13,7.5600,7.8200,7.3000,7.7700,7.6828,1647701,0.0000,1.0000
2019-05-10,7.2300,7.7800,7.0200,7.7600,7.6729,2687671,0.0000,1.0000
2019-05-09,8.0600,8.2448,7.3500,7.5900,7.5048,2679512,0.0000,1.0000
2019-05-08,8.4000,8.4000,8.0700,8.1700,8.0783,770450,0.0000,1.0000
2019-05-07,8.5200,8.5800,8.2900,8.3800,8.2859,703289,0.0000,1.0000
2019-05-06,8.4800,8.6350,8.3900,8.5700,8.4738,1518422,0.0000,1.0000
2019-05-03,8.3500,8.6800,8.3500,8.6200,8.5233,817941,0.0000,1.0000
2019-05-02,8.6500,8.7100,8.3000,8.3500,8.2563,719585,0.0000,1.0000
2019-05-01,8.5400,8.7700,8.4600,8.6500,8.5529,938100,0.0000,1.0000
2019-04-30,8.5300,8.6100,8.3800,8.5200,8.4244,1093287,0.0000,1.0000
2019-04-29,8.3700,8.6000,8.3300,8.5400,8.4442,514610,0.0000,1.0000
2019-04-26,8.2600,8.3600,8.1900,8.3500,8.2563,505466,0.0000,1.0000
2019-04-25,8.4000,8.4400,8.1400,8.2500,8.1574,589616,0.0000,1.0000
2019-04-24,8.3500,8.4200,8.2800,8.3400,8.2464,921989,0.0000,1.0000
2019-04-23,8.3500,8.4300,8.2100,8.3700,8.2761,742745,0.0000,1.0000
2019-04-22,8.4400,8.4400,8.2750,8.3200,8.2266,655312,0.0000,1.0000
2019-04-18,8.3800,8.5200,8.2251,8.3800,8.2859,1413869,0.0000,1.0000
2019-04-17,8.5300,8.5490,8.3800,8.4000,8.3057,918940,0.0000,1.0000
2019-04-16,8.6000,8.6800,8.4000,8.4700,8.3749,735510,0.0000,1.0000
2019-04-15,8.5300,8.6150,8.4400,8.5700,8.4738,699388,0.0000,1.0000
2019-04-12,8.4500,8.5600,8.3850,8.5500,8.4540,704054,0.0000,1.0000
2019-04-11,8.3400,8.4800,8.2800,8.4100,8.3156,766943,0.0000,1.0000
2019-04-10,8.1600,8.3800,8.1325,8.3400,8.2464,580143,0.0000,1.0000
2019-04-09,8.3700,8.4303,8.0900,8.1500,8.0585,1132309,0.0000,1.0000
2019-04-08,8.4400,8.4659,8.3500,8.3700,8.2761,682977,0.0000,1.0000
2019-04-05,8.4900,8.5100,8.3300,8.4900,8.3947,578991,0.0000,1.0000
2019-04-04,8.3100,8.5000,8.2501,8.4800,8.3848,804184,0.0000,1.0000
2019-04-03,8.4100,8.6000,8.2900,8.3100,8.2167,897253,0.0000,1.0000
2019-04-02,8.6000,8.7675,8.1800,8.3600,8.2662,791610,0.0000,1.0000
