timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,25.0100,25.6200,25.0100,25.3900,25.3900,821966,0.0000,1.0000
2019-06-27,24.5100,25.0000,24.5100,24.9500,24.9500,492870,0.0000,1.0000
2019-06-26,24.6600,25.1000,24.4100,24.4400,24.4400,430506,0.0000,1.0000
2019-06-25,23.9900,24.6700,23.9200,24.4500,24.4500,640714,0.0000,1.0000
2019-06-24,24.5200,24.7300,23.9600,23.9800,23.9800,1016675,0.0000,1.0000
2019-06-21,24.3000,24.8600,24.0800,24.4300,24.4300,2818462,0.0000,1.0000
2019-06-20,24.8800,24.9500,24.3100,24.5000,24.5000,572565,0.0000,1.0000
2019-06-19,24.8000,24.9900,24.2900,24.4500,24.4500,416382,0.0000,1.0000
2019-06-18,24.5300,25.0100,24.5300,24.6800,24.6800,432219,0.0000,1.0000
2019-06-17,25.6900,25.6900,24.1300,24.3100,24.3100,659575,0.0000,1.0000
2019-06-14,26.5500,26.5500,25.6600,25.6900,25.6900,260522,0.0000,1.0000
2019-06-13,26.7100,26.9400,26.5400,26.6200,26.6200,248608,0.0000,1.0000
2019-06-12,26.3900,26.6000,26.2100,26.5700,26.5700,260105,0.0000,1.0000
2019-06-11,26.1000,26.4700,25.9700,26.3900,26.3900,317233,0.0000,1.0000
2019-06-10,25.6200,26.7400,25.5900,25.8700,25.8700,247756,0.0000,1.0000
2019-06-07,25.5800,25.8200,25.4200,25.4700,25.4700,316430,0.0000,1.0000
2019-06-06,25.5300,26.0000,25.2500,25.5400,25.5400,336203,0.0000,1.0000
2019-06-05,25.3700,25.6200,25.1600,25.5400,25.5400,290564,0.0000,1.0000
2019-06-04,24.6800,25.3700,24.5700,25.3500,25.3500,495246,0.0000,1.0000
2019-06-03,24.3700,24.7100,24.2400,24.4100,24.4100,415461,0.0000,1.0000
2019-05-31,24.7300,24.7550,24.3800,24.5100,24.5100,375663,0.0000,1.0000
2019-05-30,24.8800,25.3650,24.8600,25.0700,25.0700,335742,0.0000,1.0000
2019-05-29,24.8500,25.0700,24.6500,24.8200,24.8200,269996,0.0000,1.0000
2019-05-28,25.3700,25.6300,25.0300,25.0500,25.0500,265401,0.0000,1.0000
2019-05-24,25.3300,25.5100,25.1500,25.3600,25.3600,174914,0.0000,1.0000
2019-05-23,25.5400,25.5400,24.9700,25.0500,25.0500,348094,0.0000,1.0000
2019-05-22,25.7100,25.9700,25.6200,25.8500,25.8500,212895,0.0000,1.0000
2019-05-21,25.9000,26.0700,25.7200,25.8900,25.8900,264582,0.0000,1.0000
2019-05-20,25.6000,25.9400,25.4800,25.6600,25.6600,290321,0.0000,1.0000
2019-05-17,26.2100,26.6200,25.9300,25.9400,25.9400,308813,0.0000,1.0000
2019-05-16,26.4600,26.9100,26.4600,26.4900,26.4900,245531,0.0000,1.0000
2019-05-15,26.0900,26.6700,26.0900,26.3600,26.3600,267865,0.0000,1.0000
2019-05-14,25.8700,26.5750,25.8700,26.3400,26.3400,307894,0.0000,1.0000
2019-05-13,26.7000,26.8400,25.7700,25.8200,25.8200,356645,0.0000,1.0000
2019-05-10,27.0100,27.3600,26.5800,27.3100,27.3100,465645,0.0000,1.0000
2019-05-09,27.2200,27.6600,26.7400,27.1700,27.1700,303838,0.0000,1.0000
2019-05-08,27.5100,27.8400,27.2800,27.5600,27.5600,431901,0.0000,1.0000
2019-05-07,28.4100,28.6900,27.5700,27.6800,27.6800,368024,0.0000,1.0000
2019-05-06,28.2600,28.9600,28.0500,28.9100,28.9100,306537,0.0000,1.0000
2019-05-03,29.6300,29.7900,28.1850,28.8300,28.8300,559790,0.0000,1.0000
2019-05-02,29.2100,30.2000,29.0300,29.1800,29.1800,520546,0.0000,1.0000
2019-05-01,29.4500,29.8100,29.1500,29.1600,29.1600,291375,0.0000,1.0000
2019-04-30,29.4100,29.5400,29.0500,29.4000,29.4000,294026,0.0000,1.0000
2019-04-29,29.4000,29.9600,29.3950,29.4500,29.4500,235824,0.0000,1.0000
2019-04-26,29.3100,29.6300,29.1950,29.4400,29.4400,170226,0.0000,1.0000
2019-04-25,29.7900,30.0000,28.7100,29.2700,29.2700,345555,0.0000,1.0000
2019-04-24,30.0400,30.3000,29.7900,29.8300,29.8300,283458,0.0000,1.0000
2019-04-23,29.3600,30.0350,29.3100,30.0100,30.0100,273502,0.0000,1.0000
2019-04-22,29.5400,29.7700,29.2400,29.3400,29.3400,216458,0.0000,1.0000
2019-04-18,29.4200,29.6950,29.2200,29.6400,29.6400,395799,0.0000,1.0000
2019-04-17,29.1200,29.6200,29.1200,29.4900,29.4900,505099,0.0000,1.0000
2019-04-16,28.4500,29.0700,28.3500,28.9800,28.9800,319448,0.0000,1.0000
2019-04-15,28.2900,28.5200,28.2100,28.3200,28.3200,261499,0.0000,1.0000
2019-04-12,28.0000,28.3250,27.8000,28.2700,28.2700,200191,0.0000,1.0000
2019-04-11,27.8700,27.9700,27.6700,27.8600,27.8600,173412,0.0000,1.0000
2019-04-10,27.0000,27.8000,27.0000,27.8000,27.8000,349001,0.0000,1.0000
2019-04-09,27.1000,28.3400,27.1000,27.8500,27.8500,393001,0.0000,1.0000
2019-04-08,27.9700,28.3850,27.6100,28.3700,28.3700,186102,0.0000,1.0000
2019-04-05,27.9600,28.2300,27.8500,28.0800,28.0800,315490,0.0000,1.0000
2019-04-04,28.4100,28.5300,27.7500,27.8900,27.8900,323599,0.0000,1.0000
2019-04-03,28.7600,28.9600,28.2200,28.3500,28.3500,331441,0.0000,1.0000
2019-04-02,28.8400,28.8900,28.4800,28.4900,28.4900,305956,0.0000,1.0000
2019-04-01,28.2600,28.8000,28.0700,28.7800,28.7800,349985,0.0000,1.0000
2019-03-29,27.8600,28.0800,27.4700,28.0700,28.0700,301249,0.0000,1.0000
2019-03-28,27.4200,27.7400,27.2600,27.6500,27.6500,172937,0.0000,1.0000
2019-03-27,27.2100,27.5500,26.9100,27.4100,27.4100,227641,0.0000,1.0000
2019-03-26,27.2200,27.6100,27.0200,27.2300,27.2300,256311,0.0000,1.0000
2019-03-25,26.7700,27.1500,26.5000,27.0300,27.0300,252731,0.0000,1.0000
2019-03-22,27.6800,27.7550,26.8300,26.8500,26.8500,288390,0.0000,1.0000
2019-03-21,27.0100,27.9300,27.0100,27.9200,27.9200,353452,0.0000,1.0000
2019-03-20,27.6000,27.7700,27.0100,27.0800,27.0800,389783,0.0000,1.0000
2019-03-19,27.8000,27.9900,27.5400,27.6100,27.6100,217676,0.0000,1.0000
2019-03-18,27.5200,27.9300,27.3300,27.7500,27.7500,518490,0.0000,1.0000
2019-03-15,27.6200,27.9800,27.4200,27.4700,27.4700,1208062,0.0000,1.0000
2019-03-14,27.7600,27.8200,27.5000,27.6100,27.6100,280911,0.0000,1.0000
2019-03-13,27.8300,28.0400,27.6900,27.7300,27.7300,344204,0.0000,1.0000
2019-03-12,27.5900,27.8200,27.3100,27.6600,27.6600,222397,0.0000,1.0000
2019-03-11,26.9800,27.6200,26.9800,27.5900,27.5900,275286,0.0000,1.0000
2019-03-08,26.3500,26.9100,26.3100,26.8400,26.8400,299452,0.0000,1.0000
2019-03-07,26.5800,26.8500,26.2100,26.5400,26.5400,283661,0.0000,1.0000
2019-03-06,27.0000,27.3100,26.5400,26.5900,26.5900,448705,0.0000,1.0000
2019-03-05,27.4200,27.4200,27.0200,27.0500,27.0500,185384,0.0000,1.0000
2019-03-04,27.3300,27.4800,26.9800,27.3200,27.3200,255369,0.0000,1.0000
2019-03-01,27.4500,27.4500,26.9200,27.2300,27.2300,416294,0.0000,1.0000
2019-02-28,27.6600,27.6600,27.2600,27.3700,27.3700,434345,0.0000,1.0000
2019-02-27,27.9100,27.9900,27.6100,27.6900,27.6900,251969,0.0000,1.0000
2019-02-26,27.9900,28.2100,27.7700,27.9300,27.9300,485336,0.0000,1.0000
2019-02-25,28.2900,28.6500,27.9600,28.0600,28.0600,339669,0.0000,1.0000
2019-02-22,27.7900,28.2500,27.6700,28.0900,28.0900,341495,0.0000,1.0000
2019-02-21,27.6200,27.7200,27.4000,27.6700,27.6700,269641,0.0000,1.0000
2019-02-20,27.8200,27.9275,27.5200,27.5700,27.5700,326616,0.0000,1.0000
2019-02-19,27.6000,27.9400,27.5500,27.7800,27.7800,422579,0.0000,1.0000
2019-02-15,27.5500,27.7400,27.3400,27.7300,27.7300,299509,0.0000,1.0000
2019-02-14,27.0000,27.5200,27.0000,27.3100,27.3100,300791,0.0000,1.0000
2019-02-13,27.2500,27.4200,26.9400,27.0100,27.0100,362612,0.0000,1.0000
2019-02-12,26.7700,27.2900,26.7700,27.1300,27.1300,350087,0.0000,1.0000
2019-02-11,26.5200,26.7100,26.3000,26.6800,26.6800,371222,0.0000,1.0000
2019-02-08,26.4300,26.8400,26.4300,26.5600,26.5600,482068,0.0000,1.0000
2019-02-07,26.5900,26.9100,26.3800,26.7100,26.7100,518932,0.0000,1.0000
2019-02-06,26.1800,27.0200,26.1800,26.8400,26.8400,510123,0.0000,1.0000
2019-02-05,26.0800,26.5000,25.9900,26.2800,26.2800,369253,0.0000,1.0000
2019-02-04,25.5500,26.2200,25.5500,26.1900,26.1900,497107,0.0000,1.0000
2019-02-01,25.9200,26.1100,25.6300,25.6300,25.6300,461145,0.0000,1.0000
