timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,12.9200,12.9500,12.7100,12.9100,12.9100,1918360,0.0000,1.0000
2019-06-27,12.9400,13.0100,12.8300,12.9000,12.9000,1571678,0.0000,1.0000
2019-06-26,12.8900,13.2800,12.8600,13.0400,13.0400,2465436,0.0000,1.0000
2019-06-25,13.5000,13.6200,12.9400,13.1400,13.1400,4669593,0.0000,1.0000
2019-06-24,13.0900,13.3800,12.9500,13.3400,13.3400,4676180,0.0000,1.0000
2019-06-21,12.6500,12.8700,12.4241,12.8500,12.8500,5200351,0.0000,1.0000
2019-06-20,12.3200,12.6300,12.2260,12.5700,12.5700,6954611,0.0000,1.0000
2019-06-19,11.7200,11.9000,11.6099,11.7800,11.7800,2791084,0.0000,1.0000
2019-06-18,11.9600,12.0100,11.5900,11.8000,11.8000,2309147,0.0000,1.0000
2019-06-17,11.6100,11.8150,11.5850,11.7800,11.7800,1828033,0.0000,1.0000
2019-06-14,11.8000,11.8400,11.4800,11.6300,11.6300,2819208,0.0000,1.0000
2019-06-13,11.4900,11.7000,11.4300,11.6900,11.6900,1802243,0.0000,1.0000
2019-06-12,11.4000,11.6000,11.3500,11.5100,11.5100,1316035,0.0000,1.0000
2019-06-11,11.0800,11.4600,11.0500,11.3200,11.3200,1773425,0.0000,1.0000
2019-06-10,11.3600,11.3900,11.0500,11.0600,11.0600,2452234,0.0000,1.0000
2019-06-07,11.5900,11.7800,11.5101,11.5900,11.5900,2251330,0.0000,1.0000
2019-06-06,11.6100,11.6700,11.3500,11.4600,11.4600,2251668,0.0000,1.0000
2019-06-05,11.6500,11.7723,11.2700,11.5500,11.5500,4190149,0.0000,1.0000
2019-06-04,11.3700,11.4850,11.2600,11.4500,11.4500,2251690,0.0000,1.0000
2019-06-03,11.0800,11.4800,11.0350,11.4600,11.4600,4166927,0.0000,1.0000
2019-05-31,10.5800,10.9200,10.5100,10.8700,10.8700,2912393,0.0000,1.0000
2019-05-30,10.2700,10.4799,10.2600,10.4600,10.4600,1529545,0.0000,1.0000
