timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,52.0700,52.4300,50.7700,51.1200,51.1200,1127138,0.0000,1.0000
2019-06-27,51.0600,52.0200,50.8800,51.8900,51.8900,239331,0.0000,1.0000
2019-06-26,50.9500,52.0300,50.3700,50.8000,50.8000,234156,0.0000,1.0000
2019-06-25,51.0000,51.6800,50.1500,50.8300,50.8300,238588,0.0000,1.0000
2019-06-24,51.6100,51.9500,50.9300,51.0300,51.0300,189103,0.0000,1.0000
2019-06-21,52.7100,52.9300,51.5000,51.6100,51.6100,239062,0.0000,1.0000
2019-06-20,52.6900,53.4350,52.5400,52.8000,52.8000,170634,0.0000,1.0000
2019-06-19,52.1600,52.5000,51.6400,52.4700,52.4700,136128,0.0000,1.0000
2019-06-18,51.6700,52.9800,51.1550,52.1700,52.1700,79270,0.0000,1.0000
2019-06-17,51.8000,51.9900,51.3500,51.6200,51.6200,77845,0.0000,1.0000
2019-06-14,52.1400,52.5900,51.0100,51.8000,51.8000,109328,0.0000,1.0000
2019-06-13,51.7300,52.1400,51.0400,52.1000,52.1000,120775,0.0000,1.0000
2019-06-12,52.0400,52.3200,51.2500,51.6000,51.6000,106232,0.0000,1.0000
2019-06-11,50.8300,52.3700,50.3250,51.9700,51.9700,188311,0.0000,1.0000
2019-06-10,49.9200,50.8000,49.7900,50.4700,50.4700,165600,0.0000,1.0000
2019-06-07,49.4600,51.8000,49.3200,49.7800,49.7800,141640,0.0000,1.0000
2019-06-06,49.5000,49.7450,48.5200,49.2900,49.2900,94732,0.0000,1.0000
2019-06-05,50.2000,50.5250,49.1300,49.5100,49.5100,104374,0.0000,1.0000
2019-06-04,49.1900,51.0600,49.1900,50.0300,50.0300,131989,0.0000,1.0000
2019-06-03,48.6200,49.3700,48.1400,48.6900,48.6900,197240,0.0000,1.0000
2019-05-31,50.5000,50.8200,48.0600,48.6000,48.6000,177210,0.0000,1.0000
2019-05-30,51.3600,51.8100,50.5800,50.9700,50.9700,94306,0.0000,1.0000
2019-05-29,52.9600,53.0450,50.7800,51.1600,51.1600,113615,0.0000,1.0000
2019-05-28,52.9400,54.1200,52.5800,53.2200,53.2200,135852,0.0000,1.0000
2019-05-24,53.3500,53.9000,52.8100,52.9200,52.9200,65544,0.0000,1.0000
2019-05-23,53.2600,53.4472,52.8800,53.0800,53.0800,141426,0.0000,1.0000
2019-05-22,54.3500,54.3971,53.4500,53.6900,53.6900,73756,0.0000,1.0000
2019-05-21,54.2500,54.9300,54.0500,54.4500,54.4500,64520,0.0000,1.0000
2019-05-20,53.5100,54.4300,53.5100,54.0800,54.0800,95438,0.0000,1.0000
2019-05-17,54.2800,54.4500,53.7050,53.9100,53.9100,112336,0.0000,1.0000
2019-05-16,55.2700,55.5500,54.5950,54.7700,54.7700,82226,0.0000,1.0000
2019-05-15,55.1200,55.4800,54.2400,55.1000,55.1000,121320,0.0000,1.0000
2019-05-14,55.9100,56.3000,55.2500,55.5100,55.5100,119553,0.0000,1.0000
2019-05-13,56.5700,57.1300,54.9300,55.6800,55.6800,264070,0.0000,1.0000
2019-05-10,57.6500,57.7300,56.2600,57.3500,57.3500,145331,0.0000,1.0000
2019-05-09,58.0300,58.0950,57.0600,57.7500,57.7500,77326,0.0000,1.0000
2019-05-08,58.1500,58.9250,57.8900,58.3300,58.3300,277754,0.0000,1.0000
2019-05-07,59.7300,61.3000,57.8200,58.3200,58.3200,217151,0.0000,1.0000
2019-05-06,59.7500,60.6500,59.6300,60.1800,60.1800,70907,0.0000,1.0000
2019-05-03,60.0000,61.0100,59.3250,60.5900,60.5900,133411,0.0000,1.0000
2019-05-02,59.2800,59.8650,58.6700,59.6900,59.6900,75720,0.0000,1.0000
2019-05-01,59.7800,60.3700,59.3500,59.5300,59.5300,112638,0.0000,1.0000
2019-04-30,60.0800,61.1295,58.4100,59.8100,59.8100,237412,0.0000,1.0000
2019-04-29,60.5400,61.4750,59.9800,60.1100,60.1100,89464,0.0000,1.0000
2019-04-26,60.2200,60.7600,59.8100,60.5400,60.5400,101192,0.0000,1.0000
2019-04-25,59.8400,60.6700,59.1600,60.2700,60.2700,127836,0.0000,1.0000
2019-04-24,58.4200,60.3300,58.4200,60.1300,60.1300,145248,0.0000,1.0000
2019-04-23,58.3000,59.4407,57.4100,58.4200,58.4200,117979,0.0000,1.0000
2019-04-22,60.0100,61.4300,58.2100,58.4900,58.4900,111594,0.0000,1.0000
2019-04-18,60.4900,61.2400,60.0100,60.2200,60.2200,152088,0.0000,1.0000
2019-04-17,61.5400,61.6700,60.1500,60.7200,60.7200,119669,0.0000,1.0000
2019-04-16,62.6600,62.6600,60.8500,61.1200,61.1200,160317,0.0000,1.0000
2019-04-15,62.0400,63.2400,61.8300,62.6000,62.6000,99619,0.0000,1.0000
2019-04-12,64.7900,64.9000,61.6800,61.8900,61.8900,135832,0.0000,1.0000
2019-04-11,64.3200,64.9700,63.7100,64.6900,64.6900,189819,0.0000,1.0000
2019-04-10,58.6600,64.9800,57.8408,63.9700,63.9700,623413,0.0000,1.0000
2019-04-09,60.1900,60.5823,59.2700,59.6000,59.6000,196570,0.0000,1.0000
2019-04-08,61.5200,61.6600,59.6700,60.2000,60.2000,188297,0.0000,1.0000
2019-04-05,61.6800,62.1400,60.5900,61.7400,61.7400,150969,0.0000,1.0000
2019-04-04,60.3800,61.7700,60.2350,61.6800,61.6800,121514,0.0000,1.0000
2019-04-03,59.1000,60.6900,59.0600,60.5800,60.5800,70776,0.0000,1.0000
2019-04-02,59.1900,59.7900,58.5400,58.7700,58.7700,237721,0.0000,1.0000
2019-04-01,59.1500,59.9300,58.3400,59.3200,59.3200,110511,0.0000,1.0000
2019-03-29,59.6000,59.8500,58.6600,58.8800,58.8800,127288,0.0000,1.0000
2019-03-28,59.6000,60.1300,58.9600,59.3400,59.3400,96954,0.0000,1.0000
2019-03-27,59.4400,59.6100,58.3200,59.4700,59.4700,93922,0.0000,1.0000
2019-03-26,60.4700,61.5050,59.4100,59.7300,59.7300,175938,0.0000,1.0000
2019-03-25,58.9100,60.3600,58.1900,60.3100,60.3100,112773,0.0000,1.0000
2019-03-22,61.4700,61.4700,58.9100,58.9400,58.9400,177626,0.0000,1.0000
2019-03-21,61.8300,62.3300,61.4700,61.6000,61.6000,315243,0.0000,1.0000
2019-03-20,62.3000,62.5400,61.2600,61.9700,61.9700,82848,0.0000,1.0000
2019-03-19,63.0200,63.4400,61.7740,62.4700,62.4700,108802,0.0000,1.0000
2019-03-18,62.3500,62.8100,61.9600,62.6100,62.6100,149564,0.0000,1.0000
2019-03-15,61.8000,63.2600,61.4939,62.3400,62.3400,291824,0.0000,1.0000
2019-03-14,63.5000,63.9100,61.6800,61.8200,61.8200,111508,0.0000,1.0000
2019-03-13,63.3700,64.3300,63.2244,63.7300,63.7300,133733,0.0000,1.0000
2019-03-12,63.4500,63.7400,62.7400,63.1000,63.1000,80487,0.0000,1.0000
2019-03-11,61.9200,63.4800,61.8850,63.4800,63.4800,87666,0.0000,1.0000
2019-03-08,61.9400,61.9995,60.9000,61.7200,61.7200,115443,0.0000,1.0000
2019-03-07,62.5100,63.0100,61.7100,61.7700,61.7700,83987,0.0000,1.0000
2019-03-06,63.8100,64.1900,62.6600,62.6600,62.6600,77138,0.0000,1.0000
2019-03-05,63.5700,64.1000,63.3300,63.8000,63.8000,69367,0.0000,1.0000
2019-03-04,63.9600,64.4200,62.7500,63.4000,63.4000,92726,0.0000,1.0000
2019-03-01,65.0700,65.5400,63.7800,63.9000,63.9000,91672,0.0000,1.0000
2019-02-28,64.5800,65.3425,63.8000,64.6600,64.6600,81602,0.0000,1.0000
2019-02-27,63.8700,65.4300,63.5000,64.5800,64.5800,85472,0.0000,1.0000
2019-02-26,64.4800,64.8600,63.7500,63.9000,63.9000,86519,0.0000,1.0000
2019-02-25,63.7700,64.6800,63.2700,64.4800,64.4800,130328,0.0000,1.0000
2019-02-22,62.4000,63.5700,62.0600,63.5600,63.5600,74406,0.0000,1.0000
2019-02-21,63.2000,63.7000,61.9600,62.3800,62.3800,82829,0.0000,1.0000
2019-02-20,62.6500,63.6300,62.3200,63.4000,63.4000,67915,0.0000,1.0000
2019-02-19,62.2600,63.9700,62.2600,62.5500,62.5500,109360,0.0000,1.0000
2019-02-15,60.5900,62.6700,60.5900,62.6400,62.6400,131271,0.0000,1.0000
2019-02-14,60.2200,60.8200,59.5900,60.3300,60.3300,90615,0.3500,1.0000
2019-02-13,60.1100,61.2100,60.1100,60.9000,60.5487,107022,0.0000,1.0000
2019-02-12,59.3200,60.3000,59.2500,60.0500,59.7036,84289,0.0000,1.0000
2019-02-11,59.3700,59.7900,58.5950,59.1000,58.7591,118933,0.0000,1.0000
2019-02-08,60.9400,61.5325,59.0400,59.2200,58.8784,296032,0.0000,1.0000
2019-02-07,61.2000,61.6700,60.7850,61.4600,61.1055,87685,0.0000,1.0000
2019-02-06,61.2000,61.9000,60.7700,61.3900,61.0359,119098,0.0000,1.0000
2019-02-05,61.2100,61.9900,60.9000,61.2400,60.8868,189836,0.0000,1.0000
2019-02-04,60.7500,62.0500,60.7400,61.3700,61.0160,201943,0.0000,1.0000
2019-02-01,61.5600,62.0000,60.0000,61.0000,60.6482,317668,0.0000,1.0000
2019-01-31,62.6100,63.1900,60.9400,61.2500,60.8967,295845,0.0000,1.0000
2019-01-30,63.0500,63.2400,62.1000,62.8000,62.4378,132010,0.0000,1.0000
2019-01-29,65.5700,65.8500,62.9800,63.0600,62.6963,223711,0.0000,1.0000
2019-01-28,65.2700,65.8900,64.6301,65.6100,65.2316,111325,0.0000,1.0000
2019-01-25,65.7100,66.9200,64.7600,65.0500,64.6748,132398,0.0000,1.0000
2019-01-24,66.2300,66.7500,64.9200,65.7100,65.3310,137625,0.0000,1.0000
2019-01-23,65.5500,66.4520,64.9800,66.2900,65.9076,163893,0.0000,1.0000
2019-01-22,65.4200,66.6800,64.8250,65.3900,65.0128,198513,0.0000,1.0000
2019-01-18,64.8600,66.0000,64.8600,65.9300,65.5497,123572,0.0000,1.0000
2019-01-17,64.1500,65.1900,64.1500,64.8900,64.5157,112971,0.0000,1.0000
2019-01-16,64.7200,65.8000,64.3800,64.4000,64.0285,117975,0.0000,1.0000
2019-01-15,64.4700,65.0650,63.3100,64.9000,64.5257,164938,0.0000,1.0000
2019-01-14,64.8200,65.4200,63.8300,64.4900,64.1180,163883,0.0000,1.0000
2019-01-11,64.0600,65.5200,63.8000,64.9400,64.5654,210376,0.0000,1.0000
2019-01-10,64.1400,66.1900,57.5500,64.1500,63.7800,620400,0.0000,1.0000
2019-01-09,62.7700,64.8444,62.2600,62.5900,62.2290,259949,0.0000,1.0000
2019-01-08,61.9700,62.1400,61.2700,62.0800,61.7219,214908,0.0000,1.0000
2019-01-07,60.3300,62.0100,59.3051,61.4000,61.0458,243553,0.0000,1.0000
2019-01-04,60.1100,61.1300,56.8026,60.5800,60.2306,184378,0.0000,1.0000
2019-01-03,58.9000,60.3000,58.1962,59.4200,59.0773,169015,0.0000,1.0000
2019-01-02,58.7500,62.1409,57.7100,58.9200,58.5802,155320,0.0000,1.0000
2018-12-31,58.2400,59.6150,57.2951,59.1000,58.7591,181121,0.0000,1.0000
2018-12-28,58.5900,60.3600,57.1975,58.0000,57.6655,218087,0.0000,1.0000
2018-12-27,57.9500,58.8100,56.1500,58.3900,58.0532,235849,0.0000,1.0000
2018-12-26,56.0300,58.8500,55.6600,58.5800,58.2421,187119,0.0000,1.0000
2018-12-24,55.9100,57.4700,55.6600,55.7800,55.4583,96438,0.0000,1.0000
2018-12-21,58.1600,60.2500,56.0500,56.0900,55.7665,329247,0.0000,1.0000
2018-12-20,59.5000,60.2000,55.5300,58.0900,57.7549,167143,0.0000,1.0000
2018-12-19,60.6300,62.0983,59.4210,59.6000,59.2562,109846,0.0000,1.0000
2018-12-18,62.0100,63.9850,60.5800,60.6400,60.2902,146803,0.0000,1.0000
2018-12-17,61.4900,63.3600,60.0298,62.0000,61.6424,201993,0.0000,1.0000
2018-12-14,61.7500,64.1000,61.2691,61.6500,61.2944,171576,0.0000,1.0000
2018-12-13,63.3800,64.7800,61.8900,62.2000,61.8412,247374,0.0000,1.0000
2018-12-12,62.9000,64.7689,62.1300,63.9700,63.6010,133471,0.0000,1.0000
2018-12-11,63.2000,64.0200,62.4400,62.4900,62.1296,182890,0.0000,1.0000
2018-12-10,61.6600,63.3300,61.0827,62.7500,62.3881,206129,0.0000,1.0000
2018-12-07,64.6100,64.6100,61.0900,61.6700,61.3143,303739,0.0000,1.0000
2018-12-06,63.5300,65.4050,63.4700,65.2100,64.8339,198388,0.0000,1.0000
2018-12-04,67.4400,68.7010,63.7300,64.1700,63.7999,155462,0.0000,1.0000
2018-12-03,67.4500,67.4500,65.1500,67.4500,67.0610,135712,0.0000,1.0000
2018-11-30,66.3100,67.0800,65.7200,66.8900,66.5042,120647,0.0000,1.0000
2018-11-29,66.6500,67.0400,65.8800,66.4400,66.0568,116381,0.0000,1.0000
2018-11-28,65.8300,67.2200,65.4800,66.7000,66.3153,159919,0.0000,1.0000
2018-11-27,65.9700,66.5300,65.4200,65.9300,65.5497,136857,0.0000,1.0000
2018-11-26,65.8900,66.4900,65.0400,65.8700,65.4901,114532,0.0000,1.0000
2018-11-23,64.7000,66.5100,64.6635,65.6900,65.3111,39779,0.0000,1.0000
