timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,34.9300,36.0600,34.3600,35.8800,35.8800,430381,0.0000,1.0000
2019-06-27,34.2300,35.0000,34.2300,34.9900,34.9900,132163,0.0000,1.0000
2019-06-26,34.1800,34.6900,34.1600,34.2000,34.2000,102236,0.0000,1.0000
2019-06-25,34.5200,34.6500,34.0100,34.1800,34.1800,169617,0.0000,1.0000
2019-06-24,34.3500,34.7400,34.0200,34.5800,34.5800,130195,0.0000,1.0000
2019-06-21,34.7000,34.9550,34.0500,34.3900,34.3900,348322,0.0000,1.0000
2019-06-20,35.0500,35.6100,34.7800,34.8400,34.8400,128412,0.0000,1.0000
2019-06-19,35.4300,35.5300,34.8400,35.0000,35.0000,129640,0.0000,1.0000
2019-06-18,35.5100,36.4300,35.3700,35.4000,35.4000,149254,0.0000,1.0000
2019-06-17,35.0000,35.6300,34.7550,35.2200,35.2200,108471,0.0000,1.0000
2019-06-14,35.0500,35.0800,34.6200,34.9500,34.9500,104257,0.0000,1.0000
2019-06-13,34.4700,35.1200,34.3000,35.0500,35.0500,85081,0.0000,1.0000
2019-06-12,34.3000,34.5700,34.0700,34.3200,34.3200,52333,0.0000,1.0000
2019-06-11,34.7200,34.7200,34.0700,34.3200,34.3200,52096,0.0000,1.0000
2019-06-10,34.4800,34.8900,34.2100,34.3700,34.3700,62690,0.0000,1.0000
2019-06-07,34.3100,34.5700,33.8500,34.3700,34.3700,75039,0.0000,1.0000
2019-06-06,34.2100,34.4000,33.8400,34.2600,34.2600,52304,0.0000,1.0000
2019-06-05,34.7000,34.8900,34.0600,34.2100,34.2100,57282,0.0000,1.0000
2019-06-04,35.0300,35.2400,34.3100,34.6800,34.6800,70426,0.0000,1.0000
2019-06-03,32.8400,34.6900,32.8100,34.5700,34.5700,213769,0.0000,1.0000
2019-05-31,33.5700,33.6300,32.4000,32.7500,32.7500,188608,0.0000,1.0000
2019-05-30,34.2300,34.5200,33.8100,34.0000,34.0000,151335,0.0000,1.0000
2019-05-29,34.1500,34.8000,34.0000,34.1800,34.1800,158357,0.0000,1.0000
2019-05-28,34.4200,34.8600,34.4000,34.4800,34.4800,112954,0.0000,1.0000
2019-05-24,34.5500,34.9400,34.4300,34.4500,34.4500,72351,0.0000,1.0000
2019-05-23,34.6000,34.9300,34.2200,34.3900,34.3900,90677,0.0000,1.0000
2019-05-22,34.6300,35.4850,34.6300,34.9000,34.9000,235582,0.0000,1.0000
2019-05-21,33.8100,35.3350,33.5281,34.8200,34.8200,251594,0.0000,1.0000
2019-05-20,34.2700,34.6800,33.9500,34.3300,34.3300,118149,0.0000,1.0000
2019-05-17,35.8800,36.2100,34.6500,34.7500,34.7500,139110,0.0000,1.0000
2019-05-16,36.5100,36.6950,35.7100,36.0900,36.0900,108304,0.0000,1.0000
2019-05-15,36.5900,36.9300,36.4800,36.5000,36.5000,48802,0.0000,1.0000
2019-05-14,36.7600,37.2600,36.7200,36.8800,36.8800,100141,0.0000,1.0000
2019-05-13,37.0100,37.1450,36.5100,36.7100,36.7100,69491,0.0000,1.0000
2019-05-10,37.5500,37.8500,36.9100,37.8100,37.8100,90979,0.0000,1.0000
2019-05-09,38.2400,38.2400,37.4500,37.6600,37.6600,88919,0.0000,1.0000
2019-05-08,38.5900,38.8196,38.0900,38.4500,38.4500,199430,0.0000,1.0000
2019-05-07,38.8900,39.1200,38.2544,38.4400,38.4400,90851,0.0000,1.0000
2019-05-06,38.9000,39.6500,38.9000,39.2800,39.2800,152052,0.0000,1.0000
2019-05-03,38.8500,39.9400,38.8500,39.6200,39.6200,100408,0.0000,1.0000
2019-05-02,38.0000,38.6900,37.7600,38.6400,38.6400,99938,0.0000,1.0000
2019-05-01,38.9700,38.9900,38.0000,38.0300,38.0300,236653,0.0000,1.0000
2019-04-30,39.2100,39.3242,38.6300,38.9100,38.9100,149832,0.0000,1.0000
2019-04-29,38.7500,39.3700,38.5700,39.2100,39.2100,66038,0.0000,1.0000
2019-04-26,38.0500,38.7000,38.0000,38.6400,38.6400,107425,0.0000,1.0000
2019-04-25,39.0900,39.0900,38.0100,38.0600,38.0600,68160,0.0000,1.0000
2019-04-24,39.3600,39.6600,39.1400,39.2400,39.2400,66107,0.0000,1.0000
2019-04-23,38.9600,39.9700,38.6557,39.4900,39.4900,136219,0.0000,1.0000
2019-04-22,38.9400,39.2300,38.5200,38.8800,38.8800,48912,0.0000,1.0000
2019-04-18,38.4400,39.3100,38.4400,39.0000,39.0000,74244,0.0000,1.0000
2019-04-17,38.9700,39.3100,38.4200,38.5600,38.5600,74922,0.0000,1.0000
2019-04-16,38.7000,38.9100,38.0500,38.8000,38.8000,76900,0.0000,1.0000
2019-04-15,39.3700,39.4000,38.3700,38.5200,38.5200,64638,0.0000,1.0000
2019-04-12,38.6800,39.6900,38.4350,39.4000,39.4000,108012,0.1300,1.0000
2019-04-11,38.7400,38.8800,38.3300,38.5300,38.4033,67128,0.0000,1.0000
2019-04-10,38.5800,39.0150,38.2100,38.7300,38.6026,118794,0.0000,1.0000
2019-04-09,39.4600,39.4600,38.4200,38.5700,38.4432,128767,0.0000,1.0000
2019-04-08,39.6600,39.7000,39.0800,39.5400,39.4100,86707,0.0000,1.0000
2019-04-05,39.2300,40.2600,38.9600,39.8300,39.6990,213309,0.0000,1.0000
2019-04-04,38.3200,39.0200,38.2000,39.0100,38.8817,164118,0.0000,1.0000
2019-04-03,38.9700,38.9700,38.2600,38.3500,38.2239,72661,0.0000,1.0000
2019-04-02,39.1000,39.1000,38.2100,38.5500,38.4232,110667,0.0000,1.0000
2019-04-01,38.4100,39.2100,38.4000,39.0900,38.9614,98096,0.0000,1.0000
2019-03-29,38.4200,39.4200,38.1400,38.3700,38.2438,208546,0.0000,1.0000
2019-03-28,37.9500,38.1700,37.5400,38.0700,37.9448,135904,0.0000,1.0000
2019-03-27,37.9100,38.1547,37.6900,37.7300,37.6059,134547,0.0000,1.0000
2019-03-26,37.3900,38.4300,37.1050,37.8800,37.7554,268370,0.0000,1.0000
2019-03-25,36.1400,37.5000,36.1400,37.0200,36.8983,214229,0.0000,1.0000
2019-03-22,35.0100,36.5439,34.6000,36.2600,36.1408,275574,0.0000,1.0000
2019-03-21,33.9000,36.1746,33.0000,35.1600,35.0444,437707,0.0000,1.0000
2019-03-20,38.7000,39.3400,38.1000,38.5900,38.4631,118102,0.0000,1.0000
2019-03-19,38.9200,39.1050,38.5700,38.6900,38.5628,66635,0.0000,1.0000
2019-03-18,38.2200,38.8800,38.1300,38.8600,38.7322,78469,0.0000,1.0000
2019-03-15,37.7700,38.5000,37.7700,38.2300,38.1043,367506,0.0000,1.0000
2019-03-14,38.2500,38.3200,37.6400,37.7100,37.5860,36545,0.0000,1.0000
2019-03-13,38.3500,38.4200,37.9700,38.2400,38.1142,75311,0.0000,1.0000
2019-03-12,38.6900,39.0500,38.0600,38.1400,38.0146,86287,0.0000,1.0000
2019-03-11,37.5100,38.6500,37.5100,38.6200,38.4930,50468,0.0000,1.0000
2019-03-08,37.7700,38.0100,37.3800,37.4900,37.3667,49056,0.0000,1.0000
2019-03-07,38.4200,38.4800,37.6900,37.9200,37.7953,61492,0.0000,1.0000
2019-03-06,39.3800,40.1799,38.1300,38.2300,38.1043,104119,0.0000,1.0000
2019-03-05,39.4600,39.9500,39.1700,39.3900,39.2605,71337,0.0000,1.0000
2019-03-04,40.0900,40.4715,39.2900,39.8000,39.6691,92572,0.0000,1.0000
2019-03-01,40.1200,40.2400,39.5000,39.9700,39.8386,86679,0.0000,1.0000
2019-02-28,39.8800,40.0000,39.5751,39.9200,39.7887,106731,0.0000,1.0000
2019-02-27,39.7500,40.0200,39.4600,40.0100,39.8784,51938,0.0000,1.0000
2019-02-26,40.2600,40.3700,39.7400,39.7500,39.6193,84998,0.0000,1.0000
2019-02-25,40.9400,41.3900,40.1000,40.2400,40.1077,90035,0.0000,1.0000
2019-02-22,40.6200,40.8000,40.2600,40.7500,40.6160,51868,0.0000,1.0000
2019-02-21,40.5300,40.6100,39.9400,40.4000,40.2671,58800,0.0000,1.0000
2019-02-20,39.8600,40.5900,39.7800,40.5600,40.4266,93797,0.0000,1.0000
2019-02-19,39.2700,40.0700,39.2700,39.8700,39.7389,70771,0.0000,1.0000
2019-02-15,38.8200,39.6500,38.7950,39.6300,39.4997,106661,0.0000,1.0000
2019-02-14,38.1600,38.9000,38.0400,38.6400,38.5129,96742,0.0000,1.0000
2019-02-13,37.8500,38.4050,37.6200,38.3500,38.2239,53192,0.0000,1.0000
2019-02-12,37.3000,37.9800,37.3000,37.8100,37.6857,64013,0.0000,1.0000
2019-02-11,36.7800,37.0900,36.2950,37.0900,36.9680,52469,0.0000,1.0000
2019-02-08,36.7700,37.4400,36.3500,36.7200,36.5992,47549,0.0000,1.0000
2019-02-07,37.3800,37.4050,36.6400,36.8800,36.7587,66224,0.0000,1.0000
2019-02-06,37.4700,37.9400,37.4100,37.6500,37.5262,64956,0.0000,1.0000
2019-02-05,36.9100,37.6400,36.9100,37.6300,37.5062,105481,0.0000,1.0000
2019-02-04,36.4600,36.9700,36.0600,36.9500,36.8285,83932,0.0000,1.0000
2019-02-01,37.2000,37.6771,36.2100,36.3900,36.2703,99309,0.0000,1.0000
2019-01-31,37.0400,37.2600,36.6000,36.9900,36.8684,90424,0.0000,1.0000
2019-01-30,36.8600,37.3100,36.5000,37.0000,36.8783,46840,0.0000,1.0000
2019-01-29,36.6000,37.4800,36.3200,36.7000,36.5793,78498,0.0000,1.0000
2019-01-28,37.1000,37.2000,36.1700,36.5900,36.4697,64485,0.0000,1.0000
2019-01-25,37.1300,38.2450,37.1300,37.6000,37.4763,56381,0.0000,1.0000
2019-01-24,36.4300,36.9300,36.2250,36.9000,36.7786,121700,0.0000,1.0000
2019-01-23,37.4100,38.1350,36.5365,36.6000,36.4796,60660,0.0000,1.0000
2019-01-22,38.1400,38.4300,36.8800,37.3100,37.1873,82511,0.0000,1.0000
2019-01-18,38.0400,39.0750,38.0200,38.4100,38.2837,147177,0.0000,1.0000
2019-01-17,37.2700,38.4000,37.2600,37.9500,37.8252,100084,0.0000,1.0000
