timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,73.4400,74.8500,72.9200,73.6700,73.6700,305038,0.0000,1.0000
2019-06-27,71.5800,73.1100,71.4325,72.9400,72.9400,166005,0.0000,1.0000
2019-06-26,72.5700,72.8200,71.6700,71.7600,71.7600,179286,0.0000,1.0000
2019-06-25,71.6000,72.9000,70.5300,72.4900,72.4900,146414,0.0000,1.0000
2019-06-24,73.1100,73.8200,71.4900,71.5800,71.5800,167868,0.0000,1.0000
2019-06-21,72.7300,74.2600,72.7300,73.0300,73.0300,409117,0.0000,1.0000
2019-06-20,73.7100,73.7100,72.2700,73.3000,73.3000,182977,0.0000,1.0000
2019-06-19,73.2000,74.2500,73.1500,73.2600,73.2600,112257,0.0000,1.0000
2019-06-18,72.2500,73.7500,72.2000,73.3000,73.3000,142092,0.0000,1.0000
2019-06-17,71.9600,72.5650,71.4300,72.1700,72.1700,248324,0.0000,1.0000
2019-06-14,71.2300,72.4400,70.3400,72.0900,72.0900,186131,0.0000,1.0000
2019-06-13,70.4500,71.5000,70.1500,71.1200,71.1200,118669,0.0000,1.0000
2019-06-12,69.5900,70.6500,69.5900,70.2600,70.2600,125664,0.0000,1.0000
2019-06-11,69.8800,70.5600,69.5300,69.9900,69.9900,130737,0.0000,1.0000
2019-06-10,68.3900,69.6400,68.3900,69.2700,69.2700,128164,0.0000,1.0000
2019-06-07,68.0100,68.5700,67.0715,68.0900,68.0900,104283,0.0000,1.0000
2019-06-06,68.4100,68.7600,67.1000,68.2700,68.2700,73512,0.0000,1.0000
2019-06-05,68.9700,69.3000,67.6800,68.6000,68.6000,82462,0.0000,1.0000
2019-06-04,67.1000,69.0300,67.1000,69.0100,69.0100,65890,0.0000,1.0000
2019-06-03,65.6800,66.9400,65.2600,66.3800,66.3800,112165,0.0000,1.0000
2019-05-31,66.8200,66.8200,65.4000,65.8900,65.8900,141042,0.0000,1.0000
2019-05-30,69.9000,69.9500,66.8500,67.7400,67.7400,84377,0.0000,1.0000
2019-05-29,69.0500,69.8500,68.2000,69.7200,69.7200,79828,0.0000,1.0000
2019-05-28,69.8900,69.8900,69.1700,69.5800,69.5800,156342,0.0000,1.0000
2019-05-24,69.6100,70.1100,69.4400,70.0400,70.0400,70340,0.0000,1.0000
2019-05-23,69.7800,69.7800,68.5600,69.1500,69.1500,131034,0.0000,1.0000
2019-05-22,71.9000,71.9000,70.4900,70.5400,70.5400,152246,0.0000,1.0000
2019-05-21,72.7700,72.8600,72.1600,72.2500,72.2500,127205,0.0000,1.0000
2019-05-20,72.0500,73.1400,71.7073,72.5100,72.5100,89024,0.0000,1.0000
2019-05-17,72.3700,73.8900,72.3700,72.5300,72.5300,84115,0.0000,1.0000
