timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,16.0700,16.5900,15.9500,16.5100,16.5100,11216697,0.0000,1.0000
2019-06-27,15.8600,16.1700,15.7500,15.9400,15.9400,6256427,0.0000,1.0000
2019-06-26,16.3100,16.4700,15.5700,15.8400,15.8400,1265158,0.0000,1.0000
2019-06-25,16.7700,16.9000,16.1400,16.2100,16.2100,2426366,0.0000,1.0000
2019-06-24,16.4000,16.7750,16.0000,16.7500,16.7500,3073726,0.0000,1.0000
2019-06-21,17.0000,17.2200,16.4300,16.4900,16.4900,2829978,0.0000,1.0000
2019-06-20,17.3100,17.6500,16.9600,17.0600,17.0600,2604719,0.0000,1.0000
2019-06-19,16.7000,17.4300,16.5950,17.0400,17.0400,2786198,0.0000,1.0000
2019-06-18,16.5000,16.9900,16.3600,16.6900,16.6900,3021895,0.0000,1.0000
2019-06-17,16.3700,17.0200,16.2200,16.2800,16.2800,3539968,0.0000,1.0000
2019-06-14,16.0200,16.5150,15.9400,16.3000,16.3000,2108641,0.0000,1.0000
2019-06-13,16.4700,16.6200,15.9300,15.9500,15.9500,2087450,0.0000,1.0000
2019-06-12,16.5500,16.8300,16.3700,16.4000,16.4000,1381356,0.0000,1.0000
2019-06-11,16.7600,16.9780,16.5000,16.6200,16.6200,2478199,0.0000,1.0000
2019-06-10,17.5400,17.8200,16.7600,16.8300,16.8300,3054057,0.0000,1.0000
2019-06-07,16.8200,17.3000,16.5900,16.9600,16.9600,1261711,0.0000,1.0000
2019-06-06,16.3900,16.8000,16.1500,16.7200,16.7200,523033,0.0000,1.0000
2019-06-05,16.1800,16.4300,16.0072,16.3300,16.3300,923339,0.0000,1.0000
2019-06-04,16.2400,16.3200,15.8900,16.1200,16.1200,1264887,0.0000,1.0000
2019-06-03,17.1400,17.1400,16.0500,16.2100,16.2100,1407866,0.0000,1.0000
2019-05-31,16.5800,17.2500,16.3300,17.2000,17.2000,1328009,0.0000,1.0000
2019-05-30,17.2800,17.4300,16.8950,17.0300,17.0300,1372939,0.0000,1.0000
2019-05-29,17.2600,17.3500,16.9700,17.2800,17.2800,882599,0.0000,1.0000
2019-05-28,17.1200,17.5800,17.0000,17.3500,17.3500,1306579,0.0000,1.0000
2019-05-24,17.0500,17.4000,16.9300,17.1000,17.1000,1170352,0.0000,1.0000
2019-05-23,16.6400,17.0250,16.5638,16.9800,16.9800,918750,0.0000,1.0000
2019-05-22,16.8900,17.1900,16.7200,16.9800,16.9800,704426,0.0000,1.0000
2019-05-21,16.8400,17.0100,16.5600,16.9600,16.9600,689265,0.0000,1.0000
2019-05-20,16.7800,17.0000,16.4500,16.7500,16.7500,812794,0.0000,1.0000
2019-05-17,16.5900,17.2750,16.5340,17.0300,17.0300,745690,0.0000,1.0000
2019-05-16,16.3800,16.7500,15.9100,16.7000,16.7000,1104738,0.0000,1.0000
2019-05-15,15.9100,16.5000,15.8200,16.4800,16.4800,1619959,0.0000,1.0000
2019-05-14,16.0800,16.3600,15.7400,16.0800,16.0800,2047440,0.0000,1.0000
2019-05-13,16.6000,16.6300,15.9200,16.0700,16.0700,2299934,0.0000,1.0000
2019-05-10,17.6000,17.6000,16.2600,16.8200,16.8200,1929288,0.0000,1.0000
2019-05-09,18.2500,18.3000,17.4500,17.7500,17.7500,2099190,0.0000,1.0000
2019-05-08,17.8000,17.8999,17.2000,17.7300,17.7300,999947,0.0000,1.0000
2019-05-07,17.8500,17.9400,17.5700,17.8100,17.8100,645677,0.0000,1.0000
2019-05-06,17.5700,18.0600,17.5000,17.9600,17.9600,951737,0.0000,1.0000
2019-05-03,17.6100,18.1500,17.6100,17.8600,17.8600,984827,0.0000,1.0000
2019-05-02,17.4400,17.8550,17.1000,17.5300,17.5300,628058,0.0000,1.0000
2019-05-01,18.0000,18.0900,17.4900,17.5300,17.5300,695546,0.0000,1.0000
2019-04-30,17.9300,18.4100,17.6667,17.9000,17.9000,1044126,0.0000,1.0000
2019-04-29,17.9200,18.1500,17.6500,17.9700,17.9700,1237158,0.0000,1.0000
2019-04-26,17.6200,17.9500,17.4269,17.7400,17.7400,519177,0.0000,1.0000
2019-04-25,17.5900,18.0000,17.3200,17.6800,17.6800,463486,0.0000,1.0000
2019-04-24,17.6500,17.7600,17.4150,17.6000,17.6000,534172,0.0000,1.0000
2019-04-23,17.0700,17.6000,16.8600,17.5600,17.5600,414835,0.0000,1.0000
2019-04-22,16.7200,17.3850,16.7200,17.0000,17.0000,633538,0.0000,1.0000
2019-04-18,17.2300,17.7600,17.0200,17.4800,17.4800,535768,0.0000,1.0000
2019-04-17,17.3700,17.5300,17.0000,17.3800,17.3800,905070,0.0000,1.0000
2019-04-16,17.2000,17.4700,16.9044,17.3100,17.3100,670791,0.0000,1.0000
2019-04-15,17.1000,17.2217,16.7100,17.1200,17.1200,639324,0.0000,1.0000
2019-04-12,17.8300,18.0050,16.9900,17.1200,17.1200,805600,0.0000,1.0000
2019-04-11,17.9700,18.1300,17.6111,17.6900,17.6900,954630,0.0000,1.0000
2019-04-10,17.5000,18.2149,17.5000,17.9600,17.9600,1007672,0.0000,1.0000
2019-04-09,17.2100,17.5800,17.0100,17.4500,17.4500,601046,0.0000,1.0000
2019-04-08,17.5100,17.6000,17.0300,17.2700,17.2700,663233,0.0000,1.0000
2019-04-05,17.8200,17.8800,17.4400,17.6000,17.6000,417048,0.0000,1.0000
2019-04-04,18.0000,18.3200,17.3500,17.7200,17.7200,608410,0.0000,1.0000
2019-04-03,18.0000,18.2625,17.4200,18.1200,18.1200,818269,0.0000,1.0000
2019-04-02,18.2800,18.3400,17.6300,18.0200,18.0200,1547204,0.0000,1.0000
2019-04-01,18.2800,18.4800,18.0227,18.3000,18.3000,1591547,0.0000,1.0000
2019-03-29,18.0000,18.3700,17.6100,18.2100,18.2100,1480608,0.0000,1.0000
2019-03-28,17.0800,17.9400,16.9000,17.8000,17.8000,2063894,0.0000,1.0000
2019-03-27,16.8300,17.2500,16.3900,17.0000,17.0000,1869283,0.0000,1.0000
2019-03-26,15.3500,16.9198,15.2500,16.8200,16.8200,3392690,0.0000,1.0000
2019-03-25,15.1500,15.5000,14.9300,15.2400,15.2400,4596823,0.0000,1.0000
2019-03-22,15.3600,15.6600,14.9400,15.0200,15.0200,1708389,0.0000,1.0000
2019-03-21,15.1400,15.3600,15.0000,15.2000,15.2000,804176,0.0000,1.0000
2019-03-20,15.2300,15.4400,15.0600,15.1300,15.1300,630950,0.0000,1.0000
2019-03-19,15.5000,15.5700,15.1000,15.2200,15.2200,862747,0.0000,1.0000
2019-03-18,15.4000,15.4700,15.0848,15.4500,15.4500,896526,0.0000,1.0000
2019-03-15,15.0400,15.6600,15.0200,15.3800,15.3800,5749682,0.0000,1.0000
2019-03-14,15.5100,15.5800,14.9900,15.1300,15.1300,7790381,0.0000,1.0000
2019-03-13,15.8500,16.0000,15.3800,15.5500,15.5500,1091683,0.0000,1.0000
2019-03-12,15.5300,15.8600,15.3600,15.7900,15.7900,576183,0.0000,1.0000
2019-03-11,15.1900,16.0000,15.1200,15.4500,15.4500,1760818,0.0000,1.0000
2019-03-08,15.2100,15.2100,14.7500,15.2000,15.2000,1543282,0.0000,1.0000
2019-03-07,15.0000,15.8100,14.7050,15.4100,15.4100,2882785,0.0000,1.0000
2019-03-06,14.7300,15.0400,14.4500,14.9800,14.9800,948451,0.0000,1.0000
2019-03-05,14.7300,14.7600,14.3101,14.7100,14.7100,582022,0.0000,1.0000
2019-03-04,15.0000,15.0100,14.2500,14.6900,14.6900,778948,0.0000,1.0000
2019-03-01,15.1000,15.1500,14.9000,15.0000,15.0000,1121395,0.0000,1.0000
2019-02-28,13.9400,15.9000,13.8750,15.1700,15.1700,4579314,0.0000,1.0000
2019-02-27,13.1000,14.3700,13.0200,14.2800,14.2800,3735105,0.0000,1.0000
2019-02-26,13.0100,13.1400,12.9000,13.0900,13.0900,1254269,0.0000,1.0000
2019-02-25,13.4700,13.5800,13.0100,13.1000,13.1000,1507039,0.0000,1.0000
2019-02-22,13.0200,13.5800,12.9800,13.5100,13.5100,1737486,0.0000,1.0000
2019-02-21,13.1100,13.2600,12.9100,13.1500,13.1500,624397,0.0000,1.0000
2019-02-20,12.8900,13.4000,12.7301,13.1900,13.1900,1417806,0.0000,1.0000
2019-02-19,11.7800,13.0200,11.7000,12.9800,12.9800,2570711,0.0000,1.0000
2019-02-15,11.8100,12.5700,11.6000,12.3500,12.3500,3034016,0.0000,1.0000
2019-02-14,12.2000,13.1800,11.2900,11.8500,11.8500,18235098,0.0000,1.0000
2019-02-13,14.2100,14.4200,13.7000,14.0600,14.0600,621090,0.0000,1.0000
2019-02-12,14.4300,14.6899,14.0300,14.1000,14.1000,408484,0.0000,1.0000
2019-02-11,14.2600,14.4000,13.6400,14.3100,14.3100,564054,0.0000,1.0000
2019-02-08,13.9000,15.0100,13.9000,14.0800,14.0800,852872,0.0000,1.0000
2019-02-07,13.6200,14.1300,13.4500,14.0100,14.0100,455462,0.0000,1.0000
2019-02-06,13.6900,13.8000,13.5600,13.7000,13.7000,181241,0.0000,1.0000
2019-02-05,13.8400,13.9100,13.4600,13.6900,13.6900,274122,0.0000,1.0000
2019-02-04,12.8200,13.9563,12.8075,13.6500,13.6500,357301,0.0000,1.0000
2019-02-01,13.0100,13.1000,12.5500,12.8000,12.8000,251724,0.0000,1.0000
2019-01-31,12.6600,13.3500,12.6600,13.0100,13.0100,217051,0.0000,1.0000
2019-01-30,12.7500,12.9900,12.5900,12.6700,12.6700,295057,0.0000,1.0000
2019-01-29,12.9000,13.0500,12.6200,12.6400,12.6400,100237,0.0000,1.0000
2019-01-28,13.1100,13.1700,12.6000,12.9000,12.9000,250134,0.0000,1.0000
2019-01-25,13.2400,13.4500,13.0600,13.2300,13.2300,162279,0.0000,1.0000
2019-01-24,12.7800,13.2200,12.5701,13.1800,13.1800,164683,0.0000,1.0000
2019-01-23,12.8300,13.2100,12.5900,12.7200,12.7200,216347,0.0000,1.0000
2019-01-22,13.3200,13.3400,12.5950,12.7700,12.7700,161886,0.0000,1.0000
2019-01-18,13.1700,13.6000,12.9700,13.4100,13.4100,210339,0.0000,1.0000
2019-01-17,13.2000,13.2000,12.5300,13.0900,13.0900,363283,0.0000,1.0000
2019-01-16,13.4000,13.5900,13.1500,13.3000,13.3000,89072,0.0000,1.0000
2019-01-15,13.4500,13.6000,13.3000,13.4100,13.4100,115314,0.0000,1.0000
2019-01-14,13.2900,13.6600,13.1700,13.3600,13.3600,117393,0.0000,1.0000
2019-01-11,12.9800,13.5700,12.9800,13.3700,13.3700,188806,0.0000,1.0000
2019-01-10,13.3200,13.6400,12.8183,13.0400,13.0400,298009,0.0000,1.0000
2019-01-09,13.6800,13.8800,13.3150,13.4700,13.4700,235211,0.0000,1.0000
2019-01-08,13.5100,13.9000,12.8500,13.6300,13.6300,282945,0.0000,1.0000
2019-01-07,12.7600,13.8400,12.5800,13.4000,13.4000,513615,0.0000,1.0000
2019-01-04,11.9300,12.7300,11.7350,12.6600,12.6600,257703,0.0000,1.0000
2019-01-03,11.7700,12.0900,11.3100,11.7200,11.7200,333080,0.0000,1.0000
2019-01-02,12.0600,12.3800,11.7000,11.9100,11.9100,468067,0.0000,1.0000
2018-12-31,11.1900,12.3100,11.1600,12.2700,12.2700,864438,0.0000,1.0000
2018-12-28,11.1800,11.4500,11.0100,11.2200,11.2200,321314,0.0000,1.0000
2018-12-27,11.2400,11.2400,10.6000,11.1900,11.1900,329744,0.0000,1.0000
2018-12-26,10.8000,11.3500,10.3450,11.3400,11.3400,415392,0.0000,1.0000
2018-12-24,10.7200,11.3500,10.5500,10.8500,10.8500,326406,0.0000,1.0000
2018-12-21,11.0900,11.3700,10.7150,10.9800,10.9800,2919860,0.0000,1.0000
2018-12-20,10.9400,11.1400,10.5600,11.0300,11.0300,539256,0.0000,1.0000
2018-12-19,11.0600,11.7100,10.7100,11.0500,11.0500,543350,0.0000,1.0000
2018-12-18,11.0800,11.4700,10.9920,11.0100,11.0100,472256,0.0000,1.0000
2018-12-17,12.3700,12.3700,10.7800,10.9700,10.9700,1305338,0.0000,1.0000
2018-12-14,12.7500,13.0300,12.3800,12.4500,12.4500,347157,0.0000,1.0000
2018-12-13,13.0400,13.4400,12.8200,12.9400,12.9400,234499,0.0000,1.0000
2018-12-12,13.1500,13.2680,12.8600,13.0400,13.0400,325771,0.0000,1.0000
2018-12-11,13.4200,13.8000,12.8319,12.9400,12.9400,470126,0.0000,1.0000
2018-12-10,13.4300,13.8900,13.0800,13.2100,13.2100,469887,0.0000,1.0000
2018-12-07,13.9000,14.2500,13.4000,13.5100,13.5100,490236,0.0000,1.0000
2018-12-06,13.6100,14.2500,13.2100,13.8900,13.8900,549088,0.0000,1.0000
2018-12-04,14.2000,14.5400,13.9200,14.2200,14.2200,394619,0.0000,1.0000
2018-12-03,14.3800,14.7500,14.0400,14.3400,14.3400,420495,0.0000,1.0000
2018-11-30,14.5400,15.2400,13.2300,14.2800,14.2800,1480675,0.0000,1.0000
2018-11-29,14.1000,14.9300,13.8100,14.5400,14.5400,776930,0.0000,1.0000
2018-11-28,13.4400,14.1000,13.4229,14.0100,14.0100,408607,0.0000,1.0000
2018-11-27,13.2100,13.5400,13.0300,13.3100,13.3100,147527,0.0000,1.0000
2018-11-26,13.1500,13.4700,12.7900,13.3200,13.3200,230741,0.0000,1.0000
2018-11-23,12.5800,13.4500,12.5050,13.0000,13.0000,167597,0.0000,1.0000
2018-11-21,13.1500,13.3000,12.2700,12.8000,12.8000,484470,0.0000,1.0000
2018-11-20,12.2500,13.1000,12.2400,13.0500,13.0500,637152,0.0000,1.0000
2018-11-19,14.1000,14.1000,12.2500,12.9900,12.9900,971002,0.0000,1.0000
2018-11-16,12.3700,14.2700,12.3700,14.1500,14.1500,1496253,0.0000,1.0000
2018-11-15,13.1500,13.7000,12.8000,13.2100,13.2100,1192687,0.0000,1.0000
2018-11-14,11.9500,13.4500,11.0000,12.7700,12.7700,1262165,0.0000,1.0000
2018-11-13,11.4900,11.8800,11.0768,11.2900,11.2900,714545,0.0000,1.0000
2018-11-12,11.3400,11.9000,10.6200,11.5000,11.5000,755345,0.0000,1.0000
2018-11-09,11.2600,11.3743,10.5450,10.7700,10.7700,407662,0.0000,1.0000
2018-11-08,12.0000,12.0000,11.3200,11.4300,11.4300,324118,0.0000,1.0000
2018-11-07,11.2900,11.9500,11.2500,11.9000,11.9000,387836,0.0000,1.0000
2018-11-06,11.2000,11.3800,11.0902,11.2500,11.2500,80121,0.0000,1.0000
2018-11-05,11.6000,11.6000,10.8800,11.2300,11.2300,132220,0.0000,1.0000
2018-11-02,11.2600,11.7000,11.2500,11.5700,11.5700,161942,0.0000,1.0000
2018-11-01,10.7700,11.3300,10.4800,11.2800,11.2800,209067,0.0000,1.0000
2018-10-31,10.3800,10.7900,10.2400,10.7100,10.7100,473763,0.0000,1.0000
2018-10-30,10.3100,10.5600,10.0500,10.3000,10.3000,289573,0.0000,1.0000
2018-10-29,11.4600,11.7600,10.0800,10.3400,10.3400,327263,0.0000,1.0000
2018-10-26,11.2500,11.9100,11.0150,11.3900,11.3900,368119,0.0000,1.0000
2018-10-25,11.0000,11.4700,10.7600,11.4500,11.4500,399439,0.0000,1.0000
2018-10-24,11.0300,11.1200,10.8000,10.9900,10.9900,315179,0.0000,1.0000
2018-10-23,11.4800,11.4940,10.7200,11.0700,11.0700,417288,0.0000,1.0000
2018-10-22,12.9600,13.0300,11.3100,11.6300,11.6300,629394,0.0000,1.0000
2018-10-19,13.7500,13.9294,12.6500,13.0200,13.0200,394517,0.0000,1.0000
2018-10-18,13.4700,13.9900,13.3900,13.7500,13.7500,389301,0.0000,1.0000
2018-10-17,13.0300,13.5900,12.7100,13.4900,13.4900,386952,0.0000,1.0000
2018-10-16,12.8700,13.1700,12.6000,13.0600,13.0600,332806,0.0000,1.0000
2018-10-15,12.8800,13.0000,12.2400,12.8200,12.8200,362261,0.0000,1.0000
2018-10-12,12.6200,12.9500,12.2900,12.8900,12.8900,765717,0.0000,1.0000
2018-10-11,11.6100,12.5800,11.6100,12.4700,12.4700,1118436,0.0000,1.0000
2018-10-10,12.7900,12.9001,11.3700,11.9350,11.9350,1613367,0.0000,1.0000
2018-10-09,14.0700,14.0700,12.6401,12.8500,12.8500,1181523,0.0000,1.0000
2018-10-08,13.8000,14.3900,13.2000,14.2100,14.2100,1383127,0.0000,1.0000
2018-10-05,13.4200,13.9000,13.3028,13.8300,13.8300,801010,0.0000,1.0000
2018-10-04,14.5600,14.6500,13.2000,13.4800,13.4800,1720185,0.0000,1.0000
2018-10-03,14.5000,15.2500,14.2200,14.7400,14.7400,1431442,0.0000,1.0000
2018-10-02,15.1400,15.2200,14.2500,14.2900,14.2900,3740552,0.0000,1.0000
2018-10-01,16.2700,16.4000,15.4500,15.7000,15.7000,1507218,0.0000,1.0000
2018-09-28,16.0000,16.4600,15.2000,16.0300,16.0300,2140018,0.0000,1.0000
2018-09-27,18.1400,18.4000,16.0000,16.1200,16.1200,4079106,0.0000,1.0000
2018-09-26,18.7500,20.0000,16.5700,17.2400,17.2400,18628180,0.0000,1.0000
