timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,15.5900,15.8301,15.5400,15.7700,15.7700,185984,0.0000,1.0000
2019-06-27,15.2800,15.6000,15.2500,15.5100,15.5100,179878,0.0000,1.0000
2019-06-26,14.9800,15.2400,14.9200,15.2200,15.2200,307854,0.0000,1.0000
2019-06-25,15.1100,15.2000,14.4600,14.6000,14.6000,449219,0.0000,1.0000
2019-06-24,15.5200,15.5400,15.1000,15.1400,15.1400,145690,0.0000,1.0000
2019-06-21,15.5300,15.5899,15.3000,15.4800,15.4800,172356,0.0000,1.0000
2019-06-20,15.8700,15.8700,15.5400,15.5800,15.5800,224229,0.0000,1.0000
2019-06-19,15.4600,15.8700,15.3600,15.5200,15.5200,509903,0.0000,1.0000
2019-06-18,15.3200,15.8700,15.2200,15.3200,15.3200,670842,0.0000,1.0000
2019-06-17,14.9300,15.3100,14.7900,15.0800,15.0800,343769,0.0000,1.0000
2019-06-14,15.0500,15.1900,14.7400,15.0800,15.0800,290638,0.0000,1.0000
2019-06-13,15.1400,15.3200,15.0900,15.2200,15.2200,168968,0.0000,1.0000
2019-06-12,15.3700,15.3850,15.1100,15.1500,15.1500,129219,0.0000,1.0000
2019-06-11,15.7900,15.8500,15.3300,15.5000,15.5000,285014,0.0000,1.0000
2019-06-10,15.4800,15.6500,15.3800,15.5200,15.5200,294439,0.0000,1.0000
2019-06-07,15.1000,15.3700,14.9900,15.3400,15.3400,149108,0.0000,1.0000
2019-06-06,15.1600,15.3700,14.9000,15.0300,15.0300,127970,0.0000,1.0000
2019-06-05,15.5300,15.5800,15.1250,15.2000,15.2000,359692,0.0000,1.0000
2019-06-04,15.0000,15.4200,14.9300,15.4000,15.4000,322049,0.0000,1.0000
2019-06-03,14.7500,14.9400,14.5850,14.7400,14.7400,276238,0.0000,1.0000
2019-05-31,15.0200,15.1000,14.9000,14.9000,14.9000,173787,0.0000,1.0000
2019-05-30,15.2500,15.3400,15.0500,15.2000,15.2000,270382,0.0000,1.0000
2019-05-29,14.9300,15.3100,14.8350,15.2600,15.2600,301380,0.0000,1.0000
2019-05-28,15.4500,15.5400,15.1500,15.1700,15.1700,172230,0.0000,1.0000
2019-05-24,15.4700,15.6800,15.3700,15.4900,15.4900,216199,0.0000,1.0000
2019-05-23,15.5000,15.5600,15.2000,15.4200,15.4200,219698,0.0000,1.0000
2019-05-22,15.9900,16.0800,15.5800,15.6900,15.6900,242828,0.0000,1.0000
2019-05-21,16.1500,16.3400,16.0700,16.2200,16.2200,261850,0.0000,1.0000
2019-05-20,16.1800,16.3200,15.8500,16.0300,16.0300,429167,0.0000,1.0000
2019-05-17,16.8600,17.3200,16.5900,16.6500,16.6500,318707,0.0000,1.0000
2019-05-16,17.7100,17.8200,16.8050,17.1000,17.1000,326589,0.0000,1.0000
2019-05-15,17.2900,18.3000,17.0800,17.8400,17.8400,597274,0.0000,1.0000
2019-05-14,16.9500,17.3000,16.8600,17.1700,17.1700,572039,0.0000,1.0000
2019-05-13,17.1200,17.2800,16.6800,16.8100,16.8100,474349,0.0000,1.0000
2019-05-10,18.0900,18.2300,17.6000,18.0300,18.0300,234353,0.0000,1.0000
2019-05-09,18.1200,18.2400,17.6700,18.1700,18.1700,349326,0.0000,1.0000
2019-05-08,18.2700,18.5900,18.2000,18.2300,18.2300,264724,0.0000,1.0000
2019-05-07,18.1500,18.3600,18.0400,18.2700,18.2700,399281,0.0000,1.0000
2019-05-06,18.1500,18.5200,18.0900,18.4800,18.4800,378124,0.0000,1.0000
2019-05-03,18.3600,18.8100,18.3000,18.7700,18.7700,171001,0.0000,1.0000
2019-05-02,18.1800,18.4800,18.1700,18.3500,18.3500,242407,0.0000,1.0000
2019-05-01,18.0500,18.4400,18.0400,18.2500,18.2500,297666,0.0000,1.0000
2019-04-30,18.1600,18.2800,17.7600,17.9700,17.9700,200778,0.0000,1.0000
2019-04-29,17.8400,18.1200,17.7800,18.1100,18.1100,268427,0.0000,1.0000
2019-04-26,17.5900,17.7200,17.4290,17.6600,17.6600,146444,0.0000,1.0000
2019-04-25,17.9200,18.1000,17.4000,17.7000,17.7000,221839,0.0000,1.0000
2019-04-24,17.5500,18.2400,17.4500,18.0700,18.0700,369425,0.0000,1.0000
2019-04-23,17.5500,17.8200,17.4300,17.7100,17.7100,184185,0.0000,1.0000
2019-04-22,17.5400,17.5400,17.3100,17.4300,17.4300,176074,0.0000,1.0000
2019-04-18,17.8400,18.0000,17.6700,17.6700,17.6700,214410,0.0000,1.0000
2019-04-17,18.2000,18.2700,17.7600,17.9100,17.9100,206849,0.0000,1.0000
2019-04-16,18.1700,18.2300,18.0400,18.0600,18.0600,266744,0.0000,1.0000
2019-04-15,18.0600,18.2300,17.9100,18.0200,18.0200,211540,0.0000,1.0000
2019-04-12,17.9200,18.2000,17.8250,18.0100,18.0100,209150,0.0000,1.0000
2019-04-11,17.8500,17.9900,17.7200,17.7300,17.7300,189486,0.0000,1.0000
2019-04-10,17.8100,18.0800,17.6800,17.9100,17.9100,176477,0.0000,1.0000
2019-04-09,17.9100,17.9500,17.6900,17.7700,17.7700,269977,0.0000,1.0000
2019-04-08,17.8600,17.9600,17.6600,17.9500,17.9500,235085,0.0000,1.0000
2019-04-05,17.8900,18.0900,17.8200,17.9600,17.9600,238594,0.0000,1.0000
2019-04-04,17.6400,18.1250,17.6000,17.9400,17.9400,280003,0.0000,1.0000
2019-04-03,17.5900,18.0800,17.5900,17.8600,17.8600,410758,0.0000,1.0000
2019-04-02,17.0900,17.3800,17.0400,17.3200,17.3200,697897,0.0000,1.0000
2019-04-01,16.7600,17.1900,16.7600,17.0900,17.0900,269138,0.0000,1.0000
