timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,111.1200,111.6600,111.1000,111.6000,111.6000,124107,0.0000,1.0000
2019-06-27,110.4500,110.8200,110.3900,110.6800,110.6800,46156,0.0000,1.0000
2019-06-26,110.8400,110.8400,110.1600,110.1600,110.1600,49227,0.0000,1.0000
2019-06-25,111.1600,111.1600,110.5000,110.5000,110.5000,69937,0.0000,1.0000
2019-06-24,111.3200,111.4184,110.9900,111.1000,111.1000,52613,0.0000,1.0000
2019-06-21,111.3300,111.6201,111.1900,111.3200,111.3200,34526,0.6488,1.0000
2019-06-20,112.0500,112.0900,111.2001,112.0600,111.4107,50769,0.0000,1.0000
2019-06-19,110.8200,111.2700,110.6700,111.0900,110.4463,46706,0.0000,1.0000
2019-06-18,110.3700,111.2300,110.3000,110.8100,110.1679,187785,0.0000,1.0000
2019-06-17,109.9500,110.0700,109.7500,109.8300,109.1936,26188,0.0000,1.0000
2019-06-14,110.0500,110.2407,109.7000,110.0000,109.3626,54621,0.0000,1.0000
2019-06-13,109.9000,110.1318,109.7100,110.1000,109.4620,131755,0.0000,1.0000
2019-06-12,109.6400,109.8300,109.4899,109.5500,108.9152,144604,0.0000,1.0000
2019-06-11,110.4200,110.4900,109.6390,109.7400,109.1041,139499,0.0000,1.0000
2019-06-10,109.9400,110.2300,109.6900,109.7900,109.1538,56732,0.0000,1.0000
2019-06-07,109.2400,109.7674,109.2300,109.3700,108.7363,33498,0.0000,1.0000
2019-06-06,108.3700,109.1850,108.2900,108.9300,108.2988,45406,0.0000,1.0000
2019-06-05,108.0700,108.3000,107.3802,108.2600,107.6327,52103,0.0000,1.0000
2019-06-04,106.5000,107.6600,106.4800,107.6400,107.0163,85193,0.0000,1.0000
2019-06-03,104.9100,105.8079,104.9100,105.6000,104.9881,385430,0.0000,1.0000
2019-05-31,105.1300,105.2700,104.6200,104.7500,104.1430,40013,0.0000,1.0000
2019-05-30,106.2500,106.5800,105.6400,106.0100,105.3957,66794,0.0000,1.0000
2019-05-29,106.1000,106.2600,105.4800,106.0600,105.4454,105857,0.0000,1.0000
2019-05-28,108.0400,108.2100,106.6400,106.6400,106.0221,60585,0.0000,1.0000
2019-05-24,108.1700,108.3200,107.7116,107.9500,107.3245,22591,0.0000,1.0000
2019-05-23,108.0300,108.0300,107.1288,107.7300,107.1058,39050,0.0000,1.0000
2019-05-22,108.9400,109.2000,108.6892,108.9599,108.3285,37246,0.0000,1.0000
2019-05-21,109.0600,109.4400,109.0000,109.3000,108.6667,29912,0.0000,1.0000
2019-05-20,108.4200,108.9800,108.1599,108.4900,107.8614,83882,0.0000,1.0000
2019-05-17,108.6900,109.6400,108.6900,108.8600,108.2292,32616,0.0000,1.0000
2019-05-16,108.8200,109.8200,108.8200,109.3400,108.7064,28843,0.0000,1.0000
2019-05-15,107.7000,108.7200,107.4901,108.4500,107.8216,123062,0.0000,1.0000
2019-05-14,107.8800,108.9000,107.8800,108.3597,107.7318,39948,0.0000,1.0000
2019-05-13,108.0600,108.2400,107.1665,107.5900,106.9666,43592,0.0000,1.0000
2019-05-10,108.7400,109.9100,107.8200,109.6800,109.0445,51792,0.0000,1.0000
2019-05-09,108.5000,109.2600,107.9100,109.1200,108.4877,37135,0.0000,1.0000
2019-05-08,109.3000,110.0200,109.3000,109.3200,108.6865,202159,0.0000,1.0000
2019-05-07,110.4900,110.4900,109.0350,109.6300,108.9948,35877,0.0000,1.0000
2019-05-06,110.1500,111.4200,110.1500,111.2800,110.6352,24070,0.0000,1.0000
2019-05-03,111.2800,111.8000,111.2000,111.7700,111.1224,28842,0.0000,1.0000
2019-05-02,110.8400,111.2700,110.3200,110.7200,110.0784,32845,0.0000,1.0000
2019-05-01,112.0600,112.0600,110.9700,110.9700,110.3270,45304,0.0000,1.0000
2019-04-30,111.5800,112.0200,111.1400,111.9300,111.2814,45447,0.0000,1.0000
2019-04-29,111.1400,111.6400,111.1400,111.3700,110.7247,27304,0.0000,1.0000
2019-04-26,110.4700,111.0900,110.4700,111.0900,110.4463,37789,0.0000,1.0000
2019-04-25,110.6700,110.9932,110.2300,110.7000,110.0586,31087,0.0000,1.0000
2019-04-24,111.0200,111.1900,110.8100,110.9100,110.2673,30793,0.0000,1.0000
2019-04-23,110.5300,111.1900,110.3800,111.0800,110.4364,80505,0.0000,1.0000
2019-04-22,110.3600,110.5000,110.1700,110.3600,109.7205,46274,0.0000,1.0000
2019-04-18,110.5600,110.6200,110.1300,110.4700,109.8299,31248,0.0000,1.0000
2019-04-17,111.1000,111.1000,110.2700,110.4500,109.8100,52698,0.0000,1.0000
2019-04-16,110.8700,110.9800,110.6432,110.7300,110.0884,23045,0.0000,1.0000
2019-04-15,110.7700,110.7700,110.3900,110.5700,109.9293,26439,0.0000,1.0000
2019-04-12,110.7600,110.8300,110.4500,110.8300,110.1878,29559,0.0000,1.0000
2019-04-11,110.0000,110.1023,109.6200,109.9800,109.3427,23927,0.0000,1.0000
2019-04-10,109.6000,109.8971,109.5050,109.8100,109.1737,22780,0.0000,1.0000
2019-04-09,109.8200,109.8200,109.2791,109.4200,108.7860,28218,0.0000,1.0000
2019-04-08,109.9800,110.2000,109.7964,110.2000,109.5614,32008,0.0000,1.0000
2019-04-05,109.8700,110.1100,109.6806,110.0900,109.4521,24428,0.0000,1.0000
2019-04-04,109.2100,109.6300,109.2100,109.6300,108.9948,35280,0.0000,1.0000
2019-04-03,109.5500,109.6531,108.9244,109.2200,108.5871,49539,0.0000,1.0000
2019-04-02,109.3000,109.3100,108.8600,109.0700,108.4380,60266,0.0000,1.0000
2019-04-01,108.6800,109.4300,108.6800,109.2800,108.6468,236475,0.0000,1.0000
2019-03-29,108.0700,108.1200,107.6700,108.1100,107.4836,70950,0.0000,1.0000
2019-03-28,107.3300,107.7000,106.8769,107.5600,106.9367,89141,0.0000,1.0000
2019-03-27,107.5900,107.8100,106.6600,107.1900,106.5689,62497,0.0000,1.0000
2019-03-26,107.1800,107.8105,107.0700,107.6600,107.0362,29113,0.0000,1.0000
2019-03-25,106.7100,107.0000,106.1800,106.5900,105.9724,50226,0.5745,1.0000
2019-03-22,108.8000,108.8100,107.2628,107.3600,106.1657,79576,0.0000,1.0000
2019-03-21,107.9600,109.5000,107.9600,109.3100,108.0940,32903,0.0000,1.0000
2019-03-20,109.0200,109.2100,108.2900,108.3700,107.1645,241998,0.0000,1.0000
2019-03-19,109.8800,110.0100,108.9000,109.2100,107.9951,38987,0.0000,1.0000
2019-03-18,109.1400,109.5100,109.0500,109.4100,108.1929,46471,0.0000,1.0000
2019-03-15,108.6600,109.3300,108.6500,109.0500,107.8369,34234,0.0000,1.0000
2019-03-14,108.5600,108.8280,108.3636,108.5300,107.3227,25816,0.0000,1.0000
2019-03-13,108.1700,108.8900,108.1700,108.6000,107.3919,35984,0.0000,1.0000
2019-03-12,107.7900,108.1099,107.7600,107.9200,106.7195,59375,0.0000,1.0000
2019-03-11,106.5100,107.5807,106.5100,107.5400,106.3437,35356,0.0000,1.0000
2019-03-08,105.8500,106.2800,105.5800,106.2500,105.0680,55865,0.0000,1.0000
2019-03-07,107.1300,107.1300,106.1750,106.5800,105.3944,79441,0.0000,1.0000
2019-03-06,107.8800,107.9100,107.1200,107.1800,105.9877,63365,0.0000,1.0000
2019-03-05,108.2400,108.2400,107.7398,108.0000,106.7986,23555,0.0000,1.0000
2019-03-04,108.9600,108.9900,107.2999,108.1900,106.9865,38307,0.0000,1.0000
2019-03-01,108.6500,108.8852,108.0800,108.5700,107.3622,50245,0.0000,1.0000
2019-02-28,108.3200,108.3224,107.9600,108.0300,106.8282,132431,0.0000,1.0000
2019-02-27,108.1000,108.5000,107.8200,108.2500,107.0458,82702,0.0000,1.0000
2019-02-26,108.3300,108.6600,108.2500,108.2500,107.0458,101452,0.0000,1.0000
2019-02-25,108.8900,109.0297,108.4300,108.5200,107.3128,146225,0.0000,1.0000
2019-02-22,108.2700,108.4000,108.0200,108.3400,107.1348,36880,0.0000,1.0000
2019-02-21,108.0300,108.0600,107.5400,107.9400,106.7392,47350,0.0000,1.0000
2019-02-20,107.8800,108.4043,107.7650,108.2900,107.0853,59820,0.0000,1.0000
2019-02-19,107.3900,108.1600,107.3352,107.9600,106.7590,93026,0.0000,1.0000
2019-02-15,106.8800,107.6300,106.8800,107.6300,106.4327,112698,0.0000,1.0000
2019-02-14,105.9800,106.6700,105.7840,106.1300,104.9494,59256,0.0000,1.0000
2019-02-13,106.4000,106.6755,106.1800,106.4300,105.2460,173948,0.0000,1.0000
2019-02-12,105.4600,106.2807,105.4600,106.0800,104.8999,45529,0.0000,1.0000
2019-02-11,104.7900,104.9300,104.6122,104.8800,103.7133,47793,0.0000,1.0000
2019-02-08,104.3801,104.6600,103.7300,104.6600,103.4957,45037,0.0000,1.0000
2019-02-07,105.0700,105.0700,103.9810,104.7000,103.5353,47507,0.0000,1.0000
2019-02-06,105.3400,105.6500,105.3300,105.4600,104.2868,106888,0.0000,1.0000
2019-02-05,105.4300,105.6797,105.1100,105.5800,104.4055,155051,0.0000,1.0000
2019-02-04,105.0300,105.3500,104.4200,105.3400,104.1682,110783,0.0000,1.0000
2019-02-01,104.9800,105.2286,104.6500,105.0600,103.8913,189497,0.0000,1.0000
2019-01-31,103.8300,104.8500,103.6700,104.7300,103.5649,192619,0.0000,1.0000
2019-01-30,103.4200,104.4500,103.0100,104.0700,102.9123,110587,0.0000,1.0000
2019-01-29,103.0200,103.3500,102.8300,103.1800,102.0322,80681,0.0000,1.0000
2019-01-28,102.5300,102.9700,102.2000,102.9700,101.8245,170176,0.0000,1.0000
2019-01-25,103.2600,103.7102,103.1500,103.2900,102.1410,143019,0.0000,1.0000
2019-01-24,102.4600,102.8400,102.1600,102.7700,101.6268,82015,0.0000,1.0000
2019-01-23,102.8900,103.0796,101.7250,102.6400,101.4982,92258,0.0000,1.0000
