timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,61.3500,61.4000,61.2600,61.3800,61.3800,75604,0.0000,1.0000
2019-06-27,61.1900,61.2400,61.0950,61.1400,61.1400,117483,0.0000,1.0000
2019-06-26,61.0500,61.1100,60.8392,61.0000,61.0000,71593,0.0000,1.0000
2019-06-25,61.1900,61.2200,60.7200,60.7200,60.7200,63007,0.0000,1.0000
2019-06-24,61.2200,61.3086,61.1100,61.1900,61.1900,118122,0.0000,1.0000
2019-06-21,61.0900,61.2399,61.0340,61.1000,61.1000,88689,0.0000,1.0000
2019-06-20,61.5000,61.5000,61.0800,61.2900,61.2900,99032,0.0000,1.0000
2019-06-19,60.5200,60.8101,60.4500,60.7700,60.7700,82908,0.0000,1.0000
2019-06-18,59.9700,60.3800,59.8800,60.3800,60.3800,44617,0.0000,1.0000
2019-06-17,59.5100,59.6014,59.3100,59.4300,59.4300,285110,0.0000,1.0000
2019-06-14,60.6400,60.7090,60.4000,60.4800,60.4800,73712,1.0203,1.0000
2019-06-13,61.0200,61.0700,60.8300,60.9500,59.9388,41568,0.0000,1.0000
2019-06-12,61.1700,61.2232,60.8100,60.8300,59.8208,66431,0.0000,1.0000
2019-06-11,61.6500,61.6500,61.3099,61.3800,60.3617,46935,0.0000,1.0000
2019-06-10,60.9900,61.1999,60.9250,61.0600,60.0470,39337,0.0000,1.0000
2019-06-07,60.6700,60.9800,60.6700,60.8100,59.8012,56460,0.0000,1.0000
2019-06-06,60.1800,60.2999,60.0400,60.2600,59.2603,60277,0.0000,1.0000
2019-06-05,60.3500,60.3800,59.9200,59.9800,58.9849,60462,0.0000,1.0000
2019-06-04,59.9100,60.2300,59.7540,60.2300,59.2308,58463,0.0000,1.0000
2019-06-03,59.3900,59.5550,59.1886,59.3900,58.4047,60255,0.0000,1.0000
2019-05-31,59.1200,59.2500,58.8056,59.2500,58.2670,98858,0.0000,1.0000
2019-05-30,59.5100,59.6960,59.3444,59.6800,58.6899,61664,0.0000,1.0000
2019-05-29,59.1900,59.4200,59.0400,59.4200,58.4342,119782,0.0000,1.0000
2019-05-28,59.8700,59.9723,59.4000,59.4000,58.4145,45895,0.0000,1.0000
2019-05-24,59.9400,60.0000,59.7610,59.9300,58.9358,62311,0.0000,1.0000
2019-05-23,59.6000,59.6000,59.2700,59.3700,58.3850,78652,0.0000,1.0000
