timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,13.8400,13.9500,13.4572,13.4665,13.4665,11228,0.0000,1.0000
2019-06-27,14.4877,14.4877,14.0350,14.0700,14.0700,6931,0.0000,1.0000
2019-06-26,14.1500,14.7869,14.1500,14.6900,14.6900,3555,0.0000,1.0000
2019-06-25,13.9934,14.3244,13.6800,14.2500,14.2500,16193,0.0155,1.0000
2019-06-24,13.6700,14.2400,13.4655,14.2400,14.2245,26754,0.0000,1.0000
2019-06-21,13.7082,14.0902,13.4771,13.5231,13.5084,5642,0.0000,1.0000
2019-06-20,13.5300,13.8200,13.1300,13.6400,13.6252,15342,0.0000,1.0000
2019-06-19,14.1400,14.1400,13.8350,13.8350,13.8200,1858,0.0000,1.0000
2019-06-18,14.5800,14.5800,13.8900,14.1400,14.1246,16433,0.0000,1.0000
2019-06-17,15.9400,15.9400,14.6000,14.7400,14.7240,10396,0.0000,1.0000
2019-06-14,15.7624,16.1499,15.6500,16.1200,16.1025,3965,0.0000,1.0000
2019-06-13,15.7700,15.7700,15.6700,15.6900,15.6730,5526,0.0000,1.0000
2019-06-12,16.5200,16.5200,15.9800,15.9800,15.9626,1176,0.0000,1.0000
2019-06-11,15.3400,16.3400,15.3400,16.2900,16.2723,11798,0.0000,1.0000
2019-06-10,15.6000,15.9600,15.4633,15.9600,15.9427,7947,0.0000,1.0000
2019-06-07,16.5100,16.5100,15.7104,15.8300,15.8128,12576,0.0000,1.0000
2019-06-06,15.9500,16.6250,15.9500,16.6250,16.6069,4658,0.0000,1.0000
2019-06-05,16.0500,16.4000,15.9313,16.0200,16.0026,3991,0.0000,1.0000
2019-06-04,16.7270,16.9400,16.1720,16.1777,16.1601,5648,0.0000,1.0000
2019-06-03,17.7100,17.7100,16.6500,17.1850,17.1663,12715,0.0000,1.0000
2019-05-31,17.2500,17.8000,17.2500,17.7200,17.7008,21473,0.0000,1.0000
2019-05-30,16.8000,17.1000,16.5000,16.9300,16.9116,15740,0.0000,1.0000
2019-05-29,16.4200,17.1008,16.4200,17.0000,16.9815,18308,0.0000,1.0000
2019-05-28,15.7000,16.0500,15.7000,16.0500,16.0326,7129,0.0000,1.0000
2019-05-24,15.8400,15.8400,15.3185,15.7500,15.7329,2767,0.0000,1.0000
2019-05-23,16.1800,16.2500,15.8818,15.9600,15.9427,11920,0.0000,1.0000
2019-05-22,15.7082,16.1000,15.6500,15.6500,15.6330,5490,0.0000,1.0000
2019-05-21,16.3000,16.4000,15.5800,15.6500,15.6330,4901,0.0000,1.0000
2019-05-20,16.1600,16.6800,16.1600,16.6200,16.6020,17464,0.0000,1.0000
2019-05-17,15.9285,15.9445,15.4639,15.9200,15.9027,7115,0.0000,1.0000
2019-05-16,15.8300,15.8300,15.2610,15.6800,15.6630,8472,0.0000,1.0000
2019-05-15,17.0200,17.2000,16.1200,16.1591,16.1416,9130,0.0000,1.0000
2019-05-14,16.7600,17.0480,16.2600,16.4027,16.3849,15479,0.0000,1.0000
2019-05-13,16.4400,17.2509,16.3300,17.2154,17.1967,13779,0.0000,1.0000
2019-05-10,15.4500,16.2900,15.4500,15.6300,15.6130,5487,0.0000,1.0000
2019-05-09,15.8500,16.2327,15.2230,15.3600,15.3433,5847,0.0000,1.0000
2019-05-08,15.1700,15.4000,14.9780,15.2100,15.1935,1552,0.0000,1.0000
2019-05-07,14.3400,15.5301,14.3400,15.2800,15.2634,12283,0.0000,1.0000
2019-05-06,15.0300,15.0300,13.9900,13.9900,13.9748,11095,0.0000,1.0000
2019-05-03,15.0000,15.0700,14.3700,14.4000,14.3844,5089,0.0000,1.0000
2019-05-02,15.5600,15.5600,15.1329,15.2000,15.1835,2609,0.0000,1.0000
