timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,181.0000,181.1083,178.6500,180.2100,180.2100,3065225,0.0000,1.0000
2019-06-27,177.7200,180.6862,177.0900,180.1100,180.1100,1410696,0.0000,1.0000
2019-06-26,178.0800,180.7400,177.0300,177.3100,177.3100,1944500,0.0000,1.0000
2019-06-25,182.6400,182.8900,175.1700,177.2600,177.2600,2708571,0.0000,1.0000
2019-06-24,182.1600,184.3100,181.5500,182.6400,182.6400,2053270,0.0000,1.0000
2019-06-21,184.6000,184.8000,180.8500,181.8700,181.8700,4115936,0.0000,1.0000
2019-06-20,189.2000,190.5200,185.3700,186.5000,186.5000,2365987,0.0000,1.0000
2019-06-19,188.1000,189.0000,186.0900,187.1000,187.1000,1827560,0.0000,1.0000
2019-06-18,185.5700,188.8020,184.4450,188.0300,188.0300,3034139,0.0000,1.0000
2019-06-17,177.7400,184.6800,177.0900,183.3400,183.3400,3987460,0.0000,1.0000
2019-06-14,173.0400,177.7200,171.6048,176.7100,176.7100,3635664,0.0000,1.0000
2019-06-13,181.9865,182.8900,172.5000,174.5200,174.5200,11076657,0.0000,1.0000
2019-06-12,171.9300,173.4450,169.2900,170.8900,170.8900,5417579,0.0000,1.0000
2019-06-11,172.3100,173.9400,170.3050,171.6300,171.6300,2016200,0.0000,1.0000
2019-06-10,174.3400,176.3800,170.9800,171.3500,171.3500,1930903,0.0000,1.0000
2019-06-07,171.6600,172.8000,169.5900,172.4900,172.4900,1846585,0.0000,1.0000
2019-06-06,173.5100,173.5426,169.7100,170.3800,170.3800,1685705,0.0000,1.0000
2019-06-05,170.1400,173.8200,169.3800,173.5200,173.5200,1814462,0.0000,1.0000
2019-06-04,165.4000,169.3600,165.0200,169.0000,169.0000,1273671,0.0000,1.0000
2019-06-03,165.8300,167.5000,162.2900,163.8700,163.8700,1634928,0.0000,1.0000
2019-05-31,161.0500,165.6300,160.8838,165.5900,165.5900,1663712,0.0000,1.0000
2019-05-30,161.5700,165.2924,161.5700,163.8500,163.8500,1915343,0.0000,1.0000
2019-05-29,172.4400,172.7950,160.8800,161.5900,161.5900,4857066,0.0000,1.0000
2019-05-28,173.1100,176.0400,173.0200,173.5500,173.5500,2222412,0.0000,1.0000
2019-05-24,171.1700,173.2400,170.5500,172.7800,172.7800,1509568,0.0000,1.0000
2019-05-23,173.5600,174.9300,169.9900,170.2000,170.2000,1654377,0.0000,1.0000
2019-05-22,176.0000,176.2050,174.5300,175.7200,175.7200,877522,0.0000,1.0000
