timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,132.2800,132.4100,130.7600,131.1300,131.1300,6317916,0.0000,1.0000
2019-06-27,132.2500,132.4400,131.3800,131.6900,131.6900,4750934,0.0000,1.0000
2019-06-26,133.0600,133.7700,132.3000,132.3200,132.3200,6024090,0.0000,1.0000
2019-06-25,133.9800,134.4800,133.5400,133.8100,133.8100,4176399,0.0000,1.0000
2019-06-24,134.6500,135.2420,133.9400,134.1400,134.1400,3685771,0.0000,1.0000
2019-06-21,134.1600,134.5600,133.6300,133.9600,133.9600,7696290,0.0000,1.0000
2019-06-20,133.8700,134.4500,133.3400,134.1600,134.1600,3847549,0.0000,1.0000
2019-06-19,132.0600,133.2900,131.3300,132.8500,132.8500,4349918,0.0000,1.0000
2019-06-18,134.4200,134.4200,131.8625,132.0600,132.0600,4378222,0.0000,1.0000
2019-06-17,132.7200,133.2350,131.8850,132.5200,132.5200,2725751,0.0000,1.0000
2019-06-14,133.0100,133.5400,132.5550,132.7300,132.7300,3291805,0.0000,1.0000
2019-06-13,133.4500,133.7900,131.8500,132.9400,132.9400,2851536,0.0000,1.0000
2019-06-12,134.0100,134.4400,132.6600,133.1400,133.1400,3302751,0.0000,1.0000
2019-06-11,134.0600,134.3392,132.6900,133.2000,133.2000,3553620,0.0000,1.0000
2019-06-10,133.1800,133.6800,132.3600,133.5900,133.5900,2957855,0.0000,1.0000
2019-06-07,132.8400,134.7100,132.5900,133.4700,133.4700,6332717,0.0000,1.0000
2019-06-06,131.0800,132.2703,130.5600,131.9800,131.9800,5527984,0.9550,1.0000
2019-06-05,129.2200,131.6050,128.8625,131.3900,130.4461,5084169,0.0000,1.0000
2019-06-04,129.7500,129.8100,128.0200,129.0700,128.1428,4242361,0.0000,1.0000
2019-06-03,127.8600,129.1550,127.4900,128.9800,128.0534,3588681,0.0000,1.0000
2019-05-31,128.0000,128.4500,126.9900,128.0000,127.0805,4191171,0.0000,1.0000
2019-05-30,128.1500,128.9100,127.7800,128.6100,127.6861,2710688,0.0000,1.0000
2019-05-29,127.5800,128.3100,126.8400,128.1700,127.2492,5502814,0.0000,1.0000
2019-05-28,129.5000,129.9000,127.3600,127.6300,126.7131,8805969,0.0000,1.0000
2019-05-24,130.3300,130.4800,128.9600,129.5000,128.5697,2702733,0.0000,1.0000
2019-05-23,129.6000,130.9000,129.5100,129.9700,129.0363,3901599,0.0000,1.0000
2019-05-22,129.1000,130.6400,128.9483,130.0700,129.1356,3588006,0.0000,1.0000
2019-05-21,130.5800,130.5800,128.8550,129.0500,128.1229,4080776,0.0000,1.0000
2019-05-20,130.0400,130.4500,129.5500,129.9900,129.0562,3965560,0.0000,1.0000
2019-05-17,129.9200,130.8700,129.6500,130.5100,129.5724,4011704,0.0000,1.0000
2019-05-16,129.3700,130.7450,128.7600,130.2700,129.3341,4812909,0.0000,1.0000
2019-05-15,127.1000,129.8700,127.1000,129.3500,128.4208,3751936,0.0000,1.0000
2019-05-14,127.5600,128.5100,127.2850,127.4100,126.4947,5150328,0.0000,1.0000
2019-05-13,127.0200,127.9400,126.6300,127.1600,126.2465,4297336,0.0000,1.0000
2019-05-10,126.1400,128.2800,125.6200,128.0100,127.0904,3720445,0.0000,1.0000
2019-05-09,125.7700,126.5400,124.8500,126.0500,125.1445,3127153,0.0000,1.0000
2019-05-08,125.8000,126.7400,124.9500,126.0200,125.1147,3844711,0.0000,1.0000
2019-05-07,126.6400,126.9500,125.1800,125.9800,125.0750,3558887,0.0000,1.0000
2019-05-06,127.3000,127.6253,126.7600,127.2700,126.3557,2883946,0.0000,1.0000
2019-05-03,127.1000,128.1800,126.9200,127.6700,126.7528,2854949,0.0000,1.0000
2019-05-02,127.2400,127.5500,126.1700,126.8300,125.9189,2875936,0.0000,1.0000
2019-05-01,127.8500,128.0000,127.0100,127.2400,126.3259,3810811,0.0000,1.0000
2019-04-30,127.0500,128.3900,126.3400,128.0500,127.1301,4963611,0.0000,1.0000
2019-04-29,126.1400,126.9600,126.0200,126.6900,125.7799,2793384,0.0000,1.0000
2019-04-26,126.5200,127.2450,126.1150,126.4000,125.4919,3033876,0.0000,1.0000
2019-04-25,125.6500,126.3999,125.1800,126.1300,125.2239,4433718,0.0000,1.0000
2019-04-24,127.4100,127.9800,126.6700,126.9200,126.0082,3517173,0.0000,1.0000
2019-04-23,126.6800,127.5400,126.1200,127.0900,126.1770,4464139,0.0000,1.0000
2019-04-22,126.7700,127.2400,125.8800,126.4400,125.5317,3707004,0.0000,1.0000
2019-04-18,128.2300,128.2600,126.7282,127.0900,126.1770,6331152,0.0000,1.0000
2019-04-17,125.0000,127.1100,123.8400,127.0100,126.0976,7318172,0.0000,1.0000
2019-04-16,123.2200,123.8200,121.8900,122.4100,121.5306,5263742,0.0000,1.0000
2019-04-15,122.4400,124.0000,122.3600,123.6600,122.7716,4419849,0.0000,1.0000
2019-04-12,121.5300,122.3300,121.1500,122.2300,121.3519,3501129,0.0000,1.0000
2019-04-11,122.3600,122.7500,121.1700,121.6700,120.7959,3399742,0.0000,1.0000
2019-04-10,122.3500,122.7000,121.6600,122.0400,121.1633,2681090,0.0000,1.0000
2019-04-09,121.7400,122.2000,120.8500,122.1700,121.2923,3864363,0.0000,1.0000
2019-04-08,121.7200,122.0400,121.2100,122.0000,121.1236,3140147,0.0000,1.0000
2019-04-05,121.3500,121.6700,120.8200,121.6200,120.7463,3971535,0.0000,1.0000
