timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,37.1000,38.6050,37.1000,37.8600,37.8600,1540814,0.0000,1.0000
2019-06-27,37.2600,38.0000,35.4800,37.2100,37.2100,541284,0.0000,1.0000
2019-06-26,37.4800,38.2000,37.0000,37.2700,37.2700,273812,0.0000,1.0000
2019-06-25,37.8200,39.1200,37.0000,37.4000,37.4000,780785,0.0000,1.0000
2019-06-24,40.4100,40.7400,37.2600,37.3800,37.3800,666651,0.0000,1.0000
2019-06-21,40.3400,41.1500,39.5700,40.4000,40.4000,843241,0.0000,1.0000
2019-06-20,40.4100,41.2500,40.2800,40.6800,40.6800,782290,0.0000,1.0000
2019-06-19,39.8600,40.4800,39.7600,40.0000,40.0000,303770,0.0000,1.0000
2019-06-18,40.0900,41.1000,39.5400,39.9500,39.9500,436181,0.0000,1.0000
2019-06-17,38.4500,40.4900,38.2492,39.8500,39.8500,874068,0.0000,1.0000
2019-06-14,38.2900,38.8600,37.9300,37.9500,37.9500,421164,0.0000,1.0000
2019-06-13,37.2600,39.0300,37.1800,38.3500,38.3500,397039,0.0000,1.0000
2019-06-12,36.7500,37.3400,36.0800,37.2800,37.2800,515731,0.0000,1.0000
2019-06-11,37.5300,37.5300,36.5200,36.6900,36.6900,263812,0.0000,1.0000
2019-06-10,39.7000,39.9500,37.2100,37.2400,37.2400,352451,0.0000,1.0000
2019-06-07,37.3900,39.9500,37.2000,39.6300,39.6300,759854,0.0000,1.0000
2019-06-06,37.4600,37.9700,36.5800,37.1500,37.1500,469690,0.0000,1.0000
2019-06-05,36.3300,37.6150,35.4600,37.3100,37.3100,453360,0.0000,1.0000
2019-06-04,36.0800,36.3400,35.0400,36.0000,36.0000,806612,0.0000,1.0000
2019-06-03,35.2100,36.7000,35.0000,35.5500,35.5500,518204,0.0000,1.0000
2019-05-31,35.6100,36.0000,35.0200,35.1200,35.1200,272451,0.0000,1.0000
2019-05-30,37.4500,37.4500,35.4200,36.0500,36.0500,395669,0.0000,1.0000
2019-05-29,37.2600,38.0900,36.5750,37.1400,37.1400,928815,0.0000,1.0000
2019-05-28,38.1600,39.2100,37.6300,37.7000,37.7000,303405,0.0000,1.0000
2019-05-24,38.2600,38.9300,37.5000,38.1000,38.1000,1448627,0.0000,1.0000
2019-05-23,37.0300,38.2100,36.5700,38.0700,38.0700,947222,0.0000,1.0000
2019-05-22,39.6600,39.9300,37.4850,37.6200,37.6200,1202590,0.0000,1.0000
2019-05-21,39.2100,40.0000,38.8700,39.9400,39.9400,332532,0.0000,1.0000
2019-05-20,38.8700,39.7100,38.2400,38.8000,38.8000,327704,0.0000,1.0000
2019-05-17,38.7200,39.9100,38.0100,39.3600,39.3600,495614,0.0000,1.0000
2019-05-16,38.5200,40.2500,38.5000,39.0000,39.0000,642956,0.0000,1.0000
2019-05-15,37.9700,38.7500,37.7277,38.2300,38.2300,724740,0.0000,1.0000
2019-05-14,36.8900,38.9500,36.4011,38.2100,38.2100,370404,0.0000,1.0000
2019-05-13,37.7200,37.9100,36.5700,36.7100,36.7100,333675,0.0000,1.0000
2019-05-10,38.0400,38.8800,37.4800,38.5800,38.5800,279121,0.0000,1.0000
2019-05-09,37.4500,38.8950,36.8500,38.3100,38.3100,450448,0.0000,1.0000
2019-05-08,36.0500,38.3000,36.0000,37.7900,37.7900,981514,0.0000,1.0000
2019-05-07,38.5000,38.8849,36.6700,37.0500,37.0500,1024051,0.0000,1.0000
2019-05-06,36.1100,38.9700,36.1100,38.8300,38.8300,971828,0.0000,1.0000
2019-05-03,37.3400,37.7300,36.5600,37.7300,37.7300,1087835,0.0000,1.0000
2019-05-02,37.3300,38.1400,36.4200,36.8800,36.8800,672888,0.0000,1.0000
2019-05-01,38.0600,40.3900,35.7400,37.2100,37.2100,1013868,0.0000,1.0000
2019-04-30,38.5900,38.6100,37.0950,37.7900,37.7900,563397,0.0000,1.0000
2019-04-29,39.3400,40.0000,37.7800,38.5900,38.5900,1017870,0.0000,1.0000
2019-04-26,35.2500,40.2700,35.0000,40.1300,40.1300,426902,0.0000,1.0000
2019-04-25,40.3200,40.6600,39.6500,40.2500,40.2500,258875,0.0000,1.0000
2019-04-24,41.0000,41.4700,40.2900,40.5600,40.5600,311637,0.0000,1.0000
2019-04-23,39.7600,41.2950,39.5100,40.9700,40.9700,641191,0.0000,1.0000
2019-04-22,38.9100,40.1400,38.9100,39.5200,39.5200,449167,0.0000,1.0000
2019-04-18,38.6000,39.0848,37.7900,38.9000,38.9000,281685,0.0000,1.0000
2019-04-17,41.2300,41.2900,37.4900,38.5300,38.5300,572889,0.0000,1.0000
2019-04-16,40.6900,41.0300,40.2500,41.0000,41.0000,199871,0.0000,1.0000
2019-04-15,40.6600,41.3700,39.5000,40.4400,40.4400,228750,0.0000,1.0000
2019-04-12,40.9800,41.1400,39.8749,40.3200,40.3200,313329,0.0000,1.0000
2019-04-11,40.8000,41.5000,40.6593,40.7400,40.7400,705338,0.0000,1.0000
2019-04-10,38.3100,41.6500,38.1600,40.7400,40.7400,1006939,0.0000,1.0000
2019-04-09,38.2800,38.9000,37.9600,38.1500,38.1500,304876,0.0000,1.0000
2019-04-08,39.0100,39.2350,37.0800,37.8500,37.8500,520927,0.0000,1.0000
2019-04-05,38.9400,39.5100,38.7200,39.0000,39.0000,438749,0.0000,1.0000
2019-04-04,38.4200,39.4150,37.9700,38.8900,38.8900,246888,0.0000,1.0000
2019-04-03,38.5300,38.8800,37.9000,38.5200,38.5200,480335,0.0000,1.0000
2019-04-02,37.7600,38.2500,37.2400,38.1400,38.1400,330964,0.0000,1.0000
2019-04-01,39.4300,39.8100,37.7300,37.8300,37.8300,486347,0.0000,1.0000
2019-03-29,37.6700,39.3500,37.2900,39.0200,39.0200,568325,0.0000,1.0000
2019-03-28,35.9100,37.4550,35.9100,37.2600,37.2600,433393,0.0000,1.0000
2019-03-27,36.7600,36.7600,35.0300,35.9000,35.9000,333314,0.0000,1.0000
2019-03-26,36.6000,37.3500,36.2203,36.6200,36.6200,546115,0.0000,1.0000
2019-03-25,36.8600,36.8600,35.4500,36.2200,36.2200,437988,0.0000,1.0000
2019-03-22,38.8300,38.9000,36.6100,36.9000,36.9000,714597,0.0000,1.0000
2019-03-21,38.1300,39.9500,38.1300,39.5400,39.5400,579115,0.0000,1.0000
2019-03-20,38.4900,39.1155,37.7600,38.5000,38.5000,499588,0.0000,1.0000
2019-03-19,38.4500,39.0800,37.9501,38.5000,38.5000,382966,0.0000,1.0000
2019-03-18,39.1000,39.4900,38.0000,38.5000,38.5000,561430,0.0000,1.0000
2019-03-15,36.9700,39.1000,36.9700,38.1900,38.1900,1176622,0.0000,1.0000
2019-03-14,35.9700,36.7400,35.6500,36.6600,36.6600,656233,0.0000,1.0000
2019-03-13,35.7100,36.6100,35.4800,35.9500,35.9500,430193,0.0000,1.0000
2019-03-12,34.7000,36.0188,34.2100,35.5200,35.5200,712834,0.0000,1.0000
2019-03-11,33.9900,34.5200,33.4800,34.4600,34.4600,343160,0.0000,1.0000
2019-03-08,32.5400,34.2500,32.3100,33.9900,33.9900,452889,0.0000,1.0000
2019-03-07,32.4600,32.9750,31.6000,32.6100,32.6100,433271,0.0000,1.0000
2019-03-06,34.9400,35.0800,32.1800,32.2600,32.2600,641426,0.0000,1.0000
2019-03-05,34.8000,36.0000,34.4600,34.9300,34.9300,524076,0.0000,1.0000
2019-03-04,34.7200,35.6350,33.8300,34.7900,34.7900,1163571,0.0000,1.0000
2019-03-01,30.8900,34.6200,29.6650,34.1600,34.1600,1207148,0.0000,1.0000
2019-02-28,30.2300,33.0900,28.7200,30.6200,30.6200,963265,0.0000,1.0000
2019-02-27,29.4700,30.3000,27.6800,27.7700,27.7700,774508,0.0000,1.0000
2019-02-26,29.1200,29.8800,28.8600,29.6300,29.6300,773439,0.0000,1.0000
2019-02-25,30.0000,30.6300,28.9000,29.2600,29.2600,1280901,0.0000,1.0000
2019-02-22,25.8200,26.2900,25.0401,26.2700,26.2700,238598,0.0000,1.0000
2019-02-21,25.8400,26.7950,25.4800,25.7400,25.7400,324605,0.0000,1.0000
2019-02-20,25.2700,26.0850,24.7394,25.9900,25.9900,248483,0.0000,1.0000
2019-02-19,24.7900,25.6600,24.7900,25.0100,25.0100,225244,0.0000,1.0000
2019-02-15,24.0100,24.7900,23.8100,24.7200,24.7200,249521,0.0000,1.0000
2019-02-14,23.6800,24.1300,23.5100,23.9100,23.9100,128725,0.0000,1.0000
2019-02-13,23.7500,24.2100,23.2600,23.6800,23.6800,200350,0.0000,1.0000
2019-02-12,23.7700,23.9398,23.1800,23.7200,23.7200,254572,0.0000,1.0000
2019-02-11,23.5300,23.7000,23.0700,23.4900,23.4900,270612,0.0000,1.0000
2019-02-08,23.3400,24.0965,22.9650,23.3900,23.3900,361673,0.0000,1.0000
2019-02-07,24.6200,24.8600,23.2150,23.3700,23.3700,512664,0.0000,1.0000
2019-02-06,24.8600,25.4100,24.4700,24.7400,24.7400,363611,0.0000,1.0000
2019-02-05,25.5200,26.3900,24.8900,24.9300,24.9300,316350,0.0000,1.0000
2019-02-04,25.3700,26.1900,24.5100,25.4700,25.4700,833061,0.0000,1.0000
2019-02-01,24.7900,25.4600,24.4900,25.3900,25.3900,371118,0.0000,1.0000
2019-01-31,23.4900,25.0600,23.2600,24.8000,24.8000,412565,0.0000,1.0000
2019-01-30,22.7500,24.0200,22.5200,23.9900,23.9900,297501,0.0000,1.0000
2019-01-29,22.5100,23.1200,22.0000,22.7900,22.7900,382753,0.0000,1.0000
2019-01-28,23.3100,23.7500,22.6000,22.6700,22.6700,293440,0.0000,1.0000
2019-01-25,23.2800,23.8200,23.0000,23.7600,23.7600,314668,0.0000,1.0000
2019-01-24,23.2100,23.8700,22.6100,23.1600,23.1600,208786,0.0000,1.0000
2019-01-23,23.9400,24.7307,23.0400,23.1900,23.1900,230989,0.0000,1.0000
2019-01-22,24.2400,24.3600,23.2300,23.9600,23.9600,381768,0.0000,1.0000
2019-01-18,24.3100,24.8300,23.9400,24.5600,24.5600,652007,0.0000,1.0000
2019-01-17,24.5000,24.6000,23.8800,24.3100,24.3100,353018,0.0000,1.0000
2019-01-16,24.5700,25.1000,24.2400,24.5800,24.5800,357957,0.0000,1.0000
2019-01-15,24.9400,25.4100,24.4700,24.7000,24.7000,476036,0.0000,1.0000
2019-01-14,25.6100,25.7100,24.6900,24.8200,24.8200,606708,0.0000,1.0000
2019-01-11,26.1000,26.8400,24.9850,25.8700,25.8700,1124640,0.0000,1.0000
2019-01-10,24.1000,25.0000,23.5100,24.6900,24.6900,551345,0.0000,1.0000
2019-01-09,23.7400,24.4900,23.3800,24.2800,24.2800,657735,0.0000,1.0000
2019-01-08,24.9700,25.4600,23.4100,23.4800,23.4800,555442,0.0000,1.0000
2019-01-07,23.4000,25.0000,23.1900,24.6000,24.6000,494398,0.0000,1.0000
2019-01-04,22.4800,23.4100,21.9300,23.0700,23.0700,513193,0.0000,1.0000
2019-01-03,22.1600,22.5000,20.7400,22.0100,22.0100,568947,0.0000,1.0000
2019-01-02,20.9100,22.7900,19.9091,22.2100,22.2100,1048117,0.0000,1.0000
2018-12-31,21.2000,21.6200,20.6400,21.3200,21.3200,504103,0.0000,1.0000
2018-12-28,20.9700,21.7200,20.1600,21.0100,21.0100,487479,0.0000,1.0000
2018-12-27,19.6500,21.0650,18.7100,21.0100,21.0100,551441,0.0000,1.0000
2018-12-26,18.4700,20.2000,17.9500,20.1300,20.1300,936147,0.0000,1.0000
2018-12-24,18.6400,19.0900,18.2300,18.4300,18.4300,650287,0.0000,1.0000
2018-12-21,19.5200,19.6100,18.7300,19.0700,19.0700,2294131,0.0000,1.0000
2018-12-20,20.1100,20.1100,18.7400,19.4900,19.4900,603410,0.0000,1.0000
2018-12-19,21.1400,22.3000,19.8800,20.2300,20.2300,612201,0.0000,1.0000
2018-12-18,22.5000,22.5000,20.1100,21.0100,21.0100,1200127,0.0000,1.0000
2018-12-17,23.0100,23.8200,21.9900,22.2800,22.2800,411658,0.0000,1.0000
