timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,155.8100,156.8200,153.5200,155.9900,155.9900,770390,0.0000,1.0000
2019-06-27,152.8200,155.8900,152.5600,155.5900,155.5900,397120,0.0000,1.0000
2019-06-26,154.6300,154.6300,152.1900,152.3200,152.3200,405123,0.0000,1.0000
2019-06-25,153.6400,155.3700,152.9500,154.6600,154.6600,387727,0.0000,1.0000
2019-06-24,153.7000,155.5700,153.1250,154.0100,154.0100,248944,0.0000,1.0000
2019-06-21,154.6400,155.6800,153.1100,154.0300,154.0300,411086,0.0000,1.0000
2019-06-20,153.9900,155.3200,152.7100,154.5100,154.5100,305145,0.0000,1.0000
2019-06-19,152.2900,153.8500,150.7000,153.6400,153.6400,239606,0.0000,1.0000
2019-06-18,153.9400,155.1900,151.8300,152.3500,152.3500,260082,0.0000,1.0000
2019-06-17,153.7900,153.8900,151.1100,153.5300,153.5300,377422,0.0000,1.0000
2019-06-14,152.8600,154.3500,150.6400,151.9800,151.9800,490496,0.0000,1.0000
2019-06-13,151.3900,153.5387,150.7200,152.2900,152.2900,485581,0.0000,1.0000
2019-06-12,147.3300,151.2900,147.0900,149.8900,149.8900,620888,0.0000,1.0000
2019-06-11,146.9700,149.4800,142.8206,146.3900,146.3900,1352500,0.0000,1.0000
2019-06-10,134.4700,134.9600,132.2300,133.0400,133.0400,449177,0.0000,1.0000
2019-06-07,134.5300,134.8300,133.1000,133.9000,133.9000,263030,0.0000,1.0000
2019-06-06,131.1000,134.2700,130.3200,134.1700,134.1700,433027,0.0000,1.0000
2019-06-05,132.1800,133.1900,131.0500,131.1500,131.1500,376061,0.0000,1.0000
2019-06-04,129.9300,131.7200,129.7400,131.6000,131.6000,300146,0.0000,1.0000
2019-06-03,129.1700,131.2100,128.2700,128.8400,128.8400,290250,0.0000,1.0000
2019-05-31,129.4400,129.5300,128.1650,129.0800,129.0800,226637,0.0000,1.0000
2019-05-30,131.1000,131.2500,129.3700,130.0700,130.0700,179122,0.0000,1.0000
2019-05-29,132.3900,132.3900,130.4900,131.2200,131.2200,168542,0.0000,1.0000
2019-05-28,133.5700,135.2400,133.1100,133.1100,133.1100,168788,0.0000,1.0000
2019-05-24,133.6800,134.0000,132.4100,133.2800,133.2800,158161,0.0000,1.0000
2019-05-23,133.4000,133.4000,132.0000,132.9900,132.9900,183415,0.0000,1.0000
2019-05-22,133.2900,134.0300,132.1700,133.6900,133.6900,115003,0.0000,1.0000
2019-05-21,132.5400,133.8500,132.4500,133.7000,133.7000,201902,0.0000,1.0000
2019-05-20,131.0300,132.9050,131.0000,132.1600,132.1600,130931,0.0000,1.0000
2019-05-17,133.0500,134.8800,131.4800,131.7400,131.7400,202703,0.0000,1.0000
2019-05-16,133.2300,135.1000,132.6850,133.5900,133.5900,276614,0.0000,1.0000
2019-05-15,132.1500,133.5400,131.5300,132.8800,132.8800,235178,0.0000,1.0000
2019-05-14,132.3700,133.7789,132.0100,132.5700,132.5700,226096,0.0000,1.0000
2019-05-13,133.0300,133.1774,131.1200,132.0100,132.0100,214563,0.0000,1.0000
2019-05-10,132.8100,135.5800,131.7611,134.8800,134.8800,411080,0.0000,1.0000
2019-05-09,130.7300,133.1900,129.8800,132.8800,132.8800,210057,0.0000,1.0000
2019-05-08,128.8600,132.0600,128.3900,131.3900,131.3900,270378,0.0000,1.0000
2019-05-07,130.7900,131.1000,128.2800,128.9000,128.9000,451263,0.0000,1.0000
2019-05-06,130.0500,131.7100,130.0500,131.0400,131.0400,277989,0.0000,1.0000
2019-05-03,131.8700,132.7650,130.7000,131.1100,131.1100,238213,0.0000,1.0000
2019-05-02,131.7600,133.0600,130.6400,131.2300,131.2300,383738,0.0000,1.0000
2019-05-01,132.3400,135.0850,131.3000,131.5800,131.5800,353648,0.0000,1.0000
2019-04-30,131.0600,132.5800,130.6200,132.3500,132.3500,228648,0.2900,1.0000
2019-04-29,130.9800,132.6700,130.5700,131.5700,131.2823,300195,0.0000,1.0000
2019-04-26,129.5900,131.0700,128.4250,130.4200,130.1349,360169,0.0000,1.0000
2019-04-25,132.4400,132.8100,129.3300,129.8700,129.5861,400391,0.0000,1.0000
2019-04-24,133.0800,134.1700,132.9150,133.3000,133.0086,267136,0.0000,1.0000
2019-04-23,132.3900,133.8700,132.2800,132.9800,132.6893,205482,0.0000,1.0000
2019-04-22,133.5900,134.7800,131.3000,132.0000,131.7114,387092,0.0000,1.0000
2019-04-18,133.8800,135.0000,132.8700,133.8900,133.5973,289651,0.0000,1.0000
2019-04-17,133.6700,134.4500,132.9900,133.7100,133.4177,214626,0.0000,1.0000
2019-04-16,134.2100,134.7300,133.2600,133.4000,133.1083,258385,0.0000,1.0000
2019-04-15,132.3900,133.8600,132.1300,133.5200,133.2281,354807,0.0000,1.0000
2019-04-12,132.1400,133.0500,131.3000,132.4800,132.1903,250596,0.0000,1.0000
2019-04-11,130.3800,131.9200,130.3800,131.7300,131.4420,324385,0.0000,1.0000
2019-04-10,128.9800,130.3300,128.7800,130.1800,129.8954,351337,0.0000,1.0000
2019-04-09,129.5800,130.6850,128.6900,128.6900,128.4086,251081,0.0000,1.0000
2019-04-08,130.8300,131.5000,129.7800,129.9500,129.6659,275202,0.0000,1.0000
2019-04-05,130.1400,131.1600,130.1000,130.8300,130.5440,374691,0.0000,1.0000
2019-04-04,130.2400,130.6300,129.7300,130.0800,129.7956,310515,0.0000,1.0000
2019-04-03,129.4200,130.6100,127.8100,130.0400,129.7557,288778,0.0000,1.0000
2019-04-02,129.2900,129.4200,127.7500,128.7600,128.4785,331284,0.0000,1.0000
