timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,194.7400,194.9900,193.0500,194.1100,194.1100,2138854,0.0000,1.0000
2019-06-27,192.6400,195.3900,192.5300,193.9000,193.9000,1252045,0.0000,1.0000
2019-06-26,198.3700,198.3700,191.9600,192.0300,192.0300,1488037,0.0000,1.0000
2019-06-25,198.9100,199.1100,197.3600,198.3200,198.3200,1174236,0.0000,1.0000
2019-06-24,197.9900,199.1550,197.4800,198.4200,198.4200,1201041,0.0000,1.0000
2019-06-21,197.8700,200.9400,197.2200,197.4600,197.4600,2699926,0.0000,1.0000
2019-06-20,198.8300,199.9800,196.5493,198.8200,198.8200,1163800,0.0000,1.0000
2019-06-19,195.8100,197.7300,195.3000,197.3200,197.3200,1071278,0.0000,1.0000
2019-06-18,194.9600,196.8400,194.7900,195.8200,195.8200,1364724,0.0000,1.0000
2019-06-17,197.0700,198.0900,194.4100,194.7700,194.7700,1174742,0.0000,1.0000
2019-06-14,197.3500,197.8100,195.6600,197.1000,197.1000,1147580,0.0000,1.0000
2019-06-13,198.7700,198.8759,194.5000,196.7400,196.7400,1608986,0.0000,1.0000
2019-06-12,198.4400,200.2700,197.8100,198.8800,198.8800,1161888,0.0000,1.0000
2019-06-11,203.5800,204.3000,197.5000,198.7500,198.7500,2506050,0.0000,1.0000
2019-06-10,203.2600,204.5600,202.6900,203.1800,203.1800,1294727,0.0000,1.0000
2019-06-07,199.7100,202.9800,199.7100,202.1100,202.1100,1104499,0.7500,1.0000
2019-06-06,199.9400,201.4250,197.0400,200.8900,200.1473,1296328,0.0000,1.0000
2019-06-05,195.1100,200.0000,195.0200,199.8800,199.1410,1630272,0.0000,1.0000
2019-06-04,194.3900,195.6800,192.5000,194.9600,194.2392,1344815,0.0000,1.0000
2019-06-03,192.4500,193.2200,190.9700,193.0000,192.2865,1745793,0.0000,1.0000
2019-05-31,190.0600,192.7100,190.0600,192.1200,191.4097,1782470,0.0000,1.0000
2019-05-30,190.6900,193.2700,190.4700,192.3600,191.6488,1183769,0.0000,1.0000
2019-05-29,187.3200,190.7800,187.3200,190.5200,189.8156,2017976,0.0000,1.0000
2019-05-28,187.4600,190.9400,186.9800,187.2600,186.5677,2557748,0.0000,1.0000
2019-05-24,187.6700,188.2600,185.5500,187.9200,187.2252,800670,0.0000,1.0000
2019-05-23,185.0000,187.4900,184.9200,186.8000,186.1094,1189680,0.0000,1.0000
2019-05-22,186.2300,187.1338,185.0400,185.8200,185.1330,773658,0.0000,1.0000
2019-05-21,186.3800,187.7850,185.8800,186.5700,185.8802,1121370,0.0000,1.0000
2019-05-20,183.9300,186.1900,183.8800,185.6400,184.9537,1250464,0.0000,1.0000
2019-05-17,182.1900,184.7399,182.1900,183.8500,183.1703,1223734,0.0000,1.0000
2019-05-16,182.6400,183.6600,181.5250,182.7900,182.1142,1061214,0.0000,1.0000
2019-05-15,181.9000,183.7100,181.2600,181.8300,181.1578,995571,0.0000,1.0000
2019-05-14,182.4800,184.8700,182.1100,183.2900,182.6124,1621872,0.0000,1.0000
2019-05-13,181.0000,183.6300,180.8000,182.3000,181.6260,1720525,0.0000,1.0000
2019-05-10,179.9000,183.0300,179.3850,182.9400,182.2636,1532966,0.0000,1.0000
2019-05-09,176.7800,181.1250,176.5300,180.0100,179.3445,1563563,0.0000,1.0000
2019-05-08,178.4700,179.8100,177.1800,178.2200,177.5611,1549279,0.0000,1.0000
2019-05-07,177.1000,180.9600,177.1000,178.1100,177.4515,2517842,0.0000,1.0000
2019-05-06,171.0100,178.4500,171.0100,178.1500,177.4914,1617861,0.0000,1.0000
2019-05-03,172.9700,174.3000,172.3100,173.9100,173.2670,1872698,0.0000,1.0000
2019-05-02,174.9200,174.9200,172.5600,172.8000,172.1611,2503864,0.0000,1.0000
2019-05-01,174.7100,176.3300,171.5000,175.3000,174.6519,2580912,0.0000,1.0000
2019-04-30,177.8300,178.9800,177.0900,178.9000,178.2386,1828385,0.0000,1.0000
2019-04-29,178.6100,179.5700,176.6000,177.5300,176.8736,2537103,0.0000,1.0000
2019-04-26,177.7400,179.9800,177.7400,179.0100,178.3482,1658404,0.0000,1.0000
2019-04-25,175.5100,178.2270,175.1825,178.0100,177.3519,1210090,0.0000,1.0000
2019-04-24,174.3500,176.2599,174.2500,176.2100,175.5585,1537492,0.0000,1.0000
2019-04-23,174.8000,175.4500,173.5600,174.7900,174.1438,1403528,0.0000,1.0000
2019-04-22,175.4100,176.0000,174.3550,174.7800,174.1338,1498445,0.0000,1.0000
2019-04-18,177.7300,179.1400,175.9300,176.3600,175.7080,2021786,0.0000,1.0000
2019-04-17,173.9200,177.1400,173.9200,176.9200,176.2659,2247377,0.0000,1.0000
2019-04-16,174.2850,174.6200,173.0900,173.9200,173.2770,1281809,0.0000,1.0000
2019-04-15,172.9400,174.4400,172.5600,173.4000,172.7589,1149233,0.0000,1.0000
2019-04-12,172.1500,173.6000,171.8600,172.9200,172.2807,1528168,0.0000,1.0000
2019-04-11,170.7700,171.5000,170.0500,170.5400,169.9095,1081967,0.0000,1.0000
2019-04-10,170.7600,171.1500,169.3700,170.0600,169.4313,1596860,0.0000,1.0000
2019-04-09,171.4800,172.4800,169.3950,170.7600,170.1287,1639591,0.0000,1.0000
2019-04-08,170.0300,172.5600,169.3500,172.3900,171.7527,1630278,0.0000,1.0000
2019-04-05,169.7000,170.6000,168.9900,170.0900,169.4612,1668094,0.0000,1.0000
2019-04-04,167.8100,169.5900,167.8100,169.3600,168.7339,1270554,0.0000,1.0000
2019-04-03,168.2700,170.6100,167.8200,168.4400,167.8173,1767267,0.0000,1.0000
2019-04-02,166.9600,168.4800,166.1000,168.0700,167.4486,1473680,0.0000,1.0000
2019-04-01,165.6600,166.7900,164.7500,166.5500,165.9342,1346891,0.0000,1.0000
2019-03-29,163.7900,164.9097,162.9100,164.5800,163.9715,1485224,0.0000,1.0000
2019-03-28,162.7200,163.0500,161.0500,162.7600,162.1583,1557611,0.0000,1.0000
2019-03-27,163.7300,164.0000,162.0000,162.5800,161.9789,1335276,0.0000,1.0000
2019-03-26,164.9400,165.5800,163.6900,164.1500,163.5431,1850410,0.0000,1.0000
2019-03-25,163.0800,164.8000,162.9200,164.1700,163.5630,1532489,0.0000,1.0000
2019-03-22,162.1500,164.4400,161.4000,163.3200,162.7162,2894911,0.0000,1.0000
2019-03-21,164.4500,165.5400,163.0200,164.3300,163.7225,1839746,0.0000,1.0000
2019-03-20,168.3900,168.6000,164.5800,164.7900,164.1807,2300404,0.0000,1.0000
2019-03-19,169.9400,170.8300,168.0000,168.7300,168.1062,1816432,0.0000,1.0000
2019-03-18,170.5800,171.3714,169.5100,169.8900,169.2619,1834028,0.0000,1.0000
2019-03-15,167.9500,170.9000,167.4300,170.1400,169.5110,2965793,0.0000,1.0000
2019-03-14,169.5000,169.6900,166.8800,168.4300,167.8073,2421810,0.0000,1.0000
2019-03-13,170.8900,171.8100,168.1100,169.6900,169.0626,2159181,0.0000,1.0000
2019-03-12,171.2700,171.5200,170.1100,170.3700,169.7401,2022831,0.0000,1.0000
2019-03-11,171.5200,172.7400,170.6000,170.8200,170.1885,1727532,0.0000,1.0000
2019-03-08,171.3700,171.9800,170.4500,171.5400,170.9058,1832963,0.0000,1.0000
2019-03-07,173.1900,173.7800,171.3900,172.5000,171.8622,2612358,0.7500,1.0000
2019-03-06,176.1700,176.6200,173.9600,174.2500,172.8542,1840072,0.0000,1.0000
2019-03-05,181.0100,181.8000,175.3200,175.9900,174.5803,2014072,0.0000,1.0000
2019-03-04,183.4100,183.6600,179.0700,180.3000,178.8558,2357414,0.0000,1.0000
2019-03-01,182.4500,183.9700,182.0100,182.5900,181.1274,1896617,0.0000,1.0000
2019-02-28,180.4500,183.1208,180.4300,181.9100,180.4529,2130899,0.0000,1.0000
2019-02-27,177.8500,180.2500,177.3200,179.8600,178.4193,1762270,0.0000,1.0000
2019-02-26,177.6000,179.4850,177.1200,178.1100,176.6833,1742524,0.0000,1.0000
2019-02-25,178.8300,180.4200,177.3500,177.4900,176.0683,1935860,0.0000,1.0000
2019-02-22,176.5100,178.1600,176.0800,178.0600,176.6337,1350094,0.0000,1.0000
2019-02-21,175.4100,176.5700,175.0400,176.4900,175.0763,1955127,0.0000,1.0000
