timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,45.5800,47.8000,45.5800,47.1000,47.1000,1961786,0.0000,1.0000
2019-06-27,44.2000,45.5350,44.0100,45.3600,45.3600,339886,0.0000,1.0000
2019-06-26,43.9400,44.7962,43.6500,43.9200,43.9200,290243,0.0000,1.0000
2019-06-25,43.5000,44.9500,43.0000,43.9800,43.9800,480544,0.0000,1.0000
2019-06-24,45.6500,45.8000,43.0800,43.3500,43.3500,377897,0.0000,1.0000
2019-06-21,44.2200,46.0000,43.1450,45.4100,45.4100,884658,0.0000,1.0000
2019-06-20,47.5600,47.9000,43.8600,44.3500,44.3500,876496,0.0000,1.0000
2019-06-19,47.9800,48.3000,46.6300,46.9500,46.9500,403976,0.0000,1.0000
2019-06-18,47.4500,48.2000,44.7100,48.2000,48.2000,1164553,0.0000,1.0000
2019-06-17,44.0000,47.4300,43.3300,47.0700,47.0700,954405,0.0000,1.0000
2019-06-14,44.3100,44.3400,42.8600,43.2700,43.2700,351109,0.0000,1.0000
2019-06-13,43.6500,44.5000,43.0400,44.2600,44.2600,615571,0.0000,1.0000
2019-06-12,43.6400,43.8600,42.0400,43.5300,43.5300,418207,0.0000,1.0000
2019-06-11,45.3000,45.3500,41.4900,43.5200,43.5200,709275,0.0000,1.0000
2019-06-10,43.6700,45.2400,43.4100,44.3800,44.3800,1124131,0.0000,1.0000
2019-06-07,40.5800,44.2100,40.5800,42.8800,42.8800,1866558,0.0000,1.0000
2019-06-06,37.4500,37.5700,36.7195,37.2500,37.2500,305860,0.0000,1.0000
2019-06-05,37.4300,38.0000,36.9100,37.5300,37.5300,269426,0.0000,1.0000
2019-06-04,36.4900,37.4200,36.1500,37.2600,37.2600,357461,0.0000,1.0000
2019-06-03,35.4900,36.7200,35.0500,35.9900,35.9900,381195,0.0000,1.0000
2019-05-31,36.0000,36.4800,35.2900,35.5700,35.5700,306178,0.0000,1.0000
2019-05-30,36.8500,37.2400,36.1000,36.5900,36.5900,234971,0.0000,1.0000
2019-05-29,36.4300,37.2850,35.7600,36.8600,36.8600,355312,0.0000,1.0000
2019-05-28,37.1300,37.5000,36.0900,36.7200,36.7200,346359,0.0000,1.0000
2019-05-24,37.0000,37.4689,36.4500,37.0000,37.0000,303610,0.0000,1.0000
2019-05-23,38.3400,38.8000,36.1900,36.8100,36.8100,529449,0.0000,1.0000
2019-05-22,39.4000,39.7609,38.4000,38.8200,38.8200,308517,0.0000,1.0000
2019-05-21,38.2000,39.5500,37.8500,39.4300,39.4300,317994,0.0000,1.0000
2019-05-20,38.4000,38.4500,37.5200,37.6900,37.6900,276882,0.0000,1.0000
2019-05-17,38.9500,39.3800,38.2475,38.8300,38.8300,296821,0.0000,1.0000
2019-05-16,38.7900,39.9000,38.7500,39.4400,39.4400,455416,0.0000,1.0000
2019-05-15,37.5200,38.7800,37.1400,38.6700,38.6700,278294,0.0000,1.0000
2019-05-14,38.1500,38.6950,37.1500,37.6200,37.6200,533877,0.0000,1.0000
2019-05-13,38.7000,39.6800,37.1200,37.7500,37.7500,620800,0.0000,1.0000
2019-05-10,39.9000,40.7900,38.9300,40.5900,40.5900,344489,0.0000,1.0000
2019-05-09,39.1700,40.1300,38.3600,39.9900,39.9900,413301,0.0000,1.0000
2019-05-08,39.0000,40.7900,38.8900,39.8600,39.8600,400181,0.0000,1.0000
2019-05-07,42.7400,42.7400,38.7800,39.1600,39.1600,507846,0.0000,1.0000
2019-05-06,40.1900,42.2000,39.5156,42.0900,42.0900,601146,0.0000,1.0000
2019-05-03,40.7800,41.0400,39.9400,40.5700,40.5700,448616,0.0000,1.0000
2019-05-02,38.8200,40.3550,38.5478,40.2800,40.2800,553789,0.0000,1.0000
2019-05-01,40.1800,40.4800,38.2600,38.8200,38.8200,593322,0.0000,1.0000
2019-04-30,39.7300,43.0000,38.5000,40.1900,40.1900,1300224,0.0000,1.0000
2019-04-29,41.3300,42.2000,39.6800,40.2800,40.2800,640371,0.0000,1.0000
2019-04-26,39.6200,41.1900,39.3465,41.0200,41.0200,703617,0.0000,1.0000
2019-04-25,38.5700,39.7800,38.1200,39.5600,39.5600,631546,0.0000,1.0000
2019-04-24,38.9300,39.0000,37.8300,38.5700,38.5700,370810,0.0000,1.0000
2019-04-23,37.2300,38.8600,36.9450,38.6800,38.6800,548416,0.0000,1.0000
2019-04-22,36.2800,37.4200,35.8800,37.2500,37.2500,389794,0.0000,1.0000
2019-04-18,36.7300,36.7600,35.1500,36.2600,36.2600,530447,0.0000,1.0000
2019-04-17,39.1100,39.7500,35.1500,36.4300,36.4300,1585956,0.0000,1.0000
2019-04-16,38.7500,40.9400,38.4320,39.0800,39.0800,1162512,0.0000,1.0000
2019-04-15,38.0000,38.2400,36.6400,37.1500,37.1500,341107,0.0000,1.0000
2019-04-12,37.9900,38.3000,37.3900,37.9100,37.9100,335628,0.0000,1.0000
2019-04-11,38.8300,39.2900,36.7500,37.5100,37.5100,547480,0.0000,1.0000
2019-04-10,37.8600,38.8400,37.6800,38.8200,38.8200,357302,0.0000,1.0000
2019-04-09,38.6600,38.8700,37.5100,37.6800,37.6800,408282,0.0000,1.0000
2019-04-08,38.4200,39.3900,37.3700,38.6700,38.6700,456860,0.0000,1.0000
2019-04-05,38.3700,38.5100,37.9100,38.4200,38.4200,359023,0.0000,1.0000
2019-04-04,38.1600,38.4910,37.2087,38.1500,38.1500,413159,0.0000,1.0000
2019-04-03,38.2200,38.3518,37.5200,38.2400,38.2400,458251,0.0000,1.0000
2019-04-02,35.4300,38.3400,35.4300,37.9000,37.9000,812012,0.0000,1.0000
2019-04-01,36.2500,36.3500,34.9100,35.4500,35.4500,431541,0.0000,1.0000
2019-03-29,35.4500,35.9800,34.9600,35.7200,35.7200,444883,0.0000,1.0000
2019-03-28,34.3500,35.1750,34.1000,34.9300,34.9300,293277,0.0000,1.0000
2019-03-27,34.8500,35.1300,33.6100,34.2100,34.2100,396380,0.0000,1.0000
2019-03-26,34.7300,35.2000,34.3050,34.8300,34.8300,489648,0.0000,1.0000
2019-03-25,35.4000,35.9126,33.5500,34.1900,34.1900,761221,0.0000,1.0000
2019-03-22,37.5700,38.0000,35.1800,35.5900,35.5900,709033,0.0000,1.0000
2019-03-21,36.6400,38.4000,36.6400,37.8600,37.8600,531542,0.0000,1.0000
2019-03-20,37.4200,37.4900,35.9200,37.1000,37.1000,495550,0.0000,1.0000
2019-03-19,38.0900,38.3000,36.7200,37.2400,37.2400,545900,0.0000,1.0000
2019-03-18,38.8900,39.6000,37.4100,37.8800,37.8800,700716,0.0000,1.0000
2019-03-15,38.6200,39.5700,38.5100,38.6400,38.6400,637015,0.0000,1.0000
2019-03-14,39.3700,39.7599,38.0400,38.5500,38.5500,406488,0.0000,1.0000
2019-03-13,39.7100,39.8500,38.4100,39.4300,39.4300,683016,0.0000,1.0000
2019-03-12,39.5900,39.8908,39.0800,39.4100,39.4100,460857,0.0000,1.0000
2019-03-11,37.6900,39.1055,37.2700,39.0400,39.0400,509783,0.0000,1.0000
2019-03-08,37.6100,38.6400,36.6846,37.7000,37.7000,595705,0.0000,1.0000
2019-03-07,38.3200,39.4700,37.0200,38.7000,38.7000,555011,0.0000,1.0000
2019-03-06,40.8500,41.1150,37.7450,38.3900,38.3900,974294,0.0000,1.0000
2019-03-05,39.9200,41.9000,39.2500,40.8700,40.8700,1363858,0.0000,1.0000
2019-03-04,42.0300,42.0300,38.2800,39.9200,39.9200,2229804,0.0000,1.0000
2019-03-01,35.8300,40.0500,35.3400,39.9700,39.9700,1877155,0.0000,1.0000
2019-02-28,36.8500,37.1900,34.8300,35.3900,35.3900,665643,0.0000,1.0000
2019-02-27,36.2500,37.6300,35.5950,36.7300,36.7300,891892,0.0000,1.0000
2019-02-26,39.5300,39.7499,36.0700,36.2000,36.2000,1377172,0.0000,1.0000
2019-02-25,34.9500,40.0500,34.0000,39.6500,39.6500,4110100,0.0000,1.0000
2019-02-22,31.1500,31.9600,30.8273,31.6700,31.6700,628076,0.0000,1.0000
2019-02-21,31.8800,31.9700,30.7500,31.1800,31.1800,497951,0.0000,1.0000
2019-02-20,32.6100,32.8500,31.5000,31.9900,31.9900,408701,0.0000,1.0000
2019-02-19,31.3700,32.9100,31.3700,32.4100,32.4100,510368,0.0000,1.0000
2019-02-15,31.1000,31.7800,30.8100,31.5200,31.5200,416557,0.0000,1.0000
2019-02-14,30.9700,31.3057,30.5292,30.9300,30.9300,277184,0.0000,1.0000
2019-02-13,31.7900,32.1500,30.8900,31.1100,31.1100,361133,0.0000,1.0000
2019-02-12,31.2000,31.9000,31.0700,31.6400,31.6400,427804,0.0000,1.0000
2019-02-11,30.6200,31.9400,30.0400,31.1300,31.1300,522619,0.0000,1.0000
2019-02-08,30.2600,31.0600,29.9200,30.3900,30.3900,704412,0.0000,1.0000
2019-02-07,32.3800,32.4683,29.3401,29.7800,29.7800,928985,0.0000,1.0000
2019-02-06,32.3100,32.6800,31.6500,32.6300,32.6300,339253,0.0000,1.0000
2019-02-05,32.6900,33.7300,32.0690,32.4400,32.4400,384868,0.0000,1.0000
2019-02-04,31.9600,32.9400,31.5200,32.5800,32.5800,515936,0.0000,1.0000
2019-02-01,32.4600,32.9500,31.3300,31.9200,31.9200,487881,0.0000,1.0000
2019-01-31,32.1900,33.4600,32.1200,32.4300,32.4300,494350,0.0000,1.0000
2019-01-30,31.0900,32.5400,31.0000,32.2400,32.2400,590372,0.0000,1.0000
2019-01-29,31.3000,31.7500,30.1000,30.9700,30.9700,656004,0.0000,1.0000
2019-01-28,32.2100,32.2800,30.3300,31.1700,31.1700,1039790,0.0000,1.0000
2019-01-25,32.4400,33.2300,31.8089,33.2000,33.2000,561356,0.0000,1.0000
2019-01-24,31.2400,32.4700,30.5150,32.2900,32.2900,590200,0.0000,1.0000
2019-01-23,32.9300,33.0100,30.0000,31.4000,31.4000,1565066,0.0000,1.0000
2019-01-22,33.9600,34.0000,31.2200,33.0800,33.0800,2728531,0.0000,1.0000
2019-01-18,36.0400,37.4600,36.0400,37.1300,37.1300,670930,0.0000,1.0000
2019-01-17,35.2600,36.5100,35.1600,35.8800,35.8800,364793,0.0000,1.0000
2019-01-16,35.4300,37.4700,35.2130,35.4000,35.4000,613624,0.0000,1.0000
2019-01-15,34.1500,35.4600,33.7600,35.3900,35.3900,545829,0.0000,1.0000
2019-01-14,34.4000,34.8300,33.7301,34.1500,34.1500,472031,0.0000,1.0000
2019-01-11,34.3900,35.5300,34.1000,35.1500,35.1500,447268,0.0000,1.0000
2019-01-10,35.9500,36.1000,33.7100,34.5700,34.5700,1288713,0.0000,1.0000
2019-01-09,34.4600,37.0300,34.0200,36.7300,36.7300,1427470,0.0000,1.0000
2019-01-08,35.2400,35.3500,32.5700,34.0100,34.0100,905777,0.0000,1.0000
2019-01-07,30.9500,34.4800,30.5143,34.2200,34.2200,1251306,0.0000,1.0000
2019-01-04,29.2900,30.9300,28.9500,30.2700,30.2700,909567,0.0000,1.0000
2019-01-03,29.5200,30.1000,27.5000,28.0200,28.0200,1033209,0.0000,1.0000
2019-01-02,27.8400,29.8880,27.1537,29.8700,29.8700,877525,0.0000,1.0000
2018-12-31,27.1100,29.9400,27.1100,28.5700,28.5700,1381907,0.0000,1.0000
2018-12-28,26.6400,27.2700,26.0000,26.7500,26.7500,845638,0.0000,1.0000
2018-12-27,26.1400,26.8070,24.8400,26.4100,26.4100,925287,0.0000,1.0000
2018-12-26,24.5600,26.3600,24.5600,26.3100,26.3100,1100358,0.0000,1.0000
2018-12-24,22.3600,25.4500,22.3600,24.4200,24.4200,967407,0.0000,1.0000
2018-12-21,27.4900,27.4900,22.2201,22.7300,22.7300,2302997,0.0000,1.0000
2018-12-20,28.5600,28.7767,26.1101,27.4200,27.4200,1078881,0.0000,1.0000
2018-12-19,29.5200,30.9900,28.3200,28.8600,28.8600,733938,0.0000,1.0000
2018-12-18,31.7700,32.1700,29.1300,29.5400,29.5400,855120,0.0000,1.0000
2018-12-17,32.3400,33.7500,31.2900,31.5800,31.5800,504747,0.0000,1.0000
2018-12-14,33.1500,34.0400,32.4200,32.6900,32.6900,609197,0.0000,1.0000
2018-12-13,36.5800,37.1674,33.3850,33.4400,33.4400,522304,0.0000,1.0000
2018-12-12,36.1400,37.6200,36.0100,36.3800,36.3800,610334,0.0000,1.0000
2018-12-11,35.9300,36.4200,35.1500,35.7100,35.7100,695629,0.0000,1.0000
2018-12-10,35.0600,36.1400,34.1200,35.3000,35.3000,909698,0.0000,1.0000
2018-12-07,35.8600,36.4267,34.1100,35.0600,35.0600,834954,0.0000,1.0000
2018-12-06,35.5500,36.5000,34.6800,35.9200,35.9200,616521,0.0000,1.0000
2018-12-04,39.5000,40.2900,36.0100,36.3400,36.3400,777830,0.0000,1.0000
2018-12-03,39.9500,40.9900,39.0200,39.8400,39.8400,954581,0.0000,1.0000
2018-11-30,39.3000,39.7500,37.8400,38.3300,38.3300,710268,0.0000,1.0000
2018-11-29,37.2700,39.2000,36.9500,38.7200,38.7200,787840,0.0000,1.0000
