timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,39.3300,39.5600,39.1100,39.5000,39.5000,14760649,0.0000,1.0000
2019-06-27,39.3500,39.5800,39.2600,39.2900,39.2900,8254170,0.0000,1.0000
2019-06-26,39.1300,39.3700,39.0500,39.2000,39.2000,4739356,0.0000,1.0000
2019-06-25,39.7800,39.7800,38.9150,39.0200,39.0200,7833964,0.0000,1.0000
2019-06-24,40.0200,40.1800,39.6400,39.7100,39.7100,7365644,0.0000,1.0000
2019-06-21,39.9200,40.2100,39.6300,40.0500,40.0500,20769630,0.0000,1.0000
2019-06-20,40.5400,40.5500,39.8750,39.9200,39.9200,11852507,0.0000,1.0000
2019-06-19,39.7800,40.2200,39.6000,40.1300,40.1300,6520006,0.0000,1.0000
2019-06-18,39.4000,39.9300,39.2350,39.6700,39.6700,9352761,0.0000,1.0000
2019-06-17,38.9400,39.3200,38.7200,39.0100,39.0100,11564729,0.0000,1.0000
2019-06-14,39.1400,39.3200,38.8600,38.9100,38.9100,7550088,0.0000,1.0000
2019-06-13,39.1200,39.4400,38.9250,39.0000,39.0000,9103250,0.0000,1.0000
2019-06-12,38.1000,39.0550,38.0300,39.0200,39.0200,9266594,0.0000,1.0000
2019-06-11,38.4100,38.5900,37.8500,38.2300,38.2300,7350496,0.0000,1.0000
2019-06-10,37.6600,38.3950,37.5500,38.1200,38.1200,8884296,0.0000,1.0000
2019-06-07,36.9300,38.0000,36.9100,37.5100,37.5100,11904964,0.0000,1.0000
2019-06-06,36.5500,36.8200,36.4450,36.8100,36.8100,5982333,0.0000,1.0000
2019-06-05,36.8600,36.8652,36.0400,36.5600,36.5600,11404132,0.0000,1.0000
2019-06-04,35.8700,36.8100,35.8500,36.5400,36.5400,10785043,0.0000,1.0000
2019-06-03,35.8500,36.0850,35.4500,35.6200,35.6200,9491601,0.0000,1.0000
2019-05-31,36.0300,36.1400,35.7400,35.9300,35.9300,7261440,0.0000,1.0000
2019-05-30,36.0900,36.7000,35.9750,36.3800,36.3800,6489999,0.1400,1.0000
2019-05-29,35.9600,36.2300,35.7850,36.1000,35.9616,7874254,0.0000,1.0000
2019-05-28,36.2300,36.6800,36.1400,36.2200,36.0812,7201460,0.0000,1.0000
2019-05-24,36.1400,36.3800,35.8144,36.1300,35.9915,5298801,0.0000,1.0000
2019-05-23,36.0600,36.2900,35.5900,35.9500,35.8122,8753715,0.0000,1.0000
2019-05-22,36.4700,36.5900,36.1250,36.3100,36.1708,7066420,0.0000,1.0000
2019-05-21,36.7100,36.8700,36.4400,36.5800,36.4398,6438583,0.0000,1.0000
2019-05-20,36.5000,36.9500,36.4100,36.5600,36.4198,7379334,0.0000,1.0000
2019-05-17,36.8900,37.2700,36.6000,36.9000,36.7585,9273574,0.0000,1.0000
2019-05-16,37.1400,37.6400,37.0400,37.2700,37.1271,8123298,0.0000,1.0000
2019-05-15,36.6300,37.1800,36.5200,37.0400,36.8980,7461392,0.0000,1.0000
2019-05-14,35.9500,37.2550,35.8700,36.8000,36.6589,11137758,0.0000,1.0000
2019-05-13,36.5500,36.7400,35.7300,35.8700,35.7325,12425770,0.0000,1.0000
2019-05-10,37.4800,37.5800,36.7100,37.3800,37.2367,8920146,0.0000,1.0000
2019-05-09,37.2500,37.8500,36.9600,37.6200,37.4758,6454660,0.0000,1.0000
2019-05-08,37.6800,37.7400,37.2900,37.5400,37.3961,5943712,0.0000,1.0000
2019-05-07,37.6100,37.8500,37.3640,37.6800,37.5356,7808465,0.0000,1.0000
2019-05-06,37.6400,38.0600,37.5900,37.8800,37.7348,6504651,0.0000,1.0000
2019-05-03,37.9500,38.3000,37.8600,38.2800,38.1333,8774970,0.0000,1.0000
2019-05-02,37.7900,38.1800,37.5300,37.5900,37.4459,10378425,0.0000,1.0000
2019-05-01,38.7800,38.9400,37.7700,37.8000,37.6551,9686451,0.0000,1.0000
2019-04-30,38.2700,38.8000,37.9600,38.7500,38.6015,8321444,0.0000,1.0000
