timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,82.4200,86.3000,81.5500,86.1000,86.1000,1610606,0.0000,1.0000
2019-06-27,77.6300,82.3400,77.4905,82.2100,82.2100,328889,0.0000,1.0000
2019-06-26,78.8200,80.4100,77.1100,77.4200,77.4200,299562,0.0000,1.0000
2019-06-25,79.8400,81.2500,77.8000,78.5500,78.5500,344631,0.0000,1.0000
2019-06-24,83.1000,85.6500,78.3300,79.6200,79.6200,658016,0.0000,1.0000
2019-06-21,80.0000,83.5300,79.1000,82.1500,82.1500,528858,0.0000,1.0000
2019-06-20,80.5700,81.0000,78.6000,80.0500,80.0500,461206,0.0000,1.0000
2019-06-19,75.6100,81.7300,75.3332,79.2600,79.2600,677187,0.0000,1.0000
2019-06-18,73.8300,75.6700,73.5000,75.0600,75.0600,281296,0.0000,1.0000
2019-06-17,74.2700,75.7700,72.8000,73.3600,73.3600,531750,0.0000,1.0000
2019-06-14,73.4300,74.3500,71.4500,74.0900,74.0900,240530,0.0000,1.0000
2019-06-13,71.3500,74.2400,70.6810,73.3800,73.3800,337463,0.0000,1.0000
2019-06-12,69.8400,71.2190,67.4600,70.9900,70.9900,229446,0.0000,1.0000
2019-06-11,74.9900,74.9900,68.9600,69.7900,69.7900,346061,0.0000,1.0000
2019-06-10,74.5000,74.9900,72.2100,73.9100,73.9100,402964,0.0000,1.0000
2019-06-07,72.9600,74.9600,72.7451,73.4300,73.4300,323795,0.0000,1.0000
2019-06-06,74.0500,74.8900,72.0940,73.2500,73.2500,287476,0.0000,1.0000
2019-06-05,71.4300,75.2800,71.4300,73.9600,73.9600,519527,0.0000,1.0000
2019-06-04,70.4400,71.6500,69.5000,71.0800,71.0800,395377,0.0000,1.0000
2019-06-03,70.3400,70.9000,65.7300,69.4300,69.4300,433618,0.0000,1.0000
2019-05-31,69.8300,71.2800,68.6300,70.5600,70.5600,353599,0.0000,1.0000
2019-05-30,65.9600,72.2700,65.9600,71.4600,71.4600,719034,0.0000,1.0000
2019-05-29,65.9700,66.3600,63.6300,65.6900,65.6900,280357,0.0000,1.0000
