timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,46.6100,47.6900,46.4500,47.5000,47.5000,296426,0.0000,1.0000
2019-06-27,45.8200,46.6100,45.7500,46.6100,46.6100,114999,0.0000,1.0000
2019-06-26,45.8700,46.3600,45.4200,45.7000,45.7000,108358,0.0000,1.0000
2019-06-25,45.3900,46.0100,45.2900,45.6700,45.6700,161064,0.0000,1.0000
2019-06-24,46.1900,46.7500,45.3800,45.4200,45.4200,130744,0.0000,1.0000
2019-06-21,46.6500,46.9200,46.0000,46.0300,46.0300,289841,0.0000,1.0000
2019-06-20,46.5000,46.9989,46.1100,46.9200,46.9200,91247,0.0000,1.0000
2019-06-19,45.8800,46.1400,45.4800,45.9200,45.9200,121373,0.0000,1.0000
2019-06-18,45.8500,46.5200,45.7400,45.8000,45.8000,185268,0.0000,1.0000
2019-06-17,46.1100,46.3700,45.5400,45.6200,45.6200,142861,0.0000,1.0000
2019-06-14,46.2600,46.4700,45.3700,45.9700,45.9700,99857,0.0000,1.0000
2019-06-13,46.3700,46.6200,45.9400,46.2700,46.2700,110794,0.0000,1.0000
2019-06-12,45.6600,46.0050,45.2000,45.9800,45.9800,92309,0.0000,1.0000
2019-06-11,46.3100,46.5000,45.5400,45.7300,45.7300,116453,0.0000,1.0000
2019-06-10,45.3900,46.0400,45.3300,45.7700,45.7700,101909,0.0000,1.0000
2019-06-07,44.6300,45.4400,44.6200,45.1500,45.1500,136024,0.0000,1.0000
2019-06-06,43.7900,44.7300,43.6600,44.2900,44.2900,185545,0.0000,1.0000
2019-06-05,45.0200,47.3481,42.8700,43.8900,43.8900,435541,0.0000,1.0000
2019-06-04,45.0500,45.6300,44.5200,45.0200,45.0200,212981,0.0000,1.0000
2019-06-03,43.8000,44.5900,43.8000,44.5200,44.5200,110639,0.0000,1.0000
2019-05-31,43.2300,43.8600,43.1350,43.8300,43.8300,121858,0.0000,1.0000
2019-05-30,43.9900,44.4750,43.6100,43.8800,43.8800,80274,0.0000,1.0000
2019-05-29,44.1600,44.2500,43.5700,43.8300,43.8300,211405,0.0000,1.0000
2019-05-28,44.9600,45.0800,44.4900,44.5600,44.5600,61667,0.0000,1.0000
2019-05-24,44.4200,44.8450,44.2400,44.7900,44.7900,56085,0.0000,1.0000
2019-05-23,44.8100,44.8100,43.7500,44.0800,44.0800,163869,0.0000,1.0000
2019-05-22,45.6100,45.7400,45.1300,45.1400,45.1400,77698,0.0000,1.0000
2019-05-21,45.6800,45.8700,45.0600,45.7200,45.7200,137046,0.0000,1.0000
2019-05-20,44.9900,45.7500,44.8500,45.3400,45.3400,68694,0.0000,1.0000
2019-05-17,46.0500,46.3800,45.2700,45.3500,45.3500,133295,0.0000,1.0000
2019-05-16,46.3500,46.8000,46.3200,46.5200,46.5200,133035,0.0000,1.0000
2019-05-15,45.5600,46.4000,45.4300,46.2700,46.2700,161506,0.0000,1.0000
2019-05-14,45.6600,46.8400,45.0950,45.9900,45.9900,180739,0.0000,1.0000
2019-05-13,46.1600,46.1600,45.2100,45.4300,45.4300,137559,0.0000,1.0000
2019-05-10,47.0400,47.4700,46.3400,47.0100,47.0100,92299,0.0000,1.0000
2019-05-09,46.5700,47.3950,46.3700,47.1300,47.1300,165593,0.0000,1.0000
2019-05-08,47.5900,47.8100,46.8900,46.9100,46.9100,170557,0.0000,1.0000
2019-05-07,48.6600,49.0200,47.0500,47.5800,47.5800,173240,0.0000,1.0000
2019-05-06,48.5300,49.3400,48.1412,49.1100,49.1100,107373,0.0000,1.0000
2019-05-03,48.5800,49.5200,48.4900,49.3900,49.3900,111488,0.0000,1.0000
2019-05-02,48.4000,48.6700,47.5700,48.1900,48.1900,91729,0.0000,1.0000
2019-05-01,49.0600,49.1600,47.7600,48.3700,48.3700,353172,0.1450,1.0000
2019-04-30,48.4000,48.9700,48.0150,48.8600,48.7140,232842,0.0000,1.0000
2019-04-29,47.7400,48.4700,47.5000,48.1800,48.0360,153339,0.0000,1.0000
2019-04-26,46.8200,47.5400,46.7200,47.5000,47.3580,134905,0.0000,1.0000
2019-04-25,47.2100,47.4750,46.2950,46.6800,46.5405,227161,0.0000,1.0000
2019-04-24,45.5100,47.7100,45.0100,47.4400,47.2982,349030,0.0000,1.0000
2019-04-23,49.5300,49.7000,45.9400,46.0200,45.8825,587000,0.0000,1.0000
2019-04-22,51.5900,51.5900,50.4250,51.2000,51.0470,112604,0.0000,1.0000
2019-04-18,51.6600,52.2200,51.2500,51.5700,51.4159,82941,0.0000,1.0000
2019-04-17,52.0300,52.5200,51.5500,51.6200,51.4657,197146,0.0000,1.0000
2019-04-16,51.5200,51.8700,51.3200,51.7800,51.6252,140619,0.0000,1.0000
2019-04-15,50.7300,51.5200,50.4800,51.2600,51.1068,144181,0.0000,1.0000
2019-04-12,50.9100,51.7200,50.2950,50.7200,50.5684,128900,0.0000,1.0000
2019-04-11,50.4600,50.6000,50.2100,50.4800,50.3291,115578,0.0000,1.0000
2019-04-10,49.6900,50.4300,49.0501,50.4300,50.2793,285395,0.0000,1.0000
2019-04-09,51.5400,51.5400,49.2700,49.4900,49.3421,256811,0.0000,1.0000
2019-04-08,51.8500,53.3100,51.4600,51.8400,51.6851,76623,0.0000,1.0000
2019-04-05,51.7900,52.3300,51.6400,52.1000,51.9443,245968,0.0000,1.0000
2019-04-04,51.4900,52.0600,51.1650,51.7400,51.5854,96827,0.0000,1.0000
2019-04-03,51.5500,51.9000,51.2100,51.4300,51.2763,147581,0.0000,1.0000
2019-04-02,51.8300,51.8300,51.0900,51.4400,51.2863,69628,0.0000,1.0000
2019-04-01,51.4900,52.4700,51.4750,51.8200,51.6651,129146,0.0000,1.0000
2019-03-29,51.3100,51.5200,50.7000,51.0900,50.9373,140542,0.0000,1.0000
2019-03-28,50.5600,51.0450,50.2500,50.8700,50.7180,74646,0.0000,1.0000
2019-03-27,50.6100,51.1800,49.8700,50.3800,50.2294,74045,0.0000,1.0000
2019-03-26,49.9000,51.1650,49.7000,50.5700,50.4189,152553,0.0000,1.0000
2019-03-25,49.6700,50.2600,49.5200,49.6100,49.4617,209059,0.0000,1.0000
2019-03-22,51.7800,52.0300,49.6900,49.7300,49.5814,162124,0.0000,1.0000
2019-03-21,51.3600,52.3700,51.3600,52.0600,51.9044,109432,0.0000,1.0000
2019-03-20,51.7300,52.1900,50.7900,51.4000,51.2464,131870,0.0000,1.0000
2019-03-19,52.3500,52.9200,51.5300,51.7300,51.5754,135090,0.0000,1.0000
2019-03-18,51.2300,52.0900,51.1400,52.0500,51.8944,189378,0.0000,1.0000
2019-03-15,51.5800,52.0100,50.9000,50.9700,50.8177,504075,0.0000,1.0000
2019-03-14,51.6300,51.6300,50.8000,51.4200,51.2663,121704,0.0000,1.0000
2019-03-13,52.0200,52.3600,51.5800,51.6200,51.4657,311353,0.0000,1.0000
2019-03-12,52.4700,52.4700,51.6000,51.7300,51.5754,140813,0.0000,1.0000
2019-03-11,52.2800,52.9200,52.1000,52.4800,52.3231,334066,0.0000,1.0000
2019-03-08,51.8800,52.4200,51.7200,52.2000,52.0440,89362,0.0000,1.0000
2019-03-07,52.4300,52.6000,51.7300,52.1700,52.0141,102853,0.0000,1.0000
2019-03-06,52.6200,53.0050,52.2400,52.4600,52.3032,170133,0.0000,1.0000
