timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,40.3400,41.0000,40.0600,40.5500,40.5500,592302,0.0000,1.0000
2019-06-27,39.4500,40.0850,39.4500,40.0500,40.0500,308403,0.0000,1.0000
2019-06-26,39.6700,40.1200,39.5300,39.5600,39.5600,483659,0.0000,1.0000
2019-06-25,39.2600,39.5500,38.6500,39.2200,39.2200,339729,0.0000,1.0000
2019-06-24,39.6800,40.1000,39.2800,39.3100,39.3100,391814,0.0000,1.0000
2019-06-21,39.5700,40.0300,39.5400,39.7100,39.7100,615233,0.0000,1.0000
2019-06-20,40.1600,40.1600,39.4500,39.8700,39.8700,286128,0.0000,1.0000
2019-06-19,40.3000,40.7700,39.8200,39.8200,39.8200,217152,0.0000,1.0000
2019-06-18,39.1800,40.3400,39.1800,40.2400,40.2400,224490,0.0000,1.0000
2019-06-17,39.8900,40.1300,38.9800,39.0500,39.0500,270298,0.0000,1.0000
2019-06-14,39.9800,40.1200,39.4900,39.9000,39.9000,184228,0.0000,1.0000
2019-06-13,40.0300,40.4800,39.7800,39.9400,39.9400,124504,0.0000,1.0000
2019-06-12,40.1800,40.1900,39.7100,39.9100,39.9100,154720,0.0000,1.0000
2019-06-11,40.6200,40.6700,40.0000,40.1700,40.1700,162747,0.0000,1.0000
2019-06-10,40.1800,40.6900,39.6900,40.4300,40.4300,197898,0.0000,1.0000
2019-06-07,39.9200,39.9400,39.5181,39.8600,39.8600,255695,0.0000,1.0000
2019-06-06,40.0800,40.5000,39.1200,39.9900,39.9900,215548,0.0000,1.0000
2019-06-05,40.2000,40.3900,39.6500,40.2300,40.2300,179712,0.0000,1.0000
2019-06-04,40.0000,40.5000,39.9800,40.3900,40.3900,302848,0.0000,1.0000
2019-06-03,39.3900,39.8900,39.0650,39.6100,39.6100,309116,0.0000,1.0000
2019-05-31,39.4300,39.6700,38.9400,39.4100,39.4100,431078,0.0000,1.0000
2019-05-30,40.2400,40.4700,39.4500,39.9300,39.9300,193438,0.0000,1.0000
2019-05-29,39.5200,40.3300,39.3100,40.2400,40.2400,208842,0.0000,1.0000
2019-05-28,40.5100,40.7700,39.8000,39.8300,39.8300,235146,0.0000,1.0000
2019-05-24,39.8600,40.9300,39.5900,40.6600,40.6600,265680,0.0000,1.0000
2019-05-23,39.9600,39.9900,39.1400,39.7100,39.7100,427664,0.0000,1.0000
2019-05-22,40.7200,40.7400,40.1200,40.3400,40.3400,364517,0.0000,1.0000
2019-05-21,40.8000,41.0000,40.5900,40.8100,40.8100,226799,0.0000,1.0000
2019-05-20,40.6900,41.2100,40.3900,40.6200,40.6200,206812,0.0000,1.0000
2019-05-17,41.0500,41.7795,40.8100,40.8300,40.8300,214937,0.0000,1.0000
2019-05-16,41.2300,41.8500,41.1800,41.5200,41.5200,110376,0.0000,1.0000
