timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,13.6400,13.8300,13.5400,13.7800,13.7800,969199,0.0000,1.0000
2019-06-27,13.2800,13.5000,13.2500,13.5000,13.5000,417719,0.0000,1.0000
2019-06-26,13.2100,13.4100,13.2000,13.2600,13.2600,322483,0.0000,1.0000
2019-06-25,13.1100,13.2200,12.9000,13.1400,13.1400,429624,0.0000,1.0000
2019-06-24,13.2000,13.4000,13.0900,13.0900,13.0900,427509,0.0000,1.0000
2019-06-21,13.1800,13.3900,13.1700,13.2100,13.2100,1724800,0.0000,1.0000
2019-06-20,13.4200,13.4200,13.0500,13.2700,13.2700,412153,0.0000,1.0000
2019-06-19,13.5700,13.7100,13.3000,13.3200,13.3200,524190,0.0000,1.0000
2019-06-18,13.1000,13.5100,13.0700,13.4800,13.4800,622279,0.0000,1.0000
2019-06-17,13.3100,13.4100,13.0600,13.1200,13.1200,442592,0.0000,1.0000
2019-06-14,13.4000,13.4000,13.1800,13.3100,13.3100,343602,0.0000,1.0000
2019-06-13,13.3600,13.4700,13.2700,13.3900,13.3900,344394,0.0000,1.0000
2019-06-12,13.3500,13.4200,13.2200,13.2800,13.2800,244121,0.0000,1.0000
2019-06-11,13.4500,13.4944,13.3200,13.4000,13.4000,336048,0.0000,1.0000
2019-06-10,13.3200,13.5700,13.3100,13.3300,13.3300,434642,0.0000,1.0000
2019-06-07,13.3200,13.3800,13.1700,13.2000,13.2000,490399,0.0000,1.0000
2019-06-06,13.4500,13.5400,13.1400,13.3500,13.3500,512777,0.0000,1.0000
2019-06-05,13.5300,13.5600,13.1800,13.4800,13.4800,377954,0.0000,1.0000
2019-06-04,13.4500,13.6300,13.3700,13.5900,13.5900,500073,0.0000,1.0000
2019-06-03,12.8700,13.2600,12.8250,13.1900,13.1900,636338,0.0000,1.0000
2019-05-31,12.9000,13.0150,12.7900,12.8700,12.8700,520892,0.0000,1.0000
2019-05-30,13.3400,13.5500,12.9700,13.1100,13.1100,536916,0.0000,1.0000
2019-05-29,13.1200,13.4100,13.0100,13.3400,13.3400,430257,0.0000,1.0000
2019-05-28,13.5100,13.5500,13.1800,13.2000,13.2000,459962,0.0000,1.0000
2019-05-24,13.3300,13.6150,13.3300,13.5700,13.5700,404519,0.0000,1.0000
