timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,51.6700,51.6979,51.6300,51.6800,51.6800,698243,0.0000,1.0000
2019-06-27,51.6200,51.6500,51.6100,51.6500,51.6500,377569,0.0000,1.0000
2019-06-26,51.6200,51.6356,51.5841,51.6100,51.6100,484316,0.0000,1.0000
2019-06-25,51.6300,51.6600,51.6000,51.6100,51.6100,628211,0.0000,1.0000
2019-06-24,51.6100,51.6500,51.5900,51.6400,51.6400,321983,0.0000,1.0000
2019-06-21,51.6200,51.6200,51.5800,51.6000,51.6000,321976,0.0000,1.0000
2019-06-20,51.6300,51.7100,51.5700,51.6200,51.6200,590638,0.0000,1.0000
2019-06-19,51.5000,51.5700,51.4900,51.5700,51.5700,307266,0.0000,1.0000
2019-06-18,51.5400,51.5530,51.5300,51.5300,51.5300,449765,0.0000,1.0000
2019-06-17,51.5200,51.5300,51.5000,51.5200,51.5200,211128,0.0000,1.0000
2019-06-14,51.5500,51.5952,51.5200,51.5400,51.5400,234937,0.1175,1.0000
2019-06-13,51.6400,51.6700,51.6200,51.6700,51.5525,1036759,0.0000,1.0000
2019-06-12,51.6100,51.6577,51.6000,51.6200,51.5026,1753608,0.0000,1.0000
2019-06-11,51.6100,51.6373,51.6000,51.6200,51.5026,240719,0.0000,1.0000
2019-06-10,51.6500,51.6550,51.6000,51.6000,51.4826,297876,0.0000,1.0000
2019-06-07,51.6700,51.7100,51.6100,51.6700,51.5525,289819,0.0000,1.0000
2019-06-06,51.6300,51.6700,51.6201,51.6500,51.5325,262600,0.0000,1.0000
2019-06-05,51.6300,51.6600,51.6101,51.6200,51.5026,403664,0.0000,1.0000
2019-06-04,51.5900,51.6100,51.5566,51.6100,51.4926,550485,0.0000,1.0000
2019-06-03,51.5500,51.5794,51.5200,51.5700,51.4527,412503,0.0000,1.0000
2019-05-31,51.4500,51.5000,51.4400,51.5000,51.3829,481868,0.0000,1.0000
2019-05-30,51.4300,51.4500,51.4100,51.4500,51.3330,227200,0.0000,1.0000
2019-05-29,51.4100,51.4200,51.3900,51.4000,51.2831,391062,0.0000,1.0000
2019-05-28,51.4000,51.4300,51.3997,51.4200,51.3030,266615,0.0000,1.0000
2019-05-24,51.3600,51.3997,51.3600,51.3900,51.2731,372764,0.0000,1.0000
2019-05-23,51.3700,51.3900,51.3600,51.3850,51.2681,425648,0.0000,1.0000
2019-05-22,51.3600,51.4000,51.3200,51.3300,51.2132,555989,0.0000,1.0000
2019-05-21,51.3500,51.3573,51.3200,51.3200,51.2033,188923,0.1175,1.0000
2019-05-20,51.4500,51.4900,51.4300,51.4600,51.2257,245069,0.0000,1.0000
2019-05-17,51.4500,51.4500,51.4400,51.4400,51.2058,155173,0.0000,1.0000
2019-05-16,51.4500,51.4700,51.4300,51.4500,51.2157,281503,0.0000,1.0000
2019-05-15,51.4700,51.4800,51.4600,51.4700,51.2356,361300,0.0000,1.0000
2019-05-14,51.4400,51.4600,51.4300,51.4400,51.2058,298633,0.0000,1.0000
2019-05-13,51.4400,51.4700,51.4400,51.4600,51.2257,336396,0.0000,1.0000
2019-05-10,51.3900,51.4200,51.3900,51.4000,51.1659,197888,0.0000,1.0000
2019-05-09,51.4000,51.4100,51.3851,51.3900,51.1560,246186,0.0000,1.0000
2019-05-08,51.4100,51.4200,51.3900,51.4000,51.1659,294519,0.0000,1.0000
2019-05-07,51.3900,51.4200,51.3900,51.4200,51.1858,335512,0.0000,1.0000
2019-05-06,51.3800,51.4100,51.3800,51.3900,51.1560,410443,0.0000,1.0000
2019-05-03,51.3500,51.4100,51.3300,51.3500,51.1162,593294,0.0000,1.0000
2019-05-02,51.3200,51.3500,51.3165,51.3350,51.1012,299880,0.0000,1.0000
2019-05-01,51.3100,51.3600,51.2900,51.3100,51.0763,479930,0.0000,1.0000
2019-04-30,51.2900,51.3200,51.2761,51.3150,51.0813,341435,0.0000,1.0000
2019-04-29,51.3000,51.3300,51.2810,51.3100,51.0763,329818,0.0000,1.0000
2019-04-26,51.2800,51.2900,51.2400,51.2900,51.0564,376129,0.0000,1.0000
2019-04-25,51.2500,51.2700,51.2300,51.2600,51.0266,268593,0.0000,1.0000
2019-04-24,51.2400,51.2700,51.2300,51.2500,51.0166,515125,0.0000,1.0000
2019-04-23,51.2000,51.2600,51.1900,51.2200,50.9868,430939,0.1175,1.0000
2019-04-22,51.3500,51.3600,51.3101,51.3500,50.9992,254774,0.0000,1.0000
2019-04-18,51.3200,51.3800,51.3061,51.3300,50.9793,312685,0.0000,1.0000
2019-04-17,51.3200,51.3200,51.2800,51.3000,50.9495,461042,0.0000,1.0000
2019-04-16,51.3100,51.3200,51.2600,51.2800,50.9297,489208,0.0000,1.0000
2019-04-15,51.2900,51.3300,51.2900,51.3200,50.9694,225442,0.0000,1.0000
2019-04-12,51.3200,51.3399,51.2800,51.2900,50.9396,490209,0.0000,1.0000
2019-04-11,51.3400,51.3880,51.3100,51.3250,50.9743,486463,0.0000,1.0000
2019-04-10,51.3600,51.3600,51.3300,51.3400,50.9892,849695,0.0000,1.0000
2019-04-09,51.3500,51.3500,51.2700,51.3300,50.9793,394653,0.0000,1.0000
2019-04-08,51.3200,51.3600,51.3197,51.3600,51.0091,284768,0.0000,1.0000
2019-04-05,51.3100,51.3300,51.2800,51.3300,50.9793,229939,0.0000,1.0000
2019-04-04,51.3000,51.3100,51.2800,51.3100,50.9594,304004,0.0000,1.0000
2019-04-03,51.2800,51.2900,51.2600,51.2900,50.9396,467877,0.0000,1.0000
2019-04-02,51.2800,51.3000,51.2565,51.2800,50.9297,427589,0.0000,1.0000
2019-04-01,51.2800,51.3000,51.2200,51.2400,50.8899,1305674,0.0000,1.0000
2019-03-29,51.2600,51.2900,51.2500,51.2800,50.9297,386787,0.0000,1.0000
2019-03-28,51.2900,51.3001,51.2800,51.2900,50.9396,293907,0.0000,1.0000
2019-03-27,51.2700,51.3100,51.2600,51.2850,50.9346,835714,0.0000,1.0000
2019-03-26,51.2500,51.2800,51.2200,51.2700,50.9197,595258,0.0000,1.0000
2019-03-25,51.2900,51.2900,51.2500,51.2800,50.9297,433788,0.0000,1.0000
2019-03-22,51.2300,51.2800,51.2200,51.2700,50.9197,432342,0.0000,1.0000
