timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,22.0000,22.1200,21.5500,21.7200,21.7200,1084298,0.0000,1.0000
2019-06-27,21.7000,21.9300,21.5600,21.8600,21.8600,1411071,0.0000,1.0000
2019-06-26,21.5700,21.7750,21.4400,21.5300,21.5300,1482626,0.0000,1.0000
2019-06-25,21.3100,21.5100,21.2300,21.3700,21.3700,1429754,0.0000,1.0000
2019-06-24,21.7300,21.7300,21.3500,21.4100,21.4100,1280717,0.0000,1.0000
2019-06-21,21.4300,21.8450,21.3100,21.6200,21.6200,1576673,0.0000,1.0000
2019-06-20,22.1100,22.4900,21.5900,21.6400,21.6400,1999219,0.0000,1.0000
2019-06-19,21.1100,21.4700,21.0500,21.4100,21.4100,2118186,0.0000,1.0000
2019-06-18,20.0200,21.3100,20.0200,21.0400,21.0400,2693723,0.0000,1.0000
2019-06-17,20.1400,20.1400,19.7800,19.8900,19.8900,847904,0.0000,1.0000
2019-06-14,20.4000,20.4000,19.8062,20.0400,20.0400,862392,0.0000,1.0000
2019-06-13,20.2400,20.7500,20.2400,20.4500,20.4500,2524450,0.0000,1.0000
2019-06-12,20.2000,20.3450,19.9025,20.2100,20.2100,1023608,0.0000,1.0000
2019-06-11,20.2500,20.6400,20.1700,20.3700,20.3700,2202113,0.0000,1.0000
2019-06-10,19.8200,20.4199,19.6500,19.9800,19.9800,2017892,0.0000,1.0000
2019-06-07,19.4600,19.6700,19.1000,19.3700,19.3700,1240690,0.0000,1.0000
2019-06-06,19.1700,19.4800,19.0350,19.3600,19.3600,1884113,0.0000,1.0000
2019-06-05,19.5200,19.6000,18.6900,19.1500,19.1500,2098040,0.0000,1.0000
2019-06-04,18.9100,19.5200,18.9100,19.4200,19.4200,2547684,0.0000,1.0000
2019-06-03,19.2100,19.2800,18.6800,18.8100,18.8100,3033525,0.0000,1.0000
2019-05-31,19.5100,19.7300,19.2100,19.3000,19.3000,2272579,0.0000,1.0000
2019-05-30,20.9200,20.9300,19.6200,19.7500,19.7500,3004915,0.0000,1.0000
2019-05-29,21.0300,21.1400,20.6700,20.9200,20.9200,2436525,0.0000,1.0000
2019-05-28,20.7100,21.1400,20.5627,21.0000,21.0000,6245156,0.0000,1.0000
2019-05-24,20.7800,20.9500,20.5100,20.5500,20.5500,1912300,0.0000,1.0000
2019-05-23,20.2000,20.6500,20.1300,20.6400,20.6400,3474619,0.0000,1.0000
2019-05-22,20.0800,20.6300,20.0800,20.6000,20.6000,4259178,0.0000,1.0000
2019-05-21,20.3500,20.6700,20.2650,20.4800,20.4800,4476384,0.0000,1.0000
2019-05-20,20.2800,20.5000,19.8600,20.1400,20.1400,3033369,0.0000,1.0000
2019-05-17,21.1000,21.1750,20.3800,20.4900,20.4900,5316044,0.1531,1.0000
2019-05-16,21.7800,21.8100,21.2500,21.3900,21.2314,1557488,0.0000,1.0000
2019-05-15,21.2700,21.7700,21.0500,21.5500,21.3902,1508906,0.0000,1.0000
2019-05-14,21.4800,21.7800,21.2750,21.4700,21.3108,2245637,0.0000,1.0000
2019-05-13,21.6300,21.7100,20.9850,21.3300,21.1718,4468859,0.0000,1.0000
2019-05-10,22.4000,22.5500,22.0500,22.2200,22.0552,7365121,0.0000,1.0000
2019-05-09,23.2600,23.2600,22.4127,22.4500,22.2835,4246620,0.0000,1.0000
2019-05-08,23.6400,24.2950,23.4400,23.5800,23.4051,2203013,0.0000,1.0000
2019-05-07,24.5900,24.5900,23.5600,23.7500,23.5739,2361146,0.0000,1.0000
