timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,67.6800,70.7100,67.5700,70.3500,70.3500,1864167,0.0000,1.0000
2019-06-27,67.1800,67.9300,66.9000,67.5800,67.5800,390036,0.0000,1.0000
2019-06-26,67.0100,67.5900,66.4100,67.0300,67.0300,285787,0.0000,1.0000
2019-06-25,68.5400,68.7500,66.5800,66.7700,66.7700,372455,0.0000,1.0000
2019-06-24,69.4000,69.7700,68.6400,68.6800,68.6800,308159,0.0000,1.0000
2019-06-21,69.2100,69.8700,67.6400,69.4400,69.4400,1228063,0.0000,1.0000
2019-06-20,69.4000,69.9300,68.7400,69.6800,69.6800,453339,0.0000,1.0000
2019-06-19,68.9100,69.4019,67.2000,68.3700,68.3700,427367,0.0000,1.0000
2019-06-18,68.1500,69.4400,67.7500,68.9300,68.9300,352828,0.0000,1.0000
2019-06-17,66.7800,68.3200,66.7800,67.5000,67.5000,304926,0.0000,1.0000
2019-06-14,68.8500,69.2900,66.6600,66.7300,66.7300,330305,0.0000,1.0000
2019-06-13,68.5200,69.0500,67.3000,69.0100,69.0100,267336,0.0000,1.0000
2019-06-12,67.6900,68.6300,67.4300,68.3200,68.3200,235309,0.0000,1.0000
2019-06-11,69.4200,70.1800,66.8900,67.8600,67.8600,383083,0.0000,1.0000
2019-06-10,68.9000,70.1700,68.6500,69.0400,69.0400,340245,0.0000,1.0000
2019-06-07,68.8300,69.4400,67.9900,68.5200,68.5200,287854,0.0000,1.0000
2019-06-06,68.1400,68.5900,66.5000,68.5300,68.5300,437879,0.0000,1.0000
2019-06-05,66.9400,68.6800,66.8000,68.1200,68.1200,515072,0.0000,1.0000
2019-06-04,65.3600,66.5800,64.6000,66.4600,66.4600,745407,0.0000,1.0000
2019-06-03,68.3000,68.8000,64.0300,64.4600,64.4600,1397879,0.0000,1.0000
2019-05-31,68.8600,69.5800,68.0700,68.7600,68.7600,780077,0.0000,1.0000
2019-05-30,69.3400,69.9900,68.1900,69.7200,69.7200,615364,0.0000,1.0000
2019-05-29,69.6800,70.7500,69.0950,69.1900,69.1900,1283804,0.0000,1.0000
2019-05-28,69.4400,70.2300,69.0000,69.7300,69.7300,1881062,0.0000,1.0000
