timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,262.6400,263.0000,254.5000,255.7700,255.7700,387155,0.0000,1.0000
2019-06-27,258.4900,261.9400,256.9500,261.3500,261.3500,337574,0.0000,1.0000
2019-06-26,254.9100,259.6028,254.6200,256.5400,256.5400,397187,0.0000,1.0000
2019-06-25,259.7600,260.0000,252.6700,254.6000,254.6000,457201,0.0000,1.0000
2019-06-24,264.1800,264.6800,261.1500,261.9300,261.9300,303645,0.0000,1.0000
2019-06-21,264.7000,266.8300,261.9600,262.4300,262.4300,602958,0.0000,1.0000
2019-06-20,265.0600,270.0500,263.5000,265.2400,265.2400,488970,0.0000,1.0000
2019-06-19,266.2000,267.4200,258.1350,259.9600,259.9600,740146,0.0000,1.0000
2019-06-18,266.2000,270.5300,265.2100,266.1300,266.1300,424136,0.0000,1.0000
2019-06-17,270.0000,270.0000,262.0300,263.7500,263.7500,517402,0.0000,1.0000
2019-06-14,265.1800,267.3927,264.2450,265.9400,265.9400,967038,0.0000,1.0000
2019-06-13,268.0000,269.8400,266.5565,267.3800,267.3800,548313,0.0000,1.0000
2019-06-12,266.8600,268.6200,265.5300,267.5300,267.5300,690119,0.0000,1.0000
2019-06-11,267.8200,270.3800,264.9950,269.8000,269.8000,751520,0.0000,1.0000
2019-06-10,260.6500,264.2900,257.4900,262.8400,262.8400,674293,0.0000,1.0000
2019-06-07,253.8400,260.4400,253.1750,258.2600,258.2600,573029,0.0000,1.0000
2019-06-06,246.2700,253.7400,244.2200,252.4500,252.4500,518231,0.0000,1.0000
2019-06-05,253.4200,254.4400,243.2000,245.5700,245.5700,676516,0.0000,1.0000
2019-06-04,247.9000,251.2300,243.5600,250.9100,250.9100,698961,0.0000,1.0000
2019-06-03,249.5800,250.9200,242.8300,244.6600,244.6600,840023,0.0000,1.0000
2019-05-31,246.5000,253.6500,246.0000,248.6100,248.6100,698963,0.0000,1.0000
2019-05-30,247.9600,252.6500,246.7671,249.2500,249.2500,673710,0.6875,1.0000
2019-05-29,248.2500,251.9200,246.1600,248.4400,247.7566,752072,0.0000,1.0000
2019-05-28,256.3500,258.6800,250.6400,250.8300,250.1400,2369472,0.0000,1.0000
2019-05-24,260.8300,262.0000,254.3300,255.9800,255.2759,885575,0.0000,1.0000
2019-05-23,256.4600,260.8600,253.0100,260.1700,259.4544,798847,0.0000,1.0000
2019-05-22,261.9800,262.6500,256.2650,260.7800,260.0627,848244,0.0000,1.0000
2019-05-21,260.4400,264.1900,258.3885,262.6200,261.8976,748847,0.0000,1.0000
