timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,25.4700,26.3500,25.3714,26.2700,26.2700,538487,0.0000,1.0000
2019-06-27,24.6500,25.1700,24.3800,25.1600,25.1600,326956,0.0000,1.0000
2019-06-26,25.5200,25.5200,24.2200,24.4100,24.4100,459223,0.0000,1.0000
2019-06-25,25.5000,25.8600,25.4107,25.5200,25.5200,305215,0.0000,1.0000
2019-06-24,26.3200,26.3300,25.5300,25.5400,25.5400,286266,0.0000,1.0000
2019-06-21,26.6000,26.6000,25.9000,26.1900,26.1900,3038298,0.0000,1.0000
2019-06-20,27.0100,27.2300,26.6100,26.7500,26.7500,467134,0.0000,1.0000
2019-06-19,26.4500,27.0000,26.3600,26.9100,26.9100,500318,0.0000,1.0000
2019-06-18,26.0000,26.7400,25.9900,26.6100,26.6100,531500,0.0000,1.0000
2019-06-17,24.0200,26.0800,24.0200,25.7500,25.7500,927666,0.0000,1.0000
2019-06-14,24.4700,24.4965,23.5000,23.9800,23.9800,249038,0.0000,1.0000
2019-06-13,23.9500,24.6800,23.9000,24.6100,24.6100,234902,0.0000,1.0000
2019-06-12,23.7200,23.9700,23.3700,23.8300,23.8300,183708,0.0000,1.0000
2019-06-11,23.7400,23.8900,23.3600,23.7100,23.7100,265643,0.0000,1.0000
2019-06-10,24.2300,24.3800,23.7100,23.7200,23.7200,240087,0.0000,1.0000
2019-06-07,24.5500,24.5700,24.1400,24.2500,24.2500,160117,0.0000,1.0000
2019-06-06,24.5900,24.6600,24.0100,24.4600,24.4600,160928,0.0000,1.0000
2019-06-05,24.8300,24.8300,24.1700,24.6400,24.6400,192991,0.0000,1.0000
2019-06-04,24.1700,24.7500,23.8700,24.7300,24.7300,215677,0.0000,1.0000
2019-06-03,23.9500,24.2084,23.6700,23.9400,23.9400,272188,0.0000,1.0000
2019-05-31,23.5900,24.0200,23.3600,23.9100,23.9100,294157,0.0000,1.0000
2019-05-30,23.9500,24.1700,23.5400,23.8200,23.8200,235574,0.0000,1.0000
2019-05-29,23.9500,24.1300,23.3700,23.9700,23.9700,278048,0.0000,1.0000
2019-05-28,24.6200,24.7467,24.1200,24.1700,24.1700,304161,0.0000,1.0000
2019-05-24,24.4800,24.7600,24.3100,24.5900,24.5900,185614,0.0000,1.0000
2019-05-23,25.0000,25.0200,24.1400,24.3500,24.3500,383405,0.0000,1.0000
2019-05-22,25.5300,25.6400,25.0200,25.1200,25.1200,275971,0.0000,1.0000
2019-05-21,25.8500,26.0810,25.5200,25.5800,25.5800,250356,0.0000,1.0000
2019-05-20,26.7500,26.8800,25.6100,25.7900,25.7900,366009,0.0000,1.0000
2019-05-17,26.7600,27.1400,26.2300,27.0100,27.0100,328266,0.0000,1.0000
2019-05-16,27.0700,27.4700,26.7500,26.8400,26.8400,196746,0.0000,1.0000
2019-05-15,26.6700,27.3100,26.5700,27.2700,27.2700,193460,0.0000,1.0000
2019-05-14,26.5600,27.1800,26.5018,26.9100,26.9100,212277,0.0000,1.0000
2019-05-13,26.4000,26.6600,26.2500,26.5600,26.5600,231262,0.0000,1.0000
2019-05-10,26.6600,26.9544,26.1900,26.6400,26.6400,223398,0.0000,1.0000
2019-05-09,26.7300,27.0800,26.3700,26.9300,26.9300,194893,0.0000,1.0000
2019-05-08,27.2900,27.3800,26.6900,26.8100,26.8100,273283,0.0000,1.0000
2019-05-07,27.9000,27.9000,26.6800,26.8900,26.8900,227674,0.0000,1.0000
2019-05-06,27.7800,28.3300,27.5530,28.0300,28.0300,277929,0.0000,1.0000
2019-05-03,27.0900,28.4500,26.5600,28.4100,28.4100,461264,0.0000,1.0000
2019-05-02,26.7700,27.0000,26.0500,26.3000,26.3000,280590,0.0000,1.0000
2019-05-01,27.1800,27.5700,26.7500,26.7800,26.7800,410940,0.0000,1.0000
2019-04-30,27.2800,27.3300,26.6000,27.1400,27.1400,311520,0.0000,1.0000
2019-04-29,27.0700,27.7000,27.0200,27.3200,27.3200,373518,0.0000,1.0000
2019-04-26,26.5900,27.1400,26.5100,27.0600,27.0600,215454,0.5500,1.0000
2019-04-25,27.0600,27.2400,26.7300,27.1200,26.5798,288121,0.0000,1.0000
2019-04-24,27.4800,27.7500,27.1200,27.1900,26.6484,266174,0.0000,1.0000
2019-04-23,26.5600,27.7100,26.4572,27.3700,26.8248,264117,0.0000,1.0000
2019-04-22,27.3000,27.3400,26.2500,26.3900,25.8643,402003,0.0000,1.0000
2019-04-18,27.3000,27.5700,27.0300,27.3700,26.8248,184692,0.0000,1.0000
2019-04-17,27.2500,27.3930,26.5290,27.3400,26.7954,335088,0.0000,1.0000
