timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,20.8000,20.8900,20.3502,20.6300,20.6300,3002220,0.0000,1.0000
2019-06-27,20.7000,21.0800,20.6400,20.7600,20.7600,4537544,0.0000,1.0000
2019-06-26,20.5400,20.7700,20.2950,20.4500,20.4500,6456712,0.0000,1.0000
2019-06-25,20.4600,20.7227,20.2600,20.5400,20.5400,4833312,0.0000,1.0000
2019-06-24,21.0400,21.1400,20.5600,20.7500,20.7500,3552327,0.0000,1.0000
2019-06-21,20.8800,21.3000,20.7600,21.0500,21.0500,6801075,0.0000,1.0000
2019-06-20,21.5000,21.7800,20.6150,20.9500,20.9500,6480781,0.0000,1.0000
2019-06-19,21.2900,21.3000,20.2400,20.9600,20.9600,4221184,0.0000,1.0000
2019-06-18,20.9500,21.3100,20.8193,20.8900,20.8900,7482878,0.0000,1.0000
2019-06-17,20.5000,20.8700,20.3700,20.5900,20.5900,2690282,0.0000,1.0000
2019-06-14,20.2900,20.5600,19.9300,20.5100,20.5100,2631230,0.0000,1.0000
2019-06-13,20.6900,21.0800,20.4000,20.4700,20.4700,4121757,0.0000,1.0000
2019-06-12,19.9000,20.4600,19.6400,20.4100,20.4100,4362748,0.0000,1.0000
2019-06-11,20.5600,20.7500,19.9900,20.0500,20.0500,4035524,0.0000,1.0000
2019-06-10,20.2500,20.9500,20.1500,20.2000,20.2000,4995147,0.0000,1.0000
2019-06-07,19.4900,20.1300,19.4600,19.7800,19.7800,3391691,0.0000,1.0000
2019-06-06,19.0900,19.6400,19.0000,19.3700,19.3700,4101353,0.0000,1.0000
2019-06-05,19.2900,19.3700,18.8400,19.1300,19.1300,3951560,0.0000,1.0000
2019-06-04,19.1800,19.7200,18.9600,19.2800,19.2800,6081140,0.0000,1.0000
2019-06-03,19.3800,19.3800,18.4600,19.0300,19.0300,6404796,0.0000,1.0000
2019-05-31,19.2900,19.5600,19.1200,19.4200,19.4200,4569825,0.0000,1.0000
2019-05-30,20.0500,20.1700,19.3200,19.6500,19.6500,4987497,0.0000,1.0000
2019-05-29,20.0000,20.1329,19.5400,19.9800,19.9800,5740291,0.0000,1.0000
2019-05-28,20.5100,20.5400,19.9500,20.2300,20.2300,7613559,0.0000,1.0000
2019-05-24,20.8000,20.9800,20.1400,20.2800,20.2800,3124165,0.0000,1.0000
2019-05-23,20.1300,20.9910,19.9500,20.5300,20.5300,8147184,0.0000,1.0000
2019-05-22,21.3000,21.3000,20.0800,20.4600,20.4600,10456429,0.0000,1.0000
2019-05-21,21.2400,22.0600,21.2100,21.5200,21.5200,8945169,0.0000,1.0000
2019-05-20,21.5100,21.6100,20.0000,20.7800,20.7800,26784897,0.0000,1.0000
2019-05-17,22.2000,23.4000,22.1300,22.7000,22.7000,10572598,0.0000,1.0000
2019-05-16,22.2000,23.2300,22.0500,22.8600,22.8600,9291021,0.0000,1.0000
2019-05-15,22.2100,22.2600,21.6000,22.0300,22.0300,6364588,0.0000,1.0000
2019-05-14,21.2600,22.1999,20.9800,22.1500,22.1500,8332534,0.0000,1.0000
2019-05-13,21.5100,21.5100,20.5800,20.7500,20.7500,13825990,0.0000,1.0000
2019-05-10,22.6000,22.9800,21.8000,22.4000,22.4000,7946087,0.0000,1.0000
2019-05-09,22.6300,23.3300,21.6100,23.1300,23.1300,6359694,0.0000,1.0000
2019-05-08,22.7700,23.4800,22.3100,23.1900,23.1900,5858813,0.0000,1.0000
2019-05-07,23.4000,23.7400,22.4700,22.8200,22.8200,5378229,0.0000,1.0000
2019-05-06,22.5000,23.7800,22.4700,23.7400,23.7400,6698425,0.0000,1.0000
2019-05-03,23.4500,24.0400,23.3000,23.9600,23.9600,4956936,0.0000,1.0000
2019-05-02,23.2700,23.6400,22.8900,23.1300,23.1300,4471925,0.0000,1.0000
2019-05-01,22.1800,23.6200,21.6000,23.3000,23.3000,7310560,0.0000,1.0000
2019-04-30,22.0100,22.4700,21.9300,22.2300,22.2300,4645327,0.0000,1.0000
2019-04-29,22.0000,22.4000,22.0000,22.2800,22.2800,4429239,0.0000,1.0000
2019-04-26,22.8500,23.0000,21.7600,21.9200,21.9200,13269600,0.0000,1.0000
2019-04-25,23.6200,23.6200,22.8100,23.0700,23.0700,7138194,0.0000,1.0000
2019-04-24,24.3000,24.3650,23.3645,23.9400,23.9400,6964564,0.0000,1.0000
2019-04-23,24.2800,24.8300,24.2000,24.4300,24.4300,6073668,0.0000,1.0000
2019-04-22,23.4600,24.1100,23.2556,24.0000,24.0000,5323748,0.0000,1.0000
2019-04-18,23.1300,23.7600,23.0500,23.5500,23.5500,5208373,0.0000,1.0000
2019-04-17,23.1000,23.5600,22.7400,23.0200,23.0200,5907345,0.0000,1.0000
2019-04-16,22.3500,23.1000,22.1000,22.5000,22.5000,7201593,0.0000,1.0000
2019-04-15,21.9000,22.1702,21.5100,22.0100,22.0100,6901720,0.0000,1.0000
2019-04-12,22.0600,22.3600,21.4000,21.6900,21.6900,7697749,0.0000,1.0000
2019-04-11,21.8400,22.0900,21.6100,21.6700,21.6700,3895645,0.0000,1.0000
2019-04-10,22.4300,23.3000,21.8800,21.9500,21.9500,8009083,0.0000,1.0000
2019-04-09,21.8600,22.5000,21.5000,22.3500,22.3500,5875205,0.0000,1.0000
2019-04-08,21.7900,22.4300,21.4100,21.8300,21.8300,10407383,0.0000,1.0000
2019-04-05,22.7300,22.7950,21.3000,21.6000,21.6000,19112167,0.0000,1.0000
2019-04-04,23.1100,23.1700,22.3600,22.6000,22.6000,14264499,0.0000,1.0000
2019-04-03,24.7500,25.0250,23.1850,23.5100,23.5100,12501450,0.0000,1.0000
2019-04-02,24.5900,24.5900,24.1100,24.4600,24.4600,4058777,0.0000,1.0000
2019-04-01,25.5300,25.6600,24.0100,24.6700,24.6700,7601669,0.0000,1.0000
2019-03-29,23.7900,25.0850,23.7200,24.8000,24.8000,10945272,0.0000,1.0000
2019-03-28,23.7600,23.9500,23.0900,23.3200,23.3200,5364727,0.0000,1.0000
2019-03-27,23.3700,24.0000,23.2000,23.6100,23.6100,5092408,0.0000,1.0000
2019-03-26,23.6600,23.9074,23.1000,23.3600,23.3600,4476546,0.0000,1.0000
2019-03-25,23.3000,23.6600,23.0100,23.3400,23.3400,5595867,0.0000,1.0000
2019-03-22,24.7300,24.8800,23.1675,23.5000,23.5000,10020726,0.0000,1.0000
2019-03-21,24.4300,25.0701,24.3800,24.8300,24.8300,5450873,0.0000,1.0000
2019-03-20,25.1700,25.3000,24.0500,24.6100,24.6100,10836212,0.0000,1.0000
2019-03-19,26.0000,26.4700,25.0000,25.2600,25.2600,12704345,0.0000,1.0000
2019-03-18,24.9900,26.0800,24.7500,25.8300,25.8300,13886832,0.0000,1.0000
2019-03-15,24.9500,25.2400,24.4800,24.5200,24.5200,14894738,0.0000,1.0000
2019-03-14,25.2900,25.2900,24.3600,24.3900,24.3900,15930747,0.0000,1.0000
2019-03-13,27.3100,27.9000,24.7000,25.1200,25.1200,56122139,0.0000,1.0000
2019-03-12,30.4700,31.1700,29.7000,30.4300,30.4300,10569737,0.0000,1.0000
