timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,187.5900,192.0600,187.5900,191.0000,191.0000,420129,0.0000,1.0000
2019-06-27,185.9900,188.0800,184.8700,187.9000,187.9000,153475,0.0000,1.0000
2019-06-26,184.4700,186.0900,183.0200,185.4500,185.4500,157171,0.0000,1.0000
2019-06-25,185.1400,186.7700,183.7750,184.2600,184.2600,217737,0.0000,1.0000
2019-06-24,187.6500,190.2875,185.1500,185.3700,185.3700,126070,0.0000,1.0000
2019-06-21,190.3300,190.9300,186.5300,186.9600,186.9600,320945,0.0000,1.0000
2019-06-20,189.4100,191.0200,187.6500,190.4400,190.4400,192814,0.0000,1.0000
2019-06-19,187.3200,189.1609,184.0200,187.7200,187.7200,169678,0.0000,1.0000
2019-06-18,186.8600,189.0100,185.4700,187.2700,187.2700,137158,0.0000,1.0000
2019-06-17,190.0900,190.0900,186.7800,187.4900,187.4900,151513,0.0000,1.0000
2019-06-14,191.1300,191.5355,189.0200,189.6400,189.6400,119307,0.0000,1.0000
2019-06-13,188.6800,193.0300,187.7750,191.0200,191.0200,132686,0.0000,1.0000
2019-06-12,186.0900,188.6100,185.0350,188.3400,188.3400,143983,0.0000,1.0000
2019-06-11,188.9700,189.2600,184.2300,185.8300,185.8300,208312,0.0000,1.0000
2019-06-10,190.4300,190.9300,186.9700,187.9600,187.9600,119676,0.0000,1.0000
2019-06-07,190.0300,190.1550,187.9500,189.4800,189.4800,120722,0.0000,1.0000
2019-06-06,184.5000,189.1500,184.2300,188.3900,188.3900,140467,0.0000,1.0000
2019-06-05,186.9200,188.9200,186.1100,186.6600,186.6600,174320,0.0000,1.0000
2019-06-04,180.1600,186.4200,180.1600,186.1800,186.1800,231888,0.0000,1.0000
2019-06-03,179.3400,181.3100,178.1300,179.3600,179.3600,178932,0.0000,1.0000
2019-05-31,177.7100,181.5000,177.1600,179.7800,179.7800,162050,0.0000,1.0000
2019-05-30,177.2500,182.8523,174.0332,178.9300,178.9300,170477,0.0000,1.0000
2019-05-29,179.1900,180.1600,176.5800,177.1900,177.1900,143434,0.0000,1.0000
2019-05-28,182.3300,183.4900,179.3300,179.3600,179.3600,200797,0.0000,1.0000
2019-05-24,181.5900,183.0700,180.5300,181.6900,181.6900,182363,0.0000,1.0000
2019-05-23,182.0000,182.3700,180.1200,180.8400,180.8400,131240,0.0000,1.0000
2019-05-22,183.5800,185.8600,182.6950,183.2100,183.2100,175924,0.0000,1.0000
2019-05-21,185.6600,186.4600,183.4300,183.8800,183.8800,222668,0.0000,1.0000
2019-05-20,182.8300,186.2050,182.5687,185.0500,185.0500,249715,0.0000,1.0000
2019-05-17,181.3800,186.4100,181.3800,184.2800,184.2800,246017,0.0000,1.0000
2019-05-16,182.1000,184.0000,180.3000,181.9200,181.9200,154082,0.5500,1.0000
2019-05-15,179.6800,183.4150,178.9800,182.1100,181.5611,136398,0.0000,1.0000
2019-05-14,181.0300,182.4550,179.7800,180.3500,179.8064,146141,0.0000,1.0000
2019-05-13,181.7400,182.3500,179.8900,180.6100,180.0656,122590,0.0000,1.0000
2019-05-10,182.3500,184.8000,180.7400,184.1700,183.6149,124276,0.0000,1.0000
2019-05-09,182.1000,183.1950,180.0000,182.3200,181.7705,139005,0.0000,1.0000
2019-05-08,182.3400,184.5300,181.3700,183.0600,182.5082,107855,0.0000,1.0000
2019-05-07,184.9300,186.5000,181.3600,182.6700,182.1194,118047,0.0000,1.0000
2019-05-06,182.5400,186.1800,182.5400,185.8800,185.3197,354059,0.0000,1.0000
2019-05-03,184.7700,185.9200,183.8992,184.4400,183.8841,228473,0.0000,1.0000
2019-05-02,181.4900,186.4850,181.0550,184.9600,184.4025,345491,0.0000,1.0000
2019-05-01,184.0000,184.3100,181.4800,181.6000,181.0526,206690,0.0000,1.0000
2019-04-30,181.4800,184.0050,181.0400,183.7400,183.1862,237708,0.0000,1.0000
2019-04-29,179.2100,181.1100,178.4100,181.0100,180.4644,167344,0.0000,1.0000
2019-04-26,177.0000,178.9400,175.3750,178.8100,178.2710,147879,0.0000,1.0000
2019-04-25,178.6400,178.8000,176.3400,176.7400,176.2073,199523,0.0000,1.0000
2019-04-24,178.7900,180.9100,178.3000,179.4100,178.8692,227073,0.0000,1.0000
2019-04-23,177.6600,180.4900,177.6100,178.4600,177.9221,258541,0.0000,1.0000
2019-04-22,177.8800,180.9900,176.0800,178.1100,177.5731,379588,0.0000,1.0000
2019-04-18,170.8500,178.7300,167.7700,177.8900,177.3538,448541,0.0000,1.0000
2019-04-17,171.2700,172.6900,168.8000,169.1600,168.6501,303114,0.0000,1.0000
2019-04-16,171.0000,172.0000,169.9600,170.6200,170.1057,250906,0.0000,1.0000
2019-04-15,168.1000,170.8000,162.9990,170.4200,169.9063,180768,0.0000,1.0000
2019-04-12,165.7000,168.3700,165.4400,168.0900,167.5833,196716,0.0000,1.0000
2019-04-11,164.2800,167.0100,163.6000,165.0600,164.5625,241912,0.0000,1.0000
2019-04-10,163.7900,164.7400,161.1400,163.8300,163.3362,232332,0.0000,1.0000
2019-04-09,168.4500,168.9675,159.7100,162.3800,161.8906,599218,0.0000,1.0000
2019-04-08,169.7200,170.7200,169.2100,169.9200,169.4078,114131,0.0000,1.0000
2019-04-05,169.8600,170.8200,168.8000,170.3300,169.8166,211181,0.0000,1.0000
2019-04-04,170.0800,171.1600,168.3100,169.4900,168.9791,219109,0.0000,1.0000
2019-04-03,168.8100,171.0000,168.1100,169.7400,169.2284,177661,0.0000,1.0000
2019-04-02,167.6000,168.2000,165.9000,167.7100,167.2045,323694,0.0000,1.0000
2019-04-01,166.0000,167.9800,164.9400,167.8300,167.3241,186309,0.0000,1.0000
2019-03-29,165.0000,166.4000,164.1600,164.9700,164.4727,278315,0.0000,1.0000
2019-03-28,160.0700,164.6200,160.0000,164.5200,164.0241,297688,0.0000,1.0000
2019-03-27,157.4800,160.8800,157.0600,160.8400,160.3552,181031,0.0000,1.0000
2019-03-26,159.3500,159.6100,156.4200,157.4500,156.9754,153981,0.0000,1.0000
2019-03-25,156.0100,158.8700,156.0100,158.3500,157.8727,131064,0.0000,1.0000
2019-03-22,158.8200,159.7800,156.0500,156.2200,155.7491,211916,0.0000,1.0000
2019-03-21,156.7700,160.5450,156.5200,159.7600,159.2785,125762,0.0000,1.0000
2019-03-20,157.9600,158.2900,156.5800,157.2200,156.7461,158060,0.0000,1.0000
2019-03-19,159.8100,160.4499,157.6750,157.8700,157.3941,171792,0.0000,1.0000
2019-03-18,157.2800,159.0200,156.6800,158.8300,158.3513,359133,0.0000,1.0000
2019-03-15,159.4200,159.9025,156.5000,156.9800,156.5068,394730,0.0000,1.0000
2019-03-14,159.8500,160.1600,158.5950,159.1000,158.6204,193580,0.0000,1.0000
2019-03-13,158.4700,161.2200,158.2700,160.4000,159.9165,242615,0.4500,1.0000
2019-03-12,158.5700,159.7000,157.3200,159.0200,158.0971,159016,0.0000,1.0000
2019-03-11,156.2600,158.8000,155.7200,158.5700,157.6498,259955,0.0000,1.0000
2019-03-08,155.8000,156.2300,154.1625,156.1200,155.2140,172294,0.0000,1.0000
2019-03-07,157.5300,158.7800,156.1000,156.8600,155.9497,248129,0.0000,1.0000
2019-03-06,159.3200,161.7200,157.5900,157.8100,156.8942,225085,0.0000,1.0000
2019-03-05,159.4700,161.0900,158.3400,159.7400,158.8130,383179,0.0000,1.0000
2019-03-04,159.6700,160.9500,157.4000,159.2400,158.3159,139635,0.0000,1.0000
2019-03-01,160.5300,161.2600,158.2958,159.2200,158.2960,193671,0.0000,1.0000
2019-02-28,160.1400,161.3150,158.8450,159.5400,158.6141,199074,0.0000,1.0000
2019-02-27,160.8700,161.9999,160.0000,160.6600,159.7276,208189,0.0000,1.0000
2019-02-26,159.7300,161.8300,158.7920,161.2800,160.3440,306788,0.0000,1.0000
2019-02-25,158.3100,160.2900,158.0200,160.1500,159.2206,248639,0.0000,1.0000
2019-02-22,159.8300,159.8300,157.4450,158.7300,157.8088,271638,0.0000,1.0000
2019-02-21,152.2700,155.8200,150.1500,155.3800,154.4783,188791,0.0000,1.0000
2019-02-20,154.5100,154.5100,151.8100,152.7200,151.8337,257349,0.0000,1.0000
