timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,42.3500,44.4100,42.1990,44.3800,44.3800,412753,0.0000,1.0000
2019-06-27,41.7400,42.4700,41.2400,42.4300,42.4300,212357,0.0000,1.0000
2019-06-26,41.0000,41.8500,40.3800,41.5300,41.5300,220166,0.0000,1.0000
2019-06-25,40.8600,41.3000,40.3200,40.4100,40.4100,228815,0.0000,1.0000
2019-06-24,42.3500,42.3500,40.8100,40.9400,40.9400,198785,0.0000,1.0000
2019-06-21,42.2800,42.8000,41.9300,42.1300,42.1300,203669,0.0000,1.0000
2019-06-20,42.0000,42.7400,41.8300,42.7100,42.7100,383766,0.0000,1.0000
2019-06-19,42.0000,42.0000,40.5200,41.3600,41.3600,228843,0.0000,1.0000
2019-06-18,40.4000,42.0000,40.2400,41.8700,41.8700,266011,0.0000,1.0000
2019-06-17,40.3500,40.4900,39.6600,40.0400,40.0400,240279,0.0000,1.0000
2019-06-14,39.4500,40.5000,38.7550,40.1900,40.1900,282540,0.0000,1.0000
2019-06-13,39.9600,40.2600,39.4450,40.0300,40.0300,173364,0.0000,1.0000
2019-06-12,39.7200,39.9700,38.9000,39.7600,39.7600,213905,0.0000,1.0000
2019-06-11,40.4600,41.1800,39.8000,39.9200,39.9200,198882,0.0000,1.0000
2019-06-10,39.7600,40.4996,39.5200,40.0800,40.0800,151446,0.0000,1.0000
2019-06-07,39.5100,39.7100,39.1550,39.5700,39.5700,93995,0.0000,1.0000
2019-06-06,39.1400,39.3600,38.1500,39.3600,39.3600,120777,0.0000,1.0000
2019-06-05,39.7700,39.7700,38.4600,39.1600,39.1600,140567,0.0000,1.0000
2019-06-04,38.3300,39.3800,38.3100,39.3400,39.3400,225304,0.0000,1.0000
2019-06-03,38.4600,38.6600,37.3700,37.9500,37.9500,268217,0.0000,1.0000
2019-05-31,37.3200,38.3200,37.0300,38.1100,38.1100,164834,0.0000,1.0000
2019-05-30,37.2600,37.8700,37.1600,37.7600,37.7600,151215,0.0000,1.0000
2019-05-29,37.2600,37.6300,36.6100,37.3800,37.3800,149956,0.0000,1.0000
2019-05-28,37.7100,38.2100,36.8200,37.5100,37.5100,279224,0.0000,1.0000
2019-05-24,37.9600,38.4300,37.1800,37.5200,37.5200,231380,0.0000,1.0000
2019-05-23,38.5800,39.0100,37.6850,37.8000,37.8000,343917,0.0000,1.0000
2019-05-22,38.4100,39.3700,38.4100,39.1700,39.1700,205634,0.0000,1.0000
2019-05-21,38.8000,39.2600,38.1700,38.5700,38.5700,350477,0.0000,1.0000
2019-05-20,39.6600,40.1100,37.8300,38.1100,38.1100,383085,0.0000,1.0000
2019-05-17,40.5300,41.3400,40.5300,40.6000,40.6000,177121,0.0000,1.0000
2019-05-16,41.0000,41.4700,40.7100,41.1300,41.1300,222766,0.0000,1.0000
2019-05-15,40.7500,41.7000,40.7500,41.3500,41.3500,126676,0.0000,1.0000
2019-05-14,41.0800,41.3300,40.5900,41.1000,41.1000,223856,0.0000,1.0000
2019-05-13,40.7400,41.4100,40.2350,40.5200,40.5200,490152,0.0000,1.0000
2019-05-10,42.0400,42.8800,41.5100,42.0000,42.0000,409768,0.0000,1.0000
2019-05-09,41.0500,42.4400,40.1000,42.1600,42.1600,413947,0.0000,1.0000
2019-05-08,39.5100,42.5000,39.5000,41.6900,41.6900,399662,0.2975,1.0000
2019-05-07,39.5800,40.6000,39.1100,39.7100,39.4286,360226,0.0000,1.0000
2019-05-06,39.3600,40.0700,38.5400,40.0000,39.7166,390585,0.0000,1.0000
2019-05-03,37.9300,40.2697,37.1800,39.8200,39.5379,572005,0.0000,1.0000
2019-05-02,36.5100,37.8800,36.5100,37.8200,37.5520,671774,0.0000,1.0000
2019-05-01,38.7000,38.7690,36.4300,36.5100,36.2513,371695,0.0000,1.0000
2019-04-30,37.5100,38.3700,37.1100,38.2400,37.9691,304897,0.0000,1.0000
2019-04-29,37.0000,38.8350,37.0000,37.5100,37.2442,412319,0.0000,1.0000
2019-04-26,39.6700,39.6700,36.8100,36.8700,36.6088,568412,0.0000,1.0000
2019-04-25,40.3500,40.5000,39.5400,39.8100,39.5279,610148,0.0000,1.0000
2019-04-24,39.3700,40.5900,39.2400,40.1900,39.9052,918320,0.0000,1.0000
2019-04-23,40.5600,40.6500,39.2800,39.3700,39.0910,773365,0.0000,1.0000
2019-04-22,42.3800,42.5500,41.2500,42.0900,41.7918,389245,0.0000,1.0000
2019-04-18,42.7300,43.0750,42.5350,42.7300,42.4272,195221,0.0000,1.0000
2019-04-17,42.0200,42.7600,41.8500,42.7300,42.4272,236213,0.0000,1.0000
2019-04-16,41.0600,41.7500,41.0600,41.6400,41.3450,146544,0.0000,1.0000
2019-04-15,40.8500,41.0300,40.4400,40.7900,40.5010,193550,0.0000,1.0000
2019-04-12,40.6100,41.0000,40.2900,40.9300,40.6400,159068,0.0000,1.0000
2019-04-11,40.4400,40.6600,39.8950,40.2500,39.9648,182264,0.0000,1.0000
2019-04-10,40.0000,40.6700,39.8000,40.5600,40.2726,236811,0.0000,1.0000
2019-04-09,40.7800,41.3300,40.0500,40.1300,39.8457,306321,0.0000,1.0000
2019-04-08,41.3700,41.6850,40.8900,41.1500,40.8584,351214,0.0000,1.0000
2019-04-05,41.9600,42.2100,41.0000,41.3700,41.0769,261993,0.0000,1.0000
2019-04-04,41.7800,42.0400,41.3600,41.7000,41.4045,237007,0.0000,1.0000
2019-04-03,40.3400,41.9300,40.1200,41.8400,41.5435,787796,0.0000,1.0000
2019-04-02,39.9400,40.2600,39.4200,39.6700,39.3889,466593,0.0000,1.0000
2019-04-01,40.0000,40.3900,39.7700,39.9300,39.6471,227383,0.0000,1.0000
2019-03-29,39.0000,39.7300,38.8500,39.6400,39.3591,207917,0.0000,1.0000
2019-03-28,38.1900,38.8200,38.1900,38.7700,38.4953,161378,0.0000,1.0000
2019-03-27,38.6000,38.7550,38.0900,38.1800,37.9095,228605,0.0000,1.0000
