timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,42.7200,44.5000,42.7000,43.8100,43.8100,779172,0.0000,1.0000
2019-06-27,41.7000,42.5000,41.7000,42.4300,42.4300,618185,0.0000,1.0000
2019-06-26,41.0400,41.7550,40.5200,41.5200,41.5200,597789,0.0000,1.0000
2019-06-25,41.4100,41.8600,40.5100,41.0900,41.0900,591903,0.0000,1.0000
2019-06-24,43.4900,43.4900,41.2800,41.5100,41.5100,698915,0.0000,1.0000
2019-06-21,42.8200,43.5100,42.5044,43.2100,43.2100,2290755,0.0000,1.0000
2019-06-20,43.4900,43.7000,42.8700,42.9500,42.9500,678584,0.0000,1.0000
2019-06-19,42.0500,43.3383,41.9300,43.0300,43.0300,459620,0.0000,1.0000
2019-06-18,42.0000,42.9900,41.2100,42.2300,42.2300,422604,0.0000,1.0000
2019-06-17,41.3800,42.6600,41.0000,41.8200,41.8200,375470,0.0000,1.0000
2019-06-14,42.0400,42.3300,41.0500,41.4400,41.4400,222985,0.0000,1.0000
2019-06-13,42.7000,43.2180,41.6500,41.8400,41.8400,301227,0.0000,1.0000
2019-06-12,42.4200,43.1600,41.4400,42.5800,42.5800,357996,0.0000,1.0000
2019-06-11,43.4900,43.8050,40.6200,42.7500,42.7500,493107,0.0000,1.0000
2019-06-10,43.1000,43.7800,43.1000,43.4100,43.4100,339863,0.0000,1.0000
2019-06-07,43.7000,44.0600,42.3900,42.9000,42.9000,317831,0.0000,1.0000
2019-06-06,43.2300,44.2792,43.0500,43.5900,43.5900,388164,0.0000,1.0000
2019-06-05,43.7400,44.7400,42.8400,44.0100,44.0100,426029,0.0000,1.0000
2019-06-04,44.1000,44.5600,42.2800,43.5200,43.5200,439010,0.0000,1.0000
2019-06-03,45.4500,45.7900,43.4400,43.8200,43.8200,665787,0.0000,1.0000
2019-05-31,44.2600,45.1900,43.5000,45.0900,45.0900,783725,0.0000,1.0000
2019-05-30,43.4700,44.2800,43.0300,43.9700,43.9700,353367,0.0800,1.0000
2019-05-29,43.0700,43.3300,42.3300,43.0100,42.9319,448643,0.0000,1.0000
2019-05-28,44.4700,44.7799,42.9600,43.3300,43.2513,419886,0.0000,1.0000
2019-05-24,44.0600,44.4100,43.1500,44.2500,44.1696,402396,0.0000,1.0000
2019-05-23,42.9100,44.0750,42.8012,44.0100,43.9301,392240,0.0000,1.0000
2019-05-22,43.4700,43.9799,42.8047,43.4800,43.4010,373300,0.0000,1.0000
2019-05-21,44.9900,45.1667,43.2010,43.4600,43.3811,335169,0.0000,1.0000
2019-05-20,42.9500,44.6200,42.6001,44.5500,44.4691,519729,0.0000,1.0000
2019-05-17,43.3500,44.3800,42.7500,43.2900,43.2114,535935,0.0000,1.0000
2019-05-16,42.3900,44.1500,40.2900,44.0100,43.9301,907625,0.0000,1.0000
2019-05-15,43.2000,46.3300,42.1700,42.4700,42.3929,1022046,0.0000,1.0000
2019-05-14,43.0100,44.9500,42.1600,43.4300,43.3511,988231,0.0000,1.0000
2019-05-13,42.1700,43.5000,41.5500,42.9800,42.9019,700487,0.0000,1.0000
2019-05-10,41.0900,43.9900,41.0900,43.0000,42.9219,1237490,0.0000,1.0000
2019-05-09,41.4600,42.2000,40.3900,41.0800,41.0054,1464148,0.0000,1.0000
2019-05-08,39.5100,41.1780,38.7700,39.8900,39.8176,791771,0.0000,1.0000
2019-05-07,40.0000,40.5299,38.5300,39.2500,39.1787,708155,0.0000,1.0000
2019-05-06,38.3400,41.0500,37.5100,40.2500,40.1769,612448,0.0000,1.0000
2019-05-03,39.4800,39.9850,38.3600,39.1700,39.0989,754829,0.0000,1.0000
2019-05-02,40.0600,40.2901,38.9500,39.4500,39.3784,619710,0.0000,1.0000
2019-05-01,40.5000,41.9200,40.2100,40.3100,40.2368,669926,0.0000,1.0000
2019-04-30,41.3400,41.3400,39.8010,40.2500,40.1769,485591,0.0000,1.0000
2019-04-29,39.3600,41.4300,38.7000,41.2500,41.1751,1084058,0.0000,1.0000
2019-04-26,39.9300,41.0600,39.9300,40.2300,40.1569,822252,0.0000,1.0000
2019-04-25,39.8700,40.2999,39.1990,39.8000,39.7277,627759,0.0000,1.0000
2019-04-24,39.0900,40.0500,38.2700,39.9900,39.9174,704250,0.0000,1.0000
2019-04-23,40.3500,40.7500,38.8500,39.3000,39.2286,909469,0.0000,1.0000
2019-04-22,39.2700,40.3100,38.7500,40.0500,39.9773,721026,0.0000,1.0000
2019-04-18,39.4900,39.7356,38.2100,39.3600,39.2885,778267,0.0000,1.0000
2019-04-17,41.1000,41.2699,38.6300,39.4000,39.3284,1460504,0.0000,1.0000
2019-04-16,43.1400,43.2300,40.0700,40.8200,40.7459,1636346,0.0000,1.0000
2019-04-15,41.8500,44.2500,41.5100,42.3300,42.2531,1609911,0.0000,1.0000
2019-04-12,43.1300,43.3140,41.0100,41.8700,41.7940,1700408,0.0000,1.0000
2019-04-11,41.1700,42.9800,40.3800,42.0600,41.9836,2523779,0.0000,1.0000
2019-04-10,38.9600,40.9800,38.6100,40.2600,40.1869,4580327,0.0000,1.0000
2019-04-09,39.3200,40.0000,37.6600,38.6000,38.5299,2905641,0.0000,1.0000
2019-04-08,37.0000,39.4100,36.5900,39.2200,39.1488,3526082,0.0000,1.0000
2019-04-05,35.4000,36.8000,34.9200,36.5800,36.5136,4490502,0.0000,1.0000
2019-04-04,34.2600,36.2500,33.6800,35.8100,35.7450,32661813,0.0000,1.0000
2016-01-12,123.0000,123.0000,123.0000,123.0000,122.7766,0,0.0000,1.0000
2016-01-11,123.0000,123.0000,123.0000,123.0000,122.7766,0,0.0000,1.0000
2016-01-08,123.0000,123.0000,123.0000,123.0000,122.7766,0,0.0000,1.0000
2016-01-07,123.0000,123.0000,123.0000,123.0000,122.7766,0,0.0000,1.0000
2016-01-06,123.0000,123.0000,123.0000,123.0000,122.7766,0,0.0000,1.0000
2016-01-05,123.0000,123.0000,123.0000,123.0000,122.7766,0,0.0000,1.0000
2016-01-04,127.0100,127.3900,122.8800,123.0000,122.7766,18582926,0.0000,1.0000
