timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,56.9400,59.1800,56.8100,58.5800,58.5800,252647,0.0000,1.0000
2019-06-27,54.4500,57.0300,54.2600,57.0200,57.0200,109682,0.0000,1.0000
2019-06-26,53.6700,54.3800,52.8250,54.2300,54.2300,97687,0.0000,1.0000
2019-06-25,53.5500,53.7200,52.1050,53.5000,53.5000,61674,0.0000,1.0000
2019-06-24,53.8900,54.4200,53.3670,53.5600,53.5600,124169,0.0000,1.0000
2019-06-21,54.2100,54.5700,53.4000,53.8100,53.8100,158264,0.0000,1.0000
2019-06-20,55.1100,55.2500,54.3000,54.5100,54.5100,57773,0.0000,1.0000
2019-06-19,54.4500,54.7900,53.9200,54.6000,54.6000,60090,0.0000,1.0000
2019-06-18,53.4500,54.8900,53.0300,54.4700,54.4700,49538,0.0000,1.0000
2019-06-17,54.0000,54.4100,53.1450,53.3000,53.3000,42543,0.0000,1.0000
2019-06-14,54.7100,54.7100,53.3800,53.8800,53.8800,53142,0.0000,1.0000
2019-06-13,53.7800,55.1300,53.3700,54.6900,54.6900,81169,0.0000,1.0000
2019-06-12,53.4400,54.2700,53.3000,53.7300,53.7300,35646,0.0000,1.0000
2019-06-11,54.4600,54.6900,53.4000,53.5700,53.5700,47272,0.0000,1.0000
2019-06-10,53.3700,54.2400,53.3700,53.8600,53.8600,55688,0.0000,1.0000
2019-06-07,52.2900,53.7000,52.2900,53.1300,53.1300,37028,0.0000,1.0000
2019-06-06,53.4500,53.4500,51.7800,52.2400,52.2400,60118,0.0000,1.0000
2019-06-05,53.6300,53.9200,52.8800,53.5200,53.5200,57323,0.0000,1.0000
2019-06-04,52.6100,53.5400,52.2000,53.4500,53.4500,50573,0.0000,1.0000
2019-06-03,51.3600,52.3300,50.6600,51.9300,51.9300,122418,0.0000,1.0000
2019-05-31,49.5800,50.2000,49.0400,49.9100,49.9100,88695,0.0000,1.0000
2019-05-30,50.6200,51.1300,50.0100,50.2400,50.2400,44899,0.0000,1.0000
2019-05-29,50.9000,51.2425,50.1500,50.4600,50.4600,42362,0.0000,1.0000
2019-05-28,51.7300,51.8100,50.7800,51.1800,51.1800,75313,0.0000,1.0000
2019-05-24,52.2700,52.4900,51.7800,51.8100,51.8100,40717,0.0000,1.0000
2019-05-23,52.7700,52.7900,51.3200,52.0100,52.0100,60486,0.0000,1.0000
2019-05-22,53.2700,53.8550,53.1650,53.3800,53.3800,65527,0.0000,1.0000
2019-05-21,52.5500,53.7100,52.2600,53.6600,53.6600,60356,0.0000,1.0000
2019-05-20,52.5300,52.9900,51.6000,52.2700,52.2700,76012,0.0000,1.0000
2019-05-17,53.9500,54.5600,52.8900,52.9100,52.9100,47933,0.0000,1.0000
2019-05-16,53.8800,54.9000,53.8800,54.4800,54.4800,74378,0.0000,1.0000
2019-05-15,54.1900,55.0200,53.5650,53.7900,53.7900,72489,0.0000,1.0000
2019-05-14,54.1700,54.8600,53.8350,54.5400,54.5400,68810,0.0000,1.0000
2019-05-13,55.6500,55.6500,53.9500,54.1400,54.1400,55741,0.0000,1.0000
2019-05-10,56.3600,56.7500,55.6250,56.5900,56.5900,48261,0.0000,1.0000
2019-05-09,56.5800,57.1300,56.3700,56.7300,56.7300,46665,0.0000,1.0000
2019-05-08,56.8500,57.3400,56.4400,56.6900,56.6900,125409,0.0000,1.0000
2019-05-07,57.6300,57.9700,56.2400,56.8500,56.8500,102438,0.0000,1.0000
2019-05-06,56.3200,58.4000,55.6200,58.2900,58.2900,120119,0.0000,1.0000
2019-05-03,56.0700,57.6600,56.0700,57.4500,57.4500,75677,0.0000,1.0000
