timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,498.7500,504.6850,496.3550,504.2900,504.2900,550817,0.0000,1.0000
2019-06-27,491.3300,498.9300,491.3300,498.1900,498.1900,262520,0.0000,1.0000
2019-06-26,500.0300,501.0900,485.5800,490.2800,490.2800,489834,0.0000,1.0000
2019-06-25,508.8300,512.9900,499.4300,500.0500,500.0500,246011,0.0000,1.0000
2019-06-24,510.0000,512.9000,506.0700,510.0400,510.0400,285517,0.0000,1.0000
2019-06-21,509.0400,509.3700,499.5100,508.0900,508.0900,761611,0.0000,1.0000
2019-06-20,515.0400,515.8800,506.7100,508.3700,508.3700,433004,0.0000,1.0000
2019-06-19,502.6900,513.8000,501.8900,511.1700,511.1700,351896,0.0000,1.0000
2019-06-18,514.4500,516.9500,502.4450,503.2300,503.2300,461339,0.0000,1.0000
2019-06-17,511.2600,515.0800,509.2900,511.4800,511.4800,354186,0.0000,1.0000
2019-06-14,507.3000,512.9350,505.5100,509.9200,509.9200,318578,0.0000,1.0000
2019-06-13,505.4400,508.0300,503.2375,507.3000,507.3000,399870,0.0000,1.0000
2019-06-12,505.7600,508.9900,502.9750,503.6700,503.6700,221475,0.0000,1.0000
2019-06-11,507.2900,508.7600,499.2600,504.2400,504.2400,303278,0.0000,1.0000
2019-06-10,499.1400,507.3100,497.6000,506.0200,506.0200,329440,0.0000,1.0000
2019-06-07,496.5400,499.9600,495.1000,499.6000,499.6000,262149,0.0000,1.0000
2019-06-06,496.8200,497.9200,491.2900,494.6600,494.6600,333960,0.0000,1.0000
2019-06-05,484.3700,495.3999,482.4600,495.2900,495.2900,306851,0.0000,1.0000
2019-06-04,485.5200,485.5900,471.8000,481.0500,481.0500,494201,0.0000,1.0000
2019-06-03,487.6100,489.6150,482.1600,485.5800,485.5800,461927,0.0000,1.0000
2019-05-31,485.1500,489.1900,483.6600,485.7900,485.7900,337741,0.0000,1.0000
2019-05-30,483.1000,487.8300,483.1000,487.3100,487.3100,332570,0.0000,1.0000
2019-05-29,490.9900,491.6000,481.3000,482.5500,482.5500,277966,0.0000,1.0000
2019-05-28,496.8000,500.2000,491.2300,491.2300,491.2300,285114,0.0000,1.0000
2019-05-24,498.7600,500.0000,495.9550,496.5200,496.5200,251629,0.0000,1.0000
2019-05-23,492.8600,496.5700,492.0000,496.2600,496.2600,467858,0.0000,1.0000
2019-05-22,483.8400,494.6200,480.5133,493.9900,493.9900,332584,0.0000,1.0000
2019-05-21,477.9300,486.0800,477.9300,484.4500,484.4500,403144,2.4600,1.0000
2019-05-20,487.8800,488.4300,480.1100,480.1200,477.6943,379419,0.0000,1.0000
2019-05-17,487.6200,490.8400,485.1600,490.2800,487.8030,289400,0.0000,1.0000
2019-05-16,487.5200,494.0000,487.0200,491.7600,489.2755,326999,0.0000,1.0000
2019-05-15,484.2500,488.3800,483.1300,486.6200,484.1615,279095,0.0000,1.0000
2019-05-14,477.5400,484.5000,477.0050,484.0000,481.5547,419705,0.0000,1.0000
2019-05-13,473.5600,477.1900,472.4721,476.2400,473.8339,499174,0.0000,1.0000
2019-05-10,476.2600,481.7300,474.6350,479.8200,477.3958,438204,0.0000,1.0000
2019-05-09,477.7800,479.3275,473.0100,476.5900,474.1821,335843,0.0000,1.0000
2019-05-08,473.5700,483.6400,471.6535,478.9800,476.5601,590603,0.0000,1.0000
2019-05-07,477.9000,478.5000,471.9300,474.9300,472.5305,524081,0.0000,1.0000
2019-05-06,472.4600,480.8000,472.2592,478.5300,476.1123,496457,0.0000,1.0000
2019-05-03,466.3200,476.9900,464.4000,476.9900,474.5801,420240,0.0000,1.0000
2019-05-02,470.0000,479.9400,461.9400,465.0100,462.6606,726237,0.0000,1.0000
2019-05-01,453.6000,459.5100,449.5300,450.0100,447.7364,498960,0.0000,1.0000
2019-04-30,449.6200,456.1500,446.0400,454.7000,452.4027,408134,0.0000,1.0000
2019-04-29,451.5600,453.9800,446.2600,448.8100,446.5425,296249,0.0000,1.0000
2019-04-26,453.8200,453.8200,440.7200,453.0500,450.7611,361028,0.0000,1.0000
2019-04-25,450.9100,455.7800,447.2600,453.8900,451.5968,223826,0.0000,1.0000
2019-04-24,450.7800,454.1800,445.9300,453.4600,451.1690,268397,0.0000,1.0000
2019-04-23,449.4500,452.8200,444.5100,450.2100,447.9354,369845,0.0000,1.0000
2019-04-22,445.7400,448.9700,442.8200,447.2300,444.9705,445234,0.0000,1.0000
