timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,30.9000,31.0700,30.6800,31.0400,31.0400,7588315,0.0000,1.0000
2019-06-27,30.6800,30.8300,30.5500,30.7700,30.7700,5051549,0.0000,1.0000
2019-06-26,30.4100,30.9500,30.1600,30.8400,30.8400,7541933,0.0000,1.0000
2019-06-25,30.3900,30.8500,30.3534,30.6800,30.6800,7515204,0.0000,1.0000
2019-06-24,31.3400,31.4800,30.4850,30.5200,30.5200,10618435,0.0000,1.0000
2019-06-21,31.1100,31.5000,30.7913,31.4800,31.4800,12099027,0.0000,1.0000
2019-06-20,31.1500,31.3650,30.9200,31.1300,31.1300,8706185,0.0000,1.0000
2019-06-19,30.1700,31.0050,30.1100,30.9600,30.9600,11185606,0.0000,1.0000
2019-06-18,30.4300,30.4900,30.1200,30.2700,30.2700,10298693,0.0000,1.0000
2019-06-17,30.3700,30.4350,30.1200,30.1700,30.1700,7957562,0.0000,1.0000
2019-06-14,30.4900,30.5300,29.9800,30.3100,30.3100,11839699,0.0000,1.0000
2019-06-13,30.1000,30.6800,30.1000,30.4100,30.4100,10592283,0.0000,1.0000
2019-06-12,30.2100,30.3700,29.9700,30.1300,30.1300,13485296,0.0000,1.0000
2019-06-11,30.3000,30.3500,29.8000,30.2400,30.2400,17107798,0.0000,1.0000
2019-06-10,30.1000,30.5000,29.8500,30.3100,30.3100,24143918,0.0000,1.0000
2019-06-07,28.7000,28.9500,28.6100,28.7400,28.7400,11638378,0.0000,1.0000
2019-06-06,28.4400,28.6400,28.1700,28.6200,28.6200,9267439,0.0000,1.0000
2019-06-05,28.8500,28.8500,28.2700,28.4700,28.4700,12103181,0.0000,1.0000
2019-06-04,28.4900,28.7317,28.4000,28.6700,28.6700,11999742,0.0000,1.0000
2019-06-03,27.6800,28.4900,27.6700,28.4200,28.4200,12485500,0.0000,1.0000
2019-05-31,27.2700,27.6800,26.9600,27.6500,27.6500,10453386,0.0000,1.0000
2019-05-30,28.2800,28.3100,27.2500,27.4000,27.4000,15970486,0.4000,1.0000
2019-05-29,28.8900,28.9500,28.4300,28.6800,28.2673,13150583,0.0000,1.0000
2019-05-28,31.1000,31.1200,29.0100,29.0600,28.6419,24476428,0.0000,1.0000
2019-05-24,31.6200,31.7300,31.0300,31.1100,30.6624,8284098,0.0000,1.0000
2019-05-23,31.7100,31.7600,31.2000,31.4500,30.9975,7162307,0.0000,1.0000
2019-05-22,31.9800,32.1100,31.7050,31.8800,31.4213,6141829,0.0000,1.0000
2019-05-21,31.9200,32.1800,31.5300,31.9800,31.5199,6531934,0.0000,1.0000
2019-05-20,32.3200,32.3600,31.6400,31.7900,31.3326,9077194,0.0000,1.0000
2019-05-17,32.4100,32.8700,32.2050,32.5300,32.0619,5852480,0.0000,1.0000
2019-05-16,32.3700,32.7300,32.2900,32.4600,31.9929,5135792,0.0000,1.0000
2019-05-15,32.2000,32.4400,31.8600,32.4000,31.9338,5743959,0.0000,1.0000
2019-05-14,32.0800,32.4000,31.9800,32.2700,31.8057,7267284,0.0000,1.0000
2019-05-13,32.2900,32.4300,31.8200,31.9700,31.5100,7944095,0.0000,1.0000
2019-05-10,32.5600,32.7300,31.6700,32.6500,32.1802,9249981,0.0000,1.0000
2019-05-09,32.3000,32.6400,31.9700,32.5800,32.1112,6838933,0.0000,1.0000
2019-05-08,32.5000,32.6200,32.2600,32.4300,31.9634,5778654,0.0000,1.0000
2019-05-07,32.6300,32.9600,32.2000,32.5000,32.0324,8719076,0.0000,1.0000
2019-05-06,32.3500,32.9400,32.3100,32.7700,32.2985,10303755,0.0000,1.0000
2019-05-03,32.3500,32.6600,32.0350,32.5800,32.1112,6995841,0.0000,1.0000
2019-05-02,32.7000,32.8300,31.8200,32.1800,31.7170,12276839,0.0000,1.0000
2019-05-01,33.2000,33.5700,32.9300,32.9900,32.5153,7407273,0.0000,1.0000
2019-04-30,33.3100,33.4700,33.0600,33.2400,32.7617,9694953,0.0000,1.0000
2019-04-29,33.1600,33.3258,33.0300,33.2700,32.7913,5963378,0.0000,1.0000
