timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,88.0000,88.6500,86.6100,86.7000,86.7000,6180111,0.0000,1.0000
2019-06-27,87.9900,89.1300,87.0000,87.1400,87.1400,2300890,0.0000,1.0000
2019-06-26,85.7500,87.5400,85.0600,87.1700,87.1700,2484617,0.0000,1.0000
2019-06-25,86.8400,86.8400,83.8600,83.9400,83.9400,2215245,0.0000,1.0000
2019-06-24,85.1100,85.5900,84.6800,85.1300,85.1300,1817895,0.0000,1.0000
2019-06-21,85.2700,85.9800,84.5200,85.1000,85.1000,3285217,0.0000,1.0000
2019-06-20,87.0000,87.1600,85.2300,85.5800,85.5800,1612193,0.0000,1.0000
2019-06-19,85.7500,85.7500,84.5900,84.7500,84.7500,1831115,0.0000,1.0000
2019-06-18,82.4000,85.7400,81.8500,85.0000,85.0000,3060920,0.0000,1.0000
2019-06-17,82.7100,83.4500,81.1200,81.2300,81.2300,1951135,0.0000,1.0000
2019-06-14,81.4100,83.5200,80.1500,83.1900,83.1900,3422997,0.0000,1.0000
2019-06-13,84.2300,85.0787,83.6440,84.1000,84.1000,2610646,0.0000,1.0000
2019-06-12,84.8700,84.8700,83.2000,83.8100,83.8100,1437345,0.0000,1.0000
2019-06-11,87.2400,87.4200,83.6600,85.3400,85.3400,2194487,0.0000,1.0000
2019-06-10,84.7500,86.6600,84.6000,85.7500,85.7500,2310424,0.0000,1.0000
2019-06-07,83.7400,85.0000,83.1700,83.6700,83.6700,1897368,0.0000,1.0000
2019-06-06,82.5800,83.5000,81.6100,83.1300,83.1300,1943712,0.0000,1.0000
2019-06-05,84.9800,85.1400,80.9900,82.3300,82.3300,1969972,0.0000,1.0000
2019-06-04,80.9400,84.3500,80.4500,84.2600,84.2600,2465697,0.0000,1.0000
2019-06-03,80.3900,81.9600,79.3400,79.7500,79.7500,2688891,0.0000,1.0000
2019-05-31,79.8800,81.9250,79.5600,80.0300,80.0300,4089884,0.0000,1.0000
2019-05-30,80.6400,81.9300,80.5500,81.3400,81.3400,3208014,0.0000,1.0000
2019-05-29,78.5700,81.2100,78.1900,80.5500,80.5500,2951731,0.0000,1.0000
2019-05-28,80.5400,80.8600,77.6600,79.1100,79.1100,3822408,0.0000,1.0000
2019-05-24,82.1400,82.8100,80.3700,80.4200,80.4200,1785392,0.0000,1.0000
2019-05-23,80.5000,81.6600,79.7311,81.5900,81.5900,2895194,0.0000,1.0000
2019-05-22,80.9900,83.0800,80.6800,81.8300,81.8300,2739662,0.0000,1.0000
2019-05-21,80.7500,82.2600,80.1900,81.9500,81.9500,2933264,0.0000,1.0000
2019-05-20,80.4800,81.7500,78.7300,79.5400,79.5400,3849512,0.3655,1.0000
2019-05-17,83.7000,85.3600,83.0600,83.2600,82.8792,2304727,0.0000,1.0000
2019-05-16,84.8200,85.5300,83.8200,85.0800,84.6908,3138168,0.0000,1.0000
2019-05-15,83.7100,86.4500,83.4200,85.8000,85.4075,3396108,0.0000,1.0000
2019-05-14,84.2100,85.0000,83.5000,84.6600,84.2728,4228465,0.0000,1.0000
2019-05-13,85.7300,86.6600,82.9000,83.6100,83.2276,4840131,0.0000,1.0000
2019-05-10,89.3600,89.9500,86.9600,89.2400,88.8318,3322803,0.0000,1.0000
2019-05-09,89.5700,90.1200,86.7700,89.3800,88.9712,4517608,0.0000,1.0000
2019-05-08,89.9500,94.0600,89.7500,91.5400,91.1213,4226335,0.0000,1.0000
2019-05-07,95.7500,95.7900,92.7000,94.1500,93.7193,5712406,0.0000,1.0000
2019-05-06,96.7300,97.3800,95.8900,96.9800,96.5364,3766227,0.0000,1.0000
2019-05-03,100.6700,100.8500,99.5200,100.7500,100.2892,1377193,0.0000,1.0000
2019-05-02,98.9600,101.3500,98.1200,100.1200,99.6620,1963832,0.0000,1.0000
2019-05-01,100.6700,101.1600,98.8900,98.9600,98.5073,2596984,0.0000,1.0000
2019-04-30,99.8000,100.0200,98.5600,99.8900,99.4331,1967356,0.0000,1.0000
2019-04-29,98.2500,99.2800,98.1500,98.7200,98.2684,1295014,0.0000,1.0000
2019-04-26,96.0000,98.4700,95.0900,98.4100,97.9599,1478583,0.0000,1.0000
2019-04-25,97.5100,98.2840,95.5950,97.4800,97.0341,2217575,0.0000,1.0000
2019-04-24,97.4700,99.9700,97.4300,98.8400,98.3879,2262156,0.0000,1.0000
2019-04-23,97.7200,99.2450,97.5600,98.1600,97.7110,2304311,0.0000,1.0000
2019-04-22,98.4500,98.7200,97.4800,97.6000,97.1536,2524074,0.0000,1.0000
2019-04-18,99.7300,99.8950,98.0200,98.7100,98.2585,2411784,0.0000,1.0000
2019-04-17,100.2800,100.2800,97.0500,99.2700,98.8159,4527267,0.0000,1.0000
2019-04-16,96.1400,97.8800,96.0800,97.7700,97.3228,4933233,0.0000,1.0000
2019-04-15,95.3300,96.0600,94.7600,95.6000,95.1627,3185607,0.0000,1.0000
2019-04-12,95.3800,95.8900,94.6400,95.3600,94.9238,2087604,0.0000,1.0000
2019-04-11,94.0900,94.3900,93.0200,93.9700,93.5402,1885702,0.0000,1.0000
2019-04-10,92.8700,94.4500,92.2500,94.2500,93.8189,2255700,0.0000,1.0000
2019-04-09,93.6600,93.7600,92.5600,92.9000,92.4751,2481780,0.0000,1.0000
2019-04-08,92.9000,94.2380,91.9500,94.0600,93.6298,2774218,0.0000,1.0000
2019-04-05,91.5700,93.2000,91.3200,92.9200,92.4950,2874307,0.0000,1.0000
2019-04-04,90.2400,91.6900,90.1900,91.2700,90.8525,3506631,0.0000,1.0000
2019-04-03,89.5300,91.3600,88.6501,90.3000,89.8870,4248425,0.0000,1.0000
2019-04-02,87.4300,87.8650,86.5100,87.7200,87.3188,4064902,0.0000,1.0000
2019-04-01,84.1400,87.6300,84.1100,87.4600,87.0599,4111511,0.0000,1.0000
2019-03-29,82.0700,83.2400,81.9500,82.9600,82.5805,2613231,0.0000,1.0000
2019-03-28,81.5500,82.3900,80.0300,81.1500,80.7788,2993848,0.0000,1.0000
2019-03-27,84.3000,84.7100,81.1500,81.3700,80.9978,3455794,0.0000,1.0000
2019-03-26,84.6600,85.4100,83.7900,84.2500,83.8646,1301066,0.0000,1.0000
2019-03-25,84.8800,85.2600,83.0100,83.8200,83.4366,1926270,0.0000,1.0000
2019-03-22,86.7100,87.3500,85.4000,85.4200,85.0293,2017324,0.0000,1.0000
2019-03-21,84.2200,87.6900,84.2200,87.3800,86.9803,1733222,0.0000,1.0000
2019-03-20,86.2600,86.7200,83.6700,84.2800,83.8945,1607400,0.0000,1.0000
2019-03-19,85.7000,86.3350,85.4500,86.1000,85.7062,1707246,0.0000,1.0000
2019-03-18,85.9500,86.4350,84.7600,85.3300,84.9397,2291928,0.0000,1.0000
2019-03-15,84.6900,86.8900,84.3400,86.1000,85.7062,3015117,0.0000,1.0000
2019-03-14,85.0300,85.4700,83.9150,84.0000,83.6158,1997643,0.0000,1.0000
2019-03-13,86.7700,87.0800,84.9800,85.0600,84.6709,2493057,0.0000,1.0000
2019-03-12,87.1100,87.1100,86.0100,86.3000,85.9053,1115012,0.0000,1.0000
2019-03-11,85.5900,87.1400,85.2600,86.8000,86.4030,1348837,0.0000,1.0000
2019-03-08,83.4500,85.3900,83.0500,85.0500,84.6610,1802323,0.0000,1.0000
2019-03-07,85.9400,86.0300,84.2500,84.4500,84.0637,2133727,0.0000,1.0000
2019-03-06,87.3900,88.0700,86.4000,86.4800,86.0844,1813690,0.0000,1.0000
2019-03-05,88.4100,88.5000,87.2300,87.2700,86.8708,1822966,0.0000,1.0000
2019-03-04,89.3400,89.5700,87.5900,88.5700,88.1649,1639041,0.0000,1.0000
2019-03-01,87.8900,88.9100,87.1300,88.6400,88.2345,2061906,0.0000,1.0000
2019-02-28,86.3400,87.3300,86.3200,86.8700,86.4726,2855157,0.0000,1.0000
2019-02-27,88.4400,88.7700,86.6300,87.0700,86.6717,3954020,0.0000,1.0000
2019-02-26,89.2600,90.0300,88.9200,89.0600,88.6526,1722836,0.0000,1.0000
2019-02-25,90.2600,91.1400,89.6900,89.8100,89.3992,2363174,0.0000,1.0000
2019-02-22,89.7100,90.0000,88.4600,89.0400,88.6327,1603689,0.0000,1.0000
2019-02-21,89.6600,90.0700,88.4700,89.0000,88.5929,2086033,0.0000,1.0000
2019-02-20,90.2700,91.4800,89.5000,89.6500,89.2399,3153475,0.3650,1.0000
2019-02-19,90.6200,91.3600,90.0600,90.6900,89.9091,1591027,0.0000,1.0000
2019-02-15,91.3500,91.5600,90.0800,91.1000,90.3156,2285063,0.0000,1.0000
2019-02-14,90.6500,91.7500,89.9001,90.6000,89.8199,4180315,0.0000,1.0000
2019-02-13,91.3300,91.8200,90.6000,91.1900,90.4048,3280248,0.0000,1.0000
2019-02-12,90.1900,91.8000,90.1700,91.5100,90.7221,4152444,0.0000,1.0000
2019-02-11,87.7500,89.4150,87.0000,88.9600,88.1940,3009021,0.0000,1.0000
2019-02-08,86.7300,87.7500,86.0300,87.4100,86.6574,2836612,0.0000,1.0000
2019-02-07,87.6400,89.1700,86.5400,88.0700,87.3117,4714458,0.0000,1.0000
2019-02-06,88.5000,91.7500,88.0100,89.3100,88.5410,10139383,0.0000,1.0000
2019-02-05,82.2700,83.7600,82.2700,83.2400,82.5233,3418895,0.0000,1.0000
2019-02-04,81.7400,82.9300,80.7700,82.5800,81.8689,2979769,0.0000,1.0000
2019-02-01,80.5400,81.9100,79.9100,81.8700,81.1651,3447505,0.0000,1.0000
2019-01-31,80.3500,81.3400,79.8100,80.3700,79.6780,2234232,0.0000,1.0000
2019-01-30,80.0400,81.6400,78.2100,80.4900,79.7969,2771924,0.0000,1.0000
2019-01-29,81.0200,81.7300,79.2900,79.4900,78.8056,2043230,0.0000,1.0000
2019-01-28,78.2000,80.6000,78.0200,80.2500,79.5590,2645477,0.0000,1.0000
2019-01-25,79.0100,81.4000,78.5300,80.6300,79.9357,2925798,0.0000,1.0000
2019-01-24,75.4200,79.5800,74.9500,78.4400,77.7646,5049025,0.0000,1.0000
