timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,5.5500,5.6300,5.5400,5.5800,5.5800,32393749,0.0000,1.0000
2019-06-27,5.5600,5.6050,5.5100,5.5700,5.5700,18928770,0.0000,1.0000
2019-06-26,5.5600,5.6100,5.5100,5.5300,5.5300,19473720,0.0000,1.0000
2019-06-25,5.5800,5.6000,5.5000,5.5400,5.5400,25295424,0.0000,1.0000
2019-06-24,5.6200,5.6300,5.5200,5.5900,5.5900,22774702,0.0000,1.0000
2019-06-21,5.7100,5.7400,5.5900,5.6000,5.6000,50359866,0.0000,1.0000
2019-06-20,5.7100,5.7650,5.6700,5.7400,5.7400,18462651,0.0000,1.0000
2019-06-19,5.7200,5.7500,5.6100,5.6800,5.6800,19499831,0.0000,1.0000
2019-06-18,5.6900,5.7800,5.6700,5.7000,5.7000,25905315,0.0000,1.0000
2019-06-17,5.5500,5.7150,5.5150,5.6300,5.6300,27249646,0.0000,1.0000
2019-06-14,5.5700,5.6000,5.5300,5.5600,5.5600,18196602,0.0000,1.0000
2019-06-13,5.5300,5.6100,5.4900,5.5800,5.5800,21745956,0.0000,1.0000
2019-06-12,5.4900,5.5300,5.4700,5.5000,5.5000,15489965,0.0000,1.0000
2019-06-11,5.4700,5.5400,5.4400,5.4900,5.4900,25977511,0.0000,1.0000
2019-06-10,5.3800,5.4900,5.3550,5.4300,5.4300,32957015,0.0000,1.0000
2019-06-07,5.3300,5.3700,5.2800,5.3100,5.3100,20300366,0.0000,1.0000
2019-06-06,5.2900,5.3300,5.2500,5.3100,5.3100,21292304,0.0000,1.0000
2019-06-05,5.4400,5.4400,5.2700,5.2700,5.2700,24383981,0.0000,1.0000
2019-06-04,5.3100,5.4000,5.3100,5.3900,5.3900,27625480,0.0000,1.0000
2019-06-03,5.3100,5.3300,5.2300,5.2700,5.2700,22520467,0.0000,1.0000
2019-05-31,5.3300,5.3300,5.2400,5.3100,5.3100,29981353,0.0000,1.0000
2019-05-30,5.3500,5.4350,5.3500,5.3700,5.3700,23934292,0.0000,1.0000
2019-05-29,5.3300,5.3800,5.2800,5.3400,5.3400,28293361,0.0000,1.0000
2019-05-28,5.4100,5.4600,5.3300,5.3500,5.3500,40480582,0.0000,1.0000
2019-05-24,5.4600,5.5200,5.3800,5.4100,5.4100,23959026,0.0000,1.0000
2019-05-23,5.5300,5.5500,5.3300,5.3900,5.3900,35182261,0.0000,1.0000
2019-05-22,5.6200,5.6500,5.5600,5.5600,5.5600,17250230,0.0000,1.0000
2019-05-21,5.6100,5.6900,5.6000,5.6400,5.6400,16498075,0.0000,1.0000
