timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,116.4200,116.8300,114.5000,114.7600,114.7600,6111826,0.0000,1.0000
2019-06-27,115.2200,116.6600,115.0150,115.8600,115.8600,4163751,0.0000,1.0000
2019-06-26,113.4100,115.0200,112.7700,114.4300,114.4300,5308196,0.0000,1.0000
2019-06-25,112.9100,113.2350,111.3400,111.4800,111.4800,3426179,0.0000,1.0000
2019-06-24,112.1700,113.0900,111.8200,112.7300,112.7300,3356248,0.0000,1.0000
2019-06-21,111.8700,113.3700,111.6600,112.3200,112.3200,5124879,0.0000,1.0000
2019-06-20,113.8700,114.3500,111.7100,112.7100,112.7100,2789875,0.0000,1.0000
2019-06-19,111.8000,112.3000,110.6900,111.3000,111.3000,2745976,0.0000,1.0000
2019-06-18,108.3000,111.5700,107.5800,111.0400,111.0400,5207947,0.0000,1.0000
2019-06-17,107.3000,108.0042,106.5500,106.7200,106.7200,3655294,0.0000,1.0000
2019-06-14,106.8400,109.0500,106.8000,107.3100,107.3100,7137765,0.0000,1.0000
2019-06-13,110.7600,111.3600,110.3200,111.1800,111.1800,3391988,0.0000,1.0000
2019-06-12,112.4800,112.7924,109.9800,110.3400,110.3400,4105382,0.0000,1.0000
2019-06-11,114.3100,114.3400,111.9700,112.9300,112.9300,4775720,0.0000,1.0000
2019-06-10,111.7600,113.5100,111.0000,112.6300,112.6300,4656767,0.0000,1.0000
2019-06-07,111.1400,111.8300,110.5900,111.1700,111.1700,5408589,0.0000,1.0000
2019-06-06,109.5100,110.6700,108.7900,110.1900,110.1900,4734078,0.0000,1.0000
2019-06-05,110.0000,110.2900,107.7800,109.4800,109.4800,3977550,0.0000,1.0000
2019-06-04,107.1600,109.2500,106.3500,109.1200,109.1200,4924740,0.0000,1.0000
2019-06-03,105.0400,106.9800,104.5900,105.1700,105.1700,4504512,0.0000,1.0000
2019-05-31,104.3200,106.1200,104.0000,104.3100,104.3100,4463299,0.0000,1.0000
2019-05-30,104.4800,106.1000,104.1300,105.4400,105.4400,3365867,0.0000,1.0000
2019-05-29,102.6600,104.9000,101.5700,104.1500,104.1500,4923416,0.0000,1.0000
2019-05-28,105.8900,105.9500,103.1500,103.2100,103.2100,5707066,0.0000,1.0000
2019-05-24,106.5300,107.4900,104.9200,105.0600,105.0600,2786453,0.0000,1.0000
2019-05-23,105.7800,105.9900,104.3500,105.8300,105.8300,4827999,0.0000,1.0000
2019-05-22,106.5900,107.8900,106.4000,106.7800,106.7800,3296952,0.0000,1.0000
2019-05-21,106.9000,108.0000,106.2700,107.0000,107.0000,4977247,0.0000,1.0000
2019-05-20,103.0900,105.8900,103.0900,104.7300,104.7300,7519879,0.0000,1.0000
2019-05-17,108.1800,109.4800,106.1100,106.7900,106.7900,6944146,0.0000,1.0000
2019-05-16,108.9300,110.6300,108.1040,109.2100,109.2100,4690553,0.0000,1.0000
2019-05-15,108.0000,110.8650,107.7100,110.2900,110.2900,4803551,0.0000,1.0000
2019-05-14,108.2100,109.8500,107.8800,109.0400,109.0400,4068204,0.0000,1.0000
2019-05-13,109.1700,110.3500,106.7300,107.1100,107.1100,7867589,0.0000,1.0000
2019-05-10,111.8600,113.1300,109.3600,112.6000,112.6000,4189912,0.0000,1.0000
2019-05-09,110.8800,112.8400,110.2000,112.1500,112.1500,4817546,0.0000,1.0000
2019-05-08,112.8200,114.7500,112.4800,112.5600,112.5600,4819339,0.0000,1.0000
2019-05-07,114.0000,114.4300,112.2500,113.9300,113.9300,5928098,0.0000,1.0000
2019-05-06,114.1200,116.0000,113.5000,115.8600,115.8600,3974309,0.0000,1.0000
2019-05-03,117.4600,117.9700,116.1100,117.4700,117.4700,3689006,0.7700,1.0000
2019-05-02,116.4000,118.5699,116.2800,117.4600,116.6951,4532277,0.0000,1.0000
2019-05-01,118.0600,118.9200,116.2000,116.2900,115.5327,3335828,0.0000,1.0000
2019-04-30,116.8800,118.3700,116.6600,117.8300,117.0627,4533170,0.0000,1.0000
2019-04-29,116.7300,117.3400,116.0000,116.7000,115.9400,3407667,0.0000,1.0000
2019-04-26,116.0000,117.2500,115.3100,117.2100,116.4467,3582596,0.0000,1.0000
