timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,189.8900,192.7900,188.6900,191.5400,191.5400,682758,0.0000,1.0000
2019-06-27,186.2900,189.2500,186.2900,188.9500,188.9500,455544,0.6500,1.0000
2019-06-26,192.2300,192.2300,185.5500,186.8500,186.2094,709397,0.0000,1.0000
2019-06-25,192.0500,192.9600,191.7700,192.3100,191.6507,469522,0.0000,1.0000
2019-06-24,191.3800,192.6400,191.3000,191.7700,191.1126,351759,0.0000,1.0000
2019-06-21,191.7500,192.9000,190.3800,191.8300,191.1724,1127517,0.0000,1.0000
2019-06-20,191.0600,192.0600,189.6000,191.6200,190.9631,609179,0.0000,1.0000
2019-06-19,188.3700,190.3800,188.2000,189.7300,189.0796,451104,0.0000,1.0000
2019-06-18,189.0700,190.6650,187.3300,188.1100,187.4651,454047,0.0000,1.0000
2019-06-17,190.0500,190.7200,187.7500,188.2800,187.6345,381745,0.0000,1.0000
2019-06-14,189.0000,190.5550,187.7250,190.3300,189.6775,364149,0.0000,1.0000
2019-06-13,188.5800,188.7800,186.8500,188.7100,188.0631,356471,0.0000,1.0000
2019-06-12,187.9600,189.3400,187.6300,188.1100,187.4651,418534,0.0000,1.0000
2019-06-11,188.8900,189.5400,187.6500,188.3100,187.6644,427485,0.0000,1.0000
2019-06-10,187.3900,188.8200,186.9450,188.3100,187.6644,729080,0.0000,1.0000
2019-06-07,183.9700,188.1700,183.9700,186.8800,186.2393,583746,0.0000,1.0000
2019-06-06,183.5500,183.8300,181.3500,183.4700,182.8410,321155,0.0000,1.0000
2019-06-05,179.4800,183.0100,178.8500,182.8500,182.2231,512017,0.0000,1.0000
2019-06-04,178.8700,179.2700,175.2000,179.2200,178.6056,396077,0.0000,1.0000
2019-06-03,175.7900,178.2600,175.2300,178.0600,177.4496,507281,0.0000,1.0000
2019-05-31,176.1300,177.1800,175.4200,175.5000,174.8983,417639,0.0000,1.0000
2019-05-30,176.4200,177.8400,175.7700,177.6900,177.0808,241201,0.0000,1.0000
2019-05-29,175.9500,176.4550,174.3100,175.6900,175.0877,346295,0.0000,1.0000
2019-05-28,177.6600,178.1500,176.2450,176.7100,176.1042,788592,0.0000,1.0000
2019-05-24,178.8000,178.9200,176.6400,177.7300,177.1207,307843,0.0000,1.0000
2019-05-23,178.6600,179.0700,176.6400,177.8300,177.2204,534067,0.0000,1.0000
2019-05-22,177.9900,180.0500,177.0800,180.0200,179.4028,416000,0.0000,1.0000
2019-05-21,176.9700,178.5300,176.9650,178.3100,177.6987,291711,0.0000,1.0000
2019-05-20,175.6500,176.5700,174.9900,176.3700,175.7654,556721,0.0000,1.0000
2019-05-17,176.7700,177.6300,175.7500,176.0000,175.3966,508949,0.0000,1.0000
2019-05-16,175.6600,178.2600,175.6600,178.0600,177.4496,586999,0.0000,1.0000
2019-05-15,174.4500,176.3700,174.4500,175.5400,174.9382,377254,0.0000,1.0000
2019-05-14,173.4600,176.7100,173.3700,175.3800,174.7788,512921,0.0000,1.0000
2019-05-13,174.3300,175.3800,173.4950,173.7000,173.1045,648022,0.0000,1.0000
2019-05-10,174.5200,176.9200,172.2900,176.6500,176.0444,411467,0.0000,1.0000
2019-05-09,174.0000,175.4400,172.8200,175.0000,174.4001,367663,0.0000,1.0000
2019-05-08,174.4400,176.5400,172.8500,175.5100,174.9083,480553,0.0000,1.0000
2019-05-07,177.1800,177.9300,173.4900,174.4100,173.8121,579354,0.0000,1.0000
2019-05-06,177.4900,179.5100,177.2800,178.6300,178.0176,662071,0.0000,1.0000
2019-05-03,179.3400,180.8500,178.2900,179.7700,179.1537,473917,0.0000,1.0000
2019-05-02,175.1500,178.5900,174.4900,178.5000,177.8881,816493,0.0000,1.0000
2019-05-01,177.0500,180.2800,175.1500,175.3700,174.7688,1067536,0.0000,1.0000
2019-04-30,181.3200,184.4300,181.0600,184.3400,183.7080,789035,0.0000,1.0000
2019-04-29,181.6000,182.9800,180.1700,181.5200,180.8977,526157,0.0000,1.0000
2019-04-26,180.7100,182.1100,179.6000,181.5500,180.9276,563473,0.0000,1.0000
2019-04-25,178.2600,180.2400,177.2300,180.1700,179.5523,505112,0.0000,1.0000
2019-04-24,179.7000,182.3100,178.8700,179.5600,178.9444,451180,0.0000,1.0000
2019-04-23,177.5700,180.0750,177.0600,180.0000,179.3829,459591,0.0000,1.0000
2019-04-22,177.3100,178.3350,176.2500,177.2600,176.6523,310248,0.0000,1.0000
2019-04-18,178.5300,178.5300,175.0300,177.3700,176.7619,550843,0.0000,1.0000
2019-04-17,182.0000,182.0000,175.6000,176.9000,176.2935,887822,0.0000,1.0000
2019-04-16,181.4200,181.6800,180.6300,181.2100,180.5888,387332,0.0000,1.0000
2019-04-15,180.4700,181.0100,177.8300,180.7400,180.1204,268307,0.0000,1.0000
2019-04-12,180.8400,181.8900,179.9900,180.7200,180.1004,426216,0.0000,1.0000
2019-04-11,179.2000,180.3700,178.9500,179.7700,179.1537,373454,0.0000,1.0000
2019-04-10,178.3700,179.2400,177.7600,179.0400,178.4262,410488,0.0000,1.0000
2019-04-09,178.0200,178.1200,176.6700,178.0300,177.4197,364650,0.0000,1.0000
2019-04-08,178.2400,178.6700,176.6850,178.4500,177.8382,375966,0.0000,1.0000
2019-04-05,178.5200,179.2550,177.8150,178.0800,177.4695,467980,0.0000,1.0000
2019-04-04,178.1200,179.0300,176.8700,178.5100,177.8980,371163,0.0000,1.0000
2019-04-03,178.4200,179.3900,176.2300,177.8200,177.2104,717899,0.0000,1.0000
2019-04-02,176.7800,178.0999,175.6150,177.2000,176.5925,696062,0.0000,1.0000
2019-04-01,176.1100,178.1800,174.5050,176.1100,175.5062,802183,0.0000,1.0000
2019-03-29,176.1800,176.8800,174.8600,175.6500,175.0478,745442,0.0000,1.0000
2019-03-28,176.5200,176.9100,174.0900,175.0200,174.4200,607052,0.6500,1.0000
2019-03-27,177.8800,178.6100,175.5500,176.8100,175.5519,629288,0.0000,1.0000
