timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,36.2300,36.5500,36.0100,36.1600,36.1600,299752,0.0000,1.0000
2019-10-15,35.6900,36.8200,35.5200,36.4200,36.4200,5454030,0.0000,1.0000
2019-10-14,34.6100,35.7100,34.5800,35.4900,35.4900,5832100,0.0000,1.0000
2019-10-11,34.7700,35.5500,34.7700,35.2800,35.2800,5525900,0.0000,1.0000
2019-10-10,34.6300,34.8300,34.1100,34.4900,34.4900,6649500,0.0000,1.0000
2019-10-09,33.6300,33.8500,33.3700,33.7700,33.7700,3631600,0.0000,1.0000
2019-10-08,33.6000,33.8700,33.2000,33.4200,33.4200,4579800,0.0000,1.0000
2019-10-07,33.6700,34.3900,33.6400,33.9600,33.9600,7641500,0.0000,1.0000
2019-10-04,33.0100,33.9200,32.8900,33.7000,33.7000,13550500,0.0000,1.0000
2019-10-03,33.3600,33.6900,32.6900,32.8500,32.8500,15542500,0.0000,1.0000
2019-10-02,33.9800,34.4700,33.2600,33.5400,33.5400,21217400,0.0000,1.0000
2019-10-01,37.6700,38.2000,34.4500,34.6700,34.6700,45017300,0.0000,1.0000
2019-09-30,47.0900,47.2900,46.3900,46.7000,46.7000,2385400,0.0000,1.0000
2019-09-27,45.5400,47.0700,45.5400,46.9700,46.9700,3095100,0.0000,1.0000
2019-09-26,48.3000,48.4100,44.5800,45.3000,45.3000,7129300,0.0000,1.0000
2019-09-25,48.0300,48.5300,47.9000,48.4500,48.4500,1602800,0.0000,1.0000
2019-09-24,49.1500,49.2900,47.7800,48.0100,48.0100,1744300,0.0000,1.0000
2019-09-23,48.9800,49.2000,48.5300,49.0600,49.0600,1268900,0.0000,1.0000
2019-09-20,49.6900,50.0000,49.2000,49.2700,49.2700,2022600,0.0000,1.0000
2019-09-19,49.6200,50.0200,49.2500,49.6600,49.6600,1310100,0.0000,1.0000
2019-09-18,49.7000,49.7600,48.4100,49.4600,49.4600,2858300,0.0000,1.0000
2019-09-17,49.6100,50.0900,49.2200,50.0200,50.0200,1579300,0.0000,1.0000
2019-09-16,49.2100,49.9500,49.2100,49.8900,49.8900,1351700,0.0000,1.0000
2019-09-13,49.6200,50.1300,49.6100,49.7400,49.7400,1517700,0.0000,1.0000
2019-09-12,48.6300,49.6500,48.2900,49.3800,49.3800,1624100,0.0000,1.0000
2019-09-11,48.8700,49.1700,47.7900,49.0700,49.0700,1599600,0.0000,1.0000
2019-09-10,48.1100,48.8900,47.8500,48.5900,48.5900,3450800,0.0000,1.0000
2019-09-09,46.7100,48.0500,46.7100,47.8800,47.8800,2300000,0.0000,1.0000
2019-09-06,46.2400,46.5600,45.9100,46.4800,46.4800,916300,0.0000,1.0000
2019-09-05,45.6500,46.7500,45.6500,46.1500,46.1500,1692900,0.0000,1.0000
2019-09-04,44.7300,45.1800,44.4600,44.9500,44.9500,2384300,0.0000,1.0000
2019-09-03,44.2100,44.2600,43.6700,44.0400,44.0400,1472200,0.0000,1.0000
2019-08-30,44.2600,44.6900,44.1700,44.4100,44.4100,1716600,0.0000,1.0000
2019-08-29,43.0900,44.1600,43.0300,43.8700,43.8700,2566100,0.0000,1.0000
2019-08-28,42.1400,43.0400,42.1400,42.6000,42.6000,1880500,0.0000,1.0000
2019-08-27,43.2400,43.2400,42.3000,42.5000,42.5000,1615400,0.0000,1.0000
2019-08-26,43.2000,43.3700,42.7000,42.9200,42.9200,2836400,0.0000,1.0000
2019-08-23,43.5200,43.9900,42.7200,42.9100,42.9100,1616400,0.0000,1.0000
2019-08-22,44.2300,44.3500,43.4800,43.8400,43.8400,2736400,0.0000,1.0000
2019-08-21,43.7800,44.0400,43.4800,43.8700,43.8700,3123100,0.0000,1.0000
