timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,107.1800,108.9400,107.0400,108.3600,108.3600,275198,0.0000,1.0000
2019-10-15,105.5400,108.0500,105.4300,107.2000,107.2000,2167368,0.0000,1.0000
2019-10-14,104.5100,105.8000,104.3200,105.4600,105.4600,2333500,0.0000,1.0000
2019-10-11,105.9700,107.3000,104.1100,104.6600,104.6600,3868300,0.0000,1.0000
2019-10-10,100.7900,104.7400,100.2600,103.8500,103.8500,3519800,0.0000,1.0000
2019-10-09,100.2900,100.6300,98.5500,99.9000,99.9000,3378900,0.0000,1.0000
2019-10-08,99.5000,100.5600,98.2000,99.5300,99.5300,4420000,0.0000,1.0000
2019-10-07,103.7900,103.9900,101.1700,101.4700,101.4700,3374900,0.0000,1.0000
2019-10-04,103.8300,105.1000,103.2900,104.4700,104.4700,1672300,0.0000,1.0000
2019-10-03,102.3500,104.7300,101.1500,104.3200,104.3200,2216700,0.0000,1.0000
2019-10-02,100.8500,103.2400,99.5000,102.6200,102.6200,2568100,0.0000,1.0000
2019-10-01,102.8000,103.2600,101.0000,102.0000,102.0000,1778100,0.0000,1.0000
2019-09-30,102.2500,103.4500,101.4400,102.7600,102.7600,2135700,0.0000,1.0000
2019-09-27,105.4900,106.3000,100.3000,101.2100,101.2100,5661900,0.0000,1.0000
2019-09-26,105.9000,107.9000,103.5100,105.0700,105.0700,5730100,0.0000,1.0000
2019-09-25,97.9400,103.0300,97.4200,102.8000,102.8000,4040800,0.0000,1.0000
2019-09-24,102.6000,102.7600,97.2500,97.6100,97.6100,6981400,0.0000,1.0000
2019-09-23,104.4900,104.9400,102.3000,102.3700,102.3700,3496800,0.0000,1.0000
2019-09-20,108.1000,108.4600,104.6700,105.1600,105.1600,3486600,0.0000,1.0000
2019-09-19,108.5600,109.2600,107.6200,107.7700,107.7700,1946000,0.0000,1.0000
2019-09-18,108.9900,109.8500,107.4300,108.4000,108.4000,2910900,0.0000,1.0000
2019-09-17,110.0200,110.3200,108.0700,109.0400,109.0400,2780200,0.0000,1.0000
2019-09-16,109.9500,111.6400,109.4100,110.9800,110.9800,2202700,0.0000,1.0000
2019-09-13,111.9700,112.0000,109.8800,110.5400,110.5400,2983500,0.0000,1.0000
2019-09-12,112.9500,113.0700,110.5200,111.5000,111.5000,4075200,0.0000,1.0000
2019-09-11,111.7800,113.2600,109.3800,111.7900,111.7900,4898100,0.0000,1.0000
2019-09-10,105.2000,110.5800,105.0600,110.4000,110.4000,5925600,0.0000,1.0000
2019-09-09,102.7200,105.2000,102.3700,105.0600,105.0600,3498800,0.0000,1.0000
2019-09-06,104.2400,104.5000,102.4500,102.5900,102.5900,2894700,0.0000,1.0000
2019-09-05,103.5900,105.1100,103.2900,104.1200,104.1200,3345200,0.0000,1.0000
2019-09-04,104.1300,104.5500,102.0400,102.5400,102.5400,2168500,0.0000,1.0000
2019-09-03,103.3200,104.4600,102.4600,102.5600,102.5600,2279000,0.0000,1.0000
2019-08-30,105.4600,105.4600,103.7300,104.4700,104.4700,2441000,0.0000,1.0000
2019-08-29,105.2200,106.9100,104.7400,104.8300,104.8300,2906800,0.0000,1.0000
2019-08-28,102.9600,105.3000,102.2600,103.5900,103.5900,2650700,0.0000,1.0000
2019-08-27,104.7800,106.6100,103.3500,103.8400,103.8400,3530400,0.0000,1.0000
2019-08-26,102.8000,104.8600,102.5100,103.8000,103.8000,3119700,0.0000,1.0000
2019-08-23,103.4000,105.5700,101.5500,101.8500,101.8500,6122100,0.0000,1.0000
2019-08-22,105.7700,106.7000,103.4600,105.4500,105.4500,5927000,0.0000,1.0000
2019-08-21,109.6100,109.9000,105.3400,107.9000,107.9000,6463600,0.0000,1.0000
2019-08-20,112.0800,113.4000,108.5600,108.7200,108.7200,14239300,0.0000,1.0000
2019-08-19,100.0000,105.3000,100.0000,104.2200,104.2200,11547300,0.0000,1.0000
2019-08-16,95.2800,97.4000,94.1400,96.7000,96.7000,5845100,0.0000,1.0000
2019-08-15,95.5500,95.9000,93.3990,94.3500,94.3500,3674500,0.0000,1.0000
2019-08-14,95.2100,96.4700,93.9110,94.8500,94.8500,4708700,0.0000,1.0000
2019-08-13,94.2200,99.0000,93.8800,97.3800,97.3800,4352900,0.0000,1.0000
2019-08-12,96.2400,96.5200,94.8800,95.0800,95.0800,3062700,0.0000,1.0000
2019-08-09,99.1700,99.2500,96.6050,97.3600,97.3600,3009600,0.0000,1.0000
2019-08-08,99.3800,99.9400,98.5300,99.8900,99.8900,3561300,0.0000,1.0000
2019-08-07,98.3900,101.1100,97.7700,99.1900,99.1900,3779400,0.0000,1.0000
2019-08-06,101.6800,102.0000,99.2600,99.6800,99.6800,5316500,0.0000,1.0000
2019-08-05,104.0100,104.0849,99.2800,100.1500,100.1500,6951600,0.0000,1.0000
