timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,84.0500,84.0800,84.0200,84.0550,84.0550,206757,0.0000,1.0000
2019-10-15,84.1800,84.2300,83.9714,84.0100,84.0100,2386892,0.0000,1.0000
2019-10-14,84.2400,84.2500,84.1700,84.2300,84.2300,1600400,0.0000,1.0000
2019-10-11,84.1500,84.1700,83.9600,84.0900,84.0900,3411200,0.0000,1.0000
2019-10-10,84.5700,84.5900,84.3500,84.4000,84.4000,3683300,0.0000,1.0000
2019-10-09,84.7800,84.7800,84.5900,84.6600,84.6600,3187900,0.0000,1.0000
2019-10-08,84.9100,84.9200,84.7000,84.7600,84.7600,3876100,0.0000,1.0000
2019-10-07,84.8000,84.8800,84.7100,84.7200,84.7200,4701400,0.0000,1.0000
2019-10-04,84.8600,84.9800,84.8200,84.9400,84.9400,3309600,0.0000,1.0000
2019-10-03,84.6200,84.9300,84.6100,84.8000,84.8000,3149600,0.0000,1.0000
2019-10-02,84.5000,84.6000,84.4200,84.5200,84.5200,3741400,0.0000,1.0000
2019-10-01,84.0500,84.5200,84.0200,84.3300,84.3300,5383100,0.1820,1.0000
2019-09-30,84.2600,84.4700,84.2300,84.4300,84.2480,5258400,0.0000,1.0000
2019-09-27,84.2700,84.4100,84.2700,84.3700,84.1881,2778400,0.0000,1.0000
2019-09-26,84.3100,84.3700,84.2400,84.2800,84.0983,2909900,0.0000,1.0000
2019-09-25,84.4400,84.4500,84.0800,84.1400,83.9586,3009500,0.0000,1.0000
2019-09-24,84.3500,84.5600,84.3200,84.5400,84.3578,3043500,0.0000,1.0000
2019-09-23,84.3000,84.4600,84.2400,84.2500,84.0684,2365800,0.0000,1.0000
2019-09-20,83.9900,84.2000,83.9500,84.1900,84.0085,2436700,0.0000,1.0000
2019-09-19,83.9900,84.0100,83.8600,83.8900,83.7092,2631100,0.0000,1.0000
2019-09-18,83.8900,84.0400,83.7200,83.7700,83.5894,2557800,0.0000,1.0000
2019-09-17,83.5800,83.7800,83.5100,83.7100,83.5295,2974900,0.0000,1.0000
2019-09-16,83.5300,83.6000,83.4100,83.5200,83.3400,2971000,0.0000,1.0000
2019-09-13,83.6200,83.6700,83.2900,83.3000,83.1204,3111300,0.0000,1.0000
2019-09-12,84.1500,84.1800,83.7300,83.7800,83.5994,3025200,0.0000,1.0000
