timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,35.8900,36.6400,35.6700,36.5300,36.5300,4921105,0.0000,1.0000
2019-06-27,35.3600,36.1200,35.0600,35.7500,35.7500,2880867,0.0000,1.0000
2019-06-26,35.4600,35.8900,35.1600,35.3100,35.3100,2271879,0.0000,1.0000
2019-06-25,35.4500,35.5200,34.9000,35.1900,35.1900,1853675,0.0000,1.0000
2019-06-24,35.7200,35.7900,35.3900,35.5400,35.5400,1621068,0.0000,1.0000
2019-06-21,35.3600,37.0000,35.0400,35.8800,35.8800,4338334,0.0000,1.0000
2019-06-20,36.1500,36.1500,35.3100,35.3500,35.3500,1879719,0.0000,1.0000
2019-06-19,35.8800,36.0800,35.3500,35.7400,35.7400,2011514,0.0000,1.0000
2019-06-18,36.0900,36.7200,35.7100,35.8300,35.8300,2680862,0.0000,1.0000
2019-06-17,35.1800,35.9650,35.0400,35.8000,35.8000,2287969,0.0000,1.0000
2019-06-14,34.9900,35.1600,34.5600,34.9600,34.9600,2414743,0.0000,1.0000
2019-06-13,34.9600,35.1200,34.6000,34.9400,34.9400,1315426,0.0000,1.0000
2019-06-12,33.8100,34.7350,33.8000,34.7000,34.7000,2240306,0.0000,1.0000
2019-06-11,33.7700,34.0400,33.6500,33.8300,33.8300,1201832,0.0000,1.0000
2019-06-10,33.8600,34.0377,33.5600,33.7400,33.7400,1142811,0.0000,1.0000
2019-06-07,33.8400,34.0500,33.6600,33.6800,33.6800,925130,0.0000,1.0000
2019-06-06,34.0100,34.2300,33.6000,33.7400,33.7400,1209050,0.0000,1.0000
2019-06-05,34.2400,34.5700,33.9000,34.0200,34.0200,1346948,0.0000,1.0000
2019-06-04,34.0300,34.8100,33.7500,34.0900,34.0900,2276227,0.0000,1.0000
2019-06-03,34.6100,34.8100,33.3200,33.7800,33.7800,2219530,0.0000,1.0000
2019-05-31,34.5500,34.8100,34.2500,34.7100,34.7100,1736450,0.0000,1.0000
2019-05-30,35.3600,35.6950,34.6900,34.8100,34.8100,1079668,0.0000,1.0000
2019-05-29,36.0000,36.1600,35.2800,35.3000,35.3000,1437579,0.0000,1.0000
2019-05-28,36.5900,36.9500,36.1100,36.1600,36.1600,2384643,0.0000,1.0000
2019-05-24,36.5100,36.7600,36.4000,36.4500,36.4500,828141,0.0000,1.0000
2019-05-23,36.3900,36.6300,36.1800,36.5100,36.5100,1860127,0.0000,1.0000
2019-05-22,37.1000,37.2900,36.6200,36.6700,36.6700,830229,0.0000,1.0000
2019-05-21,36.8200,37.5250,36.6400,37.1800,37.1800,1272400,0.0000,1.0000
2019-05-20,36.5400,37.1400,36.5400,36.6800,36.6800,996354,0.0000,1.0000
2019-05-17,36.0800,37.0700,36.0800,36.8300,36.8300,1084397,0.2300,1.0000
2019-05-16,37.2800,37.6000,36.2800,36.3200,36.0946,2679971,0.0000,1.0000
2019-05-15,37.2400,37.4800,37.1300,37.2300,36.9989,873872,0.0000,1.0000
2019-05-14,37.5400,38.0250,37.4050,37.4800,37.2474,1663135,0.0000,1.0000
2019-05-13,37.4800,38.1500,37.2200,37.5000,37.2673,1598369,0.0000,1.0000
2019-05-10,37.9000,38.2500,36.9800,38.0500,37.8139,1633502,0.0000,1.0000
2019-05-09,38.0800,38.6300,36.9500,37.9700,37.7344,3458170,0.0000,1.0000
2019-05-08,36.5600,37.0800,36.2700,36.8200,36.5915,2108681,0.0000,1.0000
2019-05-07,36.9700,37.2200,36.5750,36.7000,36.4722,1412324,0.0000,1.0000
2019-05-06,36.7200,37.4000,36.4700,37.3100,37.0784,1534153,0.0000,1.0000
2019-05-03,36.8600,37.2600,36.6400,37.0200,36.7902,1229683,0.0000,1.0000
2019-05-02,38.7500,38.8000,36.5000,36.8400,36.6114,2627742,0.0000,1.0000
2019-05-01,38.6600,38.8000,38.0900,38.7400,38.4996,1474972,0.0000,1.0000
2019-04-30,38.5900,38.7800,37.8900,38.5000,38.2611,1809965,0.0000,1.0000
2019-04-29,37.7400,38.9100,37.6900,38.7300,38.4896,1716829,0.0000,1.0000
2019-04-26,37.8000,37.9400,37.4000,37.9100,37.6747,2505690,0.0000,1.0000
2019-04-25,37.4800,37.6800,37.0400,37.6400,37.4064,1422924,0.0000,1.0000
2019-04-24,37.5100,37.7600,37.3300,37.4500,37.2176,1230821,0.0000,1.0000
2019-04-23,37.2200,37.8200,37.0700,37.6000,37.3666,5455096,0.0000,1.0000
2019-04-22,37.8400,37.8800,37.1100,37.2400,37.0089,1665002,0.0000,1.0000
2019-04-18,38.3400,38.3700,37.9200,37.9200,37.6847,2315174,0.0000,1.0000
2019-04-17,37.1800,38.2500,37.1800,38.2100,37.9729,2122111,0.0000,1.0000
2019-04-16,37.1100,37.2800,36.9300,37.2100,36.9791,1869325,0.0000,1.0000
