timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,30.8300,31.4500,30.8300,31.0300,31.0300,1503997,0.0000,1.0000
2019-10-15,29.9900,31.0750,29.9600,31.0000,31.0000,9764929,0.0000,1.0000
2019-10-14,29.5000,29.9100,29.5000,29.8300,29.8300,5981400,0.0000,1.0000
2019-10-11,29.4500,30.3200,29.4500,29.7100,29.7100,17372000,0.0000,1.0000
2019-10-10,28.3200,28.9500,28.2000,28.5800,28.5800,8143300,0.0000,1.0000
2019-10-09,28.2800,28.6000,27.9600,28.3800,28.3800,8313000,0.0000,1.0000
2019-10-08,28.1900,28.6100,27.7200,27.7300,27.7300,11603000,0.0000,1.0000
2019-10-07,28.8400,29.4000,28.6000,28.8500,28.8500,9052900,0.0000,1.0000
2019-10-04,28.8800,29.1900,28.6500,28.9900,28.9900,7369100,0.0000,1.0000
2019-10-03,28.1100,28.9700,27.8200,28.8000,28.8000,8604200,0.0000,1.0000
2019-10-02,28.0000,28.2200,27.5300,28.0600,28.0600,9215100,0.0000,1.0000
2019-10-01,28.2200,28.5700,27.9700,28.1900,28.1900,10584300,0.0000,1.0000
2019-09-30,28.4700,28.6370,27.9500,28.2100,28.2100,12958900,0.0000,1.0000
2019-09-27,29.7100,30.0100,27.4700,27.8200,27.8200,28116900,0.0000,1.0000
2019-09-26,29.9800,30.2500,29.1050,29.5800,29.5800,11001200,0.0000,1.0000
2019-09-25,29.1500,30.0600,29.0000,29.9900,29.9900,12936200,0.0000,1.0000
2019-09-24,30.4800,30.4800,29.2900,29.4100,29.4100,16286800,0.0000,1.0000
2019-09-23,31.3600,31.4700,30.2850,30.3300,30.3300,9589800,0.0000,1.0000
2019-09-20,31.4500,31.6900,30.5000,30.9400,30.9400,13990300,0.0000,1.0000
2019-09-19,31.0000,32.0000,30.9100,31.0500,31.0500,12645000,0.0000,1.0000
2019-09-18,31.1000,31.1800,30.6600,31.0400,31.0400,5066100,0.0000,1.0000
2019-09-17,30.7400,31.3000,30.5200,31.1700,31.1700,5930900,0.0000,1.0000
2019-09-16,30.7400,31.0300,30.7350,30.8500,30.8500,5453800,0.0000,1.0000
2019-09-13,31.6600,31.7900,31.1300,31.2300,31.2300,7025800,0.0000,1.0000
2019-09-12,31.5400,31.9900,31.2000,31.5200,31.5200,11849000,0.0000,1.0000
2019-09-11,31.2000,31.7200,30.6400,31.0700,31.0700,12261800,0.0000,1.0000
2019-09-10,31.2000,31.2400,30.1300,30.8700,30.8700,11056000,0.0000,1.0000
2019-09-09,31.1200,31.5700,30.8900,31.4800,31.4800,7537600,0.0000,1.0000
2019-09-06,30.8900,31.3970,30.7600,31.0800,31.0800,6435400,0.0000,1.0000
2019-09-05,30.3200,31.0800,30.2500,30.8400,30.8400,11757700,0.0000,1.0000
2019-09-04,30.2700,30.2900,29.8400,29.8800,29.8800,6567800,0.0000,1.0000
2019-09-03,30.1000,30.2000,29.4000,29.4500,29.4500,7633900,0.0000,1.0000
2019-08-30,30.9100,31.4300,30.3600,30.5000,30.5000,10090400,0.0000,1.0000
2019-08-29,30.6900,31.2400,30.6350,30.7400,30.7400,9602700,0.0000,1.0000
2019-08-28,29.7000,30.4900,29.6300,30.3000,30.3000,6625500,0.0000,1.0000
2019-08-27,30.0000,30.3000,29.7330,29.9200,29.9200,7958500,0.0000,1.0000
2019-08-26,29.1800,29.8200,29.0800,29.7400,29.7400,12498500,0.0000,1.0000
2019-08-23,28.9000,29.6700,28.5500,28.7700,28.7700,22029600,0.0000,1.0000
2019-08-22,30.5700,30.7100,29.2100,29.4900,29.4900,19832800,0.0000,1.0000
2019-08-21,31.6700,31.8000,30.7050,30.7400,30.7400,16911200,0.0000,1.0000
2019-08-20,31.4900,31.8200,31.3700,31.4200,31.4200,11921900,0.0000,1.0000
2019-08-19,31.9200,32.2800,31.4100,31.5800,31.5800,15392900,0.0000,1.0000
2019-08-16,30.5000,31.4500,30.0800,31.2900,31.2900,18852100,0.0000,1.0000
2019-08-15,30.1600,30.7900,30.0800,30.1600,30.1600,18020000,0.0000,1.0000
2019-08-14,29.7000,30.7020,29.5494,29.6300,29.6300,30022900,0.0000,1.0000
2019-08-13,28.6400,30.9800,28.1500,30.6600,30.6600,46127300,0.0000,1.0000
2019-08-12,26.8000,27.3600,26.5300,27.1600,27.1600,20672900,0.0000,1.0000
2019-08-09,27.3100,27.4090,26.8250,27.1000,27.1000,8960100,0.0000,1.0000
2019-08-08,27.0400,27.6350,26.8400,27.5400,27.5400,11652800,0.0000,1.0000
2019-08-07,26.1200,26.7700,25.8407,26.5700,26.5700,12524000,0.0000,1.0000
2019-08-06,26.9100,27.0100,26.2850,26.4800,26.4800,11748900,0.0000,1.0000
2019-08-05,26.6508,26.9050,25.7700,26.1700,26.1700,23682900,0.0000,1.0000
2019-08-02,28.1800,28.3400,27.6500,28.0100,28.0100,14058700,0.0000,1.0000
2019-08-01,29.9100,30.5950,27.6400,28.6100,28.6100,23027100,0.0000,1.0000
2019-07-31,30.4900,30.5000,29.3500,29.9100,29.9100,11912800,0.0000,1.0000
2019-07-30,30.8500,30.9900,30.3750,30.4200,30.4200,8441200,0.0000,1.0000
2019-07-29,31.4500,31.4523,30.7800,31.3900,31.3900,10329200,0.0000,1.0000
2019-07-26,31.9300,32.0050,31.5200,31.5500,31.5500,5592000,0.0000,1.0000
2019-07-25,32.0400,32.3800,31.6800,31.8300,31.8300,7397700,0.0000,1.0000
2019-07-24,31.7400,32.3300,31.6006,32.2000,32.2000,11972600,0.0000,1.0000
2019-07-23,30.9000,31.9200,30.8400,31.8500,31.8500,11159500,0.0000,1.0000
2019-07-22,30.9100,30.9500,30.4800,30.6600,30.6600,6676900,0.0000,1.0000
2019-07-19,30.8100,31.2900,30.8100,30.9900,30.9900,8153800,0.0000,1.0000
2019-07-18,30.5000,30.6000,30.1640,30.5800,30.5800,5782900,0.0000,1.0000
2019-07-17,30.8400,31.0800,30.6000,30.7100,30.7100,5349000,0.0000,1.0000
2019-07-16,31.0000,31.1000,30.5200,30.7200,30.7200,9375500,0.0000,1.0000
2019-07-15,31.3600,31.6700,31.0000,31.0300,31.0300,7110200,0.0000,1.0000
2019-07-12,30.6900,31.4150,30.6000,31.0800,31.0800,11766900,0.0000,1.0000
2019-07-11,30.7900,30.9730,30.3200,30.5100,30.5100,7386200,0.0000,1.0000
2019-07-10,30.9900,31.1000,30.1650,30.7100,30.7100,13297300,0.0000,1.0000
2019-07-09,30.3800,30.8100,30.2921,30.7500,30.7500,7317700,0.0000,1.0000
2019-07-08,30.4000,30.6650,30.2300,30.5700,30.5700,8808800,0.0000,1.0000
2019-07-05,30.9700,31.2000,30.7200,31.0300,31.0300,7070800,0.0000,1.0000
2019-07-03,31.4000,31.5400,30.8200,31.5000,31.5000,6008800,0.0000,1.0000
2019-07-02,31.0625,31.9600,31.0400,31.4500,31.4500,13148700,0.0000,1.0000
2019-07-01,31.3600,31.9950,30.8950,31.1900,31.1900,17308200,0.0000,1.0000
2019-06-28,30.2900,30.4900,30.0300,30.2900,30.2900,10410100,0.0000,1.0000
2019-06-27,30.2500,30.6800,30.1684,30.2900,30.2900,12985300,0.0000,1.0000
2019-06-26,28.9100,30.3250,28.8450,30.1400,30.1400,23418800,0.0000,1.0000
2019-06-25,28.6900,28.7150,28.0700,28.5000,28.5000,11002600,0.0000,1.0000
2019-06-24,29.1900,29.2700,28.8900,28.9100,28.9100,6070800,0.0000,1.0000
2019-06-21,28.9700,29.5500,28.8500,29.0600,29.0600,13397500,0.0000,1.0000
2019-06-20,29.2500,29.8000,28.8200,29.1200,29.1200,14674400,0.0000,1.0000
2019-06-19,28.2600,28.8800,27.8900,28.6600,28.6600,10938200,0.0000,1.0000
2019-06-18,27.6000,28.8800,27.4700,28.2600,28.2600,19526200,0.0000,1.0000
2019-06-17,27.1000,27.4950,26.8200,27.3300,27.3300,6570200,0.0000,1.0000
2019-06-14,27.1100,27.1200,26.6400,27.0500,27.0500,9140100,0.0000,1.0000
2019-06-13,27.3300,27.8667,27.2600,27.5400,27.5400,6933500,0.0000,1.0000
2019-06-12,27.4700,27.4900,27.0100,27.2400,27.2400,8873700,0.0000,1.0000
2019-06-11,27.8687,28.4600,27.6100,28.0000,28.0000,15134700,0.0000,1.0000
2019-06-10,27.4400,27.7600,27.1357,27.2600,27.2600,14453000,0.0000,1.0000
2019-06-07,26.3600,27.1600,26.3500,26.8000,26.8000,9518300,0.0000,1.0000
2019-06-06,26.1800,26.3800,25.8100,26.2400,26.2400,7660500,0.0000,1.0000
2019-06-05,26.9500,26.9900,25.6700,26.1900,26.1900,11011600,0.0000,1.0000
2019-06-04,26.1800,26.9000,26.0850,26.8000,26.8000,11199000,0.0000,1.0000
2019-06-03,25.8123,26.5000,25.5000,25.7600,25.7600,11859000,0.0000,1.0000
2019-05-31,25.8100,25.9000,25.5250,25.7600,25.7600,11156200,0.0000,1.0000
2019-05-30,26.0300,26.6300,26.0300,26.3500,26.3500,8466600,0.0000,1.0000
2019-05-29,25.9694,26.1300,25.4800,26.0100,26.0100,12530100,0.0000,1.0000
2019-05-28,26.4500,26.7700,26.2200,26.2700,26.2900,14073800,0.0000,1.0000
2019-05-24,27.0800,27.2200,26.1692,26.3200,26.3200,17438200,0.0000,1.0000
2019-05-23,27.5000,27.6300,26.2400,26.7000,26.7000,27158100,0.0000,1.0000
2019-05-22,28.7600,29.0400,28.1900,28.2300,28.2300,12794500,0.0000,1.0000
2019-05-21,28.6700,29.2750,28.4900,29.0500,29.0500,10069400,0.0000,1.0000
2019-05-20,28.7500,28.9700,28.0800,28.3600,28.3600,17371500,0.0000,1.0000
2019-05-17,29.5800,30.0150,29.1500,29.3100,29.3100,18158400,0.0000,1.0000
2019-05-16,30.2500,30.8900,29.8764,30.4600,30.4600,14903200,0.0000,1.0000
2019-05-15,29.6200,30.7600,29.4500,30.4400,30.4400,21663100,0.0000,1.0000
2019-05-14,28.6300,29.8000,28.2600,29.6700,29.6700,22847900,0.0000,1.0000
2019-05-13,26.9300,28.4500,26.8188,28.1800,28.1800,30821700,0.0000,1.0000
2019-05-10,30.1894,30.4700,27.9100,28.1700,28.1700,57736600,0.0000,1.0000
