timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,189.6900,189.7350,187.0900,187.8400,187.8400,2335065,0.0000,1.0000
2019-06-27,182.8900,186.7900,182.7500,186.1300,186.1300,1891165,0.0000,1.0000
2019-06-26,179.3700,182.5400,178.5900,181.2800,181.2800,1994111,0.0000,1.0000
2019-06-25,181.2300,181.6200,175.5800,175.8200,175.8200,2079898,0.0000,1.0000
2019-06-24,182.0900,182.9700,180.6100,181.2700,181.2700,1678358,0.0000,1.0000
2019-06-21,182.6900,185.0000,182.4300,183.0300,183.0300,1991601,0.0000,1.0000
2019-06-20,185.0800,186.4900,182.3550,183.9600,183.9600,1126915,0.0000,1.0000
2019-06-19,181.6600,183.3700,179.4200,181.4200,181.4200,1234073,0.0000,1.0000
2019-06-18,174.9800,184.0500,174.4335,180.4400,180.4400,2369819,0.0000,1.0000
2019-06-17,176.7900,176.7900,172.3800,172.5100,172.5100,1972164,0.0000,1.0000
2019-06-14,176.3200,177.4600,173.5000,176.8000,176.8000,2187699,0.0000,1.0000
2019-06-13,180.8400,182.2100,178.7500,180.1900,180.1900,1648382,0.0000,1.0000
2019-06-12,183.3700,184.2200,178.8200,179.8800,179.8800,2686301,0.0000,1.0000
2019-06-11,194.9100,195.2900,189.3700,189.9200,189.9200,1477963,1.1000,1.0000
2019-06-10,188.0900,193.7700,188.0900,191.1700,190.0691,1688989,0.0000,1.0000
2019-06-07,185.6300,189.2600,184.6306,186.6800,185.6050,1619395,0.0000,1.0000
2019-06-06,182.3500,185.2500,181.6500,184.6400,183.5767,1589038,0.0000,1.0000
2019-06-05,181.1600,183.1600,178.9300,182.3200,181.2701,1946805,0.0000,1.0000
2019-06-04,174.5400,180.8000,172.7600,180.4200,179.3810,2398619,0.0000,1.0000
2019-06-03,175.4800,177.4450,171.0400,172.4300,171.4371,2412674,0.0000,1.0000
2019-05-31,176.3100,177.9400,174.5300,174.6100,173.6045,1576715,0.0000,1.0000
2019-05-30,177.9500,182.2000,177.5200,178.6200,177.5914,1263335,0.0000,1.0000
2019-05-29,177.1300,178.4000,174.7000,177.6000,176.5773,2566205,0.0000,1.0000
2019-05-28,183.5400,184.0000,178.6500,178.9200,177.8897,2552696,0.0000,1.0000
2019-05-24,186.7800,187.9800,181.7000,181.9000,180.8525,2138202,0.0000,1.0000
2019-05-23,183.8000,185.8800,182.2700,185.4500,184.3821,1849473,0.0000,1.0000
2019-05-22,185.3800,188.5300,185.1500,187.1800,186.1021,1132483,0.0000,1.0000
2019-05-21,186.6100,188.6100,185.4900,186.9100,185.8337,2031371,0.0000,1.0000
2019-05-20,188.6400,189.6500,182.7400,183.6700,182.6123,3244050,0.0000,1.0000
2019-05-17,193.0900,200.0000,193.0000,194.1600,193.0419,2444172,0.0000,1.0000
2019-05-16,192.0400,196.4800,190.6584,194.4600,193.3402,1761521,0.0000,1.0000
2019-05-15,191.1600,197.9000,190.6500,195.4800,194.3543,1608748,0.0000,1.0000
2019-05-14,190.4600,194.0600,189.4700,192.4400,191.3318,1656301,0.0000,1.0000
2019-05-13,191.3000,192.0100,186.9400,188.3000,187.2157,2856580,0.0000,1.0000
2019-05-10,197.0900,199.5000,193.9200,197.9000,196.7604,1756304,0.0000,1.0000
2019-05-09,196.0000,199.9700,193.0300,198.6300,197.4862,1939046,0.0000,1.0000
2019-05-08,198.5000,201.7000,197.0933,199.7100,198.5600,1555092,0.0000,1.0000
2019-05-07,200.8900,201.9100,194.8500,199.9400,198.7886,2934203,0.0000,1.0000
2019-05-06,200.3300,205.2800,198.7500,204.5400,203.3621,1283096,0.0000,1.0000
2019-05-03,207.3900,208.8100,206.1700,207.7800,206.5835,1257785,0.0000,1.0000
2019-05-02,203.9600,207.3800,203.3966,206.8400,205.6489,1340074,0.0000,1.0000
2019-05-01,208.0400,209.0400,203.8900,203.9600,202.7855,1136879,0.0000,1.0000
2019-04-30,206.2300,208.8050,205.2855,207.4300,206.2355,1604608,0.0000,1.0000
2019-04-29,206.7300,207.7300,204.3800,206.1200,204.9330,1607729,0.0000,1.0000
2019-04-26,203.0000,207.1900,199.6000,206.3900,205.2015,2865388,0.0000,1.0000
2019-04-25,203.0000,209.5000,202.5006,205.0800,203.8990,4758311,0.0000,1.0000
2019-04-24,195.1500,199.9800,194.5900,195.4400,194.3145,2601779,0.0000,1.0000
2019-04-23,195.0000,196.2400,193.4000,194.7800,193.6583,2048565,0.0000,1.0000
2019-04-22,196.2900,196.7500,193.0900,195.2200,194.0958,1177077,0.0000,1.0000
2019-04-18,196.7300,197.2800,194.4700,194.7700,193.6484,1409865,0.0000,1.0000
2019-04-17,197.3400,197.9700,194.2900,196.2900,195.1597,1693557,0.0000,1.0000
2019-04-16,194.5000,196.8800,193.8683,194.6200,193.4993,1551370,0.0000,1.0000
2019-04-15,193.3750,193.3750,189.9450,192.8100,191.6997,1419373,0.0000,1.0000
2019-04-12,194.1100,195.3000,192.4700,194.0800,192.9624,1161935,0.0000,1.0000
2019-04-11,191.3100,193.4700,190.5000,191.3100,190.2083,1194245,0.0000,1.0000
2019-04-10,189.8000,191.6112,188.6000,190.8400,189.7410,1450590,0.0000,1.0000
2019-04-09,191.8200,191.9500,189.1658,190.4600,189.3632,1734722,0.0000,1.0000
2019-04-08,193.6000,194.6200,191.3400,193.5800,192.4653,1713271,0.0000,1.0000
2019-04-05,193.2100,195.7900,192.0000,195.1500,194.0262,2146786,0.0000,1.0000
2019-04-04,189.5900,193.8200,189.3100,191.0300,189.9299,2142696,0.0000,1.0000
2019-04-03,187.6300,193.0800,186.2300,191.5400,190.4370,3245005,0.0000,1.0000
2019-04-02,185.0700,185.8100,183.0200,184.2600,183.1989,1361781,0.0000,1.0000
2019-04-01,182.0000,185.0100,181.4500,184.7000,183.6364,1798714,0.0000,1.0000
2019-03-29,177.7700,179.7900,177.0800,179.0100,177.9792,1583045,0.0000,1.0000
2019-03-28,177.7700,178.9900,174.1100,175.6800,174.6683,1665611,0.0000,1.0000
2019-03-27,180.1700,180.8000,177.1000,177.6400,176.6170,1390478,0.0000,1.0000
