timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,138.4500,140.4600,138.1500,140.2900,140.2900,3029324,0.0000,1.0000
2019-06-27,135.9200,138.8300,135.9100,138.2900,138.2900,1865235,0.0000,1.0000
2019-06-26,134.1500,136.2600,133.7000,135.6500,135.6500,1546274,0.0000,1.0000
2019-06-25,136.7100,136.7300,132.7400,133.2800,133.2800,1729774,0.0000,1.0000
2019-06-24,137.4000,137.9800,136.3900,136.7600,136.7600,1095189,0.0000,1.0000
2019-06-21,136.5400,138.0500,136.0400,137.0700,137.0700,2353466,0.0000,1.0000
2019-06-20,136.9000,138.4200,136.4600,137.1900,137.1900,1582731,0.0000,1.0000
2019-06-19,135.0000,135.8400,134.0900,135.6800,135.6800,1222354,0.0000,1.0000
2019-06-18,135.0000,136.3000,133.8500,134.9600,134.9600,1531626,0.0000,1.0000
2019-06-17,134.0400,134.1100,132.5800,132.8500,132.8500,1263608,0.0000,1.0000
2019-06-14,133.6300,134.0300,132.1700,133.6800,133.6800,872550,0.0000,1.0000
2019-06-13,133.2600,134.3300,132.0300,133.6200,133.6200,1116059,0.0000,1.0000
2019-06-12,134.8700,135.4200,132.6800,132.7000,132.7000,1184307,0.0000,1.0000
2019-06-11,134.1400,135.4700,133.2100,134.5200,134.5200,1387618,0.0000,1.0000
2019-06-10,133.1300,134.7600,132.4700,132.7500,132.7500,1315494,0.0000,1.0000
2019-06-07,129.5000,133.0300,129.0000,132.5200,132.5200,1458481,0.0000,1.0000
2019-06-06,127.6200,129.0100,126.9600,128.6000,128.6000,1355297,0.0000,1.0000
2019-06-05,128.5500,128.6283,126.4400,127.5500,127.5500,1422595,0.0000,1.0000
2019-06-04,126.3000,128.2400,125.5100,128.1800,128.1800,1796099,0.0000,1.0000
2019-06-03,124.7600,125.2700,123.4600,124.3600,124.3600,2263450,0.0000,1.0000
2019-05-31,123.4500,125.5700,122.4600,124.8400,124.8400,2000013,0.0000,1.0000
2019-05-30,124.7100,125.6000,123.8200,124.6500,124.6500,1116243,0.0000,1.0000
2019-05-29,123.2900,124.6300,122.5200,124.4200,124.4200,1321921,0.0000,1.0000
2019-05-28,125.1500,125.5000,123.6300,123.7000,123.7000,3209131,0.0000,1.0000
2019-05-24,124.6300,125.7400,124.3800,125.0000,125.0000,1357083,0.0000,1.0000
2019-05-23,125.9800,126.1000,123.5300,123.9100,123.9100,2227093,0.4800,1.0000
2019-05-22,128.8300,129.1995,127.6300,127.7700,127.2770,1620114,0.0000,1.0000
2019-05-21,128.7100,129.6500,128.0650,129.4300,128.9306,1780139,0.0000,1.0000
2019-05-20,128.7500,129.5850,127.4900,127.8600,127.3666,1591780,0.0000,1.0000
2019-05-17,132.1500,133.1700,130.8700,130.9100,130.4048,1653493,0.0000,1.0000
2019-05-16,132.0700,133.2900,130.9600,132.5100,131.9987,1818360,0.0000,1.0000
2019-05-15,128.7900,132.3300,127.2700,131.8300,131.3213,1907858,0.0000,1.0000
2019-05-14,126.6800,130.9700,126.3100,129.8700,129.3689,2273434,0.0000,1.0000
2019-05-13,129.4700,129.7800,125.7200,126.0100,125.5237,2392067,0.0000,1.0000
2019-05-10,130.8800,132.1100,127.7000,131.7100,131.2018,4463172,0.0000,1.0000
