timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,68.1200,68.7900,67.1900,67.2700,67.2700,1753353,0.0000,1.0000
2019-06-27,66.8800,69.0400,66.7700,68.2300,68.2300,1196791,0.0000,1.0000
2019-06-26,68.1300,68.7500,65.5000,66.6600,66.6600,2518244,0.0000,1.0000
2019-06-25,71.1900,71.4500,66.8900,67.1100,67.1100,2487419,0.0000,1.0000
2019-06-24,67.3000,72.0550,67.2800,71.4800,71.4800,3908166,0.0000,1.0000
2019-06-21,68.6300,68.7000,65.4600,66.7900,66.7900,2094017,0.0000,1.0000
2019-06-20,70.9800,72.2800,69.0150,69.2000,69.2000,2023134,0.0000,1.0000
2019-06-19,71.6700,71.7300,67.9200,70.3400,70.3400,2682672,0.0000,1.0000
2019-06-18,73.1600,73.9100,71.5800,71.7500,71.7500,880180,0.0000,1.0000
2019-06-17,72.1600,73.6800,71.7700,72.5300,72.5300,834776,0.0000,1.0000
2019-06-14,72.9700,72.9700,71.2100,72.0900,72.0900,831552,0.0000,1.0000
2019-06-13,72.1400,73.4500,71.7500,72.5700,72.5700,1087381,0.0000,1.0000
2019-06-12,69.7700,71.8800,69.6500,71.7800,71.7800,920406,0.0000,1.0000
2019-06-11,70.9300,71.9700,69.0500,70.1600,70.1600,893177,0.0000,1.0000
2019-06-10,71.6700,73.2000,70.1300,70.3300,70.3300,1148786,0.0000,1.0000
2019-06-07,70.7300,72.8200,70.5100,70.9900,70.9900,1416656,0.0000,1.0000
2019-06-06,71.4700,71.9900,69.7700,70.7300,70.7300,1004393,0.0000,1.0000
2019-06-05,69.1400,71.4800,69.1200,71.3400,71.3400,1498535,0.0000,1.0000
2019-06-04,66.2400,68.5500,65.9400,68.4600,68.4600,1809979,0.0000,1.0000
2019-06-03,68.2800,68.9200,65.3700,65.8200,65.8200,2284582,0.0000,1.0000
2019-05-31,68.8700,69.1212,68.1500,68.6500,68.6500,958535,0.0000,1.0000
2019-05-30,69.6400,70.2400,68.9500,69.6700,69.6700,1194937,0.0000,1.0000
2019-05-29,69.0200,70.1100,68.1700,69.3200,69.3200,1607990,0.0000,1.0000
2019-05-28,69.6800,70.9600,69.4100,70.0700,70.0700,1219505,0.0000,1.0000
2019-05-24,69.6200,70.5300,68.7800,69.2600,69.2600,1161795,0.0000,1.0000
2019-05-23,69.8000,70.6100,68.6800,69.3600,69.3600,1847548,0.0000,1.0000
2019-05-22,70.8000,71.6172,70.3200,70.6200,70.6200,2044936,0.0000,1.0000
2019-05-21,72.7600,73.4938,70.9200,71.3500,71.3500,1481861,0.0000,1.0000
2019-05-20,71.9800,73.4000,71.0800,72.1300,72.1300,1685972,0.0000,1.0000
2019-05-17,73.6000,75.2808,72.8700,72.8900,72.8900,1841568,0.0000,1.0000
2019-05-16,70.8700,75.1200,70.5000,74.0200,74.0200,2543620,0.0000,1.0000
2019-05-15,67.7900,71.5300,67.5400,70.7300,70.7300,2523785,0.0000,1.0000
2019-05-14,69.3700,70.4500,67.6611,67.9200,67.9200,2286322,0.0000,1.0000
2019-05-13,65.9400,69.8800,65.2900,69.2400,69.2400,3641511,0.0000,1.0000
2019-05-10,67.1500,67.8500,65.2800,67.2700,67.2700,1823787,0.0000,1.0000
2019-05-09,67.4500,67.8100,63.3900,67.1500,67.1500,3757666,0.0000,1.0000
2019-05-08,63.2900,68.7500,62.6000,67.8800,67.8800,7193537,0.0000,1.0000
2019-05-07,62.0500,62.9400,59.8000,60.3700,60.3700,2504016,0.0000,1.0000
2019-05-06,59.5500,63.0000,58.6800,62.5500,62.5500,1858112,0.0000,1.0000
2019-05-03,61.0000,62.2800,60.6200,61.9100,61.9100,955873,0.0000,1.0000
2019-05-02,60.1700,60.6200,59.1800,60.4100,60.4100,852344,0.0000,1.0000
2019-05-01,60.6500,61.7000,60.0000,60.4400,60.4400,891868,0.0000,1.0000
2019-04-30,61.1100,61.7600,59.9201,60.4000,60.4000,1511777,0.0000,1.0000
2019-04-29,62.3100,62.5700,61.2200,61.4500,61.4500,910097,0.0000,1.0000
2019-04-26,62.4800,62.7500,61.8300,61.9200,61.9200,1006151,0.0000,1.0000
2019-04-25,62.2300,62.5550,60.6400,62.1700,62.1700,963272,0.0000,1.0000
2019-04-24,62.3400,63.1200,61.5300,61.6500,61.6500,1307555,0.0000,1.0000
2019-04-23,61.4300,62.6300,61.3000,61.8600,61.8600,1627036,0.0000,1.0000
2019-04-22,58.9800,61.2600,58.8057,61.0400,61.0400,1901661,0.0000,1.0000
2019-04-18,58.6000,59.5700,57.5100,59.1000,59.1000,1049170,0.0000,1.0000
2019-04-17,57.9600,59.9000,57.9600,58.6000,58.6000,1441518,0.0000,1.0000
2019-04-16,61.0000,61.9500,57.3900,57.8100,57.8100,2935797,0.0000,1.0000
2019-04-15,57.3500,61.3100,56.9300,60.1800,60.1800,4218567,0.0000,1.0000
2019-04-12,58.0000,58.3200,56.2712,57.2000,57.2000,662687,0.0000,1.0000
2019-04-11,57.1600,58.5100,56.9100,57.8700,57.8700,1274456,0.0000,1.0000
2019-04-10,56.7900,57.1300,56.2300,56.9900,56.9900,1080555,0.0000,1.0000
2019-04-09,55.7300,56.8600,55.2200,56.6600,56.6600,783991,0.0000,1.0000
2019-04-08,54.9100,55.8755,53.8300,55.8100,55.8100,1064399,0.0000,1.0000
2019-04-05,55.5200,55.7900,54.8400,54.9200,54.9200,1019059,0.0000,1.0000
2019-04-04,57.4400,57.6800,54.5100,55.2300,55.2300,1764096,0.0000,1.0000
2019-04-03,57.1600,57.7900,56.8300,57.3200,57.3200,1085051,0.0000,1.0000
2019-04-02,56.2700,57.1150,55.3800,56.6800,56.6800,1207323,0.0000,1.0000
2019-04-01,57.2500,58.3900,55.6515,56.2600,56.2600,1969561,0.0000,1.0000
2019-03-29,56.1900,56.9600,55.6300,56.6100,56.6100,1430305,0.0000,1.0000
2019-03-28,55.5000,56.2100,54.9200,55.8700,55.8700,1246428,0.0000,1.0000
2019-03-27,57.1500,57.8900,54.8100,55.2400,55.2400,1420693,0.0000,1.0000
2019-03-26,57.4100,58.0900,56.4700,56.9800,56.9800,1063503,0.0000,1.0000
2019-03-25,57.4900,58.1200,56.4100,56.9400,56.9400,1530892,0.0000,1.0000
2019-03-22,59.1400,59.5700,57.3800,57.5900,57.5900,1481285,0.0000,1.0000
2019-03-21,57.9800,59.9250,57.8757,59.5100,59.5100,1854527,0.0000,1.0000
2019-03-20,56.9300,58.5700,56.8700,58.1300,58.1300,2140903,0.0000,1.0000
2019-03-19,55.8700,57.3150,55.5000,57.1500,57.1500,1616153,0.0000,1.0000
2019-03-18,55.2900,56.2400,55.2900,55.6900,55.6900,1762208,0.0000,1.0000
2019-03-15,54.4400,55.1800,53.7400,55.0000,55.0000,2116991,0.0000,1.0000
2019-03-14,53.3800,54.6700,52.6300,54.1600,54.1600,1422593,0.0000,1.0000
2019-03-13,54.1400,55.0600,53.3500,53.4600,53.4600,1088463,0.0000,1.0000
2019-03-12,53.7400,54.4700,52.8400,53.9000,53.9000,1487333,0.0000,1.0000
2019-03-11,53.3500,54.4100,53.3500,53.5800,53.5800,1945313,0.0000,1.0000
2019-03-08,53.0000,53.9100,52.3050,53.0300,53.0300,1679489,0.0000,1.0000
2019-03-07,54.7300,55.1000,53.7000,53.7900,53.7900,1123053,0.0000,1.0000
2019-03-06,55.0800,55.5700,54.3900,54.7000,54.7000,872508,0.0000,1.0000
2019-03-05,54.5400,55.2900,54.2050,55.0900,55.0900,898626,0.0000,1.0000
2019-03-04,55.8400,55.9199,53.0000,54.4800,54.4800,1824418,0.0000,1.0000
2019-03-01,55.9800,56.0000,55.2100,55.6000,55.6000,1208325,0.0000,1.0000
2019-02-28,55.8400,55.9300,54.9000,55.3800,55.3800,973497,0.0000,1.0000
2019-02-27,54.9100,56.0000,54.5500,55.7800,55.7800,934441,0.0000,1.0000
2019-02-26,55.8000,56.0600,54.6400,55.3500,55.3500,1374313,0.0000,1.0000
2019-02-25,57.4300,58.6500,55.6000,55.9700,55.9700,1715922,0.0000,1.0000
2019-02-22,56.8300,57.5000,56.6000,57.2900,57.2900,1262330,0.0000,1.0000
2019-02-21,56.3800,57.1800,56.0900,56.7300,56.7300,1029244,0.0000,1.0000
2019-02-20,57.3100,57.5500,55.7600,56.4800,56.4800,1372332,0.0000,1.0000
2019-02-19,57.3700,57.8000,56.6900,57.0800,57.0800,1391625,0.0000,1.0000
2019-02-15,58.0900,58.0900,56.4250,57.3300,57.3300,1625569,0.0000,1.0000
2019-02-14,57.2400,58.1000,56.5200,57.7800,57.7800,1096156,0.0000,1.0000
2019-02-13,57.6800,58.0700,57.1900,57.6300,57.6300,1330266,0.0000,1.0000
2019-02-12,58.3600,58.4900,57.0701,57.6500,57.6500,1521535,0.0000,1.0000
2019-02-11,57.5000,58.3900,56.8100,57.7300,57.7300,3254848,0.0000,1.0000
2019-02-08,54.5400,57.2800,53.3500,56.6100,56.6100,3309428,0.0000,1.0000
2019-02-07,57.9000,60.9100,55.2015,55.7600,55.7600,9679378,0.0000,1.0000
2019-02-06,53.8200,54.7500,52.7300,53.0800,53.0800,3880603,0.0000,1.0000
2019-02-05,54.4400,55.7850,54.4400,55.6800,55.6800,2787809,0.0000,1.0000
2019-02-04,51.7600,54.6800,51.5000,54.4300,54.4300,2416247,0.0000,1.0000
2019-02-01,53.4900,55.0300,53.3100,54.7300,54.7300,2190905,0.0000,1.0000
2019-01-31,52.7100,54.5700,52.6650,53.4900,53.4900,1701727,0.0000,1.0000
2019-01-30,52.6900,52.7500,51.7200,52.4600,52.4600,1633104,0.0000,1.0000
2019-01-29,52.7900,52.7900,51.3500,52.0900,52.0900,1188615,0.0000,1.0000
2019-01-28,51.7500,52.7400,50.7100,52.4900,52.4900,1222392,0.0000,1.0000
2019-01-25,51.0300,52.6023,50.7000,52.3700,52.3700,1400330,0.0000,1.0000
2019-01-24,49.7400,50.6300,49.7200,50.4500,50.4500,1167281,0.0000,1.0000
2019-01-23,48.7900,49.4400,48.4100,49.4100,49.4100,1171745,0.0000,1.0000
2019-01-22,47.9100,49.2400,47.5670,48.2200,48.2200,1228253,0.0000,1.0000
2019-01-18,47.0600,48.7200,47.0600,48.2200,48.2200,1806455,0.0000,1.0000
2019-01-17,46.0200,47.8800,45.9100,47.0600,47.0600,2027369,0.0000,1.0000
2019-01-16,46.4800,46.8800,45.5200,46.1800,46.1800,1328844,0.0000,1.0000
2019-01-15,44.7300,46.8500,44.7300,46.4700,46.4700,1585943,0.0000,1.0000
2019-01-14,44.2200,44.8000,43.3800,44.3600,44.3600,1680404,0.0000,1.0000
2019-01-11,44.8300,45.7700,44.4631,44.6900,44.6900,1308680,0.0000,1.0000
2019-01-10,44.6100,45.2700,44.0800,45.0400,45.0400,1369645,0.0000,1.0000
2019-01-09,45.0000,45.6400,44.3700,45.0100,45.0100,1759259,0.0000,1.0000
2019-01-08,44.0700,45.1800,43.4300,44.7800,44.7800,2470487,0.0000,1.0000
2019-01-07,43.3900,44.2000,42.8300,43.3700,43.3700,1472097,0.0000,1.0000
2019-01-04,41.7000,43.8600,40.7800,43.0500,43.0500,2460119,0.0000,1.0000
2019-01-03,41.7700,42.2900,40.4700,41.1200,41.1200,1827995,0.0000,1.0000
2019-01-02,42.0600,42.8300,41.5600,42.3800,42.3800,1677861,0.0000,1.0000
2018-12-31,42.3900,43.0100,41.7800,42.7700,42.7700,1297808,0.0000,1.0000
2018-12-28,42.6200,43.3000,41.3800,42.0700,42.0700,1590276,0.0000,1.0000
2018-12-27,40.4500,42.6200,40.4500,42.6200,42.6200,1202648,0.0000,1.0000
2018-12-26,39.4800,42.1100,39.3900,42.0800,42.0800,1942150,0.0000,1.0000
2018-12-24,38.8100,39.8800,37.6800,38.9700,38.9700,983776,0.0000,1.0000
2018-12-21,40.1200,41.3100,38.8200,38.9700,38.9700,4296624,0.0000,1.0000
2018-12-20,41.0900,41.2000,38.5900,40.0500,40.0500,2932271,0.0000,1.0000
2018-12-19,41.9000,42.7500,40.7950,41.0000,41.0000,3012725,0.0000,1.0000
2018-12-18,42.1300,42.4600,41.3800,41.9500,41.9500,1954168,0.0000,1.0000
2018-12-17,42.9900,43.1900,40.7850,41.0200,41.0200,2707652,0.0000,1.0000
2018-12-14,41.5200,43.7300,41.2400,43.2000,43.2000,3025770,0.0000,1.0000
2018-12-13,43.0000,43.1395,41.6750,42.1500,42.1500,1880219,0.0000,1.0000
2018-12-12,40.8600,43.1200,40.5200,42.7100,42.7100,4874520,0.0000,1.0000
2018-12-11,40.6200,41.2400,39.5600,40.2100,40.2100,1550461,0.0000,1.0000
2018-12-10,39.8200,41.3800,39.1800,40.1100,40.1100,1357144,0.0000,1.0000
2018-12-07,40.7200,41.2800,39.3100,39.8700,39.8700,2258894,0.0000,1.0000
2018-12-06,37.0000,41.6700,37.0000,41.1700,41.1700,4141081,0.0000,1.0000
2018-12-04,39.4600,39.9399,37.8600,38.4200,38.4200,2749915,2.0000,1.0000
2018-12-03,41.5100,41.8599,40.1400,41.4600,39.4085,3991383,0.0000,1.0000
2018-11-30,41.1900,41.5300,39.5837,40.2700,38.2774,2684314,0.0000,1.0000
2018-11-29,40.1300,41.7700,39.7000,41.3500,39.3040,2328973,0.0000,1.0000
2018-11-28,38.2800,40.0700,38.2800,39.9600,37.9828,2228722,0.0000,1.0000
2018-11-27,38.6900,39.3600,38.0100,38.0800,36.1958,1330064,0.0000,1.0000
2018-11-26,39.0800,39.5000,38.5800,39.2100,37.2699,2097811,0.0000,1.0000
2018-11-23,37.6400,38.5900,37.2800,38.4500,36.5475,1056781,0.0000,1.0000
2018-11-21,37.0000,38.4399,36.9574,37.9200,36.0437,2471246,0.0000,1.0000
2018-11-20,34.3200,37.0300,33.3000,36.3600,34.5609,5571813,0.0000,1.0000
2018-11-19,39.3200,39.6500,36.2100,36.2600,34.4658,5025218,0.0000,1.0000
2018-11-16,41.0300,41.5200,39.9800,40.0000,38.0208,2075459,0.0000,1.0000
2018-11-15,40.2000,41.0600,39.0600,40.9700,38.9428,3541836,0.0000,1.0000
2018-11-14,42.2900,42.6000,40.0550,40.1700,38.1824,3362435,0.0000,1.0000
2018-11-13,41.2700,42.5531,40.9600,41.7800,39.7127,2828611,0.0000,1.0000
2018-11-12,42.5900,42.7300,40.3600,40.9500,38.9238,3096331,0.0000,1.0000
2018-11-09,43.0500,43.5000,41.4800,42.7100,40.5967,4309127,0.0000,1.0000
2018-11-08,42.7600,45.1017,42.7600,43.6700,41.5092,4499524,0.0000,1.0000
2018-11-07,43.9300,44.0000,40.7600,42.7200,40.6062,15526314,0.0000,1.0000
2018-11-06,50.9400,52.6000,50.5000,51.4700,48.9232,4038301,0.0000,1.0000
2018-11-05,52.4300,52.5100,49.7200,51.1900,48.6571,2752280,0.0000,1.0000
2018-11-02,53.7700,54.6800,51.7700,52.1500,49.5696,2267258,0.0000,1.0000
2018-11-01,52.0500,53.2900,51.0000,53.2300,50.5962,1847706,0.0000,1.0000
2018-10-31,51.0000,52.9900,51.0000,51.7200,49.1609,2341734,0.0000,1.0000
2018-10-30,47.8000,51.2800,47.4121,49.8900,47.4214,2746873,0.0000,1.0000
2018-10-29,50.2200,50.8555,47.2700,48.2500,45.8626,2245936,0.0000,1.0000
2018-10-26,48.9900,50.2700,47.2500,49.1900,46.7561,2638182,0.0000,1.0000
2018-10-25,50.7700,52.2700,50.3300,50.7200,48.2104,1979473,0.0000,1.0000
2018-10-24,52.0800,52.9400,49.8210,49.9400,47.4689,1378688,0.0000,1.0000
2018-10-23,50.4300,52.5496,48.9100,52.3400,49.7502,2560072,0.0000,1.0000
2018-10-22,50.7600,52.8700,50.7600,52.4400,49.8452,1417412,0.0000,1.0000
2018-10-19,54.5200,55.1500,50.3000,50.5900,48.0868,2804809,0.0000,1.0000
2018-10-18,56.5700,56.8608,53.5600,54.0600,51.3851,1948358,0.0000,1.0000
2018-10-17,57.4100,57.8200,55.7200,57.0200,54.1986,1587065,0.0000,1.0000
2018-10-16,54.5300,57.4800,54.4070,57.1500,54.3222,1797545,0.0000,1.0000
2018-10-15,54.1100,54.7800,53.0000,53.8900,51.2235,1065592,0.0000,1.0000
2018-10-12,53.6600,54.4500,52.5000,54.1400,51.4611,2688022,0.0000,1.0000
2018-10-11,49.1000,52.1800,48.5000,51.4000,48.8567,3466161,0.0000,1.0000
2018-10-10,55.1200,55.7500,50.2600,50.4200,47.9252,4568696,0.0000,1.0000
2018-10-09,54.8600,56.3000,54.4000,55.4600,52.7158,1382475,0.0000,1.0000
2018-10-08,55.0100,56.6100,54.0101,55.2100,52.4782,1584231,0.0000,1.0000
2018-10-05,57.1300,58.2900,54.4700,55.9700,53.2006,2186981,0.0000,1.0000
2018-10-04,57.9100,58.1100,56.0400,57.1600,54.3317,2172255,0.0000,1.0000
2018-10-03,56.5800,58.0800,56.3400,57.2900,54.4553,2004096,0.0000,1.0000
2018-10-02,56.2200,57.0700,55.6800,56.2900,53.5047,1130712,0.0000,1.0000
2018-10-01,58.5400,59.3200,56.1400,56.5600,53.7614,1841297,0.0000,1.0000
2018-09-28,59.1000,59.7700,57.8500,57.9100,55.0446,1911305,0.0000,1.0000
2018-09-27,58.3900,59.4500,57.9800,59.3800,56.4419,1448772,0.0000,1.0000
2018-09-26,58.3700,58.7700,57.2900,58.2600,55.3773,1232984,0.0000,1.0000
2018-09-25,56.3900,58.3190,56.0700,57.8300,54.9685,2069296,0.0000,1.0000
2018-09-24,53.9100,56.5700,53.8800,55.8500,53.0865,1339572,0.0000,1.0000
2018-09-21,57.2800,57.2900,54.8900,55.3800,52.6398,3154499,0.0000,1.0000
2018-09-20,58.8500,59.4900,57.1300,57.3300,54.4933,2312038,0.0000,1.0000
2018-09-19,60.2700,60.9500,58.3200,59.2500,56.3183,2008461,0.0000,1.0000
2018-09-18,57.8800,60.3700,57.8800,60.0500,57.0787,1424111,0.0000,1.0000
2018-09-17,59.2400,59.6800,57.0800,58.0900,55.2157,1803433,0.0000,1.0000
2018-09-14,59.8300,60.7500,57.8000,59.2100,56.2803,2476676,0.0000,1.0000
2018-09-13,56.6900,59.9700,56.3500,59.5800,56.6320,4845633,0.0000,1.0000
2018-09-12,54.8200,56.2300,53.5400,56.0500,53.2766,2141934,0.0000,1.0000
2018-09-11,53.2800,55.0600,52.8970,54.6500,51.9459,2328483,0.0000,1.0000
2018-09-10,52.0400,53.7400,50.8400,53.2800,50.6437,2502220,0.0000,1.0000
2018-09-07,50.0500,52.5850,49.8100,51.8900,49.3225,1816337,0.0000,1.0000
2018-09-06,50.4800,50.9140,49.6000,50.4200,47.9252,979821,0.0000,1.0000
2018-09-05,52.6800,52.8100,48.7200,50.5300,48.0298,2792255,0.0000,1.0000
2018-09-04,50.1100,52.5900,50.0600,52.3300,49.7407,2211754,0.0000,1.0000
2018-08-31,49.1700,50.1300,49.0800,50.0500,47.5735,1287638,0.0000,1.0000
