timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,192.8800,193.0820,192.6400,192.8950,192.8950,1915351,0.0000,1.0000
2019-10-15,191.6500,193.9700,191.5600,193.5200,193.5200,22390836,0.0000,1.0000
2019-10-14,190.8400,191.7000,190.6500,191.0900,191.0900,14975000,0.0000,1.0000
2019-10-11,190.8300,192.6300,190.7200,191.1100,191.1100,40976700,0.0000,1.0000
2019-10-10,187.2800,189.4300,187.1200,188.6800,188.6800,25177700,0.0000,1.0000
2019-10-09,186.9900,188.0800,186.4300,187.2300,187.2300,20147400,0.0000,1.0000
2019-10-08,187.0600,187.8600,185.2700,185.4200,185.4200,32379300,0.0000,1.0000
2019-10-07,188.2700,189.7400,187.9100,188.2400,188.2400,21216000,0.0000,1.0000
2019-10-04,187.0800,189.0800,186.8800,188.8100,188.8100,31887600,0.0000,1.0000
2019-10-03,184.0300,186.2100,181.8200,186.0700,186.0700,39392500,0.0000,1.0000
2019-10-02,186.0000,186.0300,183.0200,184.0500,184.0500,48544300,0.0000,1.0000
2019-10-01,189.5000,190.5900,186.9600,187.2700,187.2700,32367600,0.0000,1.0000
2019-09-30,187.7900,189.1100,187.4000,188.8100,188.8100,26307700,0.0000,1.0000
2019-09-27,189.7300,189.8300,185.7500,187.0300,187.0300,40773500,0.0000,1.0000
2019-09-26,189.8300,190.0000,187.9800,189.3800,189.3800,26826000,0.0000,1.0000
2019-09-25,187.7800,190.5800,186.2100,190.0800,190.0800,34704900,0.0000,1.0000
2019-09-24,191.3700,191.7900,187.1500,187.9700,187.9700,40820700,0.0000,1.0000
2019-09-23,190.3600,191.0700,189.7200,190.5000,190.5000,22485900,0.3840,1.0000
2019-09-20,193.1100,193.3100,190.1600,190.8000,190.4160,29086100,0.0000,1.0000
2019-09-19,192.8600,194.0400,192.4700,192.8400,192.4519,26039400,0.0000,1.0000
2019-09-18,192.2000,192.6000,190.1100,192.5200,192.1326,29781300,0.0000,1.0000
2019-09-17,191.7000,192.6000,191.2900,192.6000,192.2124,20953400,0.0000,1.0000
2019-09-16,191.3000,192.0800,191.1100,191.6800,191.2942,20319000,0.0000,1.0000
2019-09-13,192.9500,193.4000,192.2900,192.5400,192.1525,27669800,0.0000,1.0000
2019-09-12,193.6100,194.7100,192.9700,193.2300,192.8411,28689900,0.0000,1.0000
2019-09-11,191.0000,192.5300,190.5600,192.4300,192.0427,25063600,0.0000,1.0000
2019-09-10,190.1600,190.7400,188.9100,190.6400,190.2563,23744700,0.0000,1.0000
2019-09-09,192.1900,192.2700,190.2200,191.1900,190.8052,24407600,0.0000,1.0000
2019-09-06,192.1000,192.1700,191.1700,191.5900,191.2044,19487800,0.0000,1.0000
2019-09-05,190.4100,192.3300,190.3400,191.7800,191.3940,33932600,0.0000,1.0000
2019-09-04,187.4400,188.4900,186.9000,188.3300,187.9510,21592100,0.0000,1.0000
2019-09-03,186.2200,187.1800,185.0300,185.6500,185.2764,27964200,0.0000,1.0000
2019-08-30,188.9300,188.9700,186.4100,187.4700,187.0927,26319800,0.0000,1.0000
2019-08-29,187.3900,188.4600,186.6800,187.9200,187.5418,25358900,0.0000,1.0000
2019-08-28,183.8300,185.4000,182.9100,185.0900,184.7175,21792400,0.0000,1.0000
2019-08-27,186.1100,186.4200,183.7100,184.4300,184.0588,28012800,0.0000,1.0000
2019-08-26,184.1400,184.8700,183.0800,184.8200,184.4480,27598900,0.0000,1.0000
2019-08-23,186.7400,188.4500,181.5600,182.0700,181.7036,55372400,0.0000,1.0000
2019-08-22,188.9800,189.4600,186.5400,188.0200,187.6416,24243700,0.0000,1.0000
2019-08-21,188.6100,189.2300,187.9600,188.6300,188.2504,20418500,0.0000,1.0000
2019-08-20,187.9600,188.6400,186.9200,186.9700,186.5937,19902900,0.0000,1.0000
2019-08-19,188.1600,188.8300,187.5000,188.4300,188.0508,22494100,0.0000,1.0000
2019-08-16,184.2100,185.9500,184.1000,185.4800,185.1067,32781400,0.0000,1.0000
2019-08-15,183.0000,183.5900,181.1449,182.5500,182.1826,36685000,0.0000,1.0000
2019-08-14,185.3100,185.9500,182.4200,182.7600,182.3922,51000500,0.0000,1.0000
2019-08-13,184.1900,189.6800,184.0200,188.3900,188.0108,40241900,0.0000,1.0000
2019-08-12,185.3400,185.9000,183.5000,184.3500,183.9790,24642900,0.0000,1.0000
2019-08-09,187.3200,188.0000,185.0300,186.4900,186.1147,33608900,0.0000,1.0000
2019-08-08,185.1500,188.3200,184.5700,188.2600,187.8811,38418100,0.0000,1.0000
2019-08-07,181.3200,184.5100,179.9072,184.2500,183.8792,49990600,0.0000,1.0000
2019-08-06,182.4000,183.8000,181.0700,183.2600,182.8912,41897200,0.0000,1.0000
2019-08-05,183.4300,183.5100,179.2000,180.7300,180.3663,75040000,0.0000,1.0000
2019-08-02,188.7200,188.9900,186.2100,187.3500,186.9730,55214000,0.0000,1.0000
2019-08-01,191.4300,194.9817,189.2300,190.1500,189.7673,63251600,0.0000,1.0000
2019-07-31,194.3000,194.4300,189.3200,191.1000,190.7154,41627500,0.0000,1.0000
2019-07-30,193.1365,194.5400,192.9900,193.7800,193.3900,18705000,0.0000,1.0000
2019-07-29,195.1100,195.1800,193.3900,194.6200,194.2283,20451700,0.0000,1.0000
2019-07-26,194.5300,195.5500,194.4300,195.2900,194.8970,20431200,0.0000,1.0000
2019-07-25,194.4900,194.5200,192.9300,193.3000,192.9110,23434700,0.0000,1.0000
2019-07-24,193.0500,195.1600,193.0300,195.1500,194.7572,20422900,0.0000,1.0000
