timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,110.6000,110.6000,110.5900,110.5950,110.5950,72512,0.0000,1.0000
2019-10-15,110.6000,110.6000,110.5800,110.5800,110.5800,1718319,0.0000,1.0000
2019-10-14,110.5800,110.5800,110.5200,110.5800,110.5800,5543400,0.0000,1.0000
2019-10-11,110.5700,110.5800,110.5600,110.5600,110.5600,1635400,0.0000,1.0000
2019-10-10,110.5700,110.5900,110.5600,110.5900,110.5900,1655200,0.0000,1.0000
2019-10-09,110.5700,110.5700,110.5400,110.5500,110.5500,1225200,0.0000,1.0000
2019-10-08,110.5500,110.5600,110.5400,110.5500,110.5500,1348000,0.0000,1.0000
2019-10-07,110.5500,110.5600,110.5400,110.5500,110.5500,1268400,0.0000,1.0000
2019-10-04,110.5400,110.5600,110.5300,110.5600,110.5600,1434300,0.0000,1.0000
2019-10-03,110.5200,110.5400,110.5100,110.5200,110.5200,1194800,0.0000,1.0000
2019-10-02,110.4700,110.4900,110.4700,110.4800,110.4800,1803700,0.0000,1.0000
2019-10-01,110.4400,110.4500,110.4200,110.4400,110.4400,1684400,0.1940,1.0000
2019-09-30,110.6200,110.6200,110.6100,110.6200,110.4260,1342800,0.0000,1.0000
2019-09-27,110.6000,110.6100,110.6000,110.6000,110.4060,1184100,0.0000,1.0000
2019-09-26,110.6000,110.6000,110.5800,110.5900,110.3960,1006800,0.0000,1.0000
2019-09-25,110.5800,110.5800,110.5600,110.5700,110.3761,4023400,0.0000,1.0000
2019-09-24,110.5700,110.5800,110.3400,110.5600,110.3661,6437000,0.0000,1.0000
2019-09-23,110.5500,110.5700,110.2500,110.5500,110.3561,9681600,0.0000,1.0000
2019-09-20,110.5500,110.5600,110.5300,110.5400,110.3461,6352800,0.0000,1.0000
2019-09-19,110.5500,110.5600,110.5300,110.5300,110.3362,5230200,0.0000,1.0000
2019-09-18,110.5200,110.5400,110.5200,110.5300,110.3362,818700,0.0000,1.0000
2019-09-17,110.5200,110.5200,110.5000,110.5200,110.3262,851500,0.0000,1.0000
2019-09-16,110.5200,110.5300,110.5100,110.5200,110.3262,919600,0.0000,1.0000
2019-09-13,110.5200,110.5200,110.5100,110.5200,110.3262,1377200,0.0000,1.0000
2019-09-12,110.5300,110.5400,110.5100,110.5200,110.3262,1107900,0.0000,1.0000
2019-09-11,110.5100,110.5100,110.5000,110.5100,110.3162,1033800,0.0000,1.0000
2019-09-10,110.5200,110.5200,110.2300,110.4900,110.2962,5543800,0.0000,1.0000
2019-09-09,110.5200,110.5200,110.5000,110.5100,110.3162,832800,0.0000,1.0000
2019-09-06,110.5100,110.5200,110.5000,110.5200,110.3262,1469900,0.0000,1.0000
2019-09-05,110.5200,110.5200,110.4900,110.4900,110.2962,1908600,0.0000,1.0000
2019-09-04,110.5000,110.5100,110.4900,110.5100,110.3162,1229600,0.0000,1.0000
2019-09-03,110.4800,110.5000,110.4700,110.4900,110.2962,3083100,0.1980,1.0000
2019-08-30,110.6700,110.6700,110.6600,110.6600,110.2683,1843400,0.0000,1.0000
2019-08-29,110.6600,110.6700,110.6600,110.6700,110.2782,1413900,0.0000,1.0000
2019-08-28,110.6600,110.6600,110.6400,110.6500,110.2583,1396600,0.0000,1.0000
2019-08-27,110.6500,110.6600,110.6400,110.6500,110.2583,3004000,0.0000,1.0000
2019-08-26,110.6500,110.6700,110.3500,110.6400,110.2483,1041100,0.0000,1.0000
2019-08-23,110.6400,110.6600,110.0300,110.6600,110.2683,2149900,0.0000,1.0000
2019-08-22,110.6300,110.6400,110.6300,110.6300,110.2384,1042900,0.0000,1.0000
2019-08-21,110.6300,110.6300,110.6100,110.6300,110.2384,1338500,0.0000,1.0000
2019-08-20,110.6200,110.6300,110.6200,110.6300,110.2384,1966100,0.0000,1.0000
2019-08-19,110.6300,110.6300,110.6000,110.6100,110.2185,2987600,0.0000,1.0000
2019-08-16,110.6100,110.6300,110.6100,110.6100,110.2185,5311600,0.0000,1.0000
2019-08-15,110.6000,110.6300,110.5900,110.6200,110.2284,2037300,0.0000,1.0000
2019-08-14,110.5600,110.5700,110.5600,110.5700,110.1786,1905600,0.0000,1.0000
2019-08-13,110.5600,110.5700,110.5400,110.5500,110.1587,1222900,0.0000,1.0000
2019-08-12,110.5600,110.5700,110.5400,110.5600,110.1686,1370800,0.0000,1.0000
2019-08-09,110.5500,110.5600,110.5400,110.5500,110.1587,1026600,0.0000,1.0000
2019-08-08,110.5400,110.5494,110.5300,110.5400,110.1487,2766900,0.0000,1.0000
2019-08-07,110.5250,110.5400,110.5200,110.5200,110.1288,2654900,0.0000,1.0000
2019-08-06,110.5074,110.5200,110.4900,110.5100,110.1188,2822200,0.0000,1.0000
2019-08-05,110.5000,110.5100,110.4900,110.5000,110.1088,2968700,0.0000,1.0000
2019-08-02,110.4600,110.4800,110.4600,110.4800,110.0889,1435700,0.0000,1.0000
2019-08-01,110.4200,110.4600,110.4100,110.4600,110.0690,1761700,0.2100,1.0000
2019-07-31,110.6200,110.6300,110.5900,110.6200,110.0192,1921100,0.0000,1.0000
2019-07-30,110.6100,110.6200,110.6000,110.6200,110.0192,894400,0.0000,1.0000
2019-07-29,110.6100,110.6200,110.6000,110.6100,110.0092,1152500,0.0000,1.0000
2019-07-26,110.6000,110.6100,110.5900,110.6100,110.0092,1525300,0.0000,1.0000
2019-07-25,110.5900,110.6100,110.2900,110.6000,109.9993,1295800,0.0000,1.0000
2019-07-24,110.5900,110.5900,110.5800,110.5900,109.9893,1754900,0.0000,1.0000
2019-07-23,110.5900,110.6000,110.5700,110.5900,109.9893,1211200,0.0000,1.0000
2019-07-22,110.5900,110.6000,110.2700,110.6000,109.9993,839700,0.0000,1.0000
2019-07-19,110.5900,110.5900,110.5700,110.5700,109.9694,994200,0.0000,1.0000
2019-07-18,110.5700,110.6000,110.5600,110.5800,109.9794,2383700,0.0000,1.0000
2019-07-17,110.5300,110.5600,110.5300,110.5500,109.9495,4124100,0.0000,1.0000
2019-07-16,110.5400,110.5400,110.5200,110.5200,109.9197,2415300,0.0000,1.0000
2019-07-15,110.5300,110.5400,110.5200,110.5400,109.9396,938300,0.0000,1.0000
2019-07-12,110.5300,110.5300,110.5100,110.5100,109.9098,1145800,0.0000,1.0000
2019-07-11,110.5100,110.5300,110.5100,110.5300,109.9296,1107400,0.0000,1.0000
2019-07-10,110.4900,110.5100,110.4800,110.5100,109.9098,1226700,0.0000,1.0000
2019-07-09,110.4800,110.4900,110.4700,110.4900,109.8899,1318700,0.0000,1.0000
2019-07-08,110.4800,110.4900,110.4700,110.4900,109.8899,2134700,0.0000,1.0000
2019-07-05,110.4900,110.4900,110.4600,110.4700,109.8700,1473900,0.0000,1.0000
2019-07-03,110.4800,110.5000,110.4800,110.5000,109.8998,1462500,0.0000,1.0000
2019-07-02,110.4600,110.4800,110.4628,110.4700,109.8700,1725200,0.0000,1.0000
2019-07-01,110.4500,110.4600,110.4400,110.4500,109.8501,2236300,0.2090,1.0000
2019-06-28,110.6700,110.6700,110.2700,110.6500,109.8411,2191700,0.0000,1.0000
2019-06-27,110.6500,110.6700,110.6400,110.6700,109.8610,1958300,0.0000,1.0000
2019-06-26,110.6400,110.6400,110.6290,110.6400,109.8312,926900,0.0000,1.0000
