timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,6.4100,6.4500,6.3700,6.3900,6.3900,1462099,0.0000,1.0000
2019-10-15,6.3400,6.4650,6.3400,6.4350,6.4350,17121317,0.0000,1.0000
2019-10-14,6.3100,6.3600,6.2500,6.3300,6.3300,10814000,0.0000,1.0000
2019-10-11,6.3100,6.3800,6.3000,6.3100,6.3100,14011200,0.0000,1.0000
2019-10-10,6.2300,6.3100,6.2200,6.2500,6.2500,13810400,0.0000,1.0000
2019-10-09,6.2600,6.2800,6.1900,6.2500,6.2500,11358900,0.0000,1.0000
2019-10-08,6.3100,6.3200,6.2300,6.2400,6.2400,17461200,0.0000,1.0000
2019-10-07,6.3600,6.4100,6.3100,6.3300,6.3300,14847400,0.0000,1.0000
2019-10-04,6.3500,6.4500,6.3500,6.3800,6.3800,14658000,0.0000,1.0000
2019-10-03,6.2300,6.3700,6.1800,6.3500,6.3500,21844800,0.0000,1.0000
2019-10-02,6.1800,6.2600,6.1700,6.2300,6.2300,17831500,0.0000,1.0000
2019-10-01,6.2800,6.3400,6.1700,6.1800,6.1800,15147600,0.0000,1.0000
2019-09-30,6.2500,6.2700,6.2200,6.2600,6.2600,12526000,0.0000,1.0000
2019-09-27,6.2900,6.3100,6.1700,6.2100,6.2100,14444400,0.0000,1.0000
2019-09-26,6.3000,6.3300,6.2200,6.2600,6.2600,10440700,0.0000,1.0000
2019-09-25,6.2300,6.3400,6.2300,6.3200,6.3200,12752600,0.0000,1.0000
2019-09-24,6.3600,6.3700,6.2200,6.2300,6.2300,18696400,0.0000,1.0000
2019-09-23,6.2900,6.3300,6.2800,6.2900,6.2900,13508300,0.0000,1.0000
2019-09-20,6.3600,6.3700,6.2300,6.2600,6.2600,43642900,0.0000,1.0000
2019-09-19,6.3800,6.3900,6.3300,6.3400,6.3400,15642300,0.0000,1.0000
2019-09-18,6.4700,6.4700,6.3200,6.3900,6.3900,21635100,0.0000,1.0000
2019-09-17,6.3500,6.4900,6.3200,6.4700,6.4700,21130300,0.0000,1.0000
2019-09-16,6.3500,6.3800,6.3100,6.3700,6.3700,16141500,0.0000,1.0000
2019-09-13,6.4700,6.4800,6.3500,6.3900,6.3900,15609200,0.0000,1.0000
2019-09-12,6.5000,6.5000,6.3700,6.4500,6.4500,18704600,0.0000,1.0000
2019-09-11,6.3900,6.5000,6.3700,6.4900,6.4900,24888100,0.0000,1.0000
2019-09-10,6.2700,6.3600,6.2600,6.3600,6.3600,15736300,0.0000,1.0000
2019-09-09,6.2600,6.3100,6.2100,6.2900,6.2900,20174900,0.0000,1.0000
2019-09-06,6.2800,6.3100,6.2400,6.2500,6.2500,23689900,0.0000,1.0000
2019-09-05,6.2500,6.3100,6.2200,6.2800,6.2800,18319200,0.0000,1.0000
2019-09-04,6.2200,6.2400,6.1900,6.2100,6.2100,19534400,0.0000,1.0000
2019-09-03,6.1300,6.1800,6.1000,6.1600,6.1600,14389300,0.0000,1.0000
2019-08-30,6.2300,6.2400,6.1600,6.1700,6.1700,12194600,0.0000,1.0000
2019-08-29,6.1700,6.2400,6.1600,6.2100,6.2100,19605300,0.0000,1.0000
2019-08-28,6.0300,6.1700,6.0300,6.1300,6.1300,17559600,0.0000,1.0000
2019-08-27,6.1000,6.1300,6.0200,6.0600,6.0600,19881200,0.0000,1.0000
2019-08-26,6.0500,6.0800,6.0200,6.0800,6.0800,13399100,0.0000,1.0000
2019-08-23,6.1400,6.1800,5.9600,5.9900,5.9900,20287900,0.0000,1.0000
2019-08-22,6.1600,6.2000,6.1200,6.1600,6.1600,11138800,0.0000,1.0000
2019-08-21,6.1200,6.2000,6.1100,6.1600,6.1600,9689300,0.0000,1.0000
2019-08-20,6.1700,6.2000,6.0800,6.0900,6.0900,16479200,0.0000,1.0000
2019-08-19,6.1400,6.2200,6.1200,6.1800,6.1800,19804000,0.0000,1.0000
2019-08-16,6.0300,6.1500,6.0100,6.0800,6.0800,13237300,0.0000,1.0000
2019-08-15,6.0300,6.0500,5.9600,5.9700,5.9700,17520900,0.0000,1.0000
2019-08-14,6.0200,6.0350,5.9698,6.0000,6.0000,23169300,0.0000,1.0000
2019-08-13,6.0400,6.1500,6.0100,6.0800,6.0800,15730200,0.0000,1.0000
2019-08-12,6.0800,6.1200,6.0400,6.0400,6.0400,13224700,0.0000,1.0000
2019-08-09,6.1300,6.1701,6.0700,6.1200,6.1200,17429600,0.0000,1.0000
2019-08-08,6.1300,6.1900,6.1200,6.1700,6.1700,18623000,0.0120,1.0000
2019-08-07,6.0400,6.1250,5.9400,6.1100,6.0980,20926100,0.0000,1.0000
2019-08-06,6.0900,6.1400,6.0400,6.0900,6.0780,18465100,0.0000,1.0000
2019-08-05,6.2704,6.2800,5.9800,6.0500,6.0381,36807500,0.0000,1.0000
2019-08-02,6.2500,6.3700,6.2400,6.3400,6.3275,23699800,0.0000,1.0000
2019-08-01,6.2800,6.3800,6.2600,6.2700,6.2577,27719100,0.0000,1.0000
2019-07-31,6.1600,6.3200,6.1600,6.2600,6.2477,28429400,0.0000,1.0000
2019-07-30,6.1599,6.2500,6.1200,6.1800,6.1679,30037100,0.0000,1.0000
2019-07-29,6.2200,6.2500,6.1000,6.1600,6.1479,34171100,0.0000,1.0000
2019-07-26,6.1600,6.2304,6.1400,6.2200,6.2078,19644000,0.0000,1.0000
2019-07-25,6.0900,6.2300,6.0800,6.1400,6.1279,33173900,0.0000,1.0000
2019-07-24,6.0300,6.1000,6.0300,6.1000,6.0880,14317700,0.0000,1.0000
2019-07-23,6.0900,6.1100,6.0100,6.0400,6.0281,16110700,0.0000,1.0000
2019-07-22,6.0900,6.1200,6.0600,6.0800,6.0681,20134400,0.0000,1.0000
2019-07-19,6.0400,6.1000,6.0100,6.0600,6.0481,16009900,0.0000,1.0000
2019-07-18,6.0100,6.0700,6.0000,6.0400,6.0281,18127700,0.0000,1.0000
2019-07-17,6.0500,6.0700,5.9800,6.0400,6.0281,14534300,0.0000,1.0000
2019-07-16,6.0300,6.0900,6.0200,6.0500,6.0381,18369500,0.0000,1.0000
2019-07-15,6.0600,6.0700,5.9700,6.0400,6.0281,23071100,0.0000,1.0000
2019-07-12,6.0700,6.1000,6.0400,6.0700,6.0581,22957800,0.0000,1.0000
2019-07-11,6.0300,6.0700,5.9800,6.0300,6.0182,18948600,0.0000,1.0000
2019-07-10,5.9900,6.0300,5.9200,6.0300,6.0182,26789500,0.0000,1.0000
2019-07-09,5.8900,5.9900,5.8900,5.9600,5.9483,28191300,0.0000,1.0000
2019-07-08,5.8800,5.9600,5.8800,5.9300,5.9184,20532300,0.0000,1.0000
2019-07-05,5.8700,5.9400,5.8300,5.9100,5.8984,21192400,0.0000,1.0000
2019-07-03,5.8400,5.8900,5.8200,5.8800,5.8685,11807500,0.0000,1.0000
2019-07-02,5.6900,5.8500,5.6900,5.8300,5.8186,28560600,0.0000,1.0000
2019-07-01,5.6300,5.7100,5.6100,5.7100,5.6988,19514000,0.0000,1.0000
2019-06-28,5.5509,5.6300,5.5400,5.5800,5.5690,32398700,0.0000,1.0000
2019-06-27,5.5600,5.6050,5.5100,5.5700,5.5591,18928800,0.0000,1.0000
2019-06-26,5.5600,5.6100,5.5100,5.5300,5.5191,19473700,0.0000,1.0000
2019-06-25,5.5800,5.6000,5.5000,5.5400,5.5291,25295400,0.0000,1.0000
2019-06-24,5.6200,5.6300,5.5200,5.5900,5.5790,22774700,0.0000,1.0000
2019-06-21,5.7100,5.7400,5.5900,5.6000,5.5890,50359900,0.0000,1.0000
2019-06-20,5.7100,5.7648,5.6700,5.7400,5.7287,18462700,0.0000,1.0000
2019-06-19,5.7200,5.7500,5.6100,5.6800,5.6688,19499800,0.0000,1.0000
2019-06-18,5.6900,5.7800,5.6700,5.7000,5.6888,25905300,0.0000,1.0000
2019-06-17,5.5500,5.7150,5.5150,5.6300,5.6189,27249600,0.0000,1.0000
2019-06-14,5.5700,5.6000,5.5300,5.5600,5.5491,18196600,0.0000,1.0000
2019-06-13,5.5300,5.6100,5.4900,5.5800,5.5690,21745800,0.0000,1.0000
2019-06-12,5.4900,5.5300,5.4700,5.5000,5.4892,15490000,0.0000,1.0000
2019-06-11,5.4700,5.5400,5.4404,5.4900,5.4792,25977500,0.0000,1.0000
2019-06-10,5.3800,5.4900,5.3550,5.4300,5.4193,32957000,0.0000,1.0000
2019-06-07,5.3300,5.3700,5.2802,5.3100,5.2996,20300400,0.0000,1.0000
2019-06-06,5.2900,5.3300,5.2500,5.3100,5.2996,21292300,0.0000,1.0000
2019-06-05,5.4400,5.4400,5.2700,5.2700,5.2596,24384000,0.0000,1.0000
2019-06-04,5.3100,5.4000,5.3100,5.3900,5.3794,27625500,0.0000,1.0000
2019-06-03,5.3100,5.3300,5.2300,5.2700,5.2596,22520500,0.0000,1.0000
2019-05-31,5.3300,5.3300,5.2400,5.3100,5.2996,29981400,0.0000,1.0000
2019-05-30,5.3500,5.4350,5.3500,5.3700,5.3595,23934300,0.0000,1.0000
2019-05-29,5.3300,5.3800,5.2800,5.3400,5.3295,28293300,0.0000,1.0000
2019-05-28,5.4100,5.4600,5.3300,5.3500,5.3395,40480600,0.0000,1.0000
2019-05-24,5.4600,5.5200,5.3800,5.4100,5.3994,23959000,0.0000,1.0000
2019-05-23,5.5300,5.5499,5.3300,5.3900,5.3794,35182200,0.0000,1.0000
2019-05-22,5.6200,5.6500,5.5597,5.5600,5.5491,17250200,0.0000,1.0000
2019-05-21,5.6100,5.6900,5.6000,5.6400,5.6289,16498100,0.0000,1.0000
2019-05-20,5.6200,5.6700,5.5700,5.5800,5.5690,20589200,0.0000,1.0000
2019-05-17,5.6300,5.7100,5.6200,5.6600,5.6489,20773800,0.0000,1.0000
2019-05-16,5.6000,5.7100,5.6000,5.6500,5.6389,17176000,0.0000,1.0000
2019-05-15,5.6200,5.6600,5.5900,5.6100,5.5990,23637600,0.0000,1.0000
2019-05-14,5.5900,5.7450,5.5700,5.6300,5.6189,29306000,0.0000,1.0000
2019-05-13,5.6600,5.6900,5.5700,5.5700,5.5591,25827500,0.0000,1.0000
2019-05-10,5.7002,5.7700,5.6300,5.7400,5.7287,20879800,0.0000,1.0000
2019-05-09,5.6900,5.7400,5.6300,5.7100,5.6988,23825200,0.0120,1.0000
2019-05-08,5.7000,5.7800,5.6800,5.7400,5.7168,24778200,0.0000,1.0000
2019-05-07,5.7900,5.8100,5.6701,5.7200,5.6968,34781100,0.0000,1.0000
2019-05-06,5.7900,5.8600,5.7800,5.8400,5.8163,23343100,0.0000,1.0000
2019-05-03,5.8100,5.9000,5.8000,5.8800,5.8562,26866800,0.0000,1.0000
2019-05-02,5.8900,5.9000,5.7200,5.7700,5.7466,37423800,0.0000,1.0000
2019-05-01,5.8100,5.9100,5.8100,5.8800,5.8562,28993700,0.0000,1.0000
2019-04-30,5.8700,5.9200,5.7900,5.8100,5.7865,34575400,0.0000,1.0000
2019-04-29,5.8300,5.9100,5.7400,5.8700,5.8462,33325000,0.0000,1.0000
2019-04-26,5.7500,5.9000,5.7300,5.7800,5.7566,36786000,0.0000,1.0000
2019-04-25,5.7700,5.8100,5.6599,5.7300,5.7068,37225900,0.0000,1.0000
2019-04-24,5.9900,6.1270,5.6297,5.7100,5.6869,82867500,0.0000,1.0000
2019-04-23,6.0997,6.1700,6.1000,6.1500,6.1251,32266700,0.0000,1.0000
2019-04-22,6.0200,6.1400,6.0000,6.1200,6.0952,26433000,0.0000,1.0000
2019-04-18,6.0400,6.0700,5.9700,6.0400,6.0155,27593200,0.0000,1.0000
2019-04-17,5.9600,6.0200,5.9100,6.0100,5.9857,19844200,0.0000,1.0000
2019-04-16,5.9900,6.0100,5.9100,5.9600,5.9359,21580300,0.0000,1.0000
2019-04-15,6.1000,6.1000,5.9000,5.9900,5.9657,26494200,0.0000,1.0000
2019-04-12,6.0700,6.1300,6.0400,6.1000,6.0753,19817800,0.0000,1.0000
2019-04-11,6.0000,6.0600,5.9800,6.0500,6.0255,22739000,0.0000,1.0000
2019-04-10,5.9700,6.0050,5.9300,5.9900,5.9657,25911500,0.0000,1.0000
2019-04-09,5.9400,5.9950,5.8800,5.9700,5.9458,23085700,0.0000,1.0000
2019-04-08,5.9400,6.0000,5.9200,5.9800,5.9558,25665300,0.0000,1.0000
2019-04-05,5.9500,5.9850,5.8700,5.9400,5.9159,29706100,0.0000,1.0000
2019-04-04,5.9300,5.9750,5.8900,5.9600,5.9359,25841800,0.0000,1.0000
2019-04-03,5.8900,5.9600,5.8800,5.9200,5.8960,29878800,0.0000,1.0000
2019-04-02,5.7903,5.8850,5.7600,5.8700,5.8462,32882500,0.0000,1.0000
2019-04-01,5.7000,5.8400,5.6800,5.7900,5.7665,38541000,0.0000,1.0000
2019-03-29,5.7000,5.7200,5.6300,5.6700,5.6470,30656300,0.0000,1.0000
2019-03-28,5.6500,5.7350,5.6500,5.6900,5.6670,21798900,0.0000,1.0000
