timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-06-28,131.1500,131.8500,129.7600,130.8400,130.8400,1219227,0.0000,1.0000
2019-06-27,129.0100,131.2400,127.9900,131.0400,131.0400,1368395,0.0000,1.0000
2019-06-26,126.3800,128.9800,126.3800,128.3500,128.3500,1407737,0.0000,1.0000
2019-06-25,130.5400,130.9100,123.4300,125.7400,125.7400,1803392,0.0000,1.0000
2019-06-24,134.0000,134.0000,128.2200,130.5500,130.5500,1377610,0.0000,1.0000
2019-06-21,134.0500,134.5300,131.8000,132.8700,132.8700,971004,0.0000,1.0000
2019-06-20,134.8900,137.4500,134.3000,135.0500,135.0500,1003304,0.0000,1.0000
2019-06-19,130.4800,132.8000,128.1500,132.7700,132.7700,1105512,0.0000,1.0000
2019-06-18,132.8900,133.0000,129.3900,129.5500,129.5500,843696,0.0000,1.0000
2019-06-17,130.1100,131.9500,129.6100,130.6500,130.6500,704819,0.0000,1.0000
2019-06-14,129.8700,131.4800,129.0700,129.9100,129.9100,806027,0.0000,1.0000
2019-06-13,131.2500,131.5200,128.8400,130.2800,130.2800,938096,0.0000,1.0000
2019-06-12,129.2400,130.7293,127.8525,128.9700,128.9700,1341684,0.0000,1.0000
2019-06-11,133.9100,134.9850,126.5200,128.9300,128.9300,1755401,0.0000,1.0000
2019-06-10,133.4500,137.7800,132.6000,133.0000,133.0000,1662028,0.0000,1.0000
2019-06-07,127.9100,132.2800,127.9000,131.4300,131.4300,1269318,0.0000,1.0000
2019-06-06,126.3200,128.9250,125.1700,127.7100,127.7100,827139,0.0000,1.0000
2019-06-05,124.5900,126.6200,121.7800,126.4300,126.4300,1467198,0.0000,1.0000
2019-06-04,119.5200,122.7300,117.3200,122.6500,122.6500,1326120,0.0000,1.0000
2019-06-03,126.2400,127.2100,115.8700,117.3000,117.3000,2309951,0.0000,1.0000
2019-05-31,123.8200,127.3385,122.6700,125.8800,125.8800,1073703,0.0000,1.0000
2019-05-30,124.0100,126.2900,124.0100,126.2200,126.2200,908505,0.0000,1.0000
2019-05-29,124.1800,125.2900,122.5700,123.8000,123.8000,1550629,0.0000,1.0000
2019-05-28,129.5600,132.8700,127.7600,128.4500,128.4500,1230678,0.0000,1.0000
2019-05-24,126.8000,131.0000,126.7200,129.5200,129.5200,1688689,0.0000,1.0000
2019-05-23,124.8900,127.8390,124.3307,127.2600,127.2600,1827338,0.0000,1.0000
2019-05-22,124.1100,128.2300,123.9928,126.2500,126.2500,1353079,0.0000,1.0000
2019-05-21,126.1100,127.0000,125.4000,125.5400,125.5400,911795,0.0000,1.0000
2019-05-20,125.8500,127.3300,123.7983,124.5500,124.5500,1916337,0.0000,1.0000
2019-05-17,128.9400,131.9900,128.0000,129.1500,129.1500,1001813,0.0000,1.0000
