timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2019-10-16,91.0000,91.0080,90.8900,91.0050,91.0050,165403,0.0000,1.0000
2019-10-15,91.1000,91.1500,90.8500,90.8800,90.8800,1591921,0.0000,1.0000
2019-10-14,91.0600,91.1200,91.0200,91.0900,91.0900,938100,0.0000,1.0000
2019-10-11,90.9300,91.0100,90.8100,90.9000,90.9000,2115000,0.0000,1.0000
2019-10-10,91.3600,91.4000,91.1200,91.1400,91.1400,2567100,0.0000,1.0000
2019-10-09,91.6800,91.7900,91.4200,91.5200,91.5200,1867800,0.0000,1.0000
2019-10-08,91.7400,91.7800,91.5300,91.5800,91.5800,2644500,0.0000,1.0000
2019-10-07,91.6700,91.7100,91.5100,91.5200,91.5200,1326200,0.0000,1.0000
2019-10-04,91.7000,91.8600,91.6500,91.7900,91.7900,1253000,0.0000,1.0000
2019-10-03,91.4000,91.7500,91.2900,91.6700,91.6700,2445100,0.0000,1.0000
2019-10-02,91.1800,91.3300,91.0500,91.2800,91.2800,2128400,0.0000,1.0000
2019-10-01,90.7500,91.3900,90.7100,91.2000,91.2000,3616600,0.2460,1.0000
2019-09-30,91.0100,91.2400,90.9500,91.2400,90.9940,1758000,0.0000,1.0000
2019-09-27,91.0600,91.1500,91.0200,91.1200,90.8743,1548200,0.0000,1.0000
2019-09-26,91.0600,91.1200,90.9800,91.0100,90.7646,888000,0.0000,1.0000
2019-09-25,91.1600,91.1700,90.8200,90.8800,90.6350,2265500,0.0000,1.0000
2019-09-24,91.1200,91.3200,91.1000,91.2500,91.0040,872800,0.0000,1.0000
2019-09-23,91.1100,91.2400,91.0100,91.0500,90.8045,1543900,0.0000,1.0000
2019-09-20,90.7300,91.0200,90.6900,90.9700,90.7247,1573700,0.0000,1.0000
2019-09-19,90.6900,90.7500,90.5400,90.6000,90.3557,1767000,0.0000,1.0000
2019-09-18,90.6000,90.7900,90.2600,90.5100,90.2660,1241500,0.0000,1.0000
2019-09-17,90.1800,90.4600,90.0900,90.4200,90.1762,1479500,0.0000,1.0000
2019-09-16,90.1500,90.2500,90.0200,90.2200,89.9768,1052100,0.0000,1.0000
2019-09-13,90.2700,90.3300,89.9100,89.9400,89.6975,1314000,0.0000,1.0000
2019-09-12,90.9000,90.9300,90.4200,90.5600,90.3158,1265500,0.0000,1.0000
2019-09-11,90.5700,90.7400,90.5600,90.5700,90.3258,1035500,0.0000,1.0000
2019-09-10,91.0900,91.0900,90.6200,90.6700,90.4255,1818800,0.0000,1.0000
2019-09-09,91.3000,91.4000,91.1700,91.1900,90.9441,1048800,0.0000,1.0000
2019-09-06,91.5000,91.6900,91.4600,91.6400,91.3929,2172900,0.0000,1.0000
2019-09-05,91.6200,91.6200,91.3600,91.4500,91.2034,2071700,0.0000,1.0000
2019-09-04,91.7300,92.0100,91.6800,91.9400,91.6921,2133700,0.0000,1.0000
2019-09-03,91.6400,91.9000,91.4500,91.6800,91.4328,3465400,0.2610,1.0000
2019-08-30,91.8400,91.9700,91.7700,91.8900,91.3820,2175900,0.0000,1.0000
2019-08-29,91.9900,92.0400,91.7600,91.9400,91.4317,1983300,0.0000,1.0000
2019-08-28,92.1400,92.2300,92.0100,92.0900,91.5808,1350200,0.0000,1.0000
2019-08-27,91.8500,92.0600,91.8100,92.0100,91.5013,1234900,0.0000,1.0000
2019-08-26,91.7800,91.8900,91.6600,91.7500,91.2427,1271500,0.0000,1.0000
2019-08-23,91.4800,91.9100,91.4200,91.7500,91.2427,1134600,0.0000,1.0000
2019-08-22,91.5600,91.7300,91.4600,91.5400,91.0339,1419500,0.0000,1.0000
2019-08-21,91.5100,91.8100,91.4600,91.6800,91.1731,1611800,0.0000,1.0000
2019-08-20,91.4900,91.5900,91.4400,91.5600,91.0538,1330300,0.0000,1.0000
2019-08-19,91.2100,91.3600,91.2000,91.2200,90.7157,1390100,0.0000,1.0000
2019-08-16,91.2300,91.4900,91.0900,91.4900,90.9842,1904700,0.0000,1.0000
2019-08-15,91.0800,91.4700,91.0000,91.3300,90.8251,1759200,0.0000,1.0000
2019-08-14,91.0300,91.0560,90.8650,90.9800,90.4770,1655100,0.0000,1.0000
2019-08-13,90.8900,90.9200,90.6600,90.8100,90.3079,1646800,0.0000,1.0000
2019-08-12,90.7600,90.9904,90.7200,90.9600,90.4571,2248900,0.0000,1.0000
2019-08-09,90.7900,90.8300,90.5800,90.6100,90.1090,2653800,0.0000,1.0000
2019-08-08,90.6200,90.8443,90.4900,90.8200,90.3179,2222300,0.0000,1.0000
2019-08-07,91.1700,91.1700,90.6800,90.7400,90.2383,4369400,0.0000,1.0000
2019-08-06,90.6000,90.7600,90.4500,90.7400,90.2383,6403100,0.0000,1.0000
2019-08-05,90.4900,90.6200,90.4100,90.4700,89.9698,4059200,0.0000,1.0000
2019-08-02,90.2000,90.2986,90.1300,90.2800,89.7809,2500200,0.0000,1.0000
2019-08-01,89.7204,90.3100,89.6100,90.2100,89.7112,1894800,0.2740,1.0000
2019-07-31,89.8200,90.0400,89.4200,89.8300,89.0609,5767600,0.0000,1.0000
2019-07-30,89.7800,89.9000,89.6600,89.9000,89.1303,1419400,0.0000,1.0000
2019-07-29,89.8600,89.9100,89.6400,89.8000,89.0311,6376900,0.0000,1.0000
2019-07-26,89.8000,89.9000,89.6900,89.9000,89.1303,1104000,0.0000,1.0000
2019-07-25,89.8700,89.9300,89.5800,89.8900,89.1203,1223000,0.0000,1.0000
2019-07-24,89.8900,90.0000,89.8300,89.9400,89.1699,1415700,0.0000,1.0000
2019-07-23,89.7900,89.8500,89.6700,89.8000,89.0311,2264000,0.0000,1.0000
2019-07-22,89.7343,89.8400,89.7200,89.7700,89.0014,971400,0.0000,1.0000
2019-07-19,89.6400,89.7400,89.5100,89.6400,88.8725,1316000,0.0000,1.0000
2019-07-18,89.4962,89.8100,89.4300,89.7500,88.9815,1408400,0.0000,1.0000
2019-07-17,89.2500,89.5426,89.2500,89.4500,88.6841,1760600,0.0000,1.0000
2019-07-16,89.1100,89.1600,89.0200,89.1100,88.3470,1617900,0.0000,1.0000
2019-07-15,89.2500,89.3100,89.2200,89.2500,88.4858,857600,0.0000,1.0000
2019-07-12,89.1100,89.2500,89.0800,89.2200,88.4561,1235200,0.0000,1.0000
2019-07-11,89.3300,89.3900,89.0600,89.1400,88.3768,1497900,0.0000,1.0000
2019-07-10,89.4000,89.5100,89.3500,89.4800,88.7139,1161500,0.0000,1.0000
2019-07-09,89.4200,89.4200,89.2400,89.2800,88.5156,970900,0.0000,1.0000
2019-07-08,89.7000,89.7000,89.3600,89.3700,88.6048,1318700,0.0000,1.0000
2019-07-05,89.5000,89.5800,89.1800,89.5200,88.7535,3163800,0.0000,1.0000
2019-07-03,89.9000,90.0000,89.8800,90.0000,89.2294,2232400,0.0000,1.0000
2019-07-02,89.7600,89.9100,89.7100,89.8400,89.0708,3468400,0.0000,1.0000
2019-07-01,89.7200,89.8100,89.5350,89.6600,88.8923,1513900,0.2610,1.0000
2019-06-28,89.6900,89.8670,89.6500,89.8500,88.8219,1013700,0.0000,1.0000
2019-06-27,89.5400,89.7400,89.4900,89.7400,88.7132,1416400,0.0000,1.0000
2019-06-26,89.5900,89.6100,89.3640,89.4000,88.3771,5037800,0.0000,1.0000
2019-06-25,89.6800,89.7360,89.4640,89.6100,88.5847,9095200,0.0000,1.0000
2019-06-24,89.5700,89.7200,89.5400,89.6200,88.5946,4331700,0.0000,1.0000
2019-06-21,89.4700,89.5400,89.3500,89.4900,88.4660,1235700,0.0000,1.0000
2019-06-20,89.6400,89.8350,89.5800,89.6600,88.6341,3758100,0.0000,1.0000
2019-06-19,88.7700,89.4150,88.7400,89.2500,88.2288,1790900,0.0000,1.0000
2019-06-18,88.9700,89.0800,88.8000,88.9500,87.9322,1225300,0.0000,1.0000
2019-06-17,88.5700,88.6156,88.4900,88.5400,87.5269,1346600,0.0000,1.0000
2019-06-14,88.4500,88.6080,88.3600,88.6000,87.5862,1024800,0.0000,1.0000
2019-06-13,88.4500,88.6650,88.4480,88.6000,87.5862,1541500,0.0000,1.0000
2019-06-12,88.2400,88.3671,88.2300,88.3500,87.3391,1142900,0.0000,1.0000
2019-06-11,88.2000,88.2800,88.1800,88.2100,87.2007,1245600,0.0000,1.0000
2019-06-10,88.3200,88.3518,88.2000,88.2100,87.2007,2138500,0.0000,1.0000
2019-06-07,88.4800,88.6400,88.3800,88.4600,87.4478,1375400,0.0000,1.0000
2019-06-06,88.1100,88.2400,88.0500,88.1300,87.1216,1304000,0.0000,1.0000
2019-06-05,88.2300,88.3650,88.1000,88.1400,87.1315,1558900,0.0000,1.0000
2019-06-04,88.0000,88.0900,87.8600,88.0900,87.0821,3401000,0.0000,1.0000
2019-06-03,87.8900,88.0700,87.7300,88.0600,87.0524,4577000,0.2710,1.0000
2019-05-31,87.8100,88.0700,87.7200,88.0700,86.7944,2749700,0.0000,1.0000
2019-05-30,87.5800,87.8300,87.5000,87.8000,86.5283,2463200,0.0000,1.0000
2019-05-29,87.5263,87.5850,87.4300,87.4300,86.1637,2252100,0.0000,1.0000
2019-05-28,87.4800,87.5373,87.4110,87.4300,86.1637,814800,0.0000,1.0000
2019-05-24,87.2400,87.3400,87.2100,87.3200,86.0553,754700,0.0000,1.0000
2019-05-23,87.0800,87.3300,87.0400,87.2100,85.9468,1962800,0.0000,1.0000
2019-05-22,86.9315,87.0500,86.9000,87.0300,85.7695,1252500,0.0000,1.0000
2019-05-21,86.9300,86.9300,86.8300,86.8700,85.6118,1503500,0.0000,1.0000
2019-05-20,87.0800,87.1300,86.9000,86.9600,85.7005,1015200,0.0000,1.0000
2019-05-17,87.2100,87.2300,87.0650,87.2000,85.9370,1129500,0.0000,1.0000
2019-05-16,87.1100,87.1400,87.0310,87.1200,85.8582,2169100,0.0000,1.0000
2019-05-15,87.2200,87.2365,87.0400,87.1800,85.9173,2130500,0.0000,1.0000
2019-05-14,86.9100,86.9500,86.8800,86.9200,85.6610,978000,0.0000,1.0000
2019-05-13,86.9100,87.0000,86.8200,86.9050,85.6512,1945400,0.0000,1.0000
2019-05-10,86.7900,86.8300,86.7390,86.7750,85.5231,1040500,0.0000,1.0000
2019-05-09,86.8700,87.0000,86.6900,86.7800,85.5231,789700,0.0000,1.0000
2019-05-08,86.9350,86.9350,86.6400,86.6500,85.3950,1143100,0.0000,1.0000
2019-05-07,86.9200,86.9300,86.8300,86.8500,85.5921,1089700,0.0000,1.0000
2019-05-06,86.7200,86.8800,86.6900,86.7900,85.5329,2352900,0.0000,1.0000
2019-05-03,86.5200,86.6700,86.5200,86.6100,85.3555,1211300,0.0000,1.0000
2019-05-02,86.6200,86.6200,86.3510,86.4800,85.2274,1247000,0.0000,1.0000
2019-05-01,86.7600,87.1100,86.6200,86.6200,85.3654,1657800,0.2520,1.0000
2019-04-30,86.9100,87.0290,86.8800,86.9900,85.4817,1140000,0.0000,1.0000
2019-04-29,86.9900,87.0100,86.8800,86.9000,85.3932,962400,0.0000,1.0000
2019-04-26,87.0900,87.1400,87.0500,87.1100,85.5996,1398900,0.0000,1.0000
